Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
256,256,256,256,256,256,1-3037,18,16,1-3037,467,69,3,69,3087.235218644142,6.6107820527711825
364,364,364,364,364,364,MLG02,18,16,MLG02,755,74,3,301,3153.5478378534317,4.176884553448254
353,353,353,353,353,353,1-8681,11,12,1-8681,260,42,1,104,1069.4849672317505,4.113403720122117
158,158,158,158,158,158,MLG12,11,12,MLG12,569,18,1,206,1072.441377401352,1.884782737084977
507,507,507,507,507,507,1-19067,10,9,1-19067,8,7,0,1,7.264278531074524,0.9080348163843155
528,528,528,528,528,528,MLG77,14,14,MLG77,9,6,0,0,6.0,0.6666666666666666
488,488,488,488,488,488,1-18369,3,18,1-18369,7,4,0,0,4.0,0.5714285714285714
569,569,569,569,569,569,1-10217,8,11,1-10217,4,2,0,1,2.264278531074524,0.566069632768631
414,414,414,414,414,414,1-5140,3,18,1-5140,10,5,0,2,5.528557062149048,0.5528557062149048
458,458,458,458,458,458,1-9063,8,11,1-9063,35,17,0,8,19.11422824859619,0.5461208071027484
481,481,481,481,481,481,1-19851,18,16,1-19851,25,11,0,8,13.114228248596191,0.5245691299438476
549,549,549,549,549,549,1-10622,18,16,1-10622,4,2,0,0,2.0,0.5
562,562,562,562,562,562,1-3142,8,11,1-3142,4,2,0,0,2.0,0.5
524,524,524,524,524,524,1-3734,10,9,1-3734,4,2,0,0,2.0,0.5
108,108,108,108,108,108,1-0917,3,18,1-0917,134,56,0,40,66.57114124298096,0.49679956151478327
195,195,195,195,195,195,1-3079,3,18,1-3079,34,0,0,62,16.385268926620483,0.48191967431236715
501,501,501,501,501,501,MLG56,17,19,MLG56,109,35,0,65,52.178104519844055,0.4786982066040739
319,319,319,319,319,319,1-20040,18,16,1-20040,22,9,0,5,10.32139265537262,0.46915421160784637
306,306,306,306,306,306,1-18987,5,15,1-18987,34,14,0,7,15.849949717521667,0.46617499169181376
553,553,553,553,553,553,1-17965,18,16,1-17965,10,3,0,6,4.5856711864471436,0.45856711864471433
542,542,542,542,542,542,1-5287,5,15,1-5287,18,7,0,4,8.057114124298096,0.4476174513498942
514,514,514,514,514,514,1-6764,3,18,1-6764,38,8,0,34,16.985470056533813,0.44698605411931086
435,435,435,435,435,435,1-10882,3,18,1-10882,14,4,0,8,6.114228248596191,0.4367305891854422
225,225,225,225,225,225,1-17970,5,15,1-17970,36,13,0,9,15.378506779670715,0.4271807438797421
317,317,317,317,317,317,1-3733,8,11,1-3733,16,6,0,3,6.792835593223572,0.42455222457647324
167,167,167,167,167,167,1-9287,20,13,1-9287,21,7,0,7,8.849949717521667,0.4214261770248413
544,544,544,544,544,544,1-20124,15,17,1-20124,3,1,0,1,1.264278531074524,0.4214261770248413
307,307,307,307,307,307,1-5199,11,12,1-5199,3,1,0,1,1.264278531074524,0.4214261770248413
142,142,142,142,142,142,MLG17,14,14,MLG17,76,29,0,11,31.907063841819763,0.4198297873923653
254,254,254,254,254,254,1-9230,12,1,1-9230,5,2,0,0,2.0,0.4
80,80,80,80,80,80,1-21411,1,25,1-21411,5,2,0,0,2.0,0.4
336,336,336,336,336,336,1-8678,17,19,1-8678,74,24,0,20,29.28557062149048,0.39575095434446594
471,471,471,471,471,471,1-8618,3,18,1-8618,53,20,0,1,20.264278531074524,0.3823448779448023
484,484,484,484,484,484,MLG35,3,18,MLG35,44,12,0,18,16.75701355934143,0.38084121725775977
96,96,96,96,96,96,1-10725,10,9,1-10725,27,10,0,1,10.264278531074524,0.3801584641138713
186,186,186,186,186,186,1-8162,20,13,1-8162,22,8,0,1,8.264278531074524,0.3756490241397511
559,559,559,559,559,559,1-9466,20,13,1-9466,8,3,0,0,3.0,0.375
423,423,423,423,423,423,1-5696,8,11,1-5696,80,29,0,3,29.792835593223572,0.3724104449152946
291,291,291,291,291,291,1-17979,7,2,1-17979,17,5,0,4,6.057114124298096,0.35630083084106445
518,518,518,518,518,518,1-3356,17,19,1-3356,28,8,0,7,9.849949717521667,0.3517839184829167
51,51,51,51,51,51,1-8981,8,11,1-8981,15,5,0,1,5.264278531074524,0.3509519020716349
399,399,399,399,399,399,1-8087,3,18,1-8087,58,14,0,24,20.342684745788574,0.35073594389290647
541,541,541,541,541,541,1-7301,11,12,1-7301,26,7,0,8,9.114228248596191,0.35054724033062273
512,512,512,512,512,512,1-9121,18,16,1-9121,22,7,0,2,7.528557062149048,0.3422071391885931
476,476,476,476,476,476,MLG01,21,10,MLG01,43,12,0,10,14.64278531074524,0.3405298909475637
191,191,191,191,191,191,1-9285,5,15,1-9285,30,8,0,8,10.114228248596191,0.33714094161987307
519,519,519,519,519,519,1-10800,6,20,1-10800,55,15,0,13,18.43562090396881,0.3351931073448875
358,358,358,358,358,358,MLG18,20,13,MLG18,72,20,0,14,23.699899435043335,0.3291652699311574
354,354,354,354,354,354,1-11438,6,20,1-11438,53,16,0,5,17.32139265537262,0.3268187293466532
183,183,183,183,183,183,1-18927,17,19,1-18927,30,9,0,3,9.792835593223572,0.32642785310745237
470,470,470,470,470,470,1-10043,7,2,1-10043,61,18,0,7,19.849949717521667,0.3254090117626503
281,281,281,281,281,281,1-8126,18,16,1-8126,34,11,0,0,11.0,0.3235294117647059
6,6,6,6,6,6,MLG58,3,18,MLG58,66,18,0,11,20.907063841819763,0.31677369457302673
257,257,257,257,257,257,MLG06,10,9,MLG06,634,136,0,245,200.74824011325836,0.31663760270230024
67,67,67,67,67,67,1-19989,3,18,1-19989,4,1,0,1,1.264278531074524,0.316069632768631
482,482,482,482,482,482,1-11534,8,11,1-11534,12,3,0,3,3.7928355932235718,0.316069632768631
388,388,388,388,388,388,1-8019,21,10,1-8019,320,81,0,74,100.55661129951477,0.3142394103109837
372,372,372,372,372,372,1-6511,8,11,1-6511,144,39,0,22,44.814127683639526,0.3112092200252745
413,413,413,413,413,413,1-1763,10,9,1-1763,35,10,0,3,10.792835593223572,0.30836673123495917
