Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
574,574,574,574,574,574,574,1-4618,23,4,1-4618,1,0,0,2,1.4297058582305908,1.4297058582305908
571,571,571,571,571,571,571,1-9958,23,4,1-9958,1,0,0,1,0.7148529291152954,0.7148529291152954
573,573,573,573,573,573,573,1-20283,1,2,1-20283,1,0,0,1,0.7148529291152954,0.7148529291152954
285,285,285,285,285,285,285,1-18816,1,2,1-18816,44,0,0,44,31.453528881072998,0.7148529291152954
245,245,245,245,245,245,245,1-8729,23,4,1-8729,53,0,0,49,35.027793526649475,0.6609017646537637
499,499,499,499,499,499,499,1-20780,12,12,1-20780,12,0,0,11,7.8633822202682495,0.6552818516890208
529,529,529,529,529,529,529,1-9466,18,18,1-9466,8,1,0,5,4.574264645576477,0.5717830806970596
184,184,184,184,184,184,184,MLG18,3,14,MLG18,72,24,0,22,39.7267644405365,0.5517606172296736
223,223,223,223,223,223,223,1-5686,16,17,1-5686,59,6,0,37,32.44955837726593,0.5499925148689141
551,551,551,551,551,551,551,1-10622,23,4,1-10622,4,0,0,3,2.1445587873458862,0.5361396968364716
212,212,212,212,212,212,212,1-8916,7,8,1-8916,61,16,0,22,31.7267644405365,0.5201108924678115
532,532,532,532,532,532,532,1-18369,16,17,1-18369,7,0,0,5,3.574264645576477,0.5106092350823539
92,92,92,92,92,92,92,1-6511,23,4,1-6511,144,0,0,102,72.91499876976013,0.5063541581233343
266,266,266,266,266,266,266,1-1025,23,4,1-1025,48,0,0,34,24.304999589920044,0.5063541581233343
300,300,300,300,300,300,300,1-3077,1,2,1-3077,41,0,0,29,20.730734944343567,0.5056276815693553
276,276,276,276,276,276,276,1-3075,23,4,1-3075,45,0,0,31,22.160440802574158,0.4924542400572035
166,166,166,166,166,166,166,1-5696,10,10,1-5696,80,6,0,45,38.16838181018829,0.4771047726273537
326,326,326,326,326,326,326,1-6835,22,28,1-6835,36,0,0,23,16.441617369651794,0.45671159360143876
503,503,503,503,503,503,503,1-11534,3,14,1-11534,12,1,0,6,5.2891175746917725,0.440759797890981
230,230,230,230,230,230,230,1-11205,10,10,1-11205,56,1,0,33,24.59014666080475,0.4391097618000848
319,319,319,319,319,319,319,1-8765,19,19,1-8765,38,0,0,23,16.441617369651794,0.4326741413066262
395,395,395,395,395,395,395,1-1958,7,8,1-1958,25,0,0,15,10.722793936729431,0.42891175746917726
554,554,554,554,554,554,554,1-10217,8,25,1-10217,4,1,0,1,1.7148529291152954,0.42871323227882385
340,340,340,340,340,340,340,1-10981,15,15,1-10981,34,9,0,7,14.003970503807068,0.4118814854060902
155,155,155,155,155,155,155,1-2364,19,19,1-2364,88,6,0,42,36.02382302284241,0.4093616252595728
428,428,428,428,428,428,428,1-5221,9,9,1-5221,21,3,0,7,8.003970503807068,0.3811414525622413
348,348,348,348,348,348,348,1-0997,7,8,1-0997,33,9,0,5,12.574264645576477,0.38103832259322656
187,187,187,187,187,187,187,MLG82,16,17,MLG82,71,23,0,5,26.574264645576477,0.37428541754333067
53,53,53,53,53,53,53,1-6727,17,23,1-6727,235,0,0,120,85.78235149383545,0.36503128295249127
162,162,162,162,162,162,162,1-10960,12,12,1-10960,82,17,0,18,29.867352724075317,0.3642360088301868
190,190,190,190,190,190,190,1-1176,5,6,1-1176,69,0,0,35,25.01985251903534,0.362606558246889
159,159,159,159,159,159,159,1-5687,6,7,1-5687,83,2,0,39,29.87926423549652,0.35999113536742794
67,67,67,67,67,67,67,1-4394,21,21,1-4394,190,3,0,91,68.05161654949188,0.35816640289206253
550,550,550,550,550,550,550,1-3142,17,23,1-3142,4,0,0,2,1.4297058582305908,0.3574264645576477
563,563,563,563,563,563,563,1-5713,5,6,1-5713,2,0,0,1,0.7148529291152954,0.3574264645576477
366,366,366,366,366,366,366,1-8928,23,4,1-8928,30,0,0,15,10.722793936729431,0.3574264645576477
243,243,243,243,243,243,243,1-9542,9,9,1-9542,54,10,0,13,19.29308807849884,0.3572794088610896
381,381,381,381,381,381,381,1-6554,3,14,1-6554,28,2,0,11,9.86338222026825,0.35226365072386606
475,475,475,475,475,475,475,1-9548,8,25,1-9548,16,2,0,5,5.574264645576477,0.3483915403485298
106,106,106,106,106,106,106,1-7872,7,8,1-7872,124,7,0,49,42.027793526649475,0.3389338187633022
95,95,95,95,95,95,95,1-9100,10,10,1-9100,142,8,0,56,48.03176403045654,0.33825185936941227
355,355,355,355,355,355,355,1-5537,1,2,1-5537,32,0,0,15,10.722793936729431,0.3350873105227947
224,224,224,224,224,224,224,1-8087,16,17,1-8087,58,13,0,9,19.43367636203766,0.3350633855523734
370,370,370,370,370,370,370,1-7647,23,4,1-7647,30,0,0,14,10.007941007614136,0.33359803358713785
398,398,398,398,398,398,398,1-8914,7,8,1-8914,25,4,0,6,8.289117574691772,0.3315647029876709
493,493,493,493,493,493,493,1-9318,23,4,1-9318,13,0,0,6,4.2891175746917725,0.32993212113013637
72,72,72,72,72,72,72,1-0918,5,6,1-0918,179,1,0,81,58.90308725833893,0.32906752658289906
86,86,86,86,86,86,86,MLG65,3,14,MLG65,155,18,0,46,50.88323473930359,0.32827893380195866
58,58,58,58,58,58,58,MLG53,16,17,MLG53,216,48,0,32,70.87529373168945,0.3281263598689326
164,164,164,164,164,164,164,1-9454,13,13,1-9454,80,19,0,10,26.148529291152954,0.3268566161394119
94,94,94,94,94,94,94,1-3693,11,11,1-3693,143,23,0,33,46.59014666080475,0.325805221404229
249,249,249,249,249,249,249,1-11438,5,6,1-11438,53,0,0,24,17.15647029876709,0.32370698676919035
83,83,83,83,83,83,83,1-7306,13,13,1-7306,159,32,0,27,51.301029086112976,0.32264798167366654
232,232,232,232,232,232,232,1-18412,9,9,1-18412,56,3,0,21,18.011911511421204,0.3216412769896643
472,472,472,472,472,472,472,1-3733,15,15,1-3733,16,3,0,3,5.144558787345886,0.3215349242091179
119,119,119,119,119,119,119,1-1136,12,12,1-1136,113,12,0,34,36.304999589920044,0.3212831822116818
180,180,180,180,180,180,180,1-9294,15,15,1-9294,74,18,0,8,23.718823432922363,0.3205246409854373
519,519,519,519,519,519,519,1-10952,14,16,1-10952,9,0,0,4,2.8594117164611816,0.3177124129401313
520,520,520,520,520,520,520,1-5314,17,23,1-5314,9,0,0,4,2.8594117164611816,0.3177124129401313
42,42,42,42,42,42,42,1-8681,19,19,1-8681,260,26,0,79,82.47338140010834,0.31720531307733973
396,396,396,396,396,396,396,1-20138,1,2,1-20138,25,0,0,11,7.8633822202682495,0.31453528881073
70,70,70,70,70,70,70,1-5228,12,12,1-5228,180,12,0,61,55.60602867603302,0.30892238153351675
35,35,35,35,35,35,35,1-7901,9,9,1-7901,298,47,0,63,92.03573453426361,0.30884474675927387
