Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
256,256,256,256,256,256,1-3037,18,9,1-3037,467,69,3,27,3070.9180070981383,6.575841556955329
364,364,364,364,364,364,MLG02,18,9,MLG02,755,74,3,25,3075.7759324982762,4.073875407282485
353,353,353,353,353,353,1-8681,11,17,1-8681,260,36,1,95,1042.7485434934497,4.010571321128652
158,158,158,158,158,158,MLG12,11,17,MLG12,569,16,1,40,1018.841491997242,1.7905825869898804
507,507,507,507,507,507,1-19067,10,20,1-19067,8,7,0,0,7.0,0.875
205,205,205,205,205,205,1-7776,14,12,1-7776,26,19,0,3,19.213111899793148,0.7389658422997365
162,162,162,162,162,162,1-8242,19,18,1-8242,11,7,0,1,7.071037299931049,0.6428215727210045
253,253,253,253,253,253,1-7781,3,13,1-7781,33,19,0,4,19.284149199724197,0.5843681575673999
549,549,549,549,549,549,1-10622,18,9,1-10622,4,2,0,1,2.0710372999310493,0.5177593249827623
458,458,458,458,458,458,1-9063,8,15,1-9063,35,17,0,10,17.710372999310493,0.506010657123157
524,524,524,524,524,524,1-3734,10,20,1-3734,4,2,0,0,2.0,0.5
261,261,261,261,261,261,1-8747,2,16,1-8747,18,8,0,0,8.0,0.4444444444444444
481,481,481,481,481,481,1-19851,18,9,1-19851,25,11,0,0,11.0,0.44
459,459,459,459,459,459,1-8284,3,13,1-8284,48,20,0,9,20.639335699379444,0.42998616040373844
319,319,319,319,319,319,1-20040,18,9,1-20040,22,9,0,2,9.142074599862099,0.4155488454482772
376,376,376,376,376,376,1-18412,19,18,1-18412,56,23,0,1,23.07103729993105,0.4119828089273402
254,254,254,254,254,254,1-9230,12,1,1-9230,5,2,0,0,2.0,0.4
324,324,324,324,324,324,1-3369,19,18,1-3369,8,3,0,1,3.0710372999310493,0.38387966249138117
307,307,307,307,307,307,1-5199,11,17,1-5199,3,1,0,2,1.1420745998620987,0.3806915332873662
358,358,358,358,358,358,MLG18,20,11,MLG18,72,26,0,13,26.92348489910364,0.37393729026532835
186,186,186,186,186,186,1-8162,20,11,1-8162,22,8,0,3,8.213111899793148,0.37332326817241585
96,96,96,96,96,96,1-10725,10,20,1-10725,27,10,0,1,10.07103729993105,0.37300138147892775
471,471,471,471,471,471,1-8618,3,13,1-8618,53,19,0,1,19.07103729993105,0.3598308924515292
544,544,544,544,544,544,1-20124,15,10,1-20124,3,1,0,1,1.0710372999310493,0.35701243331034976
167,167,167,167,167,167,1-9287,20,11,1-9287,21,7,0,6,7.426223799586296,0.35362970474220456
244,244,244,244,244,244,1-3099,3,13,1-3099,9,3,0,2,3.1420745998620987,0.3491193999846776
293,293,293,293,293,293,MLG20,19,18,MLG20,55,18,0,13,18.92348489910364,0.3440633618018844
482,482,482,482,482,482,1-11534,8,15,1-11534,12,4,0,1,4.071037299931049,0.3392531083275874
292,292,292,292,292,292,1-11045,2,16,1-11045,43,14,0,7,14.497261099517345,0.33714560696551965
281,281,281,281,281,281,1-8126,18,9,1-8126,34,11,0,4,11.284149199724197,0.33188674116835876
233,233,233,233,233,233,1-8864,3,13,1-8864,39,12,0,10,12.710372999310493,0.32590699998232037
330,330,330,330,330,330,MLG28,2,16,MLG28,22,7,0,2,7.142074599862099,0.3246397545391863
414,414,414,414,414,414,1-5140,3,13,1-5140,10,3,0,3,3.213111899793148,0.3213111899793148
291,291,291,291,291,291,1-17979,7,2,1-17979,17,5,0,6,5.426223799586296,0.3191896352697821
512,512,512,512,512,512,1-9121,18,9,1-9121,22,7,0,0,7.0,0.3181818181818182
408,408,408,408,408,408,1-8023,19,18,1-8023,20,6,0,5,6.355186499655247,0.3177593249827623
515,515,515,515,515,515,1-8480,20,11,1-8480,112,35,0,1,35.07103729993105,0.31313426160652724
398,398,398,398,398,398,MLG65,20,11,MLG65,155,45,0,35,47.48630549758673,0.30636326127475305
384,384,384,384,384,384,1-0584,8,15,1-0584,41,11,0,21,12.491783298552036,0.30467764142809844
553,553,553,553,553,553,1-17965,18,9,1-17965,10,3,0,0,3.0,0.3
477,477,477,477,477,477,1-20081,12,1,1-20081,20,6,0,0,6.0,0.3
525,525,525,525,525,525,1-3117,2,16,1-3117,7,2,0,1,2.0710372999310493,0.29586247141872135
470,470,470,470,470,470,1-10043,7,2,1-10043,61,18,0,0,18.0,0.29508196721311475
444,444,444,444,444,444,1-2083,15,10,1-2083,48,13,0,13,13.923484899103642,0.2900726020646592
413,413,413,413,413,413,1-1763,10,20,1-1763,35,10,0,0,10.0,0.2857142857142857
270,270,270,270,270,270,1-5655,15,10,1-5655,31,8,0,8,8.568298399448395,0.27639672256285147
416,416,416,416,416,416,1-3246,10,20,1-3246,116,31,0,7,31.497261099517345,0.2715281129268737
378,378,378,378,378,378,1-5819,10,20,1-5819,23,6,0,0,6.0,0.2608695652173913
467,467,467,467,467,467,MLG82,19,18,MLG82,71,18,0,7,18.497261099517345,0.2605248042185542
326,326,326,326,326,326,1-9095,11,17,1-9095,16,4,0,2,4.142074599862099,0.25887966249138117
559,559,559,559,559,559,1-9466,20,11,1-9466,8,2,0,1,2.0710372999310493,0.25887966249138117
360,360,360,360,360,360,MLG67,17,14,MLG67,293,70,0,50,73.55186499655247,0.2510302559609299
564,564,564,564,564,564,1-5303,11,17,1-5303,4,1,0,0,1.0,0.25
562,562,562,562,562,562,1-3142,8,15,1-3142,4,1,0,0,1.0,0.25
219,219,219,219,219,219,1-8371,15,10,1-8371,255,60,0,43,63.05460389703512,0.24727295645896127
157,157,157,157,157,157,1-2318,15,10,1-2318,13,3,0,3,3.213111899793148,0.24716245383024216
528,528,528,528,528,528,MLG77,14,12,MLG77,9,2,0,3,2.213111899793148,0.24590132219923866
484,484,484,484,484,484,MLG35,3,13,MLG35,44,10,0,7,10.497261099517345,0.2385741158981215
388,388,388,388,388,388,1-8019,21,19,1-8019,320,70,0,74,75.25676019489765,0.23517737560905516
335,335,335,335,335,335,1-9276,21,19,1-9276,77,18,0,1,18.07103729993105,0.23468879610300064
451,451,451,451,451,451,1-7146,14,12,1-7146,18,4,0,3,4.213111899793148,0.23406177221073043
110,110,110,110,110,110,1-9225,2,16,1-9225,18,4,0,3,4.213111899793148,0.23406177221073043
498,498,498,498,498,498,MLG38,10,20,MLG38,26,6,0,0,6.0,0.23076923076923078
501,501,501,501,501,501,MLG56,17,14,MLG56,109,21,0,58,25.120163396000862,0.23046021464220975
27,27,27,27,27,27,1-0984,20,11,1-0984,50,11,0,7,11.497261099517345,0.22994522199034692
166,166,166,166,166,166,1-9454,18,9,1-9454,80,18,0,5,18.355186499655247,0.2294398312456906
551,551,551,551,551,551,1-18869,18,9,1-18869,22,5,0,0,5.0,0.22727272727272727
119,119,119,119,119,119,1-7476,18,9,1-7476,22,5,0,0,5.0,0.22727272727272727
115,115,115,115,115,115,1-3254,2,16,1-3254,68,15,0,3,15.213111899793148,0.22372223382048748
183,183,183,183,183,183,1-18927,17,14,1-18927,30,6,0,9,6.639335699379444,0.22131118997931482
257,257,257,257,257,257,MLG06,10,20,MLG06,634,136,0,27,137.91800709813833,0.21753628879832546
142,142,142,142,142,142,MLG17,14,12,MLG17,76,15,0,20,16.420745998620987,0.21606244735027613
539,539,539,539,539,539,1-6559,19,18,1-6559,24,5,0,2,5.142074599862099,0.21425310832758745
171,171,171,171,171,171,1-3300,8,15,1-3300,29,6,0,3,6.213111899793148,0.21424523792390165
566,566,566,566,566,566,1-19192,2,16,1-19192,5,1,0,1,1.0710372999310493,0.21420745998620988
487,487,487,487,487,487,1-7467,8,15,1-7467,20,4,0,4,4.284149199724197,0.21420745998620988
331,331,331,331,331,331,1-9412,11,17,1-9412,15,3,0,2,3.1420745998620987,0.2094716399908066
374,374,374,374,374,374,MLG74,18,9,MLG74,177,37,0,1,37.07103729993105,0.2094408887001754
493,493,493,493,493,493,1-3162,17,14,1-3162,35,7,0,4,7.284149199724197,0.2081185485635485
