Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
256,256,256,256,256,256,1-3037,18,14,1-3037,467,69,3,34,3088.162489295006,6.612767643029991
364,364,364,364,364,364,MLG02,18,14,MLG02,755,74,3,73,3115.14299172163,4.126017207578318
353,353,353,353,353,353,1-8681,11,9,1-8681,260,42,1,44,1066.7985155582428,4.103071213685549
158,158,158,158,158,158,MLG12,11,9,MLG12,569,18,1,192,1126.2117042541504,1.9792824327840957
487,487,487,487,487,487,1-7467,8,8,1-7467,20,22,0,4,24.2544105052948,1.21272052526474
513,513,513,513,513,513,1-7453,12,7,1-7453,24,22,0,5,24.8180131316185,1.0340838804841042
195,195,195,195,195,195,1-3079,3,12,1-3079,34,0,0,62,34.9433628320694,1.0277459656491
80,80,80,80,80,80,1-21411,1,27,1-21411,5,4,0,0,4.0,0.8
205,205,205,205,205,205,1-7776,14,11,1-7776,26,19,0,1,19.5636026263237,0.7524462548586038
384,384,384,384,384,384,1-0584,8,8,1-0584,41,15,0,26,29.6536682844162,0.7232602020589317
414,414,414,414,414,414,1-5140,3,12,1-5140,10,6,0,2,7.1272052526474,0.71272052526474
162,162,162,162,162,162,1-8242,19,26,1-8242,11,7,0,1,7.5636026263237,0.6876002387567
253,253,253,253,253,253,1-7781,3,12,1-7781,33,20,0,4,22.2544105052948,0.6743760759180243
484,484,484,484,484,484,MLG35,3,12,MLG35,44,16,0,17,25.5812446475029,0.5813919238068841
488,488,488,488,488,488,1-18369,3,12,1-18369,7,4,0,0,4.0,0.5714285714285714
423,423,423,423,423,423,1-5696,8,8,1-5696,80,26,0,34,45.1624892950058,0.5645311161875725
544,544,544,544,544,544,1-20124,15,13,1-20124,3,1,0,1,1.5636026263237,0.5212008754412333
197,197,197,197,197,197,1-20780,2,28,1-20780,12,0,0,11,6.1996288895606995,0.5166357407967249
340,340,340,340,340,340,1-0487,19,26,1-0487,18,7,0,4,9.2544105052948,0.5141339169608222
319,319,319,319,319,319,1-20040,18,14,1-20040,22,9,0,4,11.2544105052948,0.5115641138770364
425,425,425,425,425,425,1-10919,9,4,1-10919,20,0,0,18,10.1448472738266,0.5072423636913299
517,517,517,517,517,517,1-9436,8,8,1-9436,24,3,0,16,12.0176420211792,0.5007350842157999
549,549,549,549,549,549,1-10622,18,14,1-10622,4,2,0,0,2.0,0.5
138,138,138,138,138,138,1-2829,19,26,1-2829,52,26,0,0,26.0,0.5
325,325,325,325,325,325,1-6625,5,15,1-6625,67,5,0,49,32.6165286898613,0.4868138610427059
481,481,481,481,481,481,1-19851,18,14,1-19851,25,11,0,2,12.1272052526474,0.485088210105896
9,9,9,9,9,9,1-8765,11,9,1-8765,38,5,0,23,17.9628604054451,0.472706852774871
108,108,108,108,108,108,1-0917,3,12,1-0917,134,50,0,23,62.9628604054451,0.4698720925779485
553,553,553,553,553,553,1-17965,18,14,1-17965,10,3,0,3,4.6908078789711,0.46908078789711
201,201,201,201,201,201,1-3075,20,10,1-3075,45,1,0,35,20.7260919213295,0.4605798204739889
393,393,393,393,393,393,1-2292,2,28,1-2292,252,15,0,179,115.88487011194229,0.4598605956823107
50,50,50,50,50,50,MLG14,20,10,MLG14,462,44,0,295,210.26277476549149,0.4551142310941374
211,211,211,211,211,211,1-7187,7,6,1-7187,96,6,0,66,43.1977733373642,0.4499768055975437
559,559,559,559,559,559,1-9466,20,10,1-9466,8,3,0,1,3.5636026263237,0.4454503282904625
470,470,470,470,470,470,1-10043,7,6,1-10043,61,18,0,15,26.4540393948555,0.43367277696484424
314,314,314,314,314,314,1-11388,1,27,1-11388,28,12,0,0,12.0,0.42857142857142855
291,291,291,291,291,291,1-17979,7,6,1-17979,17,5,0,4,7.2544105052948,0.4267300297232235
317,317,317,317,317,317,1-3733,8,8,1-3733,16,4,0,5,6.8180131316185,0.42612582072615623
78,78,78,78,78,78,1-6677,9,4,1-6677,94,0,0,71,40.0157864689827,0.4256998560530074
541,541,541,541,541,541,1-7301,11,9,1-7301,26,7,0,7,10.9452183842659,0.42096993785638076
536,536,536,536,536,536,1-1964,15,13,1-1964,48,7,0,23,19.9628604054451,0.41589292511343956
186,186,186,186,186,186,1-8162,20,10,1-8162,22,8,0,2,9.1272052526474,0.41487296602942725
458,458,458,458,458,458,1-9063,8,8,1-9063,35,10,0,8,14.5088210105896,0.4145377431597028
38,38,38,38,38,38,1-10018,8,8,1-10018,40,16,0,1,16.5636026263237,0.4140900656580925
121,121,121,121,121,121,1-8853,11,9,1-8853,33,8,0,10,13.636026263237,0.41321291706778784
459,459,459,459,459,459,1-8284,3,12,1-8284,48,17,0,5,19.8180131316185,0.4128752735753854
235,235,235,235,235,235,1-3077,18,14,1-3077,41,1,0,28,16.7808735370636,0.4092895984649658
558,558,558,558,558,558,1-8628,15,13,1-8628,68,2,0,45,27.362118184566498,0.40238409094950733
385,385,385,385,385,385,MLG70,19,26,MLG70,269,18,0,160,108.17642021179199,0.4021428260661412
254,254,254,254,254,254,1-9230,12,7,1-9230,5,2,0,0,2.0,0.4
346,346,346,346,346,346,1-10823,16,17,1-10823,10,0,0,7,3.9452183842658997,0.39452183842658994
483,483,483,483,483,483,MLG47,14,11,MLG47,106,0,0,74,41.706594347953796,0.39345843724484714
67,67,67,67,67,67,1-19989,3,12,1-19989,4,1,0,1,1.5636026263237,0.390900656580925
518,518,518,518,518,518,1-3356,17,23,1-3356,28,0,0,19,10.708449900150299,0.38244463929108213
444,444,444,444,444,444,1-2083,15,13,1-2083,48,11,0,13,18.3268341422081,0.3818090446293354
366,366,366,366,366,366,MLG63,3,12,MLG63,543,48,0,279,205.2451327443123,0.37798366987902815
305,305,305,305,305,305,1-7472,5,15,1-7472,12,0,0,8,4.5088210105896,0.3757350842158
61,61,61,61,61,61,1-7306,8,8,1-7306,159,36,0,42,59.6713103055954,0.3752912597836189
324,324,324,324,324,324,1-3369,19,26,1-3369,8,3,0,0,3.0,0.375
270,270,270,270,270,270,1-5655,15,13,1-5655,31,7,0,8,11.5088210105896,0.37125229066418064
514,514,514,514,514,514,1-6764,3,12,1-6764,38,9,0,9,14.0724236369133,0.3703269378135079
345,345,345,345,345,345,1-2364,15,13,1-2364,88,20,0,22,32.3992577791214,0.3681733838536523
83,83,83,83,83,83,1-1152,3,12,1-1152,112,20,0,37,40.8532971739769,0.364761581910508
358,358,358,358,358,358,MLG18,20,10,MLG18,72,20,0,11,26.1996288895607,0.36388373457723194
326,326,326,326,326,326,1-9095,11,9,1-9095,16,3,0,5,5.8180131316185,0.36362582072615623
167,167,167,167,167,167,1-9287,20,10,1-9287,21,7,0,1,7.5636026263237,0.3601715536344619
142,142,142,142,142,142,MLG17,14,11,MLG17,76,15,0,21,26.8356551527977,0.3531007256947066
572,572,572,572,572,572,1-9584,4,19,1-9584,8,0,0,5,2.8180131316184998,0.35225164145231247
477,477,477,477,477,477,1-20081,12,7,1-20081,20,7,0,0,7.0,0.35
528,528,528,528,528,528,MLG77,14,11,MLG77,9,2,0,2,3.1272052526474,0.34746725029415554
451,451,451,451,451,451,1-7146,14,11,1-7146,18,4,0,4,6.2544105052948,0.34746725029415554
293,293,293,293,293,293,MLG20,19,26,MLG20,55,15,0,7,18.9452183842659,0.34445851607756184
512,512,512,512,512,512,1-9121,18,14,1-9121,22,7,0,1,7.5636026263237,0.34380011937835
465,465,465,465,465,465,1-8053,4,19,1-8053,55,0,0,33,18.5988866686821,0.33816157579421996
130,130,130,130,130,130,MLG32,3,12,MLG32,79,17,0,17,26.5812446475029,0.3364714512342139
426,426,426,426,426,426,1-7332,7,6,1-7332,53,2,0,28,17.7808735370636,0.3354881799445962
556,556,556,556,556,556,1-5304,12,7,1-5304,3,1,0,0,1.0,0.3333333333333333
