Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
575,575,575,575,575,575,575,1-4387,1,2,1-4387,1,0,0,1,0.7271165251731873,0.7271165251731873
91,91,91,91,91,91,91,1-6684,4,11,1-6684,145,3,0,133,99.7064978480339,0.6876310196416131
410,410,410,410,410,410,410,7W2-12806,23,25,7W2-12806,23,0,0,21,15.269447028636932,0.663889001245084
81,81,81,81,81,81,81,1-7038,15,13,1-7038,163,7,0,137,106.61496394872665,0.6540795334277709
13,13,13,13,13,13,13,MLG11,4,11,MLG11,493,16,0,366,282.12464821338654,0.5722609497228935
216,216,216,216,216,216,216,1-18620,21,4,1-18620,60,1,0,42,31.538894057273865,0.5256482342878978
162,162,162,162,162,162,162,1-10960,12,16,1-10960,82,17,0,34,41.72196185588837,0.5088044128766874
114,114,114,114,114,114,114,1-6166,12,16,1-6166,117,13,0,62,58.08122456073761,0.4964207227413471
391,391,391,391,391,391,391,1-7301,19,6,1-7301,26,3,0,13,12.452514827251434,0.478942877971209
223,223,223,223,223,223,223,1-5686,16,23,1-5686,59,10,0,25,28.17791312932968,0.47759174795474035
83,83,83,83,83,83,83,1-7306,13,15,1-7306,159,56,0,27,75.63214617967606,0.47567387534387456
155,155,155,155,155,155,155,1-2364,19,6,1-2364,88,6,0,49,41.628709733486176,0.4730535196987065
12,12,12,12,12,12,12,1-3523,15,13,1-3523,497,10,0,305,231.7705401778221,0.46633911504591974
353,353,353,353,353,353,353,1-7456,10,18,1-7456,32,1,0,19,14.815213978290558,0.46297543682157993
67,67,67,67,67,67,67,1-4394,21,4,1-4394,190,3,0,116,87.34551692008972,0.45971324694784066
55,55,55,55,55,55,55,MLG13,8,19,MLG13,225,30,0,100,102.71165251731873,0.45649623341030543
189,189,189,189,189,189,189,1-0582,11,17,1-0582,70,7,0,34,31.721961855888367,0.4531708836555481
190,190,190,190,190,190,190,1-1176,5,10,1-1176,69,0,0,42,30.538894057273865,0.44259266749672266
70,70,70,70,70,70,70,1-5228,12,16,1-5228,180,12,0,92,78.89472031593323,0.4383040017551846
525,525,525,525,525,525,525,1-19067,9,22,1-19067,8,2,0,2,3.4542330503463745,0.4317791312932968
119,119,119,119,119,119,119,1-1136,12,16,1-1136,113,12,0,50,48.35582625865936,0.4279276660058351
86,86,86,86,86,86,86,MLG65,3,12,MLG65,155,12,0,73,65.07950633764267,0.41986778282350107
42,42,42,42,42,42,42,1-8681,19,6,1-8681,260,26,0,114,108.89128386974335,0.41881263026824367
364,364,364,364,364,364,364,1-5515,17,8,1-5515,30,5,0,10,12.271165251731873,0.40903884172439575
513,513,513,513,513,513,513,1-18770,19,6,1-18770,10,1,0,4,3.908466100692749,0.3908466100692749
212,212,212,212,212,212,212,1-8916,7,21,1-8916,61,16,0,10,23.271165251731873,0.3814945123234733
105,105,105,105,105,105,105,1-0529,14,14,1-0529,124,13,0,47,47.1744766831398,0.3804393280898371
324,324,324,324,324,324,324,1-19093,17,8,1-19093,36,2,0,16,13.633864402770996,0.37871845563252765
340,340,340,340,340,340,340,1-10981,15,13,1-10981,34,9,0,5,12.635582625865936,0.371634783113704
472,472,472,472,472,472,472,1-3733,15,13,1-3733,16,3,0,4,5.908466100692749,0.3692791312932968
550,550,550,550,550,550,550,1-3142,17,8,1-3142,4,0,0,2,1.4542330503463745,0.36355826258659363
381,381,381,381,381,381,381,1-6554,3,12,1-6554,28,0,0,14,10.179631352424622,0.36355826258659363
159,159,159,159,159,159,159,1-5687,6,20,1-5687,83,1,0,40,30.08466100692749,0.36246579526418665
205,205,205,205,205,205,205,1-0447,11,17,1-0447,65,1,0,31,23.540612280368805,0.3621632658518278
232,232,232,232,232,232,232,1-18412,9,22,1-18412,56,5,0,21,20.269447028636932,0.3619544112256595
247,247,247,247,247,247,247,1-8177,16,23,1-8177,53,9,0,14,19.17963135242462,0.3618798368382004
348,348,348,348,348,348,348,1-0997,7,21,1-0997,33,9,0,4,11.908466100692749,0.3608626091119015
130,130,130,130,130,130,130,1-8754,12,16,1-8754,108,11,0,38,38.630427956581116,0.3576891477461214
120,120,120,120,120,120,120,1-1152,4,11,1-1152,112,18,0,30,39.81349575519562,0.3554776406713894
426,426,426,426,426,426,426,1-20040,10,18,1-20040,22,2,0,8,7.816932201385498,0.3553151000629772
43,43,43,43,43,43,43,1-8753,21,4,1-8753,258,4,0,118,89.7997499704361,0.3480610463970391
235,235,235,235,235,235,235,1-9040,19,6,1-9040,55,6,0,18,19.08809745311737,0.3470563173294067
76,76,76,76,76,76,76,1-7518,12,16,1-7518,169,32,0,36,58.17619490623474,0.3442378396818624
97,97,97,97,97,97,97,1-4654,5,10,1-4654,138,16,0,43,47.26601058244705,0.3425073230612105
14,14,14,14,14,14,14,1-3037,3,12,1-3037,467,46,0,152,156.52171182632446,0.33516426515272907
238,238,238,238,238,238,238,MLG20,7,21,MLG20,55,8,0,14,18.17963135242462,0.33053875186226583
39,39,39,39,39,39,39,1-7172,1,2,1-7172,284,13,0,111,93.70993429422379,0.3299645573740274
375,375,375,375,375,375,375,1-8187,16,23,1-8187,29,0,0,13,9.452514827251434,0.3259487871466012
288,288,288,288,288,288,288,MLG01,10,18,MLG01,43,6,0,11,13.99828177690506,0.3255414366722107
358,358,358,358,358,358,358,1-5655,15,13,1-5655,31,5,0,7,10.08981567621231,0.3254779250391068
111,111,111,111,111,111,111,1-1887,19,6,1-1887,119,11,0,38,38.630427956581116,0.32462544501328666
475,475,475,475,475,475,475,1-9548,8,19,1-9548,16,3,0,3,5.181349575519562,0.3238343484699726
452,452,452,452,452,452,452,1-0487,5,10,1-0487,18,0,0,8,5.816932201385498,0.3231629000769721
180,180,180,180,180,180,180,1-9294,15,13,1-9294,74,18,0,8,23.816932201385498,0.3218504351538581
253,253,253,253,253,253,253,1-2829,1,2,1-2829,52,0,0,23,16.723680078983307,0.32160923228814053
94,94,94,94,94,94,94,1-3693,11,17,1-3693,143,23,0,30,44.81349575519562,0.31338108919717217
377,377,377,377,377,377,377,1-10305,19,6,1-10305,28,0,0,12,8.725398302078247,0.31162136793136597
138,138,138,138,138,138,138,1-7993,17,8,1-7993,100,10,0,29,31.08637923002243,0.3108637923002243
342,342,342,342,342,342,342,1-18987,19,6,1-18987,34,4,0,9,10.544048726558685,0.3101190801929025
84,84,84,84,84,84,84,1-1712,17,8,1-1712,157,2,0,64,48.535457611083984,0.3091430421088152
30,30,30,30,30,30,30,1-8718,4,11,1-8718,333,83,0,27,102.63214617967606,0.30820464318221036
471,471,471,471,471,471,471,1-9396,1,2,1-9396,16,2,0,4,4.908466100692749,0.3067791312932968
27,27,27,27,27,27,27,1-7425,5,10,1-7425,352,23,0,116,107.34551692008972,0.3049588548866185
153,153,153,153,153,153,153,1-8666,14,14,1-8666,89,3,0,33,26.99484533071518,0.3033128688844402
23,23,23,23,23,23,23,1-8567,17,8,1-8567,388,30,0,120,117.25398302078247,0.30220098716696514
28,28,28,28,28,28,28,1-6957,21,4,1-6957,338,3,0,136,101.88784742355347,0.3014433355726434
413,413,413,413,413,413,413,1-5819,19,6,1-5819,23,1,0,8,6.816932201385498,0.29638835658197815
47,47,47,47,47,47,47,1-1035,11,17,1-1035,249,34,0,54,73.26429235935211,0.29423410586085186
279,279,279,279,279,279,279,1-20068,14,14,1-20068,45,3,0,14,13.179631352424622,0.2928806967205472
109,109,109,109,109,109,109,1-3364,17,8,1-3364,121,7,0,39,35.3575444817543,0.29221111141945705
49,49,49,49,49,49,49,1-19257,1,2,1-19257,246,15,0,78,71.7150889635086,0.2915247518841813
542,542,542,542,542,542,542,1-9230,1,2,1-9230,5,0,0,2,1.4542330503463745,0.2908466100692749
543,543,543,543,543,543,543,1-18953,6,20,1-18953,5,0,0,2,1.4542330503463745,0.2908466100692749
297,297,297,297,297,297,297,1-6101,16,23,1-6101,41,1,0,15,11.906747877597809,0.29040848481945875
323,323,323,323,323,323,323,1-8613,16,23,1-8613,37,2,0,12,10.725398302078247,0.2898756297858986
172,172,172,172,172,172,172,1-19068,13,15,1-19068,77,15,0,10,22.271165251731873,0.28923591236015417
350,350,350,350,350,350,350,1-3491,16,23,1-3491,33,3,0,9,9.544048726558685,0.2892135977745056
166,166,166,166,166,166,166,1-5696,10,18,1-5696,80,2,0,29,23.08637923002243,0.2885797403752804
412,412,412,412,412,412,412,1-7770,6,20,1-7770,23,3,0,5,6.635582625865936,0.28850359242895374
445,445,445,445,445,445,445,1-2028,15,13,1-2028,20,5,0,1,5.727116525173187,0.28635582625865935
