Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
381,381,381,381,381,381,381,1-6554,3,19,1-6554,28,21,0,5,23.418170124292374,0.8363632187247276
224,224,224,224,224,224,224,1-8087,16,11,1-8087,58,23,0,13,29.28724232316017,0.5049524538475891
243,243,243,243,243,243,243,1-9542,9,18,1-9542,54,20,0,9,24.352706223726273,0.45097604118011614
83,83,83,83,83,83,83,1-7306,13,14,1-7306,159,56,0,27,69.05811867117882,0.4343277903847724
187,187,187,187,187,187,187,MLG82,16,11,MLG82,71,18,0,23,29.12358257174492,0.4101913038273932
162,162,162,162,162,162,162,1-10960,12,15,1-10960,82,17,0,34,33.44355684518814,0.40784825420961146
516,516,516,516,516,516,516,1-17965,1,2,1-17965,10,2,0,4,3.934536099433899,0.3934536099433899
115,115,115,115,115,115,115,1-3174,5,4,1-3174,117,0,0,90,43.527062237262726,0.3720261729680575
461,461,461,461,461,461,461,1-1067,1,2,1-1067,17,1,0,11,6.319974273443222,0.3717631925554836
114,114,114,114,114,114,114,1-6166,12,15,1-6166,117,13,0,62,42.98530954122543,0.3673958080446618
391,391,391,391,391,391,391,1-7301,19,8,1-7301,26,3,0,13,9.287242323160172,0.35720162781385273
445,445,445,445,445,445,445,1-2028,15,12,1-2028,20,4,0,6,6.901804149150848,0.34509020745754243
155,155,155,155,155,155,155,1-2364,19,8,1-2364,88,6,0,49,29.698067218065262,0.33747803656892345
119,119,119,119,119,119,119,1-1136,12,15,1-1136,113,12,0,50,36.18170124292374,0.32019204639755516
70,70,70,70,70,70,70,1-5228,12,15,1-5228,180,12,0,92,56.494330286979675,0.3138573904832204
42,42,42,42,42,42,42,1-8681,19,8,1-8681,260,26,0,114,81.13427883386612,0.31205491859179274
471,471,471,471,471,471,471,1-9396,1,2,1-9396,16,2,0,6,4.901804149150848,0.306362759321928
448,448,448,448,448,448,448,1-1959,5,4,1-1959,19,0,0,12,5.803608298301697,0.30545306833166824
340,340,340,340,340,340,340,1-10981,15,12,1-10981,34,6,0,9,10.352706223726273,0.30449135952136097
67,67,67,67,67,67,67,1-4394,21,6,1-4394,190,3,0,112,57.16701078414917,0.3008790041271009
180,180,180,180,180,180,180,1-9294,15,12,1-9294,74,14,0,17,22.22177842259407,0.30029430300802795
21,21,21,21,21,21,21,1-1633,5,4,1-1633,399,0,0,246,118.97397011518478,0.2981803762285333
513,513,513,513,513,513,513,1-18770,19,8,1-18770,10,1,0,4,2.934536099433899,0.29345360994338987
76,76,76,76,76,76,76,1-7518,12,15,1-7518,169,32,0,36,49.41082489490509,0.2923717449402668
