Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
497,497,497,497,497,497,497,1-8039,19,19,1-8039,12,0,0,22,9.530535101890564,0.7942112584908804
91,91,91,91,91,91,91,1-6684,4,16,1-6684,145,2,0,160,71.3129825592041,0.49181367282209726
13,13,13,13,13,13,13,MLG11,4,16,MLG11,493,11,0,506,230.20230734348297,0.466941799885361
508,508,508,508,508,508,508,1-7737,22,28,1-7737,11,5,0,0,5.0,0.45454545454545453
574,574,574,574,574,574,574,1-4618,23,21,1-4618,1,0,0,1,0.43320614099502563,0.43320614099502563
83,83,83,83,83,83,83,1-7306,13,12,1-7306,159,56,0,27,67.69656580686569,0.4257645648230547
81,81,81,81,81,81,81,1-7038,15,14,1-7038,163,7,0,137,66.34924131631851,0.40705056022281294
162,162,162,162,162,162,162,1-10960,12,11,1-10960,82,17,0,34,31.72900879383087,0.3869391316320838
517,517,517,517,517,517,517,MLG77,17,23,MLG77,9,0,0,8,3.465649127960205,0.38507212532891166
516,516,516,516,516,516,516,1-17965,1,2,1-17965,10,2,0,4,3.7328245639801025,0.3732824563980103
410,410,410,410,410,410,410,7W2-12806,23,21,7W2-12806,23,0,0,19,8.230916678905487,0.35786594256110815
114,114,114,114,114,114,114,1-6166,12,11,1-6166,117,13,0,62,39.85878074169159,0.3406733396725777
461,461,461,461,461,461,461,1-1067,1,2,1-1067,17,1,0,11,5.765267550945282,0.3391333853497225
340,340,340,340,340,340,340,1-10981,15,14,1-10981,34,9,0,5,11.166030704975128,0.3284126677933861
270,270,270,270,270,270,270,1-6494,23,21,1-6494,48,0,0,36,15.595421075820923,0.3249046057462692
306,306,306,306,306,306,306,1-8990,16,27,1-8990,40,12,0,2,12.866412281990051,0.3216603070497513
382,382,382,382,382,382,382,1-3472,22,28,1-3472,28,9,0,0,9.0,0.32142857142857145
