,Exam Group,Exam Block
0,1-6098,10
1,1-9227,14
2,1-6240,16
3,1-6181,17
4,MLG68,2
5,MLG57,13
6,MLG54,11
7,MLG69,4
8,1-10468,1
9,1-3523,15
10,MLG62,7
11,MLG56,4
12,1-7024,3
13,1-1258,3
14,1-1317,1
15,1-1580,15
16,1-7140,17
17,1-7004,8
18,MLG63,13
19,1-7863,3
20,1-8067,1
21,MLG02,17
22,MLG50,11
23,1-7866,15
24,1-3535,9
25,1-18028,4
26,1-18558,15
27,1-1608,16
28,1-7005,14
29,1-3534,8
30,1-10785,3
31,1-9156,9
32,1-7874,14
33,1-6296,17
34,MLG51,12
35,MLG64,5
36,1-5775,9
37,1-4649,4
38,1-9768,9
39,1-7807,5
40,1-9283,16
41,MLG14,6
42,1-0008,17
43,1-3596,7
44,1-2282,7
45,1-0303,3
46,MLG30,17
47,1-6974,9
48,MLG65,11
49,1-7122,7
50,1-8341,14
51,1-1350,16
52,1-1462,14
53,1-8427,11
54,MLG49,12
55,MLG75,2
56,1-3068,13
57,1-6927,1
58,1-6878,17
59,1-3052,14
60,MLG29,10
61,1-4319,1
62,MLG48,19
63,1-3516,8
64,1-1015,8
65,MLG17,19
66,1-1224,1
67,1-4417,17
68,1-9497,10
69,MLG12,12
70,1-8074,18
71,1-2545,15
72,1-2335,9
73,1-9674,1
74,1-0053,10
75,1-0129,19
76,1-1570,19
77,1-7682,16
78,MLG13,14
79,1-8188,12
80,1-2382,7
81,1-1131,6
82,1-8910,14
83,1-3141,19
84,1-8267,8
85,1-9831,1
86,1-7070,19
87,1-9270,19
88,1-6980,19
89,MLG52,11
90,MLG09,19
91,1-1005,10
92,1-5626,3
93,1-1833,9
94,1-5043,19
95,1-8826,13
96,1-18371,9
97,1-5172,13
98,1-17907,8
99,1-7042,7
100,1-9394,9
101,1-3362,8
102,MLG37,12
103,1-9963,19
104,1-8328,8
105,1-0272,8
106,1-9137,7
107,1-7441,3
108,1-7496,8
109,1-3447,5
110,1-7341,8
111,1-7152,13
112,1-8421,19
113,MLG08,5
114,1-7019,17
115,1-9646,4
116,MLG15,7
117,1-2670,18
118,1-9333,12
119,1-9404,1
120,1-11350,15
121,1-0292,17
122,1-1390,7
123,1-6693,10
124,1-5891,2
125,1-7897,9
126,1-4531,14
127,1-9925,1
128,1-3139,14
129,MLG55,5
130,MLG53,11
131,1-8659,4
132,MLG07,14
133,1-6611,12
134,1-1769,1
135,MLG11,1
136,1-4640,8
137,1-8066,17
138,1-8820,1
139,1-8084,2
140,1-9286,16
141,1-9491,6
142,1-7058,5
143,MLG78,18
144,1-7964,17
145,1-2423,17
146,1-0278,8
147,1-5877,9
148,1-3083,11
149,MLG38,7
150,1-9516,14
151,1-9417,1
152,1-10038,4
153,1-8157,18
154,1-2294,2
155,1-9808,18
156,1-17733,1
157,1-6914,1
158,1-7614,16
159,1-5197,1
160,1-8285,16
161,MLG59,5
162,MLG58,6
163,1-6692,11
164,72-12387,4
165,72-0103,13
166,1-6594,4
167,1-7268,11
168,MLG45,6
169,1-9645,4
170,1-6900,5
171,1-19547,14
172,1-1207,14
173,MLG41,18
174,1-6561,19
175,1-7467,13
176,1-0405,9
177,1-9498,19
178,MLG84,12
179,1-10539,16
180,1-6647,4
181,1-19915,19
182,1-2714,1
183,1-2701,9
184,1-8541,13
185,MLG10,18
186,1-9955,12
187,1-19004,18
188,1-7722,6
189,MLG44,18
190,1-7819,3
191,1-6743,1
192,1-9379,18
193,1-8094,7
194,1-8018,18
195,1-8021,19
196,1-8401,4
197,1-6006,19
198,1-20167,10
199,1-8020,1
200,1-8529,7
201,1-6787,4
202,1-8576,13
203,1-9938,1
204,1-8541,19
205,1-8622,6
206,1-8544,11
207,1-8398,8
208,1-8573,1
209,1-5355,19
210,1-19897,13
211,1-1191,8
212,1-8450,5
213,MLG32,18
214,1-6227,19
215,1-8042,16
216,1-8397,12
217,MLG40,18
218,1-9770,9
219,1-2400,5
220,1-4355,2
221,MLG35,18
222,1-9610,5
223,1-6228,16
224,1-8767,1
225,1-8705,3
226,1-9277,19
227,1-4634,10
228,MLG60,12
229,1-1957,9
230,1-18423,14
231,1-9345,19
232,1-3587,12
233,1-9794,9
234,1-8095,3
235,1-8418,18
236,1-10451,11
237,1-1989,9
238,1-7991,3
239,1-3206,15
240,1-6216,14
241,1-4390,14
242,1-8174,19
243,1-19166,4
244,1-5002,10
245,1-1183,18
246,1-19448,2
247,1-6734,3
248,1-6217,6
249,1-6538,16
250,1-6918,10
251,1-6916,13
252,1-6919,7
253,1-18234,6
254,1-9578,8
255,1-2025,1
256,1-0296,18
257,1-3564,12
258,1-17758,1
259,1-8172,19
260,1-6061,10
261,1-5214,8
262,1-7509,4
263,1-4760,18
264,1-19286,7
265,1-8573,1
266,1-5413,6
267,1-1204,8
268,1-9496,1
269,1-8928,19
270,1-19229,5
271,1-5508,19
272,1-8551,14
273,1-9237,2
274,1-8493,1
275,1-9651,6
276,1-7744,19
277,1-2573,14
278,1-4020,16
279,1-7845,5
280,1-3312,1
281,1-6909,5
282,1-9887,6
283,1-6642,3
284,1-8314,7
285,1-10060,1
286,1-2584,16
287,1-2104,1
288,1-0037,3
289,1-2596,16
290,1-9761,5
291,1-3509,17
292,1-5549,1
293,1-1770,11
294,1-3106,5
295,1-1942,13
296,1-9740,7
297,1-1250,5
298,1-0205,14
299,1-7481,7
300,1-18709,10
301,MLG31,4
302,1-9630,19
303,1-8400,11
304,1-9500,19
305,1-8127,5
306,1-1972,18
307,1-18714,1
308,1-1592,9
309,1-9185,4
310,1-9739,2
311,1-4700,8
312,1-1850,4
313,1-10071,7
314,1-18935,2
315,1-4088,7
316,1-9504,4
317,1-9902,13
318,1-8641,1
319,1-8938,6
320,1-9614,4
321,1-8181,10
322,1-5980,10
323,1-18203,2
324,1-13247,9
325,1-0027,12
326,1-5515,13
327,1-7752,13
328,1-9338,1
329,1-19549,19
330,1-8988,18
331,1-9110,6
332,1-9818,1
333,1-9996,8
334,P-16616,18
335,1-5981,4
336,1-18994,16
337,1-18735,10
338,MLG67,5
339,1-9850,7
340,1-3589,17
341,1-9870,4
342,1-3519,1
343,1-6531,15
344,1-9655,11
345,1-6532,15
346,1-8186,15
347,1-2103,19
348,1-3087,11
349,1-7204,5
350,1-3584,9
351,1-9805,15
352,1-9650,1
353,1-9609,11
354,1-2324,8
355,1-2297,1
356,1-9331,12
357,1-4747,19
358,1-8627,6
359,1-18613,18
360,1-7530,6
361,1-7839,8
362,1-5167,6
363,1-9253,1
364,1-8590,7
365,1-10696,3
366,1-7993,13
367,1-9995,4
368,1-9444,10
369,1-1827,14
370,1-7213,17
371,1-18202,1
372,1-8488,8
373,MLG39,18
374,1-9553,19
375,1-6035,19
376,1-18487,19
377,1-6858,1
378,1-7066,14
379,1-7182,19
380,1-18409,13
381,1-3521,19
