,Exam Group,Exam Block
0,72-0103,11
1,1-9185,16
2,MLG17,3
3,1-8222,11
4,1-6240,12
5,1-5549,20
6,1-8021,1
7,1-8767,16
8,1-8181,5
9,1-8020,9
10,1-7964,20
11,1-9722,2
12,MLG84,1
13,1-9805,13
14,1-6098,5
15,1-8093,15
16,1-9955,19
17,1-18603,14
18,1-3521,6
19,1-2596,16
20,1-5167,17
21,1-3519,10
22,1-7995,13
23,1-2025,2
24,1-7140,15
25,1-9607,15
26,1-9907,19
27,1-18409,8
28,1-10071,18
29,1-18735,9
30,1-8418,2
31,1-8938,5
32,1-0022,17
33,1-7991,2
34,1-6642,18
35,1-2869,13
36,1-2714,10
37,1-5508,1
38,1-2104,15
39,1-7467,21
40,1-7722,3
41,1-7509,3
42,1-1207,6
43,1-8705,8
44,1-5214,1
45,1-9444,2
46,1-8566,10
47,1-19547,19
48,1-0405,5
49,1-2178,11
50,1-8174,3
51,1-9925,20
52,72-12387,8
53,1-9850,6
54,1-8125,9
55,1-8095,12
56,1-5877,8
57,1-1224,3
58,1-17733,10
59,1-9331,2
60,1-18202,16
61,1-7341,14
62,1-9818,5
63,1-7066,1
64,1-9674,4
65,1-8659,11
66,1-7536,11
67,1-7481,9
68,1-7845,3
69,1-18498,14
70,1-2584,17
71,1-6532,7
72,1-9614,5
73,1-5355,11
74,1-8124,3
75,1-8401,9
76,1-8541,17
77,1-2153,12
78,1-4088,1
79,1-9739,12
80,1-9115,13
81,1-7770,5
82,1-17645,18
83,1-18423,17
84,1-18714,4
85,1-8084,5
86,1-9345,9
87,MLG35,1
88,1-5626,16
89,1-18004,3
90,1-19222,12
91,72-12171,17
92,1-7807,13
93,1-20003,10
94,1-3083,6
95,1-3312,2
96,MLG37,9
97,1-9237,7
98,1-8127,8
99,1-5775,7
100,1-19598,1
101,1-9892,21
102,1-3564,3
103,1-8820,4
104,1-8267,13
105,1-1258,11
106,MLG69,18
107,1-6971,8
108,1-9731,12
109,1-9768,7
110,72-18936,2
111,1-19897,8
112,1-10698,12
113,1-4499,1
114,1-7496,13
115,1-3178,18
116,1-20047,16
117,1-0358,1
118,1-6543,15
119,1-5929,12
120,1-10232,11
121,1-7070,20
122,MLG42,9
123,MLG55,9
124,1-8427,21
125,1-8622,21
126,1-8488,8
127,1-9643,11
128,1-19286,9
129,1-2573,1
130,1-1833,7
131,1-9283,12
