i,j,count
1,18,7
18,1,7
13,1,16
1,13,16
14,8,4
8,14,4
20,19,44
19,20,44
17,14,16
14,17,16
3,14,15
14,3,15
15,14,12
14,15,12
20,21,30
21,20,30
20,7,9
7,20,9
22,2,45
2,22,45
21,5,10
5,21,10
17,13,27
13,17,27
1,11,14
11,1,14
15,17,71
17,15,71
4,3,19
3,4,19
4,22,19
22,4,19
15,8,68
8,15,68
15,20,64
20,15,64
7,4,9
4,7,9
22,18,14
18,22,14
13,3,41
3,13,41
8,10,11
10,8,11
11,17,36
17,11,36
10,14,19
14,10,19
17,16,18
16,17,18
10,1,9
1,10,9
7,12,10
12,7,10
6,5,12
5,6,12
20,10,10
10,20,10
2,16,37
16,2,37
18,2,24
2,18,24
20,17,30
17,20,30
12,21,21
21,12,21
6,13,8
13,6,8
19,14,23
14,19,23
20,9,6
9,20,6
11,12,16
12,11,16
3,19,11
19,3,11
19,5,14
5,19,14
19,21,27
21,19,27
15,21,23
21,15,23
17,2,23
2,17,23
12,13,9
13,12,9
12,9,14
9,12,14
6,14,9
14,6,9
4,17,24
17,4,24
13,4,12
4,13,12
6,21,19
21,6,19
13,10,14
10,13,14
15,4,32
4,15,32
21,17,32
17,21,32
16,13,14
13,16,14
20,22,16
22,20,16
15,5,11
5,15,11
12,17,13
17,12,13
5,10,18
10,5,18
2,13,19
13,2,19
1,3,23
3,1,23
15,22,27
22,15,27
11,19,32
19,11,32
15,19,53
19,15,53
21,16,29
16,21,29
19,17,37
17,19,37
3,10,8
10,3,8
6,12,41
12,6,41
14,4,11
4,14,11
20,3,20
3,20,20
22,8,25
8,22,25
11,14,10
14,11,10
20,6,15
6,20,15
17,9,13
9,17,13
1,19,20
19,1,20
19,19,10
20,4,34
4,20,34
18,6,44
6,18,44
20,2,21
2,20,21
21,4,15
4,21,15
4,18,33
18,4,33
3,18,10
18,3,10
10,19,11
19,10,11
3,17,20
17,3,20
3,15,20
15,3,20
4,6,13
6,4,13
4,19,39
19,4,39
19,22,41
22,19,41
22,3,16
3,22,16
20,11,37
11,20,37
12,19,13
19,12,13
11,18,28
18,11,28
20,14,18
14,20,18
18,16,17
16,18,17
5,4,11
4,5,11
19,18,28
18,19,28
20,12,13
12,20,13
13,20,14
20,13,14
20,18,32
18,20,32
13,15,8
15,13,8
2,11,7
11,2,7
18,14,12
14,18,12
11,4,21
4,11,21
1,16,13
16,1,13
22,12,24
12,22,24
17,7,16
7,17,16
5,7,23
7,5,23
1,6,12
6,1,12
6,6,18
12,5,14
5,12,14
12,10,19
10,12,19
18,10,24
10,18,24
18,8,10
8,18,10
13,8,4
8,13,4
8,4,11
4,8,11
9,5,5
5,9,5
1,8,6
8,1,6
22,13,14
13,22,14
13,11,24
11,13,24
12,16,37
16,12,37
10,22,14
22,10,14
8,8,20
10,11,6
11,10,6
5,22,7
22,5,7
9,14,3
14,9,3
1,4,20
4,1,20
1,20,22
20,1,22
3,11,14
11,3,14
21,13,14
13,21,14
15,16,23
16,15,23
13,18,10
18,13,10
4,16,14
16,4,14
9,9,20
21,2,14
2,21,14
6,11,10
11,6,10
9,10,7
10,9,7
18,17,25
17,18,25
21,22,22
22,21,22
19,7,15
7,19,15
16,10,13
10,16,13
8,2,17
2,8,17
14,21,20
21,14,20
22,6,13
6,22,13
10,2,7
2,10,7
11,5,7
5,11,7
16,11,16
11,16,16
19,2,35
2,19,35
18,12,9
12,18,9
16,19,19
19,16,19
18,21,33
21,18,33
1,15,24
15,1,24
11,21,29
21,11,29
2,12,11
12,2,11
13,5,5
5,13,5
7,3,7
3,7,7
8,6,22
6,8,22
22,7,5
7,22,5
3,8,11
8,3,11
7,13,8
13,7,8
3,16,9
16,3,9
5,1,12
1,5,12
16,5,10
5,16,10
2,7,14
7,2,14
10,7,5
7,10,5
7,18,15
18,7,15
7,14,9
14,7,9
1,7,8
7,1,8
5,17,19
17,5,19
11,7,14
7,11,14
15,18,41
18,15,41
6,19,11
19,6,11
5,14,9
14,5,9
13,14,20
14,13,20
15,7,14
7,15,14
6,16,7
16,6,7
12,3,14
3,12,14
9,18,10
18,9,10
19,13,22
13,19,22
21,9,7
9,21,7
5,3,8
3,5,8
15,9,10
9,15,10
15,12,11
12,15,11
1,21,22
21,1,22
20,5,26
5,20,26
21,3,15
3,21,15
4,2,17
2,4,17
17,1,12
1,17,12
2,14,15
14,2,15
4,10,11
10,4,11
8,16,6
16,8,6
8,7,8
7,8,8
21,10,5
10,21,5
16,20,30
20,16,30
8,21,13
21,8,13
15,11,15
11,15,15
22,17,14
17,22,14
2,5,14
5,2,14
9,7,2
7,9,2
10,17,11
17,10,11
2,15,21
15,2,21
12,14,21
14,12,21
19,8,14
8,19,14
15,10,22
10,15,22
21,7,3
7,21,3
15,6,11
6,15,11
6,9,11
9,6,11
1,2,8
2,1,8
9,11,8
11,9,8
14,1,16
1,14,16
6,17,15
17,6,15
22,16,7
16,22,7
9,16,7
16,9,7
19,9,7
9,19,7
6,3,10
3,6,10
9,8,7
8,9,7
22,14,16
14,22,16
2,9,2
9,2,2
6,2,9
2,6,9
9,3,5
3,9,5
1,12,14
12,1,14
8,17,9
17,8,9
7,6,8
6,7,8
9,1,6
1,9,6
20,8,7
8,20,7
1,22,8
22,1,8
22,11,10
11,22,10
9,4,6
4,9,6
3,2,8
2,3,8
8,5,2
5,8,2
9,22,7
22,9,7
5,18,4
18,5,4
16,14,11
14,16,11
6,10,6
10,6,6
11,8,7
8,11,7
12,4,12
4,12,12
9,13,4
13,9,4
16,7,5
7,16,5
12,8,3
8,12,3
1,1,0
1,23,0
1,24,0
2,2,0
2,23,0
2,24,0
3,3,0
3,23,0
3,24,0
4,4,0
4,23,0
4,24,0
5,5,0
5,23,0
5,24,0
6,23,0
6,24,0
7,7,0
7,23,0
7,24,0
8,23,0
8,24,0
9,23,0
9,24,0
10,10,0
10,23,0
10,24,0
11,11,0
11,23,0
11,24,0
12,12,0
12,23,0
12,24,0
13,13,0
13,23,0
13,24,0
14,14,0
14,23,0
14,24,0
15,15,0
15,23,0
15,24,0
16,16,0
16,23,0
16,24,0
17,17,0
17,23,0
17,24,0
18,18,0
18,23,0
18,24,0
19,23,0
19,24,0
20,20,0
20,23,0
20,24,0
21,21,0
21,23,0
21,24,0
22,22,0
22,23,0
22,24,0
23,1,0
23,2,0
23,3,0
23,4,0
23,5,0
23,6,0
23,7,0
23,8,0
23,9,0
23,10,0
23,11,0
23,12,0
23,13,0
23,14,0
23,15,0
23,16,0
23,17,0
23,18,0
23,19,0
23,20,0
23,21,0
23,22,0
23,23,0
23,24,0
24,1,0
24,2,0
24,3,0
24,4,0
24,5,0
24,6,0
24,7,0
24,8,0
24,9,0
24,10,0
24,11,0
24,12,0
24,13,0
24,14,0
24,15,0
24,16,0
24,17,0
24,18,0
24,19,0
24,20,0
24,21,0
24,22,0
24,23,0
24,24,0
