Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
MLG45,21,21,MLG45,70,4,1,17,1016.0103316903114,14.514433309861593
MLG59,2,2,MLG59,71,16,1,11,1023.7713910937309,14.419315367517337
1-8285,7,21,1-8285,72,6,1,11,1013.7713910937309,14.080158209635151
MLG38,7,7,MLG38,77,11,1,8,1016.6519207954407,13.203271698642087
1-18028,7,7,1-18028,309,82,1,63,1126.5088762640953,3.645659793734936
MLG56,2,2,MLG56,511,55,1,31,1076.9011930823326,2.1074387340163065
1-8573,22,12,1-8573,184,92,0,38,118.8466237783432,0.6459055640127348
MLG44,8,9,MLG44,59,27,0,11,34.77139109373093,0.5893456117581513
1-0008,10,11,1-0008,230,133,0,2,134.41298019886017,0.5844042617341746
1-1580,13,14,1-1580,400,30,0,287,232.76265853643417,0.5819066463410855
1-10785,17,10,1-10785,279,99,0,74,151.28026735782623,0.5422231804940009
MLG40,9,9,MLG40,51,17,0,15,27.597351491451263,0.541124539048064
1-3587,14,13,1-3587,46,17,0,9,23.358410894870758,0.5077915411928425
1-9277,20,5,1-9277,48,16,0,10,23.064900994300842,0.48051877071460086
1-8627,14,13,1-8627,25,5,0,9,11.358410894870758,0.4543364357948303
1-8066,16,11,1-8066,86,5,0,47,38.20503467321396,0.44424458922341814
1-7268,21,21,1-7268,70,16,0,21,30.83629208803177,0.44051845840045384
1-3639,22,17,1-3639,17,6,0,2,7.4129801988601685,0.4360576587564805
P-16616,3,19,P-16616,28,3,0,13,12.184371292591095,0.4351561175925391
1-5002,3,3,1-5002,45,13,0,9,19.358410894870758,0.43018690877490573
1-5891,15,12,1-5891,96,8,0,47,41.20503467321396,0.42921911117931205
1-17835,22,17,1-17835,17,3,0,6,7.238940596580505,0.4258200350929709
1-0303,17,10,1-0303,212,58,0,45,89.79205447435379,0.42354742676581975
1-1989,21,15,1-1989,46,8,0,16,19.303841590881348,0.419648730236551
1-1317,6,8,1-1317,414,105,0,96,172.8230495452881,0.41744697957799054
MLG68,15,12,MLG68,642,59,0,294,266.70808923244476,0.4154331607982006
1-2382,7,7,1-2382,139,39,0,26,57.36874258518219,0.41272476679987186
1-9667,16,11,1-9667,14,5,0,1,5.706490099430084,0.40760643567357746
1-10539,21,21,1-10539,63,3,0,32,25.607683181762695,0.40647116161528085
MLG63,8,9,MLG63,380,106,0,68,154.04132676124573,0.40537191252959404
1-11329,21,21,1-11329,14,0,0,8,5.651920795440674,0.4037086282457624
1-7140,16,11,1-7140,397,124,0,51,160.0309950709343,0.4031007432517237
1-2400,22,17,1-2400,49,4,0,22,19.542782187461853,0.3988322895400378
MLG39,11,16,MLG39,23,7,0,3,9.119470298290253,0.3964987086213153
MLG64,8,9,MLG64,245,71,0,37,97.14013367891312,0.39649034154658414
1-1957,12,15,1-1957,47,8,0,15,18.597351491451263,0.39568832960534606
MLG60,14,13,MLG60,47,8,0,15,18.597351491451263,0.39568832960534606
1-8067,6,8,1-8067,322,104,0,33,127.31417328119278,0.3953856313080521
1-3083,5,4,1-3083,78,8,0,32,30.607683181762695,0.39240619463798326
1-7682,7,7,1-7682,141,20,0,50,55.32450497150421,0.392372375684427
1-8529,13,14,1-8529,56,2,0,28,21.78172278404236,0.3889593354293278
1-8578,4,5,1-8578,11,0,0,6,4.238940596580505,0.3853582360527732
1-7005,20,6,1-7005,285,17,0,131,109.55020302534103,0.38438667728189835
MLG30,16,11,MLG30,208,62,0,24,78.95576238632202,0.379595011472702
1-9394,12,15,1-9394,117,18,0,36,43.43364357948303,0.37122772290156436
1-18615,11,16,1-18615,22,6,0,3,8.119470298290253,0.369066831740466
1-9452,22,17,1-9452,16,3,0,4,5.825960397720337,0.36412252485752106
1-7152,22,17,1-7152,109,5,0,49,39.61801487207413,0.3634680263493039
1-7024,17,10,1-7024,498,84,0,133,177.9631832242012,0.35735578960682973
MLG43,7,7,MLG43,14,5,0,0,5.0,0.35714285714285715
1-9500,17,10,1-9500,33,4,0,11,11.771391093730927,0.3567088210221493
1-5172,8,19,1-5172,120,15,0,39,42.553113877773285,0.3546092823147774
1-9156,12,15,1-9156,268,37,0,82,94.9321881532669,0.3542245826614437
1-7608,7,7,1-7608,4,0,0,2,1.4129801988601685,0.3532450497150421
1-6914,21,21,1-6914,73,4,0,30,25.194702982902527,0.3451329175740072
1-9379,19,20,1-9379,58,20,0,0,20.0,0.3448275862068966
