Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
MLG59,2,6,MLG59,71,17,1,11,1027.5175915956497,14.472078754868306
1-8285,7,16,1-8285,72,9,1,7,1015.6930128335953,14.1068474004666
MLG38,7,14,MLG38,77,13,1,16,1028.2983150482178,13.354523572054775
1-7897,8,16,1-7897,95,12,1,5,1016.780723452568,10.702954983711242
1-18028,7,14,1-18028,309,99,1,65,1161.1494048833847,3.7577650643475233
MLG56,2,6,MLG56,511,56,1,31,1085.640485405922,2.124541067330571
1-8529,13,12,1-8529,56,5,0,51,53.76337921619415,0.9600603431463242
1-18202,1,7,1-18202,23,22,0,0,22.0,0.9565217391304348
1-6227,18,22,1-6227,52,1,0,49,47.85108983516693,0.9202132660609025
1-3589,20,2,1-3589,27,11,0,14,24.38602566719055,0.9031861358218722
1-0008,10,9,1-0008,230,121,0,79,196.53543055057526,0.8545018719590228
1-1580,13,12,1-1580,400,41,0,287,315.4135261774063,0.7885338154435158
1-8400,21,13,1-8400,33,17,0,7,23.693012833595276,0.7179700858665236
1-8398,14,11,1-8398,54,1,0,39,38.28964293003082,0.7090674616672374
1-5803,9,17,1-5803,15,0,0,11,10.51759159564972,0.7011727730433146
1-3108,18,22,1-3108,18,1,0,12,12.47373628616333,0.6929853492312961
1-9034,7,14,1-9034,3,2,0,0,2.0,0.6666666666666666
1-1989,21,13,1-1989,46,12,0,19,30.166749119758606,0.6557988939077958
1-3587,14,11,1-3587,46,17,0,13,29.42988097667694,0.6397800212321074
1-4531,20,2,1-4531,94,31,0,29,58.728196024894714,0.6247680428180289
P-16616,3,5,P-16616,28,6,0,11,16.51759159564972,0.5899139855589185
1-8544,1,7,1-8544,54,0,0,33,31.552774786949158,0.5843106442027621
1-8573,22,10,1-8573,184,92,0,16,107.29831504821777,0.583143016566401
1-6228,5,4,1-6228,48,3,0,26,27.859761953353882,0.5804117073615392
MLG67,21,13,MLG67,27,7,0,9,15.605302214622498,0.5779741560971295
MLG60,14,11,MLG60,47,8,0,20,27.122893810272217,0.5770828470270685
MLG45,21,13,MLG45,70,20,0,21,40.07903850078583,0.572557692868369
1-1350,21,13,1-1350,195,42,0,71,109.88627302646637,0.5635193488536737
1-2423,16,9,1-2423,79,10,0,36,44.42120885848999,0.5622937830188607
1-9667,16,9,1-9667,14,5,0,3,7.8684340715408325,0.5620310051100594
1-7268,21,13,1-7268,70,3,0,38,39.33349823951721,0.5619071177073888
1-8066,16,9,1-8066,86,3,0,47,47.93880045413971,0.5574279122574385
1-8627,14,11,1-8627,25,5,0,9,13.605302214622498,0.5442120885848999
1-9076,9,17,1-9076,9,0,0,5,4.780723452568054,0.5311914947297838
MLG46,9,17,MLG46,17,1,0,8,8.649157524108887,0.5087739720064051
1-9495,20,2,1-9495,18,9,0,0,9.0,0.5
1-4847,19,21,1-4847,2,1,0,0,1.0,0.5
1-9455,4,3,1-9455,2,1,0,0,1.0,0.5
1-5913,8,16,1-5913,14,7,0,0,7.0,0.5
1-9491,21,13,1-9491,80,16,0,25,39.90361726284027,0.4987952157855034
MLG75,9,17,MLG75,185,27,0,68,92.01783895492554,0.49739372408067856
1-1770,11,20,1-1770,35,4,0,14,17.38602566719055,0.4967435904911586
1-9946,7,14,1-9946,12,5,0,1,5.956144690513611,0.4963453908761342
1-3083,5,4,1-3083,78,8,0,32,38.59663009643555,0.4948285909799429
1-11329,21,13,1-11329,14,5,0,2,6.912289381027222,0.4937349557876587
1-9277,20,2,1-9277,48,8,0,16,23.298315048217773,0.48538156350453693
MLG42,11,20,MLG42,14,2,0,5,6.780723452568054,0.48433738946914673
1-4494,9,17,1-4494,16,2,0,6,7.736868143081665,0.48355425894260406
72-11994,4,3,72-11994,8,1,0,3,3.8684340715408325,0.48355425894260406
1-13247,11,20,1-13247,29,13,0,1,13.95614469051361,0.48124636863840037
1-5002,3,5,1-5002,45,13,0,9,21.605302214622498,0.48011782699161104
MLG40,9,16,MLG40,51,13,0,12,24.47373628616333,0.47987718208163394
1-8532,12,19,1-8532,4,0,0,2,1.9122893810272217,0.4780723452568054
1-19567,9,17,1-19567,2,0,0,1,0.9561446905136108,0.4780723452568054
1-6028,22,24,1-6028,2,0,0,1,0.9561446905136108,0.4780723452568054
MLG44,8,16,MLG44,59,22,0,6,27.736868143081665,0.470116409204774
1-5515,3,5,1-5515,29,5,0,9,13.605302214622498,0.469148352228362
MLG63,8,16,MLG63,380,114,0,67,178.06169426441193,0.46858340595897874
1-6532,11,20,1-6532,27,4,0,9,12.605302214622498,0.46686304498601844
1-8705,21,13,1-8705,48,9,0,14,22.38602566719055,0.4663755347331365
1-1177,17,1,1-1177,17,6,0,2,7.912289381027222,0.46542878711924834
1-19222,19,21,1-19222,15,6,0,1,6.956144690513611,0.4637429793675741
1-9938,6,15,1-9938,55,11,0,15,25.342170357704163,0.46076673377643934
1-8493,1,7,1-8493,38,0,0,18,17.210604429244995,0.4529106428748683
