Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
MLG59,2,2,MLG59,71,16,1,11,1026.5019110441208,14.457773394987617
1-8285,7,4,1-8285,72,14,1,8,1021.6377534866333,14.189413242869907
MLG38,7,7,MLG38,77,8,1,18,1025.184945344925,13.31409019928474
MLG51,5,4,MLG51,248,11,1,71,1078.7850621938705,4.349939766910769
1-18028,7,7,1-18028,309,4,1,96,1095.6530418395996,3.5458027243999988
MLG56,2,2,MLG56,511,55,1,31,1084.596294760704,2.1224976414103796
1-1580,13,9,1-1580,400,42,0,287,316.00440633296967,0.7900110158324242
1-3587,14,10,1-3587,46,17,0,13,29.411349415779114,0.6393771612125895
1-6858,9,17,1-6858,23,3,0,12,14.456630229949951,0.6285491404326066
1-0008,10,10,1-0008,230,134,0,4,137.81887674331665,0.5992125075796376
MLG60,14,10,MLG60,47,9,0,20,28.094383716583252,0.5977528450336862
1-1989,21,8,1-1989,46,12,0,14,25.366068601608276,0.551436273948006
1-8627,14,10,1-8627,25,5,0,9,13.592472672462463,0.5436989068984985
1-9277,20,5,1-9277,48,16,0,10,25.547191858291626,0.5322331637144089
1-8573,22,11,1-8573,184,92,0,2,93.90943837165833,0.5103773824546648
P-16616,3,11,P-16616,28,12,0,2,13.909438371658325,0.4967656561306545
1-9946,7,7,1-9946,12,5,0,1,5.954719185829163,0.49622659881909686
1-1770,11,20,1-1770,35,4,0,14,17.366068601608276,0.4961733886173793
1-3083,5,4,1-3083,78,8,0,32,38.5510139465332,0.4942437685452975
1-9667,16,12,1-9667,14,5,0,2,6.909438371658325,0.4935313122613089
1-7005,20,6,1-7005,285,18,0,128,140.2040557861328,0.4919440553899397
MLG44,8,16,MLG44,59,7,0,23,28.95854127407074,0.4908227334588261
1-8066,16,12,1-8066,86,3,0,41,42.14348661899567,0.49004054208134495
MLG42,11,20,MLG42,14,2,0,5,6.773595929145813,0.4838282806532724
1-4494,9,17,1-4494,16,2,0,6,7.728315114974976,0.483019694685936
1-13247,11,20,1-13247,29,13,0,1,13.954719185829163,0.48119721330445386
1-18613,17,15,1-18613,25,12,0,0,12.0,0.48
1-5002,3,3,1-5002,45,13,0,9,21.592472672462463,0.4798327260547214
1-8532,12,19,1-8532,4,0,0,2,1.9094383716583252,0.4773595929145813
1-6028,22,24,1-6028,2,0,0,1,0.9547191858291626,0.4773595929145813
1-19567,9,17,1-19567,2,0,0,1,0.9547191858291626,0.4773595929145813
MLG40,9,16,MLG40,51,6,0,19,24.13966453075409,0.47332675550498216
1-5515,3,3,1-5515,29,3,0,11,13.501911044120789,0.465583139452441
1-1177,17,15,1-1177,17,6,0,2,7.909438371658325,0.4652610806857838
1-19222,19,21,1-19222,15,6,0,1,6.954719185829163,0.4636479457219442
MLG45,21,8,MLG45,70,20,0,13,32.411349415779114,0.46301927736827303
1-4531,20,6,1-4531,94,8,0,37,43.324609875679016,0.46090010506041507
1-7614,8,16,1-7614,72,28,0,5,32.77359592914581,0.4551888323492474
1-9500,17,15,1-9500,33,12,0,3,14.864157557487488,0.45042901689356024
MLG68,15,11,MLG68,642,59,0,241,289.0873237848282,0.45029178159630556
1-5891,15,11,1-5891,96,8,0,36,42.36989068984985,0.4413530280192693
1-9491,21,8,1-9491,80,16,0,20,35.09438371658325,0.43867979645729066
MLG67,21,8,MLG67,27,7,0,5,11.773595929145813,0.43605910848688195
MLG29,9,17,MLG29,164,19,0,54,70.55483603477478,0.43021241484618766
1-2297,6,14,1-2297,25,4,0,7,10.683034300804138,0.4273213720321655
1-11329,21,8,1-11329,14,5,0,1,5.954719185829163,0.42533708470208303
MLG43,7,7,MLG43,14,5,0,1,5.954719185829163,0.42533708470208303
