Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
MLG45,21,19,MLG45,70,6,1,9,1011.1096537709236,14.444423625298908
MLG59,2,2,MLG59,71,12,1,11,1018.2451323866844,14.341480737840625
1-8285,7,19,1-8285,72,5,1,15,1013.516089618206,14.076612355808416
MLG38,7,13,MLG38,77,11,1,15,1019.516089618206,13.240468696340338
1-18028,7,13,1-18028,309,83,1,17,1092.6515682339668,3.536089217585653
MLG56,2,2,MLG56,511,74,1,31,1091.5999185442924,2.1362033631003765
1-7682,7,13,1-7682,141,41,0,89,91.52879840135574,0.6491404141940124
1-0008,10,6,1-0008,230,123,0,37,144.00635439157486,0.626114584311195
1-8573,22,7,1-8573,184,94,0,20,105.35478615760803,0.5725803595522175
MLG48,18,16,MLG48,159,56,0,56,87.79340124130249,0.5521597562346069
1-9379,19,17,1-9379,58,17,0,21,28.922525465488434,0.4986642321635937
1-6611,3,5,1-6611,89,33,0,20,44.35478615760803,0.4983683837933487
1-3587,14,8,1-3587,46,17,0,9,22.109653770923615,0.48064464719399164
1-1580,13,9,1-1580,400,29,0,287,191.94118136167526,0.47985295340418815
MLG44,8,14,MLG44,59,10,0,31,27.59991854429245,0.4677952295642788
1-1833,12,10,1-1833,124,8,0,88,57.96105909347534,0.46742789591512374
1-2423,16,6,1-2423,79,14,0,40,36.709572315216064,0.46467813057235524
1-7024,17,15,1-7024,498,97,0,213,217.92847257852554,0.4376073746556738
MLG40,9,14,MLG40,51,10,0,20,21.354786157608032,0.4187212972080006
1-8398,14,8,1-8398,54,1,0,38,22.57409369945526,0.4180387722121345
1-5002,3,5,1-5002,45,15,0,6,18.40643584728241,0.4090319077173869
1-1224,6,12,1-1224,151,11,0,89,61.52879840135574,0.40747548610169365
1-18377,4,3,1-18377,14,4,0,3,5.703217923641205,0.4073727088315146
1-13247,11,11,1-13247,29,1,0,19,11.78704684972763,0.40644989136991827
1-2382,7,13,1-2382,139,45,0,20,56.35478615760803,0.4054301162417844
1-8627,14,8,1-8627,25,5,0,9,10.109653770923615,0.40438615083694457
1-9995,16,6,1-9995,24,9,0,1,9.567739307880402,0.39865580449501675
MLG64,8,14,MLG64,245,73,0,41,96.27731162309647,0.3929686188697815
1-8767,7,13,1-8767,48,0,0,33,18.735397160053253,0.3903207741677761
1-5799,4,3,1-5799,7,1,0,3,2.703217923641205,0.38617398909160067
1-5981,5,4,1-5981,28,4,0,12,10.81287169456482,0.38617398909160067
1-17907,3,5,1-17907,119,31,0,25,45.19348269701004,0.37977716552109275
1-5355,18,16,1-5355,53,9,0,19,19.78704684972763,0.37334050659863455
MLG60,14,8,MLG60,47,9,0,15,17.516089618206024,0.3726827578341707
1-8067,6,12,1-8067,322,61,0,103,119.47714871168137,0.3710470456884514
MLG50,11,11,MLG50,319,73,0,78,117.28366601467133,0.3676603950303176
MLG55,11,11,MLG55,92,23,0,19,33.78704684972763,0.3672505092361699
MLG39,11,11,MLG39,23,5,0,6,8.40643584728241,0.3654972107514091
1-9156,12,10,1-9156,268,37,0,107,97.74810594320297,0.36473173859404096
1-6927,19,17,1-6927,179,37,0,49,64.81922608613968,0.36211858148681386
1-5891,15,7,1-5891,96,8,0,47,34.683747470378876,0.36128903614978
1-18994,11,11,1-18994,28,10,0,0,10.0,0.35714285714285715
MLG68,15,7,MLG68,642,60,0,295,227.48309582471848,0.3543350402254182
1-1317,6,12,1-1317,414,98,0,84,145.69010186195374,0.35190845860375297
MLG63,8,14,MLG63,380,31,0,178,132.0575968027115,0.3475199915860829
1-6561,18,16,1-6561,65,15,0,13,22.38061100244522,0.3443170923453111
1-7842,12,8,1-7842,21,6,0,2,7.135478615760803,0.33978469598860966
1-5515,3,5,1-5515,29,7,0,5,9.838696539402008,0.33926539791041405
1-3596,7,13,1-3596,223,48,0,48,75.25148677825928,0.33745061335542276
MLG62,7,13,MLG62,525,25,0,268,177.15413451194763,0.3374364466894241
1-9850,11,11,1-9850,27,9,0,0,9.0,0.3333333333333333
1-6543,14,8,1-6543,12,4,0,0,4.0,0.3333333333333333
1-0292,19,17,1-0292,99,13,0,35,32.870875775814056,0.332029048240546
1-9938,6,12,1-9938,55,12,0,11,18.245132386684418,0.3317296797578985
1-7993,22,21,1-7993,24,0,0,14,7.948350310325623,0.33118126293023425
1-18615,11,11,1-18615,22,5,0,4,7.2709572315216064,0.3304980559782548
1-1258,17,15,1-1258,435,72,0,125,142.9674134850502,0.32866072065528784
1-3535,12,10,1-3535,315,46,0,101,103.34167009592056,0.32806879395530336
1-10696,10,23,1-10696,24,1,0,12,7.812871694564819,0.3255363206068675
1-9855,16,6,1-9855,8,2,0,1,2.5677393078804016,0.3209674134850502
1-8529,13,9,1-8529,56,2,0,28,17.896700620651245,0.3195839396544865
1-5425,5,4,1-5425,17,2,0,6,5.40643584728241,0.3180256380754359
1-1390,19,17,1-1390,98,15,0,28,30.896700620651245,0.3152724553127678
72-12171,4,3,72-12171,19,2,0,7,5.974175155162811,0.31443027132435847
1-1770,11,11,1-1770,35,7,0,7,10.974175155162811,0.31354786157608033
1-2297,6,12,1-2297,25,5,0,5,7.838696539402008,0.31354786157608033
1-9491,21,19,1-9491,80,8,0,30,25.03217923641205,0.3129022404551506
1-9645,2,5,1-9645,69,10,0,20,21.354786157608032,0.3094896544580874
1-4319,6,12,1-4319,163,33,0,28,48.896700620651245,0.29997975840890334
1-8066,16,6,1-8066,86,7,0,33,25.735397160053253,0.2992488041866657
1-2282,7,13,1-2282,219,40,0,43,64.41279023885727,0.29412232985779574
