Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
MLG59,2,6,MLG59,71,16,1,11,1025.6269656419754,14.445450220309512
1-8285,7,18,1-8285,72,8,1,2,1009.7503573894501,14.024310519297918
MLG38,7,18,MLG38,77,11,1,11,1020.6269656419754,13.254895657687992
1-3596,7,18,1-3596,223,49,1,26,1071.754646062851,4.806074646021753
1-18028,7,18,1-18028,309,83,1,9,1090.8766082525253,3.530345010525972
MLG56,2,6,MLG56,511,57,1,31,1084.1305395364761,2.1215861830459417
1-1580,13,12,1-1580,400,29,0,287,280.1762853860855,0.7004407134652137
1-0008,10,15,1-0008,230,121,0,42,157.75750517845154,0.6859021964280502
1-4531,20,2,1-4531,94,31,0,29,56.38018214702606,0.599789171776873
MLG49,10,21,MLG49,185,77,0,38,110.25679039955139,0.5959826508083859
1-8573,22,14,1-8573,184,92,0,16,106.00285911560059,0.5761024951934814
1-1390,19,18,1-1390,98,47,0,10,55.751786947250366,0.5688957851760241
1-3587,14,13,1-3587,46,17,0,10,25.751786947250366,0.5598214553750079
1-8267,22,9,1-8267,133,7,0,74,71.76322340965271,0.5395731083432534
1-1570,21,22,1-1570,142,62,0,16,76.00285911560059,0.5352314022225393
1-8627,14,13,1-8627,25,5,0,9,12.87660825252533,0.5150643301010132
1-8067,6,17,1-8067,322,55,0,124,163.52215814590454,0.5078327892729955
1-9938,6,17,1-9938,55,7,0,23,27.129109978675842,0.4932565450668335
1-5002,3,5,1-5002,45,13,0,10,21.751786947250366,0.48337304327223035
1-9277,20,2,1-9277,48,9,0,16,23.002859115600586,0.4792262315750122
1-10762,11,10,1-10762,6,2,0,1,2.8751786947250366,0.4791964491208394
1-8529,13,12,1-8529,56,2,0,28,26.505003452301025,0.473303633076804
1-5913,8,19,1-5913,14,4,0,3,6.62553608417511,0.4732525774410793
1-6858,9,20,1-6858,23,3,0,9,10.87660825252533,0.4728960109793622
MLG63,8,19,MLG63,380,52,0,142,176.2753746509552,0.4638825648709347
1-9379,19,23,1-9379,58,19,0,9,26.87660825252533,0.4633897974573333
1-3083,5,4,1-3083,78,8,0,32,36.00571823120117,0.4616117721948868
1-6692,10,21,1-6692,71,22,0,12,32.50214433670044,0.45777668079859773
1-9270,18,22,1-9270,128,17,0,47,58.13339865207672,0.4541671769693494
72-11994,4,3,72-11994,8,1,0,3,3.62553608417511,0.45319201052188873
1-6878,22,9,1-6878,167,38,0,43,75.63268387317657,0.4528903225938717
1-7752,22,9,1-7752,29,0,0,15,13.12768042087555,0.45267863520260515
1-8066,16,15,1-8066,86,3,0,41,38.8823264837265,0.45212007539216864
MLG60,14,13,MLG60,47,8,0,15,21.12768042087555,0.44952511533777767
1-1317,6,17,1-1317,414,86,0,109,181.394477725029,0.4381509123792971
1-6028,22,9,1-6028,2,0,0,1,0.8751786947250366,0.4375893473625183
1-9643,7,18,1-9643,8,0,0,4,3.5007147789001465,0.4375893473625183
1-9650,4,3,1-9650,25,9,0,2,10.750357389450073,0.4300142955780029
MLG40,9,19,MLG40,51,6,0,18,21.75321650505066,0.42653365696177764
MLG44,8,19,MLG44,59,5,0,23,25.129109978675842,0.4259171182826414
1-7530,10,3,1-7530,25,7,0,4,10.500714778900146,0.4200285911560059
MLG68,15,14,MLG68,642,59,0,240,269.0428867340088,0.41906991703116636
1-1957,12,11,1-1957,47,8,0,13,19.377323031425476,0.4122834687537335
1-5891,15,14,1-5891,96,8,0,36,39.50643301010132,0.41152534385522205
1-9156,12,11,1-9156,268,38,0,80,108.01429557800293,0.4030384163358318
P-16616,3,22,P-16616,28,6,0,6,11.25107216835022,0.40182400601250784
1-7496,4,20,1-7496,246,48,0,58,98.76036429405212,0.40146489550427694
1-7496,9,20,1-7496,246,48,0,58,98.76036429405212,0.40146489550427694
1-2382,7,18,1-2382,139,45,0,12,55.50214433670044,0.39929600242230534
MLG58,10,21,MLG58,71,15,0,15,28.12768042087555,0.39616451297007815
1-7845,10,21,1-7845,36,2,0,14,14.252501726150513,0.3959028257264031
1-10539,21,24,1-10539,63,3,0,25,24.879467368125916,0.3949121804464431
1-8646,1,7,1-8646,20,0,0,9,7.87660825252533,0.3938304126262665
1-6734,18,22,1-6734,44,5,0,14,17.252501726150513,0.3921023119579662
1-5172,8,22,1-5172,120,19,0,32,47.00571823120117,0.3917143185933431
1-3139,20,2,1-3139,93,23,0,14,35.25250172615051,0.3790591583457044
1-9394,12,11,1-9394,117,18,0,30,44.2553608417511,0.378250947365394
1-11329,21,24,1-11329,14,0,0,6,5.25107216835022,0.37507658345358713
1-9946,7,18,1-9946,12,1,0,4,4.5007147789001465,0.3750595649083455
1-1769,6,17,1-1769,89,8,0,29,33.38018214702606,0.37505822637107933
1-5515,3,5,1-5515,29,3,0,9,10.87660825252533,0.3750554569836321
1-6611,3,5,1-6611,89,15,0,21,33.37875258922577,0.37504216392388506
1-9836,17,1,1-9836,5,1,0,1,1.8751786947250366,0.3750357389450073
MLG39,11,10,MLG39,23,6,0,3,8.62553608417511,0.37502330800761347
1-17907,3,5,1-17907,119,12,0,37,44.381611704826355,0.37295472020862486
1-5626,18,19,1-5626,125,20,0,30,46.2553608417511,0.3700428867340088
1-5163,20,2,1-5163,16,5,0,1,5.875178694725037,0.3671986684203148
1-9971,14,13,1-9971,15,2,0,4,5.5007147789001465,0.3667143185933431
1-7744,18,22,1-7744,37,3,0,12,13.50214433670044,0.3649228199108227
MLG73,9,20,MLG73,10,1,0,3,3.62553608417511,0.362553608417511
1-4929,1,7,1-4929,10,1,0,3,3.62553608417511,0.362553608417511
MLG29,9,20,MLG29,164,19,0,46,59.258219957351685,0.36133060949604684
MLG50,11,10,MLG50,319,64,0,58,114.76036429405212,0.35975035828856466
1-6181,16,15,1-6181,659,40,0,224,236.0400276184082,0.358179101090149
1-1131,3,5,1-1131,138,12,0,42,48.75750517845154,0.3533152549163155
1-7682,7,18,1-7682,141,41,0,10,49.751786947250366,0.3528495528173785
1-9457,4,3,1-9457,11,3,0,1,3.8751786947250366,0.3522889722477306
1-7152,22,9,1-7152,109,5,0,38,38.25679039955139,0.3509797284362513
1-10232,1,7,1-10232,5,0,0,2,1.7503573894500732,0.35007147789001464
1-8488,22,9,1-8488,23,1,0,8,8.001429557800293,0.347888241643491
1-9227,4,3,1-9227,801,67,0,241,277.9180654287338,0.3469638769397426
1-18615,11,10,1-18615,22,5,0,3,7.62553608417511,0.34661527655341406
1-9496,1,7,1-9496,39,3,0,12,13.50214433670044,0.34620882914616513
1-9963,18,22,1-9963,116,13,0,31,40.130539536476135,0.3459529270385874
1-8910,3,5,1-8910,137,15,0,37,47.381611704826355,0.3458511803271997
1-8826,22,9,1-8826,123,11,0,36,42.50643301010132,0.34558075617968553
1-6927,19,23,1-6927,179,38,0,27,61.62982475757599,0.3443006969696983
1-8023,5,4,1-8023,16,2,0,4,5.5007147789001465,0.34379467368125916
1-7614,8,19,1-7614,72,23,0,2,24.750357389450073,0.34375496374236214
1-9110,20,2,1-9110,29,9,0,1,9.875178694725037,0.3405234032663806
1-3087,11,10,1-3087,26,7,0,2,8.750357389450073,0.3365522072865413
1-2034,1,7,1-2034,16,1,0,5,5.375893473625183,0.33599334210157394
1-3176,4,3,1-3176,3,1,0,0,1.0,0.3333333333333333
1-6543,14,13,1-6543,12,4,0,0,4.0,0.3333333333333333
MLG32,10,21,MLG32,52,12,0,6,17.25107216835022,0.3317513878528888
1-2400,22,9,1-2400,49,4,0,14,16.252501726150513,0.33168370869694924
1-3312,22,9,1-3312,36,4,0,9,11.87660825252533,0.32990578479237026
1-3516,22,9,1-3516,156,5,0,53,51.38447082042694,0.32938763346427524
1-3589,20,23,1-3589,27,1,0,9,8.87660825252533,0.32876326861204924
1-9997,9,20,1-9997,16,0,0,6,5.25107216835022,0.32819201052188873
1-9861,22,9,1-9861,8,0,0,3,2.62553608417511,0.32819201052188873
1-4098,3,5,1-4098,16,0,0,6,5.25107216835022,0.32819201052188873
1-0278,10,21,1-0278,79,11,0,17,25.878037810325623,0.3275700988648813
1-6296,16,15,1-6296,254,19,0,73,82.88804471492767,0.32633088470443966
