Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
MLG59,2,7,MLG59,71,16,1,11,1025.6420043110847,14.445662032550489
1-8285,7,19,1-8285,72,10,1,12,1020.518550157547,14.173868752188152
MLG38,7,2,MLG38,77,11,1,5,1015.3827292323112,13.186788691328717
1-7897,8,19,1-7897,95,8,1,5,1012.3827292323112,10.65666030770854
1-18028,7,2,1-18028,309,82,1,62,1136.3458424806595,3.6774946358597393
MLG56,2,7,MLG56,511,56,1,31,1083.1729212403297,2.11971217463861
1-1580,13,14,1-1580,400,29,0,287,280.5686579346657,0.7014216448366642
1-8573,22,12,1-8573,184,92,0,40,127.06183385848999,0.6905534448830978
1-0008,10,11,1-0008,230,133,0,0,133.0,0.5782608695652174
1-3587,14,13,1-3587,46,18,0,9,25.888912618160248,0.562802448220875
1-3217,8,19,1-3217,5,1,0,2,2.7530916929244995,0.5506183385849
1-1989,21,22,1-1989,46,20,0,6,25.2592750787735,0.5491146756255109
1-10785,17,10,1-10785,279,88,0,71,150.23475509881973,0.5384758247269524
1-4929,1,8,1-4929,10,1,0,5,5.382729232311249,0.5382729232311249
1-0003,12,15,1-0003,17,3,0,7,9.135820925235748,0.5374012308962205
1-6228,5,5,1-6228,48,3,0,26,25.790192008018494,0.5372956668337187
1-5744,11,16,1-5744,18,0,0,11,9.642004311084747,0.5356669061713748
1-9277,20,4,1-9277,48,16,0,10,24.765458464622498,0.515947051346302
1-8627,14,13,1-8627,25,5,0,9,12.888912618160248,0.5155565047264099
1-7614,8,19,1-7614,72,30,0,8,37.012366771698,0.5140606496069167
1-5891,15,12,1-5891,96,8,0,47,49.19765478372574,0.5124755706638098
1-11329,21,22,1-11329,14,0,0,8,7.012366771697998,0.5008833408355713
1-9495,20,3,1-9495,18,9,0,0,9.0,0.5
1-7608,7,2,1-7608,4,2,0,0,2.0,0.5
1-9491,21,22,1-9491,80,9,0,35,39.67910462617874,0.49598880782723426
MLG68,15,12,MLG68,642,59,0,295,317.5810247063637,0.49467449331209296
1-7496,4,18,1-7496,246,48,0,84,121.62985110282898,0.49443028903589015
1-5355,18,20,1-5355,53,19,0,8,26.012366771697998,0.4907993730509056
MLG60,14,13,MLG60,47,9,0,16,23.024733543395996,0.4898879477318297
1-9650,4,4,1-9650,25,6,0,7,12.135820925235748,0.4854328370094299
1-6734,18,20,1-6734,44,9,0,14,21.271641850471497,0.483446405692534
1-9630,18,20,1-9630,33,8,0,9,15.888912618160248,0.48148220055031055
1-8578,4,4,1-8578,11,0,0,6,5.2592750787734985,0.47811591625213623
1-9270,18,20,1-9270,128,20,0,47,61.19765478372574,0.47810667799785733
1-8529,13,14,1-8529,56,2,0,28,26.543283700942993,0.4739872089454106
1-1390,19,21,1-1390,98,34,0,14,46.2716418504715,0.4721596107190969
1-5002,3,6,1-5002,45,13,0,9,20.888912618160248,0.46419805818133886
1-7005,20,3,1-7005,285,17,0,131,131.82750588655472,0.4625526522335253
1-3083,5,5,1-3083,78,8,0,32,36.04946708679199,0.4621726549588717
1-7441,17,10,1-7441,111,9,0,48,51.07420063018799,0.4601279336052972
1-7496,9,18,1-7496,246,46,0,76,112.61748433113098,0.45779465175256495
1-10539,21,22,1-10539,63,3,0,29,28.419829547405243,0.4511084055143689
1-19568,1,8,1-19568,2,0,0,1,0.8765458464622498,0.4382729232311249
1-9379,19,21,1-9379,58,20,0,6,25.2592750787735,0.43550474273747414
1-6858,9,18,1-6858,23,3,0,8,10.012366771697998,0.4353202944216521
