Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
MLG45,21,24,MLG45,70,6,1,3,1006.0015084855258,14.371450121221798
MLG59,2,2,MLG59,71,17,1,11,1017.0055311135948,14.324021564980209
1-8285,7,24,1-8285,72,5,1,6,1005.0030169710517,13.95837523570905
MLG38,7,10,MLG38,77,16,1,13,1016.006536770612,13.194890087930027
1-18028,7,10,1-18028,309,42,1,160,1042.0804525613785,3.3724286490659496
MLG56,2,2,MLG56,511,56,1,31,1056.015587683767,2.0665667077960217
1-0008,10,6,1-0008,230,106,0,37,106.01860465481877,0.46095045502095117
MLG44,8,11,MLG44,59,25,0,14,25.007039599120617,0.4238481287986545
MLG40,9,11,MLG40,51,17,0,11,17.00553111359477,0.3334417865410739
MLG63,8,11,MLG63,380,125,0,27,125.01357636973262,0.3289830957098227
1-9379,19,22,1-9379,58,17,0,10,17.005028285086155,0.293190142846313
1-5002,3,3,1-5002,45,13,0,9,13.00452545657754,0.288989454590612
1-3523,13,9,1-3523,543,156,0,61,156.03067253902555,0.28734930486008387
1-4417,16,6,1-4417,151,43,0,25,43.01257071271539,0.28485146167361186
1-9227,4,5,1-9227,801,227,0,111,227.05581396445632,0.28346543566099414
1-8067,6,12,1-8067,322,90,0,27,90.01357636973262,0.2795452682289833
MLG13,4,5,MLG13,140,39,0,27,39.01357636973262,0.2786684026409473
MLG39,11,16,MLG39,23,6,0,0,6.0,0.2608695652173913
1-5531,11,16,1-5531,8,2,0,0,2.0,0.25
1-7608,7,10,1-7608,4,1,0,0,1.0,0.25
1-7682,7,10,1-7682,141,34,0,63,34.031678196042776,0.2413594198300906
1-2297,6,12,1-2297,25,6,0,2,6.001005657017231,0.24004022628068925
MLG58,10,18,MLG58,71,17,0,5,17.002514142543077,0.23947203017666308
1-3587,14,8,1-3587,46,11,0,10,11.005028285086155,0.23923974532795989
1-18558,15,7,1-18558,307,73,0,37,73.01860465481877,0.23784561776813934
1-5282,10,18,1-5282,17,4,0,0,4.0,0.23529411764705882
1-2103,10,18,1-2103,26,6,0,1,6.0005028285086155,0.23078857032725444
1-1770,11,16,1-1770,35,8,0,2,8.001005657017231,0.22860016162906374
1-6878,22,15,1-6878,167,38,0,39,38.019610311836004,0.2276623371966228
1-9892,11,16,1-9892,22,5,0,0,5.0,0.22727272727272727
1-8172,4,5,1-8172,40,9,0,15,9.007542427629232,0.22518856069073082
1-4355,13,9,1-4355,49,11,0,7,11.003519799560308,0.22456162856245526
1-9417,6,12,1-9417,76,17,0,4,17.002011314034462,0.22371067518466398
MLG14,19,22,MLG14,232,51,0,19,51.009553741663694,0.21986876612786074
1-7866,11,16,1-7866,318,69,0,64,69.03218102455139,0.2170823302658849
1-4020,2,2,1-4020,37,8,0,0,8.0,0.21621621621621623
1-9674,6,12,1-9674,144,31,0,6,31.003016971051693,0.21529872896563676
1-5913,8,11,1-5913,14,3,0,6,3.003016971051693,0.21450121221797808
P-16616,3,3,P-16616,28,6,0,11,6.00553111359477,0.2144832540569561
1-18994,11,16,1-18994,28,6,0,2,6.001005657017231,0.21432163060775825
MLG42,11,16,MLG42,14,3,0,1,3.0005028285086155,0.21432163060775825
1-7839,6,11,1-7839,24,5,0,5,5.0025141425430775,0.20843808927262822
1-6927,19,22,1-6927,179,37,0,19,37.009553741663694,0.20675728347298153
1-9610,12,17,1-9610,49,10,0,5,10.002514142543077,0.2041329416845526
MLG65,8,11,MLG65,201,41,0,31,41.01558768376708,0.20405765016799543
1-2382,7,10,1-2382,139,28,0,78,28.03922062367201,0.20172101168109358
MLG50,11,16,MLG50,319,64,0,24,64.01206788420677,0.20066478960566386
1-8627,14,8,1-8627,25,5,0,10,5.005028285086155,0.2002011314034462
1-9650,4,5,1-9650,25,5,0,2,5.001005657017231,0.20004022628068924
1-2545,15,7,1-2545,145,29,0,6,29.003016971051693,0.20002080669690822
1-8634,6,12,1-8634,10,2,0,0,2.0,0.2
1-5424,20,23,1-5424,5,1,0,0,1.0,0.2
1-7005,20,23,1-7005,285,56,0,43,56.021621625870466,0.1965670934241069
1-9452,22,15,1-9452,16,3,0,7,3.0035197995603085,0.18771998747251928
