Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
MLG59,2,2,MLG59,71,17,1,11,1023.7293300628662,14.418722958631918
MLG38,7,7,MLG38,77,11,1,5,1014.0587863922119,13.169594628470284
1-18028,7,7,1-18028,309,82,1,61,1119.3171939849854,3.6223857410517324
MLG56,2,2,MLG56,511,56,1,31,1074.9644756317139,2.103648680296896
1-1989,21,17,1-1989,46,26,0,6,29.670543670654297,0.6450118189272673
1-0008,10,12,1-0008,230,134,0,12,141.3410873413086,0.6145264667013417
1-3587,14,12,1-3587,46,18,0,14,26.56460189819336,0.5774913456128992
1-1580,13,13,1-1580,400,55,0,277,224.45676612854004,0.56114191532135
1-9379,19,16,1-9379,58,18,0,21,30.84690284729004,0.5318431525394834
1-7268,21,17,1-7268,70,27,0,15,36.17635917663574,0.5168051310947963
1-8573,22,11,1-8573,184,92,0,2,93.22351455688477,0.5066495356352433
MLG60,14,12,MLG60,47,8,0,23,22.070417404174805,0.4695833490249958
1-9277,20,6,1-9277,48,9,0,21,21.84690284729004,0.4551438093185425
P-16616,3,3,P-16616,28,6,0,11,12.729330062866211,0.4546189308166504
1-8627,14,12,1-8627,25,5,0,10,11.117572784423828,0.4447029113769531
1-1390,19,16,1-1390,98,34,0,15,43.17635917663574,0.4405750936391402
MLG48,18,15,MLG48,159,56,0,21,68.84690284729004,0.4329993889766669
1-1258,17,14,1-1258,435,93,0,155,187.82237815856934,0.4317755819737226
1-6927,19,16,1-6927,179,42,0,53,74.42313575744629,0.415771708142158
1-3523,13,13,1-3523,543,168,0,92,224.28166961669922,0.4130417488337002
1-5002,3,3,1-5002,45,13,0,9,18.505815505981445,0.41124034457736547
1-0292,19,16,1-0292,99,19,0,35,40.4115047454834,0.40819701763114546
1-10539,21,17,1-10539,63,9,0,27,25.517446517944336,0.40503883361816406
1-7004,14,12,1-7004,381,54,0,162,153.10467910766602,0.40184955146369034
1-9938,6,8,1-9938,55,6,0,26,21.905689239501953,0.3982852589000355
1-6228,5,4,1-6228,48,3,0,26,18.905689239501953,0.39386852582295734
1-18613,17,14,1-18613,25,8,0,3,9.835271835327148,0.39341087341308595
1-7496,4,18,1-7496,246,58,0,58,93.4819221496582,0.38000781361649677
1-7122,21,17,1-7122,197,23,0,83,73.77585411071777,0.37449672137420187
1-0303,17,14,1-0303,212,60,0,31,78.96447563171387,0.3724739416590277
1-1317,6,8,1-1317,414,84,0,110,151.2933006286621,0.36544275514169594
MLG67,21,17,MLG67,27,8,0,3,9.835271835327148,0.36426932723433886
1-5515,3,3,1-5515,29,5,0,9,10.505815505981445,0.36226950020625676
MLG43,7,7,MLG43,14,5,0,0,5.0,0.35714285714285715
1-5355,18,15,1-5355,53,9,0,16,18.788116455078125,0.3544927633033608
1-17657,13,13,1-17657,8,1,0,3,2.8352718353271484,0.35440897941589355
1-3083,5,4,1-3083,78,8,0,32,27.57623291015625,0.3535414475661058
1-9491,21,17,1-9491,80,17,0,18,28.01163101196289,0.3501453876495361
1-8988,13,13,1-8988,29,4,0,10,10.117572784423828,0.3488818201525458
1-7005,20,6,1-7005,285,17,0,131,97.14020347595215,0.34084281921386717
MLG65,8,19,MLG65,201,23,0,74,68.27003860473633,0.33965193335689714
1-8578,4,5,1-8578,11,0,0,6,3.670543670654297,0.33368578824129974
1-6858,9,18,1-6858,23,4,0,6,7.670543670654297,0.33350189872409985
1-6543,14,12,1-6543,12,4,0,0,4.0,0.3333333333333333
1-3176,4,5,1-3176,3,1,0,0,1.0,0.3333333333333333
1-3589,20,16,1-3589,27,1,0,13,8.952844619750977,0.3315868377685547
1-9457,4,5,1-9457,11,3,0,1,3.611757278442383,0.3283415707674893
1-8066,16,10,1-8066,86,3,0,41,28.082048416137695,0.32653544669927553
1-1177,17,14,1-1177,17,0,0,9,5.505815505981445,0.32387150035184975
MLG75,9,18,MLG75,185,40,0,32,59.57623291015625,0.32203369140625
1-9887,13,13,1-9887,36,3,0,14,11.56460189819336,0.3212389416164822
MLG68,15,11,MLG68,642,59,0,240,205.82174682617188,0.3205946212245668
1-2382,7,7,1-2382,139,39,0,9,44.505815505981445,0.32018572306461474
MLG10,2,2,MLG10,60,10,0,15,19.176359176635742,0.3196059862772624
1-19229,21,17,1-19229,38,9,0,5,12.058786392211914,0.3173364840055767
1-6611,3,3,1-6611,89,15,0,21,27.84690284729004,0.3128865488459555
1-5891,15,11,1-5891,96,8,0,36,30.02326202392578,0.31274231274922687
1-3139,20,6,1-3139,93,10,0,31,28.964475631713867,0.3114459745345577
1-1204,13,13,1-1204,39,6,0,10,12.117572784423828,0.31070699447240585
1-7024,17,14,1-7024,498,129,0,41,154.0820484161377,0.30940170364686287
1-7608,7,7,1-7608,4,0,0,2,1.2235145568847656,0.3058786392211914
1-4355,13,13,1-4355,49,10,0,8,14.894058227539062,0.3039603719905931
1-4531,20,6,1-4531,94,8,0,33,28.187990188598633,0.2998722360489216
1-9630,18,15,1-9630,33,5,0,8,9.894058227539062,0.2998199462890625
1-17907,3,3,1-17907,119,13,0,37,35.635019302368164,0.29945394371737954
1-9971,14,12,1-9971,15,2,0,4,4.447029113769531,0.2964686075846354
MLG58,10,20,MLG58,71,13,0,13,20.952844619750977,0.29511048760212644
1-8341,20,6,1-8341,197,17,0,67,57.98773765563965,0.2943539982519779
1-7866,11,22,1-7866,318,27,0,106,91.84627151489258,0.2888247531914861
MLG40,9,19,MLG40,51,8,0,11,14.729330062866211,0.28881039338953357
1-6181,16,10,1-6181,659,48,0,232,189.9276885986328,0.2882059007566507
1-18004,14,12,1-18004,12,1,0,4,3.4470291137695312,0.28725242614746094
1-5172,8,15,1-5172,120,16,0,30,34.352718353271484,0.28627265294392906
1-5913,8,19,1-5913,14,4,0,0,4.0,0.2857142857142857
1-9995,16,10,1-9995,24,5,0,3,6.835271835327148,0.28480299313863117
1-0003,12,21,1-0003,17,3,0,3,4.835271835327148,0.284427755019244
MLG49,10,20,MLG49,185,44,0,14,52.56460189819336,0.28413298323347763
1-0027,9,18,1-0027,29,7,0,2,8.223514556884766,0.28356946747878503
1-9576,21,17,1-9576,10,1,0,3,2.8352718353271484,0.28352718353271483
1-7496,9,18,1-7496,246,34,0,58,69.4819221496582,0.28244683800674064
MLG45,21,17,MLG45,70,13,0,11,19.72933006286621,0.28184757232666013
MLG14,19,16,MLG14,232,50,0,25,65.29393196105957,0.28143936190111885
1-9270,18,15,1-9270,128,14,0,36,36.02326202392578,0.28143173456192017
1-1942,20,3,1-1942,34,4,0,9,9.505815505981445,0.27958280899945426
1-8023,5,4,1-8023,16,2,0,4,4.447029113769531,0.2779393196105957
1-9110,20,6,1-9110,29,5,0,5,8.058786392211914,0.2778891859383419
1-6561,18,15,1-6561,65,15,0,5,18.058786392211914,0.27782748295710635
1-3596,7,7,1-3596,223,49,0,21,61.84690284729004,0.2773403715125114
1-0129,18,15,1-0129,142,24,0,25,39.29393196105957,0.2767178307116871
1-4649,20,6,1-4649,244,9,0,95,67.11694145202637,0.27506943218043595
