Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
MLG59,2,4,MLG59,71,14,1,20,1020.165389418602,14.368526611529605
MLG45,21,24,MLG45,70,3,1,0,1003.0,14.32857142857143
1-8285,7,24,1-8285,72,6,1,0,1006.0,13.972222222222221
MLG38,7,12,MLG38,77,14,1,13,1018.0075031220913,13.220876663923264
1-18028,7,12,1-18028,309,11,1,83,1036.5863660871983,3.354648433939153
MLG56,2,4,MLG56,511,98,1,100,1128.82694709301,2.209054690984364
1-0008,10,5,1-0008,230,122,0,79,146.35328820347786,0.6363186443629472
1-8573,22,6,1-8573,184,92,0,22,98.78192836046219,0.5368583063068597
MLG48,18,18,MLG48,159,82,0,6,83.8496168255806,0.527356080664029
P-16616,3,6,P-16616,28,12,0,4,13.233077883720398,0.4726099244185856
MLG44,8,13,MLG44,59,25,0,6,26.849616825580597,0.4550782512810271
1-1131,3,2,1-1131,138,61,0,4,62.2330778837204,0.45096433249072754
MLG40,9,13,MLG40,51,21,0,6,22.849616825580597,0.4480317024623646
1-3587,14,7,1-3587,46,17,0,9,19.774425238370895,0.42987880952980206
1-7682,7,12,1-7682,141,42,0,60,60.49616825580597,0.42905083869365934
1-8067,6,14,1-8067,322,102,0,85,128.20290502905846,0.398145667792107
1-6858,9,11,1-6858,23,8,0,3,8.924808412790298,0.3880351483821869
1-4531,20,17,1-4531,94,16,0,60,34.49616825580597,0.366980513359638
MLG63,8,13,MLG63,380,126,0,35,136.78943148255348,0.35997218811198284
1-9457,4,16,1-9457,11,3,0,3,3.9248084127902985,0.35680076479911804
1-11330,2,4,1-11330,14,4,0,3,4.9248084127902985,0.35177202948502134
1-3447,20,12,1-3447,110,28,0,34,38.48116201162338,0.3498287455602126
1-1608,2,4,1-1608,307,46,0,197,106.7290857732296,0.34765174518967296
1-5913,8,13,1-5913,14,3,0,6,4.849616825580597,0.3464012018271855
1-8023,5,15,1-8023,16,3,0,8,5.466155767440796,0.34163473546504974
1-5002,3,2,1-5002,45,13,0,7,15.157886296510696,0.3368419177002377
1-2545,15,6,1-2545,145,30,0,61,48.80443772673607,0.33658232914990394
1-3068,2,4,1-3068,180,52,0,26,60.01500624418259,0.3334167013565699
1-3175,3,2,1-3175,6,2,0,0,2.0,0.3333333333333333
1-3176,4,16,1-3176,3,1,0,0,1.0,0.3333333333333333
1-6543,14,7,1-6543,12,4,0,0,4.0,0.3333333333333333
1-4929,1,3,1-4929,10,3,0,1,3.3082694709300995,0.33082694709300997
1-6919,1,3,1-6919,43,0,0,45,13.872126191854477,0.3226075858570809
1-18994,11,10,1-18994,28,9,0,0,9.0,0.32142857142857145
1-18935,7,12,1-18935,30,8,0,5,9.541347354650497,0.31804491182168326
1-2423,16,5,1-2423,79,14,0,36,25.09770095348358,0.3176924171327036
1-9496,1,3,1-9496,39,7,0,17,12.240581005811691,0.313861051431069
MLG55,11,10,MLG55,92,23,0,19,28.85711994767189,0.31366434725730313
1-8627,14,7,1-8627,25,5,0,9,7.774425238370895,0.3109770095348358
1-9286,2,8,1-9286,81,19,0,20,25.16538941860199,0.31068381998274064
1-6918,22,1,1-6918,43,0,0,43,13.255587249994278,0.3082694709300995
1-3139,20,17,1-3139,93,19,0,31,28.556353598833084,0.3070575655788504
MLG68,15,6,MLG68,642,59,0,444,195.87164509296417,0.30509602039402517
1-2382,7,12,1-2382,139,29,0,43,42.25558724999428,0.30399703057549843
MLG51,5,15,MLG51,248,62,0,41,74.63904830813408,0.3009639044682826
1-2034,1,3,1-2034,16,2,0,9,4.774425238370895,0.29840157739818096
MLG60,14,7,MLG60,47,9,0,16,13.932311534881592,0.2964321603166296
MLG41,8,13,MLG41,66,14,0,18,19.54885047674179,0.29619470419305743
1-1580,13,8,1-1580,400,30,0,286,118.16506868600845,0.2954126717150211
1-6561,18,18,1-6561,65,17,0,7,19.157886296510696,0.2947367122540107
MLG57,5,15,MLG57,629,92,0,300,184.48084127902985,0.2932922754833543
1-1989,21,9,1-1989,46,7,0,21,13.47365888953209,0.2929056280333063
1-7496,9,11,1-7496,246,60,0,36,71.09770095348358,0.289015044526356
1-9997,9,11,1-9997,16,4,0,2,4.616538941860199,0.28853368386626244
1-7496,4,11,1-7496,246,60,0,34,70.48116201162338,0.2865087886651357
MLG65,8,13,MLG65,201,35,0,73,57.50367137789726,0.28608791730297145
1-11206,2,4,1-11206,14,4,0,0,4.0,0.2857142857142857
1-3589,20,17,1-3589,27,0,0,25,7.706736773252487,0.2854346953056477
1-9995,16,5,1-9995,24,5,0,6,6.849616825580597,0.2854007010658582
1-0003,12,9,1-0003,17,3,0,6,4.849616825580597,0.2852715779753292
1-3083,5,15,1-3083,78,16,0,20,22.16538941860199,0.28417165921284604
1-4494,9,11,1-4494,16,3,0,5,4.541347354650497,0.2838342096656561
72-12171,4,16,72-12171,19,2,0,11,5.390964180231094,0.28373495685426814
1-7614,8,13,1-7614,72,1,0,61,19.80443772673607,0.2750616350935565
1-18558,15,6,1-18558,307,73,0,37,84.40597042441368,0.27493801441177096
1-3509,16,5,1-3509,35,8,0,5,9.541347354650497,0.2726099244185856
1-6611,3,2,1-6611,89,23,0,4,24.233077883720398,0.2722817739743865
1-18377,4,16,1-18377,14,1,0,9,3.7744252383708954,0.2696018027407782
1-19286,1,3,1-19286,40,6,0,15,10.624042063951492,0.26560105159878733
1-3596,7,12,1-3596,223,40,0,61,58.80443772673607,0.2636970301647357
MLG29,9,11,MLG29,164,35,0,26,43.01500624418259,0.2622866234401377
1-4136,22,1,1-4136,5,1,0,1,1.3082694709300995,0.2616538941860199
1-9938,6,14,1-9938,55,10,0,14,14.315772593021393,0.2602867744185708
MLG75,9,11,MLG75,185,33,0,49,48.105204075574875,0.26002813013824255
1-7005,20,17,1-7005,285,43,0,98,73.21040815114975,0.2568786250917535
1-6181,16,5,1-6181,659,99,0,227,168.97716990113258,0.25641452185300845
1-8398,14,7,1-8398,54,2,0,38,13.71423989534378,0.2539674054693293
1-1177,17,19,1-1177,17,0,0,14,4.315772593021393,0.2538689760600819
1-8493,1,3,1-8493,38,1,0,28,9.631545186042786,0.25346171542217855
1-2573,3,2,1-2573,37,9,0,1,9.3082694709301,0.25157485056567835
MLG50,11,10,MLG50,319,56,0,78,80.04501873254776,0.2509248236130024
1-4098,3,2,1-4098,16,4,0,0,4.0,0.25
1-0129,18,18,1-0129,142,30,0,17,35.24058100581169,0.24817310567473022
1-9110,20,17,1-9110,29,5,0,7,7.157886296510696,0.24682366539692058
1-7866,11,10,1-7866,318,70,0,24,77.39846730232239,0.2433914066110767
72-0103,17,19,72-0103,71,0,0,56,17.26309037208557,0.24314211791669818
1-7140,16,5,1-7140,397,64,0,104,96.06002497673035,0.24196479843005125
1-5980,1,3,1-5980,29,3,0,13,7.007503122091293,0.24163803869280323
1-5163,20,17,1-5163,16,2,0,6,3.849616825580597,0.2406010515987873
1-8066,16,5,1-8066,86,6,0,47,20.488665133714676,0.23824029225249624
1-13247,11,10,1-13247,29,1,0,19,6.85711994767189,0.23645241198868588
MLG31,7,12,MLG31,33,5,0,9,7.774425238370895,0.23558864358699683
1-4020,2,15,1-4020,37,8,0,2,8.616538941860199,0.23287943086108645
1-4926,15,6,1-4926,4,0,0,3,0.9248084127902985,0.23120210319757462
1-0053,1,3,1-0053,142,18,0,48,32.796934604644775,0.23096432820172377
1-5799,4,16,1-5799,7,1,0,2,1.616538941860199,0.230934134551457
1-7213,1,3,1-7213,23,5,0,1,5.3082694709300995,0.2307943248230478
1-1317,6,14,1-1317,414,53,0,137,95.23291751742363,0.2300312017329073
1-1942,20,17,1-1942,34,5,0,9,7.774425238370895,0.2286595658344381
1-7268,21,24,1-7268,70,16,0,0,16.0,0.22857142857142856
1-5355,18,18,1-5355,53,9,0,10,12.082694709300995,0.22797537187360367
1-3265,9,11,1-3265,19,4,0,1,4.3082694709300995,0.2267510247857947
1-9379,19,23,1-9379,58,10,0,10,13.082694709300995,0.22556370188449992
1-9650,4,16,1-9650,25,5,0,2,5.616538941860199,0.22466155767440796
1-17907,3,2,1-17907,119,25,0,5,26.541347354650497,0.22303653239202098
1-9394,12,9,1-9394,117,19,0,23,26.090197831392288,0.22299314385805374
1-1957,12,9,1-1957,47,8,0,8,10.466155767440796,0.22268416526469778
1-9452,22,1,1-9452,16,2,0,5,3.5413473546504974,0.2213342096656561
MLG30,16,5,MLG30,208,33,0,42,45.94731777906418,0.22090056624550086
MLG10,2,4,MLG10,60,12,0,4,13.233077883720398,0.22055129806200663
1-6296,16,5,1-6296,254,28,0,89,55.435982912778854,0.2182519012314128
1-18004,14,7,1-18004,12,2,0,2,2.616538941860199,0.21804491182168326
1-4842,17,19,1-4842,6,1,0,1,1.3082694709300995,0.21804491182168326
1-10762,11,10,1-10762,6,1,0,1,1.3082694709300995,0.21804491182168326
1-3108,18,18,1-3108,18,3,0,3,3.9248084127902985,0.21804491182168326
1-9277,20,17,1-9277,48,3,0,24,10.398467302322388,0.21663473546504974
1-9971,14,7,1-9971,15,2,0,4,3.233077883720398,0.21553852558135986
1-0027,9,11,1-0027,29,5,0,4,6.233077883720398,0.2149337201282896
1-8573,15,6,1-8573,184,32,0,24,39.39846730232239,0.21412210490392602
1-1005,1,3,1-1005,125,14,0,41,26.63904830813408,0.21311238646507263
