Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
MLG45,21,19,MLG45,70,14,1,6,1015.5750387310982,14.508214839015688
MLG59,2,7,MLG59,71,12,1,11,1014.8875710070133,14.29419114094385
1-8285,7,19,1-8285,72,7,1,12,1010.1500774621964,14.029862186974949
MLG38,7,3,MLG38,77,11,1,10,1013.6250645518303,13.163961877296497
1-18028,7,3,1-18028,309,83,1,14,1086.6750903725624,3.5167478652833735
MLG56,2,7,MLG56,511,73,1,31,1081.137700110674,2.1157293544240194
1-0008,10,11,1-0008,230,123,0,37,132.71273884177208,0.5770119080077047
1-8573,22,12,1-8573,184,90,0,20,95.25012910366058,0.5176637451285901
1-3587,14,13,1-3587,46,17,0,10,19.62506455183029,0.4266318380832672
1-6611,3,10,1-6611,89,32,0,20,37.25012910366058,0.41854077644562454
1-9379,19,21,1-9379,58,20,0,7,21.837545186281204,0.37650939976346903
1-5002,3,10,1-5002,45,15,0,6,16.575038731098175,0.36833419402440387
1-7682,7,3,1-7682,141,41,0,38,50.97524529695511,0.36152656238975256
1-2382,7,3,1-2382,139,45,0,5,46.312532275915146,0.33318368543823845
1-7866,11,16,1-7866,318,91,0,43,102.28777757287025,0.3216596779021077
1-17907,3,10,1-17907,119,31,0,25,37.56266137957573,0.31565261663509014
1-7268,21,19,1-7268,70,17,0,19,21.987622648477554,0.3141088949782508
1-2423,16,11,1-2423,79,14,0,40,24.500258207321167,0.3101298507255844
MLG64,8,2,MLG64,245,73,0,10,75.62506455183029,0.3086737328646134
1-5913,8,3,1-5913,14,3,0,5,4.312532275915146,0.3080380197082247
MLG32,10,17,MLG32,52,12,0,13,15.41258391737938,0.2963958445649881
1-8627,14,13,1-8627,25,5,0,9,7.362558096647263,0.2945023238658905
1-6858,9,18,1-6858,23,5,0,6,6.575038731098175,0.2858712491781815
1-11206,2,7,1-11206,14,4,0,0,4.0,0.2857142857142857
1-0003,12,15,1-0003,17,3,0,7,4.837545186281204,0.2845614815459532
1-7496,9,18,1-7496,246,50,0,76,69.95049059391022,0.2843515877801228
1-9855,16,11,1-9855,8,2,0,1,2.262506455183029,0.28281330689787865
MLG75,9,18,MLG75,185,41,0,40,51.50025820732117,0.2783797740936279
MLG60,14,13,MLG60,47,8,0,19,12.987622648477554,0.27633239677611815
1-7005,20,20,1-7005,285,56,0,83,77.78803578019142,0.2729404764217243
1-1183,10,19,1-1183,45,7,0,20,12.250129103660583,0.2722250911924574
1-19229,21,19,1-19229,38,9,0,5,10.312532275915146,0.27138242831355647
1-1989,21,15,1-1989,46,8,0,16,12.200103282928467,0.26521963658540143
1-1580,13,14,1-1580,400,30,0,287,105.33935263752937,0.26334838159382346
1-8910,3,10,1-8910,137,35,0,4,36.05002582073212,0.2631388746038841
MLG44,8,2,MLG44,59,10,0,21,15.512635558843613,0.2629260264210782
1-10951,1,6,1-10951,1,0,0,1,0.2625064551830292,0.2625064551830292
1-7527,1,6,1-7527,1,0,0,1,0.2625064551830292,0.2625064551830292
1-7991,2,7,1-7991,46,11,0,4,12.050025820732117,0.26195708305939386
1-18994,11,16,1-18994,28,6,0,5,7.312532275915146,0.26116186699696947
1-18558,15,12,1-18558,307,73,0,24,79.3001549243927,0.2583066935647971
MLG40,9,2,MLG40,51,10,0,12,13.15007746219635,0.25784465612149704
1-5531,11,16,1-5531,8,1,0,4,2.0500258207321167,0.2562532275915146
1-5799,4,8,1-5799,7,1,0,3,1.7875193655490875,0.25535990936415537
1-7496,4,18,1-7496,246,40,0,86,62.57555514574051,0.25437217538918905
MLG39,11,16,MLG39,23,4,0,7,5.837545186281204,0.25380631244700885
1-9997,9,18,1-9997,16,3,0,4,4.050025820732117,0.2531266137957573
1-5775,10,15,1-5775,244,59,0,8,61.10005164146423,0.250410047710919
1-8093,8,2,1-8093,4,1,0,0,1.0,0.25
1-9491,21,19,1-9491,80,16,0,15,19.937596827745438,0.24921996034681798
1-1317,6,4,1-1317,414,84,0,72,102.9004647731781,0.24855184727820798
MLG58,10,17,MLG58,71,13,0,17,17.462609738111496,0.24595224983255629
1-0027,9,18,1-0027,29,6,0,4,7.050025820732117,0.24310433864593506
1-3447,20,20,1-3447,110,13,0,52,26.650335669517517,0.2422757788137956
1-18613,17,1,1-18613,25,5,0,4,6.050025820732117,0.24200103282928467
1-3596,7,3,1-3596,223,48,0,22,53.77514201402664,0.24114413459204773
1-5167,1,6,1-5167,24,0,0,22,5.775142014026642,0.24063091725111008
1-2545,15,12,1-2545,145,29,0,22,34.77514201402664,0.23982856561397684
1-9286,2,7,1-9286,81,18,0,5,19.312532275915146,0.23842632439401415
1-9283,21,19,1-9283,235,49,0,25,55.56266137957573,0.2364368569343648
1-6927,19,21,1-6927,179,37,0,19,41.987622648477554,0.2345677242931707
1-3139,20,20,1-3139,93,16,0,22,21.775142014026642,0.2341413119787811
MLG65,8,2,MLG65,201,45,0,5,46.312532275915146,0.2304106083378863
1-9761,3,10,1-9761,35,7,0,4,8.050025820732117,0.23000073773520333
MLG14,19,21,MLG14,232,49,0,16,53.20010328292847,0.2293107900126227
MLG50,11,16,MLG50,319,49,0,87,71.83806160092354,0.22519768526935277
1-9630,18,22,1-9630,33,5,0,9,7.362558096647263,0.2231078211105231
1-0055,19,21,1-0055,18,4,0,0,4.0,0.2222222222222222
1-9645,2,10,1-9645,69,10,0,20,15.250129103660583,0.22101636382116788
1-5981,5,9,1-5981,28,3,0,12,6.15007746219635,0.21964562364986964
1-2282,7,3,1-2282,219,40,0,30,47.875193655490875,0.2186081902077209
1-9938,6,4,1-9938,55,7,0,19,11.987622648477554,0.21795677542686462
1-4020,2,7,1-4020,37,8,0,0,8.0,0.21621621621621623
1-5515,3,3,1-5515,29,6,0,1,6.262506455183029,0.21594849845458722
1-4417,16,11,1-4417,151,26,0,25,32.56266137957573,0.21564676410315053
MLG30,16,11,MLG30,208,38,0,26,44.82516783475876,0.21550561459018633
1-1390,19,21,1-1390,98,15,0,23,21.03764846920967,0.21466988233887419
1-9609,1,6,1-9609,25,3,0,9,5.362558096647263,0.2145023238658905
1-3519,4,8,1-3519,27,0,0,22,5.775142014026642,0.2138941486676534
MLG68,15,12,MLG68,642,59,0,295,136.4394042789936,0.21252243657164113
1-9650,4,8,1-9650,25,4,0,5,5.312532275915146,0.21250129103660584
1-5891,15,12,1-5891,96,8,0,47,20.33780339360237,0.21185211868335804
1-5425,5,9,1-5425,17,2,0,6,3.575038731098175,0.2102963959469515
1-3523,13,14,1-3523,543,97,0,64,113.80041313171387,0.20957718808787085
1-1957,12,15,1-1957,47,8,0,7,9.837545186281204,0.20930947204853625
1-7122,21,19,1-7122,197,38,0,12,41.15007746219635,0.208883641940083
1-9752,4,8,1-9752,22,3,0,6,4.575038731098175,0.20795630595900796
P-16616,3,10,P-16616,28,5,0,3,5.7875193655490875,0.2066971201981817
1-19547,3,10,1-19547,66,12,0,6,13.575038731098175,0.205682405016639
1-8341,20,20,1-8341,197,31,0,35,40.18772593140602,0.20399860878886306
1-6181,16,11,1-6181,659,96,0,145,134.06343600153923,0.20343465250612933
1-9971,14,13,1-9971,15,2,0,4,3.0500258207321167,0.20333505471547444
1-8398,14,13,1-8398,54,1,0,38,10.975245296955109,0.20324528327694646
1-3509,16,11,1-3509,35,5,0,8,7.100051641464233,0.20285861832754953
1-8573,15,12,1-8573,184,32,0,20,37.25012910366058,0.2024463538242423
72-12171,4,8,72-12171,19,2,0,7,3.8375451862812042,0.20197606243585287
1-3052,20,20,1-3052,166,21,0,47,33.33780339360237,0.20083014092531548
1-8067,6,4,1-8067,322,28,0,137,63.963384360075,0.19864405080768632
MLG72,8,3,MLG72,9,1,0,3,1.7875193655490875,0.1986132628387875
1-6228,5,20,1-6228,48,9,0,2,9.525012910366058,0.19843776896595955
1-7024,17,1,1-7024,498,44,0,202,97.0263039469719,0.19483193563648973
1-6647,21,19,1-6647,62,11,0,4,12.050025820732117,0.19435525517309865
1-9227,4,8,1-9227,801,103,0,195,154.1887587606907,0.1924953292892518
1-8988,13,14,1-8988,29,4,0,6,5.575038731098175,0.1922427148654543
1-6692,10,17,1-6692,71,11,0,10,13.625064551830292,0.19190231763141255
1-3068,2,7,1-3068,180,31,0,13,34.41258391737938,0.19118102176321877
1-5172,8,22,1-5172,120,15,0,30,22.875193655490875,0.1906266137957573
MLG13,4,8,MLG13,140,15,0,44,26.550284028053284,0.1896448859146663
1-3104,8,2,1-3104,16,3,0,0,3.0,0.1875
1-4649,20,20,1-4649,244,29,0,63,45.53790667653084,0.18663076506774934
1-7481,4,8,1-7481,33,4,0,8,6.100051641464233,0.1848500497413404
MLG55,11,16,MLG55,92,9,0,30,16.875193655490875,0.18342601799446603
1-3083,5,9,1-3083,78,8,0,24,14.3001549243927,0.18333531954349616
1-9156,12,15,1-9156,268,37,0,45,48.81279048323631,0.18213727792252354
1-8066,16,11,1-8066,86,7,0,33,15.662713021039963,0.1821245700120926
1-5413,9,18,1-5413,39,5,0,8,7.100051641464233,0.1820526061913906
1-9887,13,14,1-9887,36,6,0,2,6.525012910366058,0.1812503586212794
1-8767,7,3,1-8767,48,0,0,33,8.662713021039963,0.18047318793833256
1-8427,21,19,1-8427,189,30,0,15,33.93759682774544,0.17956400437960549
MLG29,9,18,MLG29,164,22,0,28,29.350180745124817,0.17896451673856595
MLG62,7,3,MLG62,525,25,0,262,93.77669125795364,0.17862226906276885
1-3584,1,6,1-3584,26,2,0,10,4.625064551830292,0.1778870981473189
1-2034,1,6,1-2034,16,1,0,7,2.8375451862812042,0.17734657414257526
1-1250,10,17,1-1250,34,6,0,0,6.0,0.17647058823529413
1-9394,12,15,1-9394,117,18,0,10,20.62506455183029,0.1762826030070965
1-19813,9,18,1-19813,20,3,0,2,3.5250129103660583,0.1762506455183029
1-10539,21,19,1-10539,63,10,0,4,11.050025820732117,0.17539723524971615
1-3535,12,15,1-3535,315,47,0,31,55.137700110673904,0.17504031781166318
1-9610,12,15,1-9610,49,7,0,6,8.575038731098175,0.175000790430575
1-9518,16,11,1-9518,22,2,0,7,3.8375451862812042,0.1744338721036911
1-4052,15,12,1-4052,13,2,0,1,2.262506455183029,0.17403895809100225
1-8074,10,17,1-8074,145,24,0,4,25.050025820732117,0.17275879876366976
1-0053,1,6,1-0053,142,14,0,39,24.237751752138138,0.1706883926206911
1-7004,14,13,1-7004,381,52,0,49,64.86281630396843,0.17024361234637383
1-4760,15,12,1-4760,40,6,0,3,6.7875193655490875,0.16968798413872718
1-5214,9,18,1-5214,40,6,0,3,6.7875193655490875,0.16968798413872718
1-1131,3,10,1-1131,138,17,0,24,23.3001549243927,0.16884170235067175
MLG84,14,13,MLG84,63,8,0,10,10.625064551830292,0.1686518182830205
MLG10,2,7,MLG10,60,9,0,4,10.050025820732117,0.16750043034553527
1-8529,13,14,1-8529,56,2,0,28,9.350180745124817,0.1669675133058003
1-0272,14,13,1-0272,111,15,0,13,18.41258391737938,0.1658791343908052
1-1462,4,8,1-1462,192,20,0,45,31.812790483236313,0.16569161710018912
1-19448,5,9,1-19448,45,4,0,13,7.412583917379379,0.16472408705287508
1-6296,16,11,1-6296,254,33,0,33,41.66271302103996,0.16402642921669278
1-6914,21,20,1-6914,73,4,0,30,11.875193655490875,0.16267388569165583
