Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
MLG45,21,21,MLG45,70,3,1,17,1013.0907142162323,14.472724488803319
MLG59,2,4,MLG59,71,17,1,11,1023.5292856693268,14.415905431962349
1-8285,7,21,1-8285,72,6,1,11,1012.5292856693268,14.062906745407316
MLG38,7,9,MLG38,77,6,1,13,1013.7164285182953,13.165148422315523
1-18028,7,9,1-18028,309,3,1,142,1087.287142276764,3.5187286157824076
MLG56,2,4,MLG56,511,56,1,31,1074.4007141590118,2.1025454288826064
1-8573,22,16,1-8573,184,92,0,40,115.74285697937012,0.6290372661922289
1-0008,10,17,1-0008,230,133,0,9,138.34214282035828,0.6014875774798186
MLG44,8,10,MLG44,59,25,0,15,33.903571367263794,0.5746368028349795
1-1580,13,14,1-1580,400,32,0,284,200.57428455352783,0.5014357113838196
1-5172,8,19,1-5172,120,16,0,72,58.73714256286621,0.4894761880238851
1-1833,12,13,1-1833,124,8,0,88,60.23428535461426,0.48576036576301823
1-3587,14,15,1-3587,46,17,0,9,22.342142820358276,0.48569875696431036
1-8627,14,15,1-8627,25,5,0,12,12.122857093811035,0.4849142837524414
1-4417,16,17,1-4417,151,32,0,65,70.58214259147644,0.46743140789057247
MLG40,9,10,MLG40,51,17,0,11,23.529285669326782,0.46135854253581926
1-0303,17,18,1-0303,212,83,0,23,96.65214276313782,0.4559063337883859
P-16616,3,5,P-16616,28,6,0,11,12.529285669326782,0.4474744881902422
1-9379,19,20,1-9379,58,20,0,10,25.93571424484253,0.4471674869800436
1-10785,17,18,1-10785,279,90,0,58,124.42714262008667,0.4459754215773716
1-7682,7,9,1-7682,141,45,0,27,61.02642846107483,0.43281154936932503
1-8067,6,11,1-8067,322,107,0,53,138.4592854976654,0.42999778104865033
1-7140,16,17,1-7140,397,124,0,76,169.11142826080322,0.42597337093401316
1-1989,21,13,1-1989,46,8,0,19,19.277857065200806,0.4190838492434958
1-0129,18,19,1-0129,142,24,0,59,59.02071404457092,0.41563883129979523
MLG30,16,17,MLG30,208,63,0,39,86.14928555488586,0.4141792574754128
1-1224,6,11,1-1224,151,9,0,90,62.421428203582764,0.4133869417455812
1-9277,20,8,1-9277,48,9,0,18,19.684285640716553,0.41008928418159485
1-5002,3,5,1-5002,45,13,0,9,18.342142820358276,0.40760317378573946
1-7268,21,21,1-7268,70,16,0,21,28.46499991416931,0.40664285591670446
MLG50,11,12,MLG50,319,75,0,90,128.42142820358276,0.4025750100425792
MLG63,8,10,MLG63,380,125,0,46,152.30428552627563,0.40080075138493587
MLG15,8,10,MLG15,105,4,0,61,40.20785689353943,0.3829319704146612
MLG60,14,15,MLG60,47,9,0,15,17.903571367263794,0.3809270503673148
1-5043,18,19,1-5043,123,11,0,59,46.02071404457092,0.3741521467038286
1-5891,15,16,1-5891,96,8,0,47,35.89785695075989,0.3739360099037488
1-9156,12,13,1-9156,268,36,0,107,99.51214241981506,0.3713139642530413
1-3509,16,17,1-3509,35,4,0,15,12.903571367263794,0.3686734676361084
1-6561,18,19,1-6561,65,15,0,15,23.903571367263794,0.3677472518040584
MLG48,18,19,MLG48,159,56,0,4,58.37428569793701,0.36713387231406924
1-4842,17,18,1-4842,6,1,0,2,2.187142848968506,0.36452380816141766
1-10762,11,12,1-10762,6,1,0,2,2.187142848968506,0.36452380816141766
MLG39,11,12,MLG39,23,6,0,4,8.374285697937012,0.36409937817117444
MLG68,15,16,MLG68,642,59,0,294,233.50999879837036,0.36372273956132456
1-2382,7,9,1-2382,139,28,0,37,49.96214270591736,0.35943987558213925
MLG55,11,12,MLG55,92,23,0,16,32.49714279174805,0.35322981295378314
1-4531,20,8,1-4531,94,8,0,42,32.92999982833862,0.35031914710998535
1-9630,18,19,1-9630,33,5,0,11,11.529285669326782,0.34937229300990247
1-3083,5,6,1-3083,78,8,0,32,26.994285583496094,0.3460805844037961
1-3589,20,8,1-3589,27,1,0,14,9.309999942779541,0.34481481269553854
1-5626,18,19,1-5626,125,8,0,59,43.02071404457092,0.3441657123565674
1-3535,12,13,1-3535,315,46,0,105,108.32499957084656,0.343888887526497
1-8124,8,10,1-8124,18,2,0,7,6.1549999713897705,0.34194444285498726
1-8066,16,17,1-8066,86,5,0,41,29.33642840385437,0.3411212605099345
1-10539,21,21,1-10539,63,3,0,31,21.40071415901184,0.3396938755398705
