Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
MLG45,21,21,MLG45,70,13,1,7,1016.5767557621002,14.522525082315717
MLG59,2,2,MLG59,71,16,1,9,1020.5986859798431,14.37462937999779
1-8285,7,21,1-8285,72,7,1,12,1013.1315813064575,14.071271962589687
MLG38,7,7,MLG38,77,11,1,20,1021.2193021774292,13.262588339966612
1-18028,7,7,1-18028,309,83,1,50,1108.548255443573,3.587534807260754
MLG56,2,2,MLG56,511,55,1,24,1067.263162612915,2.0885776176377986
1-0008,10,12,1-0008,230,133,0,0,133.0,0.5782608695652174
1-8573,22,11,1-8573,184,92,0,26,105.28509283065796,0.5722015914709672
1-3587,14,10,1-3587,46,18,0,13,24.64254641532898,0.5357075307680212
1-1580,13,9,1-1580,400,44,0,287,190.646986246109,0.4766174656152725
1-0303,17,13,1-0303,212,55,0,80,95.8772087097168,0.4522509844797962
1-10785,17,13,1-10785,279,88,0,71,124.27852272987366,0.4454427337988303
MLG44,8,8,MLG44,59,12,0,26,25.28509283065796,0.4285608954348807
1-8627,14,10,1-8627,25,5,0,11,10.62061619758606,0.4248246479034424
1-1989,21,21,1-1989,46,8,0,21,18.73026728630066,0.40717972361523175
MLG75,9,20,MLG75,185,42,0,62,73.67983675003052,0.3982693878380028
1-2382,7,7,1-2382,139,45,0,18,54.19737195968628,0.3899091507891099
1-3596,7,7,1-3596,223,48,0,76,86.83334827423096,0.38938721199206705
1-7268,21,21,1-7268,70,17,0,19,26.70833706855774,0.3815476724079677
1-1317,6,6,1-1317,414,119,0,71,155.27852272987366,0.3750688954827866
1-7682,7,7,1-7682,141,41,0,23,52.75219750404358,0.3741290603123658
1-1204,13,9,1-1204,39,9,0,10,14.1096510887146,0.3617859253516564
1-7140,16,12,1-7140,397,124,0,38,143.41667413711548,0.3612510683554546
1-5002,3,3,1-5002,45,10,0,12,16.13158130645752,0.3584795845879449
MLG40,9,8,MLG40,51,9,0,18,18.19737195968628,0.3568112148958094
1-8067,6,6,1-8067,322,45,0,136,114.49125480651855,0.355562903125834
1-3447,20,22,1-3447,110,13,0,51,39.05922055244446,0.3550838232040405
1-9379,19,23,1-9379,58,17,0,7,20.57675576210022,0.3547716510706934
1-7005,20,22,1-7005,285,56,0,85,99.4320342540741,0.34888433071604946
MLG30,16,12,MLG30,208,66,0,11,71.62061619758606,0.3443298855653176
1-7866,11,17,1-7866,318,82,0,51,108.05922055244446,0.33980886966177504
1-5891,15,11,1-5891,96,8,0,47,32.01536011695862,0.33349333455165225
1-0272,14,10,1-0272,111,15,0,43,36.97149968147278,0.333076573706962
MLG58,10,19,MLG58,71,17,0,13,23.64254641532898,0.33299361148350676
MLG32,10,19,MLG32,52,9,0,16,17.17544174194336,0.33029695657583386
1-6858,9,20,1-6858,23,5,0,5,7.5548255443573,0.3284706758416217
MLG68,15,11,MLG68,642,59,0,294,209.22374200820923,0.3258936791405128
MLG65,8,8,MLG65,201,46,0,32,62.35088348388672,0.31020340041734684
MLG51,5,5,MLG51,248,63,0,25,75.7741277217865,0.3055408375878488
1-17907,3,3,1-17907,119,21,0,30,36.3289532661438,0.3052853215642336
MLG78,9,20,MLG78,80,6,0,36,24.39474391937256,0.30493429899215696
1-18558,15,11,1-18558,307,73,0,38,92.41667413711548,0.30103151184728166
1-9491,21,21,1-9491,80,16,0,15,23.6644766330719,0.29580595791339875
1-3139,20,22,1-3139,93,16,0,22,27.24123239517212,0.29291647736744214
1-2545,15,11,1-2545,145,30,0,24,42.26316261291504,0.29147008698562094
MLG63,8,8,MLG63,380,43,0,131,109.93642926216125,0.2893063927951612
1-5913,8,18,1-5913,14,2,0,4,4.04386043548584,0.28884717396327425
