Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
MLG59,2,5,MLG59,71,12,1,27,1036.0899807810783,14.592816630719414
MLG38,7,8,MLG38,77,14,1,7,1020.2455505728722,13.249942215232107
1-18028,7,8,1-18028,309,10,1,56,1059.9644045829773,3.430305516449765
MLG56,2,5,MLG56,511,72,1,65,1129.99439817667,2.2113393310698046
1-1580,13,16,1-1580,400,43,0,284,296.3909089565277,0.7409772723913193
1-8627,14,17,1-8627,25,5,0,13,16.598879635334015,0.6639551854133606
1-6006,22,1,1-6006,57,0,0,38,33.904417395591736,0.5948143402735392
1-0008,10,19,1-0008,230,121,0,12,131.7066581249237,0.5726376440214074
1-3587,14,17,1-3587,46,18,0,9,26.02999359369278,0.565869425949843
1-0296,10,13,1-0296,41,15,0,9,23.02999359369278,0.5617071608217751
1-9496,1,4,1-9496,39,7,0,16,21.27554416656494,0.5455267735016651
1-1131,3,3,1-1131,138,37,0,41,73.58108192682266,0.533196245846541
1-5002,3,3,1-5002,45,10,0,15,23.383322656154633,0.5196293923589919
1-8573,22,18,1-8573,184,92,0,2,93.78444302082062,0.5096980598957642
MLG44,8,10,MLG44,59,22,0,9,30.02999359369278,0.5089829422659793
1-6858,9,9,1-6858,23,6,0,6,11.353329062461853,0.49362300271573273
1-1350,21,2,1-1350,195,40,0,63,96.20995515584946,0.4933843854146126
1-7682,7,8,1-7682,141,27,0,47,68.93441098928452,0.48889653183889725
MLG65,8,10,MLG65,201,15,0,93,97.97660046815872,0.4874457734734265
1-9794,9,9,1-9794,46,3,0,21,21.736651718616486,0.4725359069264453
1-18377,4,6,1-18377,14,3,0,4,6.568886041641235,0.4692061458315168
1-8023,5,12,1-8023,16,3,0,5,7.461107552051544,0.4663192220032215
1-8067,6,11,1-8067,322,95,0,60,148.53329062461853,0.4612835112565793
1-9752,4,6,1-9752,22,3,0,8,10.13777208328247,0.460807821967385
1-9491,21,2,1-9491,80,25,0,13,36.598879635334015,0.4574859954416752
1-2294,6,11,1-2294,75,12,0,25,34.30553776025772,0.4574071701367696
1-6611,3,3,1-6611,89,30,0,12,40.706658124923706,0.45737818117891804
MLG78,9,9,MLG78,80,8,0,32,36.55108833312988,0.4568886041641235
1-1250,10,13,1-1250,34,3,0,14,15.491101145744324,0.4556206219336566
MLG60,14,17,MLG60,47,8,0,15,21.383322656154633,0.4549643118330773
1-3551,1,4,1-3551,6,0,0,3,2.6766645312309265,0.4461107552051544
1-19567,9,9,1-19567,2,0,0,1,0.8922215104103088,0.4461107552051544
1-9938,6,11,1-9938,55,10,0,16,24.27554416656494,0.44137353030118076
1-7530,10,13,1-7530,25,3,0,9,11.02999359369278,0.4411997437477112
1-7845,10,13,1-7845,36,6,0,11,15.814436614513397,0.4392899059587055
1-6228,5,8,1-6228,48,3,0,20,20.844430208206177,0.43425896267096203
1-3106,5,12,1-3106,34,4,0,12,14.706658124923706,0.432548768380109
MLG32,10,13,MLG32,52,10,0,14,22.491101145744324,0.4325211758796985
MLG40,9,10,MLG40,51,13,0,10,21.92221510410309,0.4298473549824135
MLG46,9,9,MLG46,17,1,0,7,7.245550572872162,0.42620885722777424
P-16616,3,23,P-16616,28,3,0,10,11.922215104103088,0.4257933965751103
MLG68,15,18,MLG68,642,59,0,240,273.1331624984741,0.4254410630817354
1-9457,4,6,1-9457,11,2,0,3,4.6766645312309265,0.42515132102099334
1-5197,6,11,1-5197,72,8,0,25,30.30553776025772,0.4209102466702461
1-5913,8,2,1-5913,14,5,0,1,5.892221510410309,0.42087296502930777
