Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
MLG59,2,16,MLG59,71,14,1,20,1015.8805716559291,14.308177065576466
1-8285,7,13,1-8285,72,3,1,13,1004.2223715763539,13.947532938560471
MLG38,7,13,MLG38,77,13,1,15,1014.4104287419468,13.174161412233076
1-3596,7,13,1-3596,223,38,1,70,1044.5820007957518,4.6842242188150305
1-18028,7,13,1-18028,309,9,1,134,1021.5998300947249,3.3061483174586566
MLG56,2,16,MLG56,511,53,1,64,1059.017829298973,2.072441936005818
1-8627,14,4,1-8627,25,10,0,3,10.282085748389363,0.41128342993557454
MLG48,18,21,MLG48,159,57,0,33,60.102943232282996,0.3780059322785094
1-0296,10,3,1-0296,41,14,0,15,15.410428741946816,0.37586411565723943
1-9491,21,2,1-9491,80,29,0,9,29.84625724516809,0.37307821556460113
1-9379,19,20,1-9379,58,19,0,23,21.162657404318452,0.36487340352273195
MLG40,9,12,MLG40,51,17,0,5,17.470142913982272,0.34255182184278965
MLG63,8,12,MLG63,380,127,0,30,129.82085748389363,0.3416338354839306
MLG45,21,2,MLG45,70,22,0,8,22.752228662371635,0.3250318380338805
1-7682,7,13,1-7682,141,40,0,49,44.60740055702627,0.3163645429576331
1-8067,6,11,1-8067,322,95,0,72,101.77005796134472,0.31605608062529417
1-5913,8,13,1-5913,14,4,0,4,4.376114331185818,0.3125795950847013
1-18558,15,6,1-18558,307,91,0,36,94.38502898067236,0.30744309114225526
1-4682,1,16,1-4682,16,4,0,9,4.84625724516809,0.3028910778230056
1-6858,9,14,1-6858,23,6,0,9,6.84625724516809,0.29766335848556913
1-5002,3,17,1-5002,45,12,0,11,13.034314410760999,0.2896514313502444
1-7866,11,8,1-7866,318,89,0,31,91.91488606669009,0.28904052222229587
1-1350,21,2,1-1350,195,52,0,23,54.16265740431845,0.2777572174580433
1-5775,10,9,1-5775,244,63,0,26,65.44474315270782,0.26821616046191726
MLG51,5,10,MLG51,248,62,0,16,63.50445732474327,0.2560663601804164
1-18994,11,13,1-18994,28,6,0,8,6.752228662371635,0.24115102365612984
1-6561,18,21,1-6561,65,15,0,6,15.564171496778727,0.23944879225813426
1-6878,22,1,1-6878,167,38,0,16,39.50445732474327,0.2365536366751094
1-3587,14,4,1-3587,46,9,0,20,10.880571655929089,0.23653416643324104
1-17907,3,17,1-17907,119,25,0,32,28.00891464948654,0.23536903066795414
MLG32,10,9,MLG32,52,11,0,13,12.222371576353908,0.23504560723757514
MLG60,14,4,MLG60,47,9,0,20,10.880571655929089,0.23150152459423592
1-8023,5,17,1-8023,16,3,0,7,3.658200079575181,0.2286375049734488
1-4020,2,16,1-4020,37,8,0,4,8.376114331185818,0.2263814684104275
1-5515,3,18,1-5515,29,6,0,5,6.470142913982272,0.2231083763442163
1-4494,9,9,1-4494,16,3,0,6,3.5641714967787266,0.2227607185486704
1-2382,7,13,1-2382,139,26,0,51,30.795457722619176,0.22155005555841134
1-6927,19,20,1-6927,179,33,0,62,38.829772133380175,0.21692610130379986
1-2423,16,5,1-2423,79,14,0,30,16.820857483893633,0.21292224663156498
MLG75,9,14,MLG75,185,37,0,19,38.786543073132634,0.2096569895845007
1-7122,21,2,1-7122,197,40,0,12,41.12834299355745,0.2087733146881089
MLG65,8,12,MLG65,201,35,0,69,41.487972212955356,0.20640782195500176
1-2545,15,6,1-2545,145,28,0,17,29.598485907539725,0.20412748901751535
MLG50,11,8,MLG50,319,55,0,106,64.96702977642417,0.20365840055305381
MLG14,19,20,MLG14,232,43,0,45,47.23128622584045,0.20358313028379504
1-3083,5,10,1-3083,78,15,0,8,15.752228662371635,0.20195164951758507
1-5980,1,12,1-5980,29,5,0,9,5.84625724516809,0.20159507741958932
1-7496,4,14,1-7496,246,46,0,38,49.57308614626527,0.2015166103506718
1-7496,9,14,1-7496,246,46,0,38,49.57308614626527,0.2015166103506718
1-9938,6,11,1-9938,55,10,0,11,11.034314410760999,0.20062389837747271
1-9997,9,14,1-9997,16,3,0,2,3.188057165592909,0.1992535728495568
1-7845,10,9,1-7845,36,6,0,12,7.128342993557453,0.19800952759881815
MLG46,9,14,MLG46,17,3,0,3,3.2820857483893633,0.1930638675523155
1-1608,2,16,1-1608,307,52,0,72,58.77005796134472,0.1914334135548688
1-1390,19,20,1-1390,98,13,0,60,18.641714967787266,0.1902215813039517
1-4052,15,12,1-4052,13,2,0,5,2.470142913982272,0.1900109933832517
1-1131,3,17,1-1131,138,23,0,34,26.19697181507945,0.18983312909477862
MLG41,8,12,MLG41,66,11,0,16,12.50445732474327,0.1894614746173223
1-5355,18,21,1-5355,53,10,0,0,10.0,0.18867924528301888
1-7530,10,9,1-7530,25,4,0,7,4.658200079575181,0.18632800318300724
1-9831,6,11,1-9831,132,23,0,15,24.410428741946816,0.18492749046929408
1-4417,16,5,1-4417,151,24,0,40,27.761143311858177,0.1838486312043588
1-0292,19,20,1-0292,99,15,0,33,18.102943232282996,0.182858012447303
1-3265,9,4,1-3265,19,3,0,5,3.470142913982272,0.18263910073590905
1-8074,10,9,1-8074,145,25,0,13,26.222371576353908,0.180843941905889
MLG29,9,14,MLG29,164,25,0,42,28.949200477451086,0.17651951510640906
1-9156,12,7,1-9156,268,41,0,66,47.20588646456599,0.17614136740509698
1-2297,6,11,1-2297,25,4,0,4,4.376114331185818,0.17504457324743272
1-0129,18,21,1-0129,142,24,0,9,24.84625724516809,0.17497364257160627
1-3523,13,3,1-3523,543,78,0,171,94.07888765819371,0.1732576199966735
1-2335,9,7,1-2335,145,19,0,62,24.829772133380175,0.17123980781641499
1-6240,5,10,1-6240,698,111,0,80,118.52228662371635,0.1698027028993071
1-18377,4,18,1-18377,14,2,0,4,2.3761143311858177,0.1697224522275584
1-3509,16,5,1-3509,35,5,0,10,5.940285827964544,0.1697224522275584
MLG58,10,9,MLG58,71,10,0,21,11.974600238725543,0.16865634139050062
1-2294,6,11,1-2294,75,12,0,6,12.564171496778727,0.16752228662371635
1-9609,1,15,1-9609,25,4,0,2,4.188057165592909,0.16752228662371635
MLG78,9,14,MLG78,80,13,0,4,13.376114331185818,0.16720142913982272
1-9286,2,16,1-9286,81,12,0,15,13.410428741946816,0.1655608486660101
1-7004,14,4,1-7004,381,59,0,41,62.85517189465463,0.16497420444791241
MLG30,16,5,MLG30,208,29,0,56,34.26560063660145,0.16473846459904543
1-8084,1,15,1-8084,82,12,0,16,13.50445732474327,0.16468850396028378
MLG10,2,16,MLG10,60,9,0,7,9.658200079575181,0.16097000132625303
1-9768,12,7,1-9768,241,36,0,29,38.72682890109718,0.16069223610413766
1-6181,16,5,1-6181,659,87,0,183,104.20723065175116,0.15812933331069978
1-1183,10,9,1-1183,45,3,0,43,7.0432290602475405,0.15651620133883423
1-5981,5,10,1-5981,28,4,0,4,4.376114331185818,0.15628979754235064
MLG52,1,15,MLG52,125,18,0,15,19.410428741946816,0.15528342993557454
1-1989,21,7,1-1989,46,3,0,44,7.137257643043995,0.1551577748487825
1-5549,6,11,1-5549,35,5,0,4,5.376114331185818,0.15360326660530907
1-8400,21,2,1-8400,33,3,0,22,5.0686288215219975,0.15359481277339387
1-9752,4,18,1-9752,22,3,0,4,3.3761143311858177,0.15345974232662807
1-0003,12,7,1-0003,17,2,0,6,2.5641714967787266,0.15083361745757215
1-9404,6,11,1-9404,100,13,0,22,15.068628821521997,0.15068628821521998
1-10468,6,11,1-10468,549,72,0,111,82.43717269040644,0.15015878449982958
1-4098,3,17,1-4098,16,2,0,4,2.3761143311858177,0.1485071456991136
1-5413,9,14,1-5413,39,5,0,8,5.752228662371635,0.14749304262491372
1-18935,7,19,1-18935,30,4,0,4,4.376114331185818,0.14587047770619394
1-6296,16,5,1-6296,254,31,0,63,36.92380071617663,0.1453692941581757
