Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
MLG59,2,4,MLG59,71,15,1,24,1018.9515399336815,14.351430139911006
MLG45,21,24,MLG45,70,0,1,4,1000.6585899889469,14.295122714127814
1-8285,7,24,1-8285,72,0,1,6,1000.9878849834204,13.902609513658616
MLG38,7,7,MLG38,77,16,1,8,1017.3171799778938,13.211911428284335
1-18028,7,7,1-18028,309,8,1,57,1017.3849073424935,3.2925077907524063
MLG56,2,4,MLG56,511,74,1,55,1083.05561234802,2.1194826073346773
1-0008,10,18,1-0008,230,121,0,13,123.14041746407747,0.5353931194090324
1-8573,22,17,1-8573,184,90,0,0,90.0,0.4891304347826087
P-16616,3,17,P-16616,28,12,0,2,12.329294994473457,0.44033196408833775
1-1131,3,2,1-1131,138,57,0,5,57.82323748618364,0.4190089672911858
1-3587,14,16,1-3587,46,16,0,19,19.128302447497845,0.41583266190212703
MLG44,8,9,MLG44,59,22,0,10,23.646474972367287,0.4007877113960557
MLG48,18,21,MLG48,159,56,0,0,56.0,0.3522012578616352
1-0296,10,12,1-0296,41,12,0,9,13.481827475130558,0.328825060369038
1-8067,6,10,1-8067,322,95,0,58,104.54955483973026,0.3246880585084791
MLG63,8,9,MLG63,380,115,0,47,122.73843237012625,0.322995874658227
1-5002,3,2,1-5002,45,12,0,8,13.31717997789383,0.2959373328420851
1-6858,9,8,1-6858,23,6,0,4,6.658589988946915,0.28950391256290936
1-7866,11,13,1-7866,318,88,0,15,90.46971245855093,0.28449595112751863
MLG40,9,9,MLG40,51,13,0,9,14.481827475130558,0.2839574014731482
1-8627,14,16,1-8627,25,5,0,12,6.975769966840744,0.2790307986736298
MLG60,14,16,MLG60,47,9,0,23,12.78689243644476,0.27206154120095233
MLG51,5,11,MLG51,248,63,0,14,65.3050649613142,0.26332687484400885
1-5775,10,14,1-5775,244,59,0,8,60.31717997789383,0.24720155728645013
1-9379,19,22,1-9379,58,10,0,24,13.951539933681488,0.24054379196002565
1-9286,2,4,1-9286,81,18,0,9,19.481827475130558,0.24051638858185875
MLG32,10,12,MLG32,52,10,0,15,12.46971245855093,0.23980216266444096
1-18558,15,17,1-18558,307,72,0,0,72.0,0.23452768729641693
MLG41,8,9,MLG41,66,13,0,15,15.46971245855093,0.23438958270531712
1-6561,18,21,1-6561,65,15,0,0,15.0,0.23076923076923078
1-4682,1,4,1-4682,16,3,0,4,3.6585899889469147,0.22866187430918217
1-4494,9,8,1-4494,16,3,0,3,3.493942491710186,0.21837140573188663
1-3083,5,11,1-3083,78,16,0,6,16.987884983420372,0.2177933972233381
1-2545,15,17,1-2545,145,31,0,1,31.16464749723673,0.21492860342921882
1-9496,1,3,1-9496,39,5,0,20,8.292949944734573,0.21263974217268136
1-6611,3,2,1-6611,89,18,0,5,18.823237486183643,0.21149705040655778
1-19286,1,3,1-19286,40,7,0,8,8.31717997789383,0.20792949944734573
1-7682,7,7,1-7682,141,20,0,55,29.055612348020077,0.20606817268099345
1-9938,6,10,1-9938,55,9,0,13,11.140417464077473,0.2025530448014086
1-4760,15,17,1-4760,40,8,0,0,8.0,0.2
1-4020,2,4,1-4020,37,7,0,2,7.329294994473457,0.19808905390468803
