Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
MLG59,2,2,MLG59,71,17,1,11,1024.4879891872406,14.42940829841184
1-8285,7,13,1-8285,72,7,1,19,1019.9337995052338,14.16574721535047
MLG38,7,13,MLG38,77,7,1,14,1016.530168056488,13.201690494240104
1-3596,7,13,1-3596,223,29,1,56,1067.1206722259521,4.785294494286781
1-18028,7,13,1-18028,309,3,1,238,1165.0128569602966,3.770268145502578
MLG56,2,2,MLG56,511,66,1,48,1098.674861907959,2.150048653440233
1-0296,10,3,1-0296,41,21,0,11,28.4879891872406,0.6948290045668439
1-1580,13,7,1-1580,400,30,0,298,232.85643434524536,0.5821410858631134
1-6611,3,3,1-6611,89,29,0,31,50.10251498222351,0.5629496065418372
MLG44,8,14,MLG44,59,25,0,11,32.4879891872406,0.5506438845295017
1-1989,21,19,1-1989,46,20,0,6,24.084357738494873,0.523572994315106
1-5002,3,3,1-5002,45,16,0,9,22.12653660774231,0.49170081350538464
MLG40,9,14,MLG40,51,17,0,11,24.4879891872406,0.48015665073020786
1-17733,6,15,1-17733,74,13,0,32,34.783241271972656,0.47004380097260345
1-7682,7,13,1-7682,141,39,0,40,66.22905158996582,0.46970958574443844
1-8067,6,15,1-8067,322,88,0,91,149.94609236717224,0.4656710943079883
1-9379,19,18,1-9379,58,19,0,11,26.4879891872406,0.45668946874552757
1-8627,14,6,1-8627,25,5,0,9,11.12653660774231,0.4450614643096924
1-17907,3,3,1-17907,119,30,0,32,51.783241271972656,0.4351532879997702
1-9277,20,12,1-9277,48,9,0,17,20.572346925735474,0.4285905609528224
1-5891,15,5,1-5891,96,8,0,47,39.99413561820984,0.4166055793563525
1-6858,9,23,1-6858,23,4,0,8,9.445810317993164,0.4106874051301376
MLG68,15,5,MLG68,642,59,0,299,262.5371606349945,0.4089363872819229
1-1827,4,11,1-1827,24,7,0,4,9.722905158996582,0.40512104829152423
1-9491,21,19,1-9491,80,9,0,34,32.14469385147095,0.40180867314338686
1-2382,7,13,1-2382,139,26,0,42,54.59050416946411,0.39273744006808714
1-9270,18,17,1-9270,128,14,0,53,50.07849335670471,0.39123822934925556
MLG48,18,17,MLG48,159,56,0,9,62.12653660774231,0.39073293463988873
1-3589,20,12,1-3589,27,1,0,14,10.530168056488037,0.39000622431437176
MLG32,10,9,MLG32,52,8,0,18,20.25307321548462,0.38948217722085804
1-1317,6,15,1-1317,414,73,0,129,160.81369137763977,0.3884388680619318
