Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
MLG59,2,14,MLG59,71,12,1,27,1024.6588377952576,14.431814616834613
MLG45,21,24,MLG45,70,0,1,3,1001.4065375328064,14.305807679040091
1-8285,7,24,1-8285,72,0,1,7,1003.2819209098816,13.934471123748356
MLG38,7,11,MLG38,77,11,1,8,1014.7507667541504,13.178581386417537
1-18028,7,11,1-18028,309,82,1,62,1111.0684423446655,3.595690751924484
MLG56,2,14,MLG56,511,71,1,65,1101.474979877472,2.1555283363551307
1-8573,22,6,1-8573,184,92,0,38,109.81614208221436,0.5968268591424694
1-0008,10,7,1-0008,230,131,0,2,131.9376916885376,0.5736421377762504
MLG44,8,9,MLG44,59,27,0,11,32.15730428695679,0.545039055711132
1-10785,17,8,1-10785,279,99,0,74,133.6945924758911,0.4791920877272083
MLG40,9,9,MLG40,51,17,0,15,24.032687664031982,0.47122916988298
1-3587,14,5,1-3587,46,17,0,9,21.21961259841919,0.46129592605259107
1-6858,9,19,1-6858,23,2,0,16,9.501533508300781,0.4131101525348166
1-1580,13,4,1-1580,400,29,0,284,162.15221977233887,0.40538054943084717
1-5002,3,16,1-5002,45,11,0,15,18.032687664031982,0.4007263925340441
1-0303,17,8,1-0303,212,59,0,46,80.56690883636475,0.3800325888507771
1-2382,7,11,1-2382,139,39,0,28,52.12768363952637,0.3750193067591825
MLG63,8,9,MLG63,380,111,0,67,142.41267156600952,0.374770188331604
1-7140,16,7,1-7140,397,124,0,51,147.91113805770874,0.3725721361655132
1-8067,6,10,1-8067,322,104,0,33,119.47191286087036,0.37103078528220607
1-8627,14,5,1-8627,25,5,0,9,9.21961259841919,0.3687845039367676
MLG64,8,9,MLG64,245,71,0,37,88.34729623794556,0.36060120913447163
1-1317,6,10,1-1317,414,103,0,98,148.94689273834229,0.35977510323271084
MLG30,16,7,MLG30,208,62,0,24,73.25230026245117,0.3521745204925537
1-5555,1,15,1-5555,10,3,0,1,3.468845844268799,0.34688458442687986
1-0296,10,18,1-0296,41,14,0,0,14.0,0.34146341463414637
1-6611,3,16,1-6611,89,24,0,13,30.094995975494385,0.33814602219656614
1-5981,5,17,1-5981,28,5,0,9,9.21961259841919,0.32927187851497103
1-7682,7,11,1-7682,141,21,0,52,45.37998390197754,0.3218438574608336
MLG60,14,5,MLG60,47,8,0,15,15.032687664031982,0.3198444183836592
1-8066,16,7,1-8066,86,5,0,47,27.035754680633545,0.3143692404724831
1-5891,15,6,1-5891,96,8,0,47,30.035754680633545,0.31287244458993274
1-9609,1,15,1-9609,25,5,0,6,7.813075065612793,0.3125230026245117
MLG68,15,6,MLG68,642,59,0,294,196.84067821502686,0.30660541778041567
1-8023,5,17,1-8023,16,2,0,6,4.813075065612793,0.30081719160079956
1-9394,12,3,1-9394,117,18,0,36,34.87845039367676,0.29810641362116885
1-7024,17,8,1-7024,498,84,0,133,146.35649728775024,0.29388854877058285
1-18558,15,6,1-18558,307,73,0,36,89.87845039367676,0.2927636820640937
1-3596,7,11,1-3596,223,48,0,36,64.87845039367676,0.29093475512859535
MLG50,11,2,MLG50,319,64,0,58,91.19305896759033,0.28587165820561233
1-2545,15,6,1-2545,145,30,0,24,41.25230026245117,0.28449862249966323
MLG41,8,9,MLG41,66,12,0,14,18.563841819763184,0.2812703306024725
1-7863,17,8,1-7863,351,63,0,75,98.16343832015991,0.27966791544205105
MLG39,11,18,MLG39,23,5,0,3,6.4065375328063965,0.2785451101220172
1-17907,3,16,1-17907,119,26,0,15,33.03268766403198,0.2775856106221175
1-9156,12,3,1-9156,268,35,0,84,74.3830509185791,0.2775486974573847
1-1131,3,16,1-1131,138,27,0,24,38.25230026245117,0.277190581611965
1-1957,12,17,1-1957,47,5,0,17,12.97037935256958,0.2759655181397783
1-8573,15,6,1-8573,184,32,0,40,50.75383377075195,0.2758360531019128
1-2282,7,11,1-2282,219,43,0,37,60.34729623794556,0.2755584303102537
1-4098,3,16,1-4098,16,3,0,3,4.4065375328063965,0.2754085958003998
1-9452,22,1,1-9452,16,3,0,3,4.4065375328063965,0.2754085958003998
1-3584,1,15,1-3584,26,2,0,11,7.157304286956787,0.27528093411372256
72-12171,4,13,72-12171,19,1,0,9,5.2196125984191895,0.2747164525483784
1-2297,6,10,1-2297,25,4,0,6,6.813075065612793,0.27252300262451173
1-2034,1,15,1-2034,16,2,0,5,4.344229221343994,0.27151432633399963
1-8529,13,4,1-8529,56,2,0,28,15.127683639526367,0.2701372078486851
1-9379,19,22,1-9379,58,10,0,12,15.626150131225586,0.2694163815728549
1-9761,3,16,1-9761,35,7,0,5,9.344229221343994,0.26697797775268556
1-9277,20,12,1-9277,48,9,0,8,12.75076675415039,0.2656409740447998
1-2423,16,7,1-2423,79,13,0,17,20.97037935256958,0.26544783990594406
1-9752,4,13,1-9752,22,3,0,6,5.813075065612793,0.2642306848005815
1-7441,17,8,1-7441,111,17,0,26,29.18999195098877,0.2629729004593583
1-18709,1,15,1-18709,33,3,0,12,8.626150131225586,0.26139848882501776
1-6240,5,17,1-6240,698,81,0,213,180.86416482925415,0.2591177146550919
1-9971,14,5,1-9971,15,2,0,4,3.8753833770751953,0.25835889180501304
1-19286,1,15,1-19286,40,7,0,7,10.281920909881592,0.2570480227470398
1-8578,4,13,1-8578,11,0,0,6,2.813075065612793,0.25573409687389026
1-9286,2,14,1-9286,81,16,0,10,20.68845844268799,0.25541306719367884
1-20578,15,6,1-20578,19,2,0,6,4.813075065612793,0.25331974029541016
1-9496,1,10,1-9496,39,8,0,4,9.875383377075195,0.25321495838654345
1-6878,22,1,1-6878,167,38,0,8,41.75076675415039,0.2500045913422179
1-5531,11,2,1-5531,8,2,0,0,2.0,0.25
1-8093,8,9,1-8093,4,1,0,0,1.0,0.25
1-9938,6,10,1-9938,55,9,0,10,13.688458442687988,0.24888106259432705
MLG65,8,9,MLG65,201,20,0,64,50.006134033203125,0.24878673648359764
1-6181,16,7,1-6181,659,97,0,140,162.63841819763184,0.24679577875209688
1-10698,5,17,1-10698,6,1,0,1,1.4688458442687988,0.24480764071146646
1-4417,16,7,1-4417,151,32,0,10,36.68845844268799,0.24296992346150986
MLG13,4,13,MLG13,140,11,0,49,33.97344636917114,0.24266747406550815
1-4682,1,21,1-4682,16,2,0,4,3.8753833770751953,0.2422114610671997
72-11994,4,13,72-11994,8,1,0,2,1.9376916885375977,0.2422114610671997
1-10444,17,8,1-10444,8,1,0,2,1.9376916885375977,0.2422114610671997
1-9806,4,13,1-9806,8,1,0,2,1.9376916885375977,0.2422114610671997
1-4020,2,14,1-4020,37,8,0,2,8.937691688537598,0.24155923482534047
1-9417,6,10,1-9417,76,8,0,22,18.314608573913574,0.24098169176202072
1-0278,10,18,1-0278,79,19,0,0,19.0,0.24050632911392406
1-1770,11,2,1-1770,35,7,0,3,8.406537532806396,0.24018678665161133
MLG55,11,2,MLG55,92,16,0,13,22.094995975494385,0.2401629997336346
MLG43,7,19,MLG43,14,1,0,5,3.344229221343994,0.2388735158102853
1-7991,2,14,1-7991,46,10,0,2,10.937691688537598,0.23777590627255646
1-5214,9,19,1-5214,40,2,0,16,9.501533508300781,0.23753833770751953
1-4390,20,12,1-4390,45,6,0,10,10.688458442687988,0.23752129872639974
1-9110,20,12,1-9110,29,5,0,4,6.875383377075195,0.23708218541638604
1-1827,4,13,1-1827,24,1,0,10,5.688458442687988,0.23701910177866617
1-4319,6,10,1-4319,163,23,0,33,38.47191286087036,0.23602400528141326
1-6028,22,1,1-6028,2,0,0,1,0.46884584426879883,0.23442292213439941
1-1258,17,8,1-1258,435,68,0,71,101.28805494308472,0.23284610331743613
1-18234,9,19,1-18234,43,2,0,17,9.97037935256958,0.23186928726906
1-1390,19,22,1-1390,98,11,0,25,22.72114610671997,0.23184842966040786
1-10468,6,10,1-10468,549,66,0,129,126.48111391067505,0.23038454264239536
