Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
MLG45,21,24,MLG45,70,0,1,4,1001.3020248413086,14.304314640590123
MLG59,2,7,MLG59,71,7,1,24,1014.8121490478516,14.293128859828895
1-8285,7,24,1-8285,72,0,1,6,1001.9530372619629,13.916014406416151
MLG38,7,8,MLG38,77,17,1,10,1020.2550621032715,13.250065741600928
1-18028,7,8,1-18028,309,84,1,55,1101.9028415679932,3.566028613488651
MLG56,2,7,MLG56,511,176,1,59,1195.2048664093018,2.338952771838164
1-0008,10,18,1-0008,230,121,0,12,124.90607452392578,0.5430698892344599
1-8573,22,17,1-8573,184,92,0,16,97.20809936523438,0.5283048878545347
1-3587,14,16,1-3587,46,17,0,10,20.255062103271484,0.440327437027641
P-16616,3,21,P-16616,28,12,0,0,12.0,0.42857142857142855
MLG44,8,10,MLG44,59,22,0,5,23.627531051635742,0.40046662799382615
1-7682,7,8,1-7682,141,33,0,72,56.43644714355469,0.4002584903798205
1-3447,20,8,1-3447,110,34,0,20,40.51012420654297,0.3682738564231179
MLG63,8,10,MLG63,380,114,0,72,137.4364471435547,0.3616748609040913
MLG48,18,21,MLG48,159,56,0,0,56.0,0.3522012578616352
MLG40,9,10,MLG40,51,13,0,15,17.882593154907227,0.35063908146876915
1-8067,6,9,1-8067,322,104,0,26,112.46316146850586,0.34926447661026666
1-5002,3,5,1-5002,45,12,0,10,15.255062103271484,0.33900138007269964
1-9938,6,9,1-9938,55,13,0,17,18.533605575561523,0.33697464682839134
1-7866,11,13,1-7866,318,90,0,43,103.99676704406738,0.3270338586291427
1-2382,7,8,1-2382,139,32,0,40,45.02024841308594,0.3238866792308341
1-6611,3,5,1-6611,89,25,0,11,28.580568313598633,0.32112998105167
1-8627,14,16,1-8627,25,5,0,9,7.929555892944336,0.31718223571777343
1-18935,7,15,1-18935,30,7,0,7,9.278543472290039,0.30928478240966795
1-1317,6,9,1-1317,414,106,0,66,127.4834098815918,0.30793094174297536
1-1580,13,15,1-1580,400,29,0,287,122.4202823638916,0.306050705909729
1-3596,7,8,1-3596,223,51,0,50,67.27531051635742,0.3016830067998091
1-17907,3,5,1-17907,119,29,0,21,35.83563041687012,0.3011397514022699
MLG60,14,16,MLG60,47,8,0,18,13.859111785888672,0.29487471884869515
1-1131,3,5,1-1131,138,34,0,20,40.51012420654297,0.293551624685094
1-9379,19,22,1-9379,58,10,0,21,16.835630416870117,0.2902694899460365
1-6878,22,1,1-6878,167,37,0,31,47.0906925201416,0.28198019473138686
1-2282,7,8,1-2282,219,41,0,55,58.902841567993164,0.2689627468858135
MLG32,10,12,MLG32,52,12,0,6,13.95303726196289,0.2683276396531325
1-3139,20,2,1-3139,93,20,0,14,24.557086944580078,0.26405469832881806
1-5981,5,4,1-5981,28,5,0,7,7.278543472290039,0.25994798115321566
1-1608,2,7,1-1608,307,52,0,85,79.66802787780762,0.2595049768006763
MLG41,8,10,MLG41,66,14,0,9,16.929555892944336,0.2565084226203687
1-5775,10,14,1-5775,244,59,0,8,61.60404968261719,0.2524756134533491
1-7496,9,11,1-7496,246,32,0,88,60.64454650878906,0.24652254678369537
1-7496,4,11,1-7496,246,32,0,86,59.993534088134766,0.24387615482981612
MLG50,11,13,MLG50,319,49,0,88,77.64454650878906,0.24339983231595316
1-18558,15,17,1-18558,307,73,0,5,74.62753105163574,0.24308642036363434
MLG58,10,12,MLG58,71,13,0,13,17.23158073425293,0.2426983202007455
72-12171,4,3,72-12171,19,2,0,8,4.6040496826171875,0.24231840434827304
1-9286,2,7,1-9286,81,13,0,20,19.51012420654297,0.24086573094497493
1-19286,1,6,1-19286,40,7,0,8,9.604049682617188,0.24010124206542968
1-0303,17,20,1-0303,212,29,0,67,50.808916091918945,0.23966469854678749
1-18709,1,6,1-18709,33,3,0,15,7.882593154907227,0.23886645923961292
1-7213,1,6,1-7213,23,5,0,1,5.325506210327148,0.23154374827509341
1-3068,2,5,1-3068,180,41,0,2,41.6510124206543,0.23139451344807943
1-6561,18,21,1-6561,65,15,0,0,15.0,0.23076923076923078
1-8767,7,8,1-8767,48,0,0,34,11.067211151123047,0.23056689898173013
MLG39,11,13,MLG39,23,3,0,7,5.278543472290039,0.22950189009956692
1-9761,3,5,1-9761,35,8,0,0,8.0,0.22857142857142856
MLG62,7,8,MLG62,525,112,0,22,119.16113662719727,0.22697359357561384
1-4494,9,11,1-4494,16,2,0,5,3.627531051635742,0.2267206907272339
1-8023,5,8,1-8023,16,1,0,8,3.6040496826171875,0.22525310516357422
1-6927,19,22,1-6927,179,24,0,50,40.27531051635742,0.22500173472825374
MLG72,8,10,MLG72,9,2,0,0,2.0,0.2222222222222222
1-4842,17,20,1-4842,6,1,0,1,1.3255062103271484,0.2209177017211914
1-9971,14,16,1-9971,15,2,0,4,3.3020248413085938,0.2201349894205729
1-19448,5,4,1-19448,45,6,0,12,9.906074523925781,0.2201349894205729
1-1957,12,14,1-1957,47,8,0,7,10.278543472290039,0.21869241430404338
1-9034,7,8,1-9034,3,0,0,2,0.6510124206542969,0.21700414021809897
1-5197,6,9,1-5197,72,8,0,23,15.486642837524414,0.21509226163228354
MLG68,15,17,MLG68,642,59,0,240,137.12149047851562,0.21358487613475954
1-3523,13,15,1-3523,543,94,0,66,115.4834098815918,0.21267662961619116
1-9609,1,6,1-9609,25,4,0,4,5.302024841308594,0.21208099365234376
1-2297,6,9,1-2297,25,4,0,4,5.302024841308594,0.21208099365234376
1-1390,19,22,1-1390,98,11,0,30,20.765186309814453,0.21188965622259645
1-3083,5,4,1-3083,78,10,0,20,16.51012420654297,0.21166825905824319
1-2545,15,17,1-2545,145,30,0,2,30.651012420654297,0.21138629255623653
1-4649,20,2,1-4649,244,40,0,35,51.392717361450195,0.21062589082561556
1-9995,16,18,1-9995,24,5,0,0,5.0,0.20833333333333334
1-10468,6,9,1-10468,549,70,0,135,113.94333839416504,0.20754706447024598
1-9452,22,1,1-9452,16,2,0,4,3.3020248413085938,0.2063765525817871
1-5891,15,17,1-5891,96,8,0,36,19.718223571777344,0.205398162206014
1-9404,6,9,1-9404,100,15,0,17,20.533605575561523,0.20533605575561523
1-8988,13,15,1-8988,29,4,0,6,5.953037261962891,0.2052771469642376
1-5980,1,6,1-5980,29,4,0,6,5.953037261962891,0.2052771469642376
1-1942,20,2,1-1942,34,6,0,3,6.976518630981445,0.20519172444063075
1-0405,1,6,1-0405,64,2,0,34,13.067211151123047,0.2041751742362976
MLG55,11,13,MLG55,92,9,0,30,18.765186309814453,0.20396941641102667
MLG29,9,11,MLG29,164,19,0,44,33.32227325439453,0.2031845930146008
1-9610,12,14,1-9610,49,8,0,6,9.95303726196289,0.2031232094278141
1-8573,15,17,1-8573,184,32,0,16,37.208099365234375,0.2022179313327955
1-6693,1,6,1-6693,98,10,0,30,19.765186309814453,0.2016855745899434
MLG57,5,4,MLG57,629,55,0,220,126.61136627197266,0.2012899304800837
1-17733,6,9,1-17733,74,10,0,15,14.882593154907227,0.2011161237149625
1-18613,17,20,1-18613,25,4,0,3,4.976518630981445,0.19906074523925782
1-5744,11,13,1-5744,18,0,0,11,3.580568313598633,0.1989204618665907
1-8529,13,15,1-8529,56,2,0,28,11.114173889160156,0.19846739087785994
1-2294,6,9,1-2294,75,10,0,15,14.882593154907227,0.19843457539876302
MLG75,9,11,MLG75,185,20,0,51,36.60081672668457,0.19784225257667334
1-5555,1,6,1-5555,10,1,0,3,1.9765186309814453,0.19765186309814453
1-9650,4,16,1-9650,25,2,0,9,4.929555892944336,0.19718223571777344
1-9496,1,6,1-9496,39,7,0,2,7.651012420654297,0.1961798056578025
1-4531,20,2,1-4531,94,9,0,29,18.439680099487305,0.1961668095690139
1-0292,19,22,1-0292,99,8,0,35,19.392717361450195,0.1958860339540424
1-7005,20,2,1-7005,285,30,0,79,55.71499061584473,0.19549119514331484
1-4319,6,9,1-4319,163,25,0,21,31.835630416870117,0.1953106160544179
MLG46,9,11,MLG46,17,1,0,7,3.278543472290039,0.1928554983700023
1-5425,5,8,1-5425,17,1,0,7,3.278543472290039,0.1928554983700023
1-9156,12,14,1-9156,268,37,0,45,51.64777946472168,0.1927155950176182
1-6240,5,4,1-6240,698,63,0,218,133.96035385131836,0.19192027772395182
1-0053,1,6,1-0053,142,19,0,25,27.13765525817871,0.1911102482970332
1-3584,1,6,1-3584,26,2,0,9,4.929555892944336,0.18959830357478216
1-11206,2,7,1-11206,14,2,0,2,2.651012420654297,0.1893580300467355
1-8084,1,6,1-8084,82,7,0,26,15.46316146850586,0.18857513985982755
1-11330,2,7,1-11330,14,1,0,5,2.627531051635742,0.187680789402553
1-18994,11,7,1-18994,28,2,0,10,5.255062103271484,0.187680789402553
MLG14,19,22,MLG14,232,34,0,29,43.439680099487305,0.18724000042882458
1-6858,9,11,1-6858,23,3,0,4,4.302024841308594,0.18704455831776495
1-2034,1,6,1-2034,16,2,0,3,2.9765186309814453,0.18603241443634033
1-4682,1,6,1-4682,16,2,0,3,2.9765186309814453,0.18603241443634033
1-8938,1,6,1-8938,30,2,0,11,5.580568313598633,0.1860189437866211
1-5413,9,11,1-5413,39,3,0,13,7.23158073425293,0.1854251470321264
1-9887,13,15,1-9887,36,6,0,2,6.651012420654297,0.18475034501817492
1-2714,7,8,1-2714,61,8,0,10,11.255062103271484,0.18450921480772925
1-1183,10,12,1-1183,45,7,0,4,8.302024841308594,0.18448944091796876
1-7140,16,18,1-7140,397,30,0,132,72.9668197631836,0.1837955157762811
