Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
MLG59,2,2,MLG59,71,17,1,11,1023.842462003231,14.420316366242691
MLG38,7,7,MLG38,77,10,1,8,1014.9763360023499,13.181510857173375
1-18028,7,7,1-18028,309,82,1,59,1118.7004780173302,3.620389896496214
MLG56,2,2,MLG56,511,57,1,31,1076.2833020091057,2.1062295538338662
1-0008,10,17,1-0008,230,121,0,12,128.46450400352478,0.5585413217544556
1-1580,13,14,1-1580,400,40,0,286,217.90401208400726,0.5447600302100182
1-1989,21,22,1-1989,46,20,0,6,23.73225200176239,0.5159185217774432
1-8573,22,16,1-8573,184,92,0,2,93.24408400058746,0.5067613260901492
1-3587,14,15,1-3587,46,17,0,10,23.220420002937317,0.5047917391942895
P-16616,3,3,P-16616,28,6,0,11,12.842462003231049,0.45865935725825174
1-9379,19,21,1-9379,58,20,0,10,26.220420002937317,0.45207620694719514
1-9277,20,6,1-9277,48,9,0,20,21.440840005874634,0.44668416678905487
MLG60,14,15,MLG60,47,9,0,18,20.19675600528717,0.4297182128784504
1-5913,8,11,1-5913,14,6,0,0,6.0,0.42857142857142855
1-5002,3,3,1-5002,45,13,0,10,19.220420002937317,0.42712044450971814
MLG44,8,9,MLG44,59,22,0,5,25.11021000146866,0.4255967796859095
1-8627,14,15,1-8627,25,5,0,9,10.598378002643585,0.4239351201057434
MLG63,8,9,MLG63,380,116,0,68,158.29885601997375,0.41657593689466776
1-1390,19,21,1-1390,98,36,0,5,39.11021000146866,0.39908377552519037
1-9938,6,8,1-9938,55,10,0,19,21.818798005580902,0.39670541828328915
1-2382,7,7,1-2382,139,36,0,30,54.66126000881195,0.3932464748835392
MLG40,9,9,MLG40,51,13,0,11,19.84246200323105,0.3890678824162951
1-9491,21,22,1-9491,80,9,0,35,30.77147001028061,0.3846433751285076
1-8067,6,8,1-8067,322,104,0,27,120.79513400793076,0.37514016772649306
1-7866,11,12,1-7866,318,90,0,43,116.74780601263046,0.3671314654485235
1-1317,6,8,1-1317,414,103,0,78,151.51927602291107,0.36598858942732143
MLG48,18,20,MLG48,159,56,0,3,57.866126000881195,0.3639378993766113
1-3083,5,4,1-3083,78,8,0,32,27.905344009399414,0.3577608206333258
1-7682,7,7,1-7682,141,18,0,52,50.34618401527405,0.3570651348600996
1-7268,21,22,1-7268,70,16,0,14,24.708588004112244,0.3529798286301749
1-7496,4,10,1-7496,246,36,0,80,85.76336002349854,0.34863154481096964
1-7496,9,10,1-7496,246,36,0,80,85.76336002349854,0.34863154481096964
1-7005,20,6,1-7005,285,17,0,130,97.86546003818512,0.3433875790813513
1-0303,17,19,1-0303,212,28,0,71,72.16498202085495,0.3404008585889384
1-10539,21,22,1-10539,63,3,0,29,21.03921800851822,0.3339558414050511
1-6927,19,21,1-6927,179,41,0,30,59.66126000881195,0.33330312854084887
1-11329,21,2,1-11329,14,4,0,1,4.622042000293732,0.330145857163838
MLG50,11,12,MLG50,319,50,0,88,104.73969602584839,0.3283376050967034
MLG68,15,16,MLG68,642,59,0,240,208.2900800704956,0.3244393770568467
MLG55,11,12,MLG55,92,11,0,30,29.66126000881195,0.32240500009578205
1-3139,20,6,1-3139,93,10,0,32,29.905344009399414,0.3215628388107464
1-5891,15,16,1-5891,96,8,0,36,30.39351201057434,0.3165990834434827
1-3596,7,7,1-3596,223,46,0,37,69.01555401086807,0.3094867892864039
1-6611,3,3,1-6611,89,15,0,20,27.440840005874634,0.30832404500982735
1-17907,3,3,1-17907,119,12,0,39,36.259638011455536,0.3047028404323995
1-4531,20,6,1-4531,94,8,0,33,28.527386009693146,0.30348282989035263
MLG32,10,11,MLG32,52,12,0,6,15.73225200176239,0.3025433077261998
1-2282,7,7,1-2282,219,41,0,40,65.88168001174927,0.3008295890947455
1-9971,14,15,1-9971,15,2,0,4,4.488168001174927,0.29921120007832847
1-0292,19,21,1-0292,99,12,0,28,29.417176008224487,0.2971431920022676
MLG58,10,11,MLG58,71,13,0,13,21.086546003818512,0.29699360568758465
1-3589,20,21,1-3589,27,1,0,11,7.842462003231049,0.290461555675224
1-1131,3,3,1-1131,138,13,0,43,39.74780601263046,0.28802757980167004
1-0003,12,22,1-0003,17,3,0,3,4.866126000881195,0.28624270593418794
MLG75,9,10,MLG75,185,21,0,51,52.724142014980316,0.2849953622431368
1-2297,6,8,1-2297,25,4,0,5,7.1102100014686584,0.28440840005874635
1-5413,9,10,1-5413,39,3,0,13,11.086546003818512,0.2842704103543208
1-5197,6,8,1-5197,72,3,0,28,20.417176008224487,0.28357188900311786
1-9630,18,20,1-9630,33,5,0,7,9.354294002056122,0.2834634546077613
1-7140,16,17,1-7140,397,30,0,132,112.10954403877258,0.2823917985863289
MLG39,11,11,MLG39,23,4,0,4,6.488168001174927,0.282094260920649
1-9110,20,6,1-9110,29,5,0,5,8.110210001468658,0.27966241384374685
1-4649,20,6,1-4649,244,9,0,95,68.09399002790451,0.2790737296225595
1-18615,11,12,1-18615,22,3,0,5,6.1102100014686584,0.2777368182485754
1-8910,3,3,1-8910,137,15,0,37,38.01555401086807,0.27748579569976695
1-9404,6,8,1-9404,100,13,0,23,27.30696600675583,0.2730696600675583
1-3447,20,6,1-3447,110,2,0,45,29.991890013217926,0.27265354557470844
MLG29,9,10,MLG29,164,17,0,44,44.369848012924194,0.27054785373734264
1-4842,17,19,1-4842,6,1,0,1,1.6220420002937317,0.27034033338228863
1-6561,18,20,1-6561,65,15,0,4,17.488168001174927,0.26904873847961425
MLG41,8,9,MLG41,66,14,0,6,17.73225200176239,0.26867048487518774
1-8988,13,14,1-8988,29,4,0,6,7.73225200176239,0.2666293793711169
1-8066,16,17,1-8066,86,3,0,32,22.905344009399414,0.2663412094116211
1-9794,9,10,1-9794,46,1,0,18,12.19675600528717,0.2651468696801559
1-10468,6,8,1-10468,549,65,0,128,144.62137603759766,0.26342691445828353
1-5172,8,20,1-5172,120,16,0,25,31.551050007343292,0.2629254167278608
1-1957,12,13,1-1957,47,8,0,7,12.354294002056122,0.26285731919268346
1-5775,10,13,1-5775,244,59,0,8,63.97633600234985,0.2621980983702863
MLG57,5,4,MLG57,629,68,0,155,164.4165100455284,0.2613934976876445
1-4390,20,6,1-4390,45,6,0,9,11.598378002643585,0.2577417333920797
MLG84,14,15,MLG84,63,10,0,10,16.220420002937317,0.2574669841736082
1-4494,9,10,1-4494,16,1,0,5,4.1102100014686584,0.25688812509179115
1-10785,17,19,1-10785,279,2,0,112,71.66870403289795,0.256877075386731
1-9650,4,9,1-9650,25,2,0,7,6.354294002056122,0.25417176008224485
MLG30,16,17,MLG30,208,18,0,56,52.834352016448975,0.2540113077713893
MLG31,7,7,MLG31,33,4,0,7,8.354294002056122,0.25316042430473096
1-8023,5,2,1-8023,16,4,0,0,4.0,0.25
1-18994,11,14,1-18994,28,7,0,0,7.0,0.25
1-5531,11,14,1-5531,8,2,0,0,2.0,0.25
1-18558,15,16,1-18558,307,73,0,5,76.11021000146866,0.2479159934901259
1-2294,6,8,1-2294,75,8,0,17,18.57471400499344,0.2476628533999125
1-3052,20,6,1-3052,166,13,0,45,40.991890013217926,0.24693909646516823
1-1942,20,21,1-1942,34,4,0,7,8.354294002056122,0.24571452947223887
1-5981,5,4,1-5981,28,5,0,3,6.866126000881195,0.24521878574575698
1-3523,13,14,1-3523,543,94,0,62,132.56660401821136,0.2441373922987318
MLG14,19,21,MLG14,232,49,0,12,56.46450400352478,0.24338148277381372
1-18234,9,10,1-18234,43,3,0,12,10.46450400352478,0.2433605582215065
1-1608,2,2,1-1608,307,51,0,38,74.6375960111618,0.24311920524808406
1-9156,12,13,1-9156,268,36,0,46,64.61393201351166,0.24109676124444648
1-5161,13,14,1-5161,12,1,0,3,2.866126000881195,0.23884383340676626
1-6858,9,10,1-6858,23,3,0,4,5.488168001174927,0.23861600005108377
1-19229,21,22,1-19229,38,4,0,8,8.976336002349854,0.23621936848289088
1-18613,17,19,1-18613,25,4,0,3,5.866126000881195,0.2346450400352478
1-4098,3,3,1-4098,16,0,0,6,3.73225200176239,0.23326575011014938
1-4020,2,2,1-4020,37,8,0,1,8.622042000293732,0.23302816217010086
MLG69,14,15,MLG69,576,59,0,120,133.6450400352478,0.232022638950083
1-10038,14,15,1-10038,76,7,0,17,17.57471400499344,0.2312462369078084
1-17733,6,8,1-17733,74,9,0,13,17.086546003818512,0.2308992703218718
1-0031,5,4,1-0031,13,3,0,0,3.0,0.23076923076923078
1-8400,21,22,1-8400,33,2,0,9,7.598378002643585,0.23025387886798743
1-8705,21,22,1-8705,48,1,0,16,10.952672004699707,0.22818066676457724
1-8573,15,16,1-8573,184,32,0,16,41.95267200469971,0.22800365219945493
MLG51,5,4,MLG51,248,13,0,70,56.54294002056122,0.22799572588935976
MLG46,9,4,MLG46,17,2,0,3,3.866126000881195,0.22741917652242324
1-5425,5,8,1-5425,17,2,0,3,3.866126000881195,0.22741917652242324
1-5214,9,10,1-5214,40,1,0,13,9.086546003818512,0.2271636500954628
1-0129,18,20,1-0129,142,24,0,13,32.08654600381851,0.2259615915761867
1-7204,4,3,1-7204,26,4,0,3,5.866126000881195,0.22562023080312288
1-4929,1,1,1-4929,10,1,0,2,2.2440840005874634,0.22440840005874635
MLG49,10,11,MLG49,185,14,0,44,41.369848012924194,0.22362080006986051
1-9655,7,7,1-9655,27,6,0,0,6.0,0.2222222222222222
MLG72,8,9,MLG72,9,2,0,0,2.0,0.2222222222222222
1-7897,8,13,1-7897,95,18,0,5,21.11021000146866,0.22221273685756482
1-2335,9,10,1-2335,145,9,0,37,32.01555401086807,0.22079692421288327
1-11350,13,14,1-11350,100,9,0,21,22.062882006168365,0.22062882006168366
1-4319,6,8,1-4319,163,21,0,24,35.92900800704956,0.22042336200643903
