Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
MLG45,21,21,MLG45,70,13,1,3,1013.9367572963238,14.48481081851891
MLG59,2,2,MLG59,71,12,1,11,1015.4347767531872,14.301898264129397
1-8285,7,21,1-8285,72,8,1,6,1009.8735145926476,14.026021036008993
MLG38,7,14,MLG38,77,11,1,3,1011.9367572963238,13.142035809043167
1-18028,7,14,1-18028,309,83,1,5,1084.5612621605396,3.5099069972833
MLG56,2,2,MLG56,511,73,1,31,1082.6798253953457,2.118747212123964
1-0008,10,6,1-0008,230,123,0,37,134.55333998799324,0.5850145216869271
1-8573,22,7,1-8573,184,90,0,20,96.24504864215851,0.5230709165334702
1-6611,3,5,1-6611,89,33,0,20,39.24504864215851,0.44095560272088213
1-3587,14,8,1-3587,46,17,0,10,20.122524321079254,0.4374461808930273
1-9379,19,19,1-9379,58,20,0,17,25.308291345834732,0.436349850790254
MLG48,18,18,MLG48,159,56,0,33,66.30433025956154,0.41700836641233674
1-2382,7,14,1-2382,139,47,0,21,53.557301074266434,0.3853043242752981
1-5002,3,5,1-5002,45,15,0,7,17.185767024755478,0.38190593388345506
1-8627,14,8,1-8627,25,5,0,13,9.05928161740303,0.36237126469612124
1-1580,13,9,1-1580,400,57,0,258,137.56112748384476,0.34390281870961187
MLG50,11,10,MLG50,319,83,0,84,109.22920429706573,0.3424112987368832
1-9645,2,8,1-9645,69,3,0,63,22.6719032227993,0.32857830757680145
1-17907,3,5,1-17907,119,31,0,25,38.806310802698135,0.3261034521235137
MLG40,9,13,MLG40,51,11,0,18,16.620543777942657,0.3258930152537776
1-7682,7,14,1-7682,141,42,0,11,45.43477675318718,0.32223245924246224
1-7268,21,21,1-7268,70,17,0,16,21.996038913726807,0.31422912733895436
1-2423,16,6,1-2423,79,12,0,40,24.490097284317017,0.31000123144705083
1-1989,21,21,1-1989,46,8,0,19,13.932796210050583,0.3028868741315344
1-6927,19,19,1-6927,179,37,0,48,51.98811674118042,0.2904364063753096
1-7005,20,20,1-7005,285,56,0,84,82.22920429706573,0.2885235238493535
MLG49,10,12,MLG49,185,42,0,36,53.241087555885315,0.2877896624642449
MLG63,8,13,MLG63,380,68,0,129,108.28056374192238,0.2849488519524273
MLG58,10,12,MLG58,71,14,0,17,19.308291345834732,0.271947765434292
MLG55,11,10,MLG55,92,19,0,19,24.932796210050583,0.27100865445707156
1-6561,18,18,1-6561,65,15,0,8,17.498019456863403,0.26920029933636
1-3596,7,14,1-3596,223,48,0,36,59.241087555885315,0.26565510114746776
1-18558,15,7,1-18558,307,74,0,24,81.49405837059021,0.2654529588618574
1-1390,19,19,1-1390,98,15,0,35,25.92883512377739,0.2645799502426264
1-3447,20,20,1-3447,110,13,0,51,28.924874037504196,0.2629534003409472
1-1317,6,15,1-1317,414,84,0,76,107.73118484020233,0.2602202532372037
MLG75,9,22,MLG75,185,32,0,50,47.61262160539627,0.2573655221913312
1-0272,14,8,1-0272,111,15,0,43,28.426854580640793,0.2560977890147819
1-6858,9,22,1-6858,23,3,0,9,5.810271888971329,0.2526205169117969
MLG14,19,19,MLG14,232,49,0,29,58.05532053112984,0.2502384505652148
1-5981,5,10,1-5981,28,6,0,3,6.936757296323776,0.24774133201156343
1-3139,20,20,1-3139,93,16,0,22,22.86955350637436,0.24590917748789634
1-2545,15,7,1-2545,145,29,0,21,35.557301074266434,0.2452227660294237
MLG44,8,13,MLG44,59,6,0,27,14.430815666913986,0.2445900960493896
1-19229,21,21,1-19229,38,8,0,4,9.249009728431702,0.24339499285346583
1-0292,19,19,1-0292,99,13,0,35,23.92883512377739,0.2417054052906807
1-9286,2,2,1-9286,81,18,0,5,19.561262160539627,0.24149706371036578
1-11350,13,9,1-11350,100,21,0,10,24.122524321079254,0.24122524321079253
1-2282,7,14,1-2282,219,42,0,33,52.30433025956154,0.23883255826283808
MLG60,14,8,MLG60,47,8,0,10,11.122524321079254,0.23664945363998413
1-5891,15,7,1-5891,96,8,0,47,22.675864309072495,0.23620691988617182
1-9761,3,5,1-9761,35,7,0,4,8.249009728431702,0.23568599224090575
MLG68,15,7,MLG68,642,59,0,295,151.114467471838,0.23538079045457633
1-8398,14,8,1-8398,54,1,0,37,12.55333998799324,0.23246925903691185
1-9610,12,11,1-9610,49,10,0,4,11.249009728431702,0.22957162711085105
1-9283,21,21,1-9283,235,49,0,15,53.68378648161888,0.22844164460263353
MLG10,2,2,MLG10,60,9,0,15,13.683786481618881,0.22806310802698135
1-5425,5,4,1-5425,17,2,0,6,3.8735145926475525,0.2278537995675031
MLG65,8,13,MLG65,201,43,0,8,45.4980194568634,0.2263583057555393
1-9794,9,22,1-9794,46,5,0,17,10.308291345834732,0.224093290126842
1-3265,9,13,1-3265,19,3,0,4,4.249009728431702,0.22363209097008957
