Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
MLG59,2,10,MLG59,71,16,1,5,1020.6203863620758,14.374935019184166
MLG38,7,5,MLG38,77,4,1,14,1016.9370818138123,13.206975088491069
1-18028,7,5,1-18028,309,3,1,144,1136.0671272277832,3.6765926447501074
MLG56,2,10,MLG56,511,55,1,30,1082.7223181724548,2.1188303682435516
1-1580,13,16,1-1580,400,41,0,286,305.2860999107361,0.7632152497768402
1-1390,19,22,1-1390,98,34,0,28,59.87416362762451,0.6109608533431072
1-0008,10,13,1-0008,230,121,0,15,134.86115908622742,0.5863528655922932
1-3587,14,15,1-3587,46,18,0,9,26.31669545173645,0.5721020750377489
1-1183,10,17,1-1183,45,10,0,17,25.70931363105774,0.571318080690172
1-9379,19,22,1-9379,58,18,0,16,32.78523635864258,0.5652626958386652
1-1989,21,23,1-1989,46,22,0,4,25.696309089660645,0.5586154149926227
1-2423,16,13,1-2423,79,10,0,36,43.2667818069458,0.5476807823664025
MLG44,8,4,MLG44,59,25,0,7,31.468540906906128,0.5333651001170531
1-8627,14,15,1-8627,25,5,0,9,13.31669545173645,0.532667818069458
1-1570,21,21,1-1570,142,60,0,16,74.78523635864258,0.5266565940749477
1-9277,20,7,1-9277,48,16,0,10,25.24077272415161,0.5258494317531586
1-5002,3,9,1-5002,45,11,0,13,23.013004541397095,0.5114001009199355
1-8573,22,14,1-8573,184,90,0,2,91.84815454483032,0.49917475296103436
1-4531,20,6,1-4531,94,8,0,42,46.81124544143677,0.4979919727812422
1-8066,16,13,1-8066,86,3,0,43,42.73532271385193,0.49692235713781313
1-7682,7,5,1-7682,141,40,0,31,68.64639544487,0.4868538684033333
MLG60,14,15,MLG60,47,9,0,15,22.861159086227417,0.4864076401324982
1-3083,5,16,1-3083,78,30,0,8,37.39261817932129,0.47939254076052934
MLG40,9,4,MLG40,51,17,0,8,24.39261817932129,0.4782866309670841
MLG49,10,20,MLG49,185,78,0,11,88.16484999656677,0.47656675673819876
1-2382,7,5,1-2382,139,28,0,40,64.96309089660645,0.4673603661626363
1-9491,21,23,1-9491,80,25,0,13,37.013004541397095,0.4626625567674637
1-6028,22,1,1-6028,2,0,0,1,0.9240772724151611,0.46203863620758057
1-6858,9,19,1-6858,23,5,0,6,10.544463634490967,0.45845494063004205
1-9270,18,21,1-9270,128,14,0,47,57.43163180351257,0.448684623464942
MLG14,19,22,MLG14,232,48,0,60,103.44463634490967,0.44588205321081753
MLG32,10,20,MLG32,52,12,0,12,23.088927268981934,0.4440178320958064
MLG68,15,14,MLG68,642,60,0,242,283.626699924469,0.44178613695400154
MLG75,9,19,MLG75,185,28,0,58,81.59648180007935,0.4410620637842127
MLG55,11,18,MLG55,92,23,0,19,40.55746817588806,0.44084204539008764
1-9997,9,4,1-9997,16,6,0,1,6.924077272415161,0.43275482952594757
1-10539,21,23,1-10539,63,4,0,25,27.10193181037903,0.4301893938155401
1-5891,15,14,1-5891,96,8,0,36,41.2667818069458,0.42986231048901874
1-8084,1,11,1-8084,82,5,0,32,34.570472717285156,0.4215911306985995
MLG29,9,19,MLG29,164,27,0,44,67.65939998626709,0.4125573169894335
P-16616,3,21,P-16616,28,6,0,6,11.544463634490967,0.41230227266039166
MLG50,11,18,MLG50,319,54,0,83,130.69841361045837,0.4097128953305905
1-6693,1,11,1-6693,98,5,0,38,40.11493635177612,0.4093360852222053
1-7496,4,19,1-7496,246,60,0,44,100.65939998626709,0.4091845527897036
1-2034,1,11,1-2034,16,1,0,6,6.544463634490967,0.4090289771556854
1-7496,9,19,1-7496,246,58,0,46,100.50755453109741,0.4085672948418594
1-7866,11,18,1-7866,318,70,0,64,129.1409454345703,0.4061036019955041
1-4390,20,6,1-4390,45,6,0,13,18.013004541397095,0.4002889898088243
1-19286,1,11,1-19286,40,2,0,15,15.861159086227417,0.3965289771556854
1-3596,7,5,1-3596,223,19,0,73,86.45764088630676,0.3877024254991335
1-6734,18,21,1-6734,44,4,0,14,16.937081813812256,0.38493367758664215
1-6296,16,13,1-6296,254,19,0,84,96.62249088287354,0.3804035074128879
1-9971,14,15,1-9971,15,2,0,4,5.6963090896606445,0.3797539393107096
1-5172,8,21,1-5172,120,16,0,32,45.570472717285156,0.3797539393107096
1-6611,3,9,1-6611,89,16,0,19,33.55746817588806,0.37705020422346136
MLG63,8,4,MLG63,380,131,0,12,142.08892726898193,0.3739182296552156
1-17907,3,9,1-17907,119,10,0,37,44.19085907936096,0.37135175696941986
1-5555,1,11,1-5555,10,0,0,4,3.6963090896606445,0.36963090896606443
MLG73,9,19,MLG73,10,0,0,4,3.6963090896606445,0.36963090896606443
1-9836,17,1,1-9836,5,0,0,2,1.8481545448303223,0.36963090896606443
1-5803,9,19,1-5803,15,0,0,6,5.544463634490967,0.36963090896606443
1-3216,1,11,1-3216,5,0,0,2,1.8481545448303223,0.36963090896606443
1-8067,6,3,1-8067,322,81,0,41,118.8871681690216,0.36921480797832795
1-5413,9,19,1-5413,39,7,0,8,14.392618179321289,0.369041491777469
1-18234,9,19,1-18234,43,2,0,15,15.861159086227417,0.36886416479598644
1-1131,3,9,1-1131,138,12,0,42,50.81124544143677,0.368197430735049
1-6181,16,13,1-6181,659,40,0,219,242.3729226589203,0.36778895699380926
1-2282,7,5,1-2282,219,14,0,72,80.5335636138916,0.36773316718671967
MLG58,10,20,MLG58,71,15,0,12,26.088927268981934,0.36744967984481597
1-9808,16,13,1-9808,74,4,0,25,27.10193181037903,0.36624232176187876
1-6878,22,24,1-6878,167,38,0,25,61.10193181037903,0.36587983119987444
1-8023,5,8,1-8023,16,4,0,2,5.848154544830322,0.36550965905189514
1-8341,20,6,1-8341,197,17,0,59,71.5205590724945,0.363048523210632
1-1317,6,3,1-1317,414,20,0,140,149.37081813812256,0.36079907762831537
1-8910,3,9,1-8910,137,15,0,37,49.19085907936096,0.3590573655427807
