Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
MLG45,21,24,MLG45,70,7,1,0,1007.0,14.385714285714286
MLG59,2,16,MLG59,71,10,1,27,1012.4852430075407,14.260355535317474
1-8285,7,24,1-8285,72,2,1,0,1002.0,13.916666666666666
MLG38,7,3,MLG38,77,11,1,12,1012.1045524477959,13.144214966854491
1-18028,7,3,1-18028,309,83,1,49,1087.5102558284998,3.51945066611165
MLG56,2,16,MLG56,511,87,1,46,1091.2341177165508,2.1354875102085145
1-0008,10,6,1-0008,230,121,0,76,127.9954988360405,0.5565021688523499
1-8573,22,7,1-8573,184,88,0,16,89.47273659706116,0.486264872810115
1-3587,14,8,1-3587,46,17,0,19,18.748874709010124,0.4075842328045679
1-9379,19,20,1-9379,58,20,0,13,21.19659848511219,0.36545859457089985
1-2382,7,3,1-2382,139,45,0,26,47.39319697022438,0.34095825158434806
1-6228,5,13,1-6228,48,11,0,52,15.786393940448761,0.32888320709268254
1-0296,10,12,1-0296,41,13,0,0,13.0,0.3170731707317073
1-6927,19,20,1-6927,179,53,0,12,54.10455244779587,0.302260069540759
1-7682,7,3,1-7682,141,41,0,13,42.19659848511219,0.2992666559227815
MLG40,9,2,MLG40,51,14,0,12,15.104552447795868,0.29616769505482093
MLG65,8,2,MLG65,201,58,0,5,58.46023018658161,0.2908469163511523
1-7866,11,11,1-7866,318,90,0,15,91.38069055974483,0.2873606621375624
1-6611,3,14,1-6611,89,24,0,10,24.920460373163223,0.28000517273217107
1-5002,3,14,1-5002,45,11,0,11,12.012506410479546,0.2669445868995455
1-9645,2,14,1-9645,69,18,0,1,18.092046037316322,0.2622035657582076
1-5775,10,10,1-5775,244,59,0,5,59.46023018658161,0.24368946797779348
1-17907,3,14,1-17907,119,27,0,13,28.19659848511219,0.2369462057572453
1-18558,15,7,1-18558,307,72,0,6,72.55227622389793,0.23632663265113332
1-2545,15,7,1-2545,145,34,0,1,34.09204603731632,0.23511755887804361
1-8627,14,8,1-8627,25,5,0,9,5.828414335846901,0.23313657343387603
1-3596,7,3,1-3596,223,48,0,41,51.773887529969215,0.23216989923753012
