Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
141,141,141,141,MLG45,20,11,MLG45,70,25,1,10,1026.6072183847427,14.665817405496325
4,4,4,4,1-6240,20,11,1-6240,698,72,1,61,1081.8040321469307,1.5498625102391557
454,454,454,454,1-0272,9,5,1-0272,111,58,0,53,66.5182574391365,0.5992635805327613
166,166,166,166,MLG40,14,7,MLG40,51,25,0,18,27.892993092536926,0.5469214331869986
268,268,268,268,MLG44,14,7,MLG44,59,29,0,14,31.25010573863983,0.5296628091294887
399,399,399,399,MLG60,15,15,MLG60,47,23,0,4,23.642887353897095,0.5030401564658956
443,443,443,443,1-3447,8,13,1-3447,110,42,0,25,46.01804596185684,0.41834587238051674
346,346,346,346,MLG32,14,7,MLG32,52,15,0,24,18.85732412338257,0.36264084852658784
353,353,353,353,MLG50,7,9,MLG50,319,110,0,31,114.98237699270248,0.3604463228611363
140,140,140,140,1-2294,4,15,1-2294,75,26,0,2,26.321443676948547,0.350952582359314
332,332,332,332,MLG78,20,11,MLG78,80,27,0,2,27.321443676948547,0.34151804596185686
483,483,483,483,1-9491,20,11,1-9491,80,25,0,14,27.25010573863983,0.3406263217329979
68,68,68,68,1-7845,13,6,1-7845,36,10,0,10,11.607218384742737,0.32242273290952045
246,246,246,246,MLG56,4,4,MLG56,511,131,0,197,162.66220217943192,0.31832133498910353
174,174,174,174,MLG38,8,13,MLG38,77,21,0,13,23.089383900165558,0.2998621285735787
153,153,153,153,1-1350,20,11,1-1350,195,52,0,34,57.464542508125305,0.2946899615801298
161,161,161,161,MLG41,14,7,MLG41,66,15,0,22,18.53588044643402,0.2808466734308185
91,91,91,91,72-12171,14,11,72-12171,19,5,0,2,5.321443676948547,0.280075982997292
302,302,302,302,MLG51,13,6,MLG51,248,54,0,96,69.42929649353027,0.2799568406997188
322,322,322,322,1-0296,18,10,1-0296,41,6,0,33,11.303820669651031,0.27570294316222027
414,414,414,414,1-8285,8,13,1-8285,72,19,0,5,19.80360919237137,0.2750501276718246
128,128,128,128,1-19286,13,6,1-19286,40,10,0,6,10.964331030845642,0.27410827577114105
298,298,298,298,1-7019,20,11,1-7019,107,22,0,45,29.232482731342316,0.2732007731901151
305,305,305,305,1-7866,2,12,1-7866,318,70,0,83,83.33991259336472,0.2620751968344802
331,331,331,331,MLG75,15,15,MLG75,185,45,0,19,48.0537149310112,0.25974981043789835
380,380,380,380,1-7004,9,5,1-7004,381,73,0,160,98.71549415588379,0.2590957851860467
191,191,191,191,1-8328,2,12,1-8328,114,26,0,20,29.214436769485474,0.25626698920601293
398,398,398,398,1-0303,16,2,1-0303,212,47,0,44,54.07176089286804,0.2550554759097549
318,318,318,318,1-2324,15,15,1-2324,25,6,0,2,6.321443676948547,0.2528577470779419
499,499,499,499,1-8627,20,11,1-8627,25,5,0,8,6.2857747077941895,0.2514309883117676
490,490,490,490,1-3551,1,14,1-3551,6,1,0,3,1.482165515422821,0.2470275859038035
562,562,562,562,1-0003,20,11,1-0003,17,4,0,1,4.160721838474274,0.24474834343966315
311,311,311,311,1-20578,2,9,1-20578,19,4,0,4,4.642887353897095,0.2443624923103734
124,124,124,124,1-8427,20,11,1-8427,189,45,0,6,45.96433103084564,0.24319751868172299
510,510,510,510,1-3206,2,12,1-3206,45,10,0,5,10.803609192371368,0.2400802042749193
474,474,474,474,1-8400,10,8,1-8400,33,5,0,18,7.892993092536926,0.23918160886475534
470,470,470,470,1-1204,2,12,1-1204,39,4,0,33,9.303820669651031,0.23855950435002646
