Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
141,141,141,141,MLG45,20,9,MLG45,70,11,1,28,1021.6664749383926,14.595235356262751
4,4,4,4,1-6240,20,9,1-6240,698,48,1,180,1116.570196032524,1.5996707679549056
556,556,556,556,1-10951,13,12,1-10951,1,1,0,0,1.0,1.0
399,399,399,399,MLG60,15,6,MLG60,47,26,0,10,29.80945533514023,0.6342437305348985
454,454,454,454,1-0272,9,13,1-0272,111,53,0,25,62.52363833785057,0.5632760210617168
202,202,202,202,1-8988,4,14,1-8988,29,13,0,2,13.761891067028046,0.4745479678285533
302,302,302,302,MLG51,13,12,MLG51,248,98,0,46,115.52349454164505,0.46582054250663324
388,388,388,388,MLG49,13,12,MLG49,185,77,0,18,83.85701960325241,0.4532811870446076
234,234,234,234,MLG29,11,5,MLG29,164,61,0,34,73.95214813947678,0.45092773255778523
298,298,298,298,1-7019,20,9,1-7019,107,44,0,7,46.66661873459816,0.4361366236878333
370,370,370,370,MLG62,13,12,MLG62,525,48,0,465,225.13967308402061,0.42883747254099164
131,131,131,131,1-9283,18,8,1-9283,235,96,0,12,100.57134640216827,0.42796317617943946
246,246,246,246,MLG56,4,14,MLG56,511,180,0,101,218.4754988849163,0.42754500760257597
380,380,380,380,1-7004,9,13,1-7004,381,70,0,241,161.8078735768795,0.4246925815666129
272,272,272,272,1-1570,12,7,1-1570,142,48,0,28,58.66647493839264,0.4131441897069904
251,251,251,251,1-7268,6,3,1-7268,70,22,0,18,28.85701960325241,0.41224313718932015
299,299,299,299,MLG54,7,10,MLG54,595,95,0,390,243.5687580704689,0.4093592572612923
153,153,153,153,1-1350,20,9,1-1350,195,50,0,72,77.42807841300964,0.39706706878466486
340,340,340,340,1-3362,9,13,1-3362,117,24,0,54,44.57105880975723,0.38094922059621567
526,526,526,526,1-5002,11,5,1-5002,45,11,0,16,17.095128536224365,0.3798917452494303
392,392,392,392,1-9609,11,10,1-9609,25,9,0,1,9.380945533514023,0.37523782134056094
342,342,342,342,MLG65,7,10,MLG65,201,46,0,75,74.57091501355171,0.37099957718184934
483,483,483,483,1-9491,20,9,1-9491,80,17,0,33,29.571202605962753,0.3696400325745344
384,384,384,384,1-9270,12,7,1-9270,128,34,0,34,46.952148139476776,0.3668136573396623
332,332,332,332,MLG78,20,9,MLG78,80,23,0,16,29.095128536224365,0.3636891067028046
