Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
140,140,140,1-2294,4,16,1-2294,75,39,0,18,48.13467049598694,0.6417956066131592
270,270,270,1-1390,17,13,1-1390,98,47,0,20,57.14963388442993,0.5831595294329585
478,478,478,1-9394,19,24,1-9394,117,61,0,0,61.0,0.5213675213675214
346,346,346,MLG32,23,4,MLG32,52,21,0,12,27.08978033065796,0.5209573140511146
320,320,320,MLG13,17,13,MLG13,140,51,0,23,62.67207896709442,0.4476577069078173
470,470,470,1-1204,6,10,1-1204,39,6,0,19,15.642152190208435,0.40108082538995987
365,365,365,MLG48,10,2,MLG48,159,47,0,33,63.74689590930939,0.4009238736434553
540,540,540,1-5413,2,9,1-5413,39,15,0,1,15.507481694221497,0.39762773574926913
510,510,510,1-3206,2,11,1-3206,45,13,0,9,17.56733524799347,0.3903852277331882
437,437,437,1-6980,9,17,1-6980,128,46,0,6,49.04489016532898,0.38316320441663265
358,358,358,1-9831,16,12,1-9831,132,11,0,77,50.07609045505524,0.37936432162920636
398,398,398,1-0303,1,23,1-0303,212,66,0,27,79.70200574398041,0.37595285728292643
434,434,434,MLG59,13,7,MLG59,71,22,0,8,26.059853553771973,0.3670401908981968
500,500,500,1-0292,18,8,1-0292,99,16,0,40,36.29926776885986,0.3666592703925239
251,251,251,1-7268,8,6,1-7268,70,15,0,21,25.657115578651428,0.3665302225521633
400,400,400,1-18709,2,11,1-18709,33,8,0,8,12.059853553771973,0.36545010769005976
375,375,375,MLG14,2,11,MLG14,232,72,0,17,80.62718880176544,0.34753098621450623
485,485,485,1-5980,10,2,1-5980,29,10,0,0,10.0,0.3448275862068966
94,94,94,1-3083,10,2,1-3083,78,26,0,1,26.507481694221497,0.3398395089002756
99,99,99,1-5775,11,18,1-5775,244,12,0,136,81.01751041412354,0.33203897710706365
260,260,260,1-0129,14,17,1-0129,142,36,0,21,46.65711557865143,0.32857123646937625
388,388,388,MLG49,13,7,MLG49,185,42,0,36,60.26934099197388,0.32578022157823716
244,244,244,MLG57,20,15,MLG57,629,130,0,147,204.59980905056,0.3252779158196502
479,479,479,1-9286,8,10,1-9286,81,3,0,46,26.344157934188843,0.3252365177060351
295,295,295,1-3639,14,17,1-3639,17,4,0,3,5.52244508266449,0.32484971074497
141,141,141,MLG45,12,9,MLG45,70,18,0,9,22.56733524799347,0.32239050354276383
12,12,12,MLG84,21,19,MLG84,63,16,0,8,20.059853553771973,0.3184103738693964
166,166,166,MLG40,21,19,MLG40,51,10,0,12,16.08978033065796,0.3154858888364306
238,238,238,1-9855,17,13,1-9855,8,1,0,3,2.5224450826644897,0.3153056353330612
221,221,221,1-8023,3,5,1-8023,16,4,0,2,5.014963388442993,0.3134352117776871
404,404,404,1-4682,12,9,1-4682,16,5,0,0,5.0,0.3125
548,548,548,1-3087,5,6,1-3087,26,3,0,10,8.074816942214966,0.3105698823928833
218,218,218,1-9416,3,5,1-9416,13,3,0,2,4.014963388442993,0.30884333757253796
319,319,319,1-3584,14,20,1-3584,26,6,0,4,8.029926776885986,0.30884333757253796
266,266,266,1-2103,10,2,1-2103,26,8,0,0,8.0,0.3076923076923077
217,217,217,1-9630,2,7,1-9630,33,8,0,4,10.029926776885986,0.3039371750571511
357,357,357,1-4760,9,3,1-4760,40,4,0,16,12.119707107543945,0.3029926776885986
553,553,553,1-5555,2,11,1-5555,10,3,0,0,3.0,0.3
382,382,382,1-18558,9,3,1-18558,307,29,0,124,91.92773008346558,0.2994388602067283
502,502,502,1-20012,9,3,1-20012,12,0,0,7,3.552371859550476,0.296030988295873
223,223,223,1-0205,7,20,1-0205,34,7,0,6,10.04489016532898,0.29543794603908763
190,190,190,1-2382,10,2,1-2382,139,38,0,6,41.04489016532898,0.2952869796066833
131,131,131,1-9283,8,10,1-9283,235,15,0,107,69.30054128170013,0.29489592034766016
3,3,3,1-8222,21,19,1-8222,12,2,0,3,3.5224450826644897,0.29353709022204083
436,436,436,1-5161,2,11,1-5161,12,3,0,1,3.5074816942214966,0.2922901411851247
256,256,256,1-9277,2,11,1-9277,48,13,0,2,14.014963388442993,0.2919784039258957
268,268,268,MLG44,15,14,MLG44,59,4,0,26,17.19452404975891,0.2914326110128629
64,64,64,1-9674,21,12,1-9674,144,12,0,59,41.9414199590683,0.29125986082686317
311,311,311,1-20578,13,7,1-20578,19,4,0,3,5.52244508266449,0.29065500435076264
355,355,355,1-9498,13,7,1-9498,64,12,0,13,18.597262024879456,0.2905822191387415
483,483,483,1-9491,2,11,1-9491,80,19,0,8,23.059853553771973,0.28824816942214965
399,399,399,MLG60,21,19,MLG60,47,11,0,5,13.537408471107483,0.28802996747037196
87,87,87,MLG35,11,18,MLG35,49,9,0,10,14.074816942214966,0.2872411620860197
302,302,302,MLG51,13,7,MLG51,248,36,0,69,71.01623690128326,0.28635579395678734
539,539,539,1-9436,2,11,1-9436,21,6,0,0,6.0,0.2857142857142857
264,264,264,P-0009,11,18,P-0009,7,2,0,0,2.0,0.2857142857142857
544,544,544,1-5799,7,20,1-5799,7,2,0,0,2.0,0.2857142857142857
345,345,345,1-1131,2,11,1-1131,138,32,0,14,39.10474371910095,0.2833677081094272
429,429,429,1-6693,15,14,1-6693,98,15,0,25,27.687042355537415,0.2825208403626267
232,232,232,1-18371,11,18,1-18371,120,18,0,31,33.731932520866394,0.2810994376738866
316,316,316,1-7441,4,16,1-7441,111,6,0,49,30.866603016853333,0.27807750465633635
202,202,202,1-8988,18,8,1-8988,29,5,0,6,8.04489016532898,0.2774100057009993
390,390,390,MLG64,12,9,MLG64,245,60,0,15,67.61222541332245,0.27596826699315286
283,283,283,1-3535,21,19,1-3535,315,42,0,88,86.6583890914917,0.27510599711584666
445,445,445,1-6538,8,10,1-6538,44,6,0,12,12.089780330657959,0.2747677347876809
350,350,350,1-2282,10,2,1-2282,219,57,0,6,60.04489016532898,0.27417758066360265
206,206,206,1-9752,21,19,1-9752,22,4,0,4,6.029926776885986,0.27408758076754486
484,484,484,MLG31,17,13,MLG31,33,7,0,4,9.029926776885986,0.2736341447541208
174,174,174,MLG38,10,2,MLG38,77,19,0,4,21.029926776885986,0.2731159321673505
336,336,336,1-1827,9,3,1-1827,24,3,0,7,6.552371859550476,0.2730154941479365
81,81,81,1-7770,13,7,1-7770,11,3,0,0,3.0,0.2727272727272727
269,269,269,1-7839,1,23,1-7839,24,6,0,1,6.507481694221497,0.2711450705925624
506,506,506,1-6227,12,9,1-6227,52,9,0,10,14.074816942214966,0.270669556581057
14,14,14,1-6098,15,14,1-6098,1327,162,0,388,358.9028973579407,0.2704618668861648
384,384,384,1-9270,14,17,1-9270,128,27,0,15,34.61222541332245,0.27040801104158163
153,153,153,1-1350,8,10,1-1350,195,9,0,86,52.643425703048706,0.26996628565666003
509,509,509,1-18935,7,20,1-18935,30,5,0,6,8.04489016532898,0.268163005510966
427,427,427,1-9379,12,9,1-9379,58,13,0,5,15.537408471107483,0.267886352950129
426,426,426,1-4355,11,18,1-4355,49,10,0,6,13.04489016532898,0.26622224827202
363,363,363,1-10785,4,16,1-10785,279,22,0,103,74.27061450481415,0.2662029193720937
216,216,216,1-9887,18,8,1-9887,36,6,0,7,9.552371859550476,0.265343662765291
552,552,552,MLG46,20,15,MLG46,17,4,0,1,4.507481694221497,0.2651459820130292
348,348,348,1-17758,9,3,1-17758,40,5,0,11,10.582298636436462,0.26455746591091156
342,342,342,MLG65,5,6,MLG65,201,7,0,90,52.67335247993469,0.2620564799996751
214,214,214,1-0053,17,13,1-0053,142,29,0,16,37.119707107543945,0.2614063880812954
176,176,176,1-8042,23,4,1-8042,52,8,0,11,13.582298636436462,0.2611980507007012
440,440,440,MLG52,5,6,MLG52,125,23,0,19,32.642152190208435,0.26113721752166746
403,403,403,1-1770,23,4,1-1770,35,6,0,6,9.04489016532898,0.2584254332951137
354,354,354,1-9417,16,12,1-9417,76,11,0,17,19.627188801765442,0.2582524842337558
208,208,208,1-10468,16,12,1-10468,549,56,0,169,141.76440632343292,0.25822296233776487
103,103,103,1-8820,16,12,1-8820,83,9,0,24,21.179560661315918,0.25517542965440865
419,419,419,1-6692,11,18,1-6692,71,12,0,12,18.08978033065796,0.25478563845997126
550,550,550,1-19568,15,14,1-19568,2,0,0,1,0.5074816942214966,0.2537408471107483
285,285,285,1-18615,21,19,1-18615,22,2,0,7,5.552371859550476,0.2523805390704762
554,554,554,1-10444,15,14,1-10444,8,1,0,2,2.014963388442993,0.25187042355537415
281,281,281,1-9995,4,16,1-9995,24,3,0,6,6.0448901653289795,0.25187042355537415
448,448,448,1-3106,8,10,1-3106,34,5,0,7,8.552371859550476,0.2515403488103081
490,490,490,1-3551,6,21,1-3551,6,1,0,1,1.5074816942214966,0.2512469490369161
310,310,310,1-4855,2,11,1-4855,22,5,0,1,5.507481694221497,0.25034007701006805
127,127,127,1-9643,23,4,1-9643,8,2,0,0,2.0,0.25
213,213,213,1-18563,2,11,1-18563,8,2,0,0,2.0,0.25
508,508,508,1-8532,2,11,1-8532,4,1,0,0,1.0,0.25
124,124,124,1-8427,8,10,1-8427,189,11,0,71,47.03120028972626,0.2488423295752712
453,453,453,1-8397,10,2,1-8397,51,12,0,1,12.507481694221497,0.2452447391023823
58,58,58,1-17733,16,12,1-17733,74,12,0,12,18.08978033065796,0.2444564909548373
505,505,505,1-4747,4,16,1-4747,25,0,0,12,6.089780330657959,0.24359121322631835
560,560,560,1-0027,17,13,1-0027,29,4,0,6,7.0448901653289795,0.24292724708030963
499,499,499,1-8627,17,13,1-8627,25,3,0,6,6.0448901653289795,0.2417956066131592
412,412,412,1-6858,17,12,1-6858,23,4,0,3,5.52244508266449,0.24010630794193433
210,210,210,1-7842,11,18,1-7842,21,3,0,4,5.029926776885986,0.23952032270885648
378,378,378,1-6561,14,17,1-6561,65,11,0,9,15.56733524799347,0.2394974653537457
353,353,353,MLG50,5,6,MLG50,319,52,0,47,75.85163962841034,0.23777943457181924
90,90,90,1-19222,6,21,1-19222,15,0,0,7,3.552371859550476,0.2368247906366984
486,486,486,1-8678,5,6,1-8678,17,3,0,2,4.014963388442993,0.2361743169672349
267,267,267,1-6181,18,8,1-6181,659,70,0,168,155.25692462921143,0.23559472629622372
201,201,201,1-9902,5,4,1-9902,30,3,0,8,7.059853553771973,0.23532845179239908
301,301,301,1-1177,7,24,1-1177,17,4,0,0,4.0,0.23529411764705882
343,343,343,1-4319,16,12,1-4319,163,17,0,42,38.314231157302856,0.2350566328668887
518,518,518,1-1850,10,2,1-1850,30,6,0,2,7.014963388442993,0.23383211294809977
109,109,109,1-9768,11,18,1-9768,241,11,0,89,56.165870785713196,0.2330534057498473
139,139,139,1-7863,4,16,1-7863,351,13,0,135,81.51002871990204,0.23222230404530494
339,339,339,1-3523,7,20,1-3523,543,103,0,45,125.83667623996735,0.23174341848981095
143,143,143,1-8928,2,11,1-8928,39,8,0,2,9.014963388442993,0.2311529073959742
43,43,43,1-8705,21,19,1-8705,48,6,0,10,11.074816942214966,0.2307253529628118
368,368,368,1-5197,20,15,1-5197,72,11,0,11,16.582298636436462,0.23030970328383976
294,294,294,1-3509,5,8,1-3509,35,4,0,8,8.059853553771973,0.23028153010777064
101,101,101,1-9892,6,21,1-9892,22,1,0,8,5.059853553771973,0.22999334335327148
472,472,472,1-9518,12,9,1-9518,22,3,0,4,5.029926776885986,0.2286330353129994
11,11,11,1-9722,13,7,1-9722,22,5,0,0,5.0,0.22727272727272727
162,162,162,1-8067,16,12,1-8067,322,43,0,59,72.9414199590683,0.2265261489412059
435,435,435,1-9610,4,16,1-9610,49,5,0,12,11.089780330657959,0.22632204756444815
304,304,304,1-19004,20,15,1-19004,60,9,0,9,13.56733524799347,0.22612225413322448
531,531,531,1-5891,8,10,1-5891,96,8,0,27,21.702005743980408,0.22606255983312926
308,308,308,1-6743,5,6,1-6743,58,8,0,10,13.074816942214966,0.22542787831405114
123,123,123,MLG55,1,23,MLG55,92,8,0,25,20.687042355537415,0.22485915603845016
125,125,125,1-8622,18,8,1-8622,54,4,0,16,12.119707107543945,0.22443902051007306
97,97,97,1-9237,2,11,1-9237,38,7,0,3,8.52244508266449,0.22427487059643395
259,259,259,1-3596,6,21,1-3596,223,25,0,49,49.86660301685333,0.22361705388723468
402,402,402,1-5744,2,13,1-5744,18,3,0,2,4.014963388442993,0.22305352158016628
558,558,558,1-0055,12,17,1-0055,18,4,0,0,4.0,0.2222222222222222
318,318,318,1-2324,4,10,1-2324,25,2,0,7,5.552371859550476,0.22209487438201905
291,291,291,MLG02,18,8,MLG02,320,34,0,73,71.04616367816925,0.22201926149427892
450,450,450,1-2297,16,12,1-2297,25,3,0,5,5.537408471107483,0.2214963388442993
51,51,51,1-9925,9,3,1-9925,93,15,0,11,20.582298636436462,0.22131503910146733
473,473,473,1-9452,6,10,1-9452,16,1,0,5,3.537408471107483,0.22108802944421768
102,102,102,1-3564,1,23,1-3564,41,5,0,8,9.059853553771973,0.2209720378968774
366,366,366,1-5163,23,4,1-5163,16,2,0,3,3.5224450826644897,0.2201528176665306
344,344,344,1-6035,15,14,1-6035,23,1,0,8,5.059853553771973,0.21999363277269446
233,233,233,MLG07,8,10,MLG07,90,4,0,31,19.731932520866394,0.21924369467629326
334,334,334,1-20641,1,23,1-20641,16,3,0,1,3.5074816942214966,0.21921760588884354
391,391,391,MLG30,18,8,MLG30,208,13,0,64,45.47882843017578,0.21864821360661432
144,144,144,1-7744,18,8,1-7744,37,5,0,6,8.04489016532898,0.21742946392781026
501,501,501,1-18487,19,24,1-18487,23,5,0,0,5.0,0.21739130434782608
122,122,122,MLG42,5,6,MLG42,14,1,0,4,3.0299267768859863,0.21642334120614187
4,4,4,1-6240,8,10,1-6240,698,48,0,202,150.5113022327423,0.21563223815579127
5,5,5,1-5549,2,11,1-5549,35,7,0,1,7.507481694221497,0.21449947697775704
466,466,466,1-5981,5,24,1-5981,28,6,0,0,6.0,0.21428571428571427
22,22,22,1-7995,19,24,1-7995,14,3,0,0,3.0,0.21428571428571427
250,250,250,1-9333,11,18,1-9333,102,4,0,35,21.76185929775238,0.2133515617426704
330,330,330,1-4531,22,1,1-4531,94,17,0,6,20.04489016532898,0.2132435123971168
171,171,171,1-8100,5,6,1-8100,19,1,0,6,4.0448901653289795,0.2128889560699463
326,326,326,1-8826,3,5,1-8826,123,14,0,24,26.179560661315918,0.21284195659606436
184,184,184,1-8074,11,18,1-8074,145,9,0,43,30.821712851524353,0.2125635369070645
460,460,460,1-7993,11,18,1-7993,24,2,0,6,5.0448901653289795,0.2102037568887075
89,89,89,1-18004,13,7,1-18004,12,1,0,3,2.5224450826644897,0.2102037568887075
10,10,10,1-7964,9,3,1-7964,202,24,0,36,42.26934099197388,0.20925416332660335
66,66,66,1-7536,5,6,1-7536,17,0,0,7,3.552371859550476,0.2089630505617927
255,255,255,1-9946,20,15,1-9946,12,2,0,1,2.5074816942214966,0.20895680785179138
113,113,113,1-4499,14,17,1-4499,12,2,0,1,2.5074816942214966,0.20895680785179138
471,471,471,1-9794,21,18,1-9794,46,4,0,11,9.582298636436462,0.2083108399225318
396,396,396,1-9963,14,17,1-9963,116,18,0,12,24.08978033065796,0.20767052009187895
298,298,298,1-7019,4,16,1-7019,107,16,0,12,22.08978033065796,0.20644654514633606
92,92,92,1-7807,3,5,1-7807,239,28,0,42,49.314231157302856,0.2063356952188404
547,547,547,MLG67,21,9,MLG67,27,4,0,3,5.52244508266449,0.20453500306164776
57,57,57,1-1224,16,12,1-1224,151,6,0,49,30.866603016853333,0.20441458951558497
338,338,338,1-6296,18,8,1-6296,254,29,0,45,51.836676239967346,0.20408140251955648
39,39,39,1-7467,20,15,1-7467,64,11,0,4,13.029926776885986,0.20359260588884354
231,231,231,1-8450,11,18,1-8450,52,5,0,11,10.582298636436462,0.2035057430083935
300,300,300,1-4020,9,18,1-4020,37,6,0,3,7.52244508266449,0.20330932655849973
415,415,415,1-1957,21,19,1-1957,47,6,0,7,9.552371859550476,0.20324195445852078
455,455,455,1-17790,4,16,1-17790,5,0,0,2,1.0149633884429932,0.20299267768859863
282,282,282,1-1608,8,10,1-1608,307,22,0,79,62.09105384349823,0.20225098971823527
536,536,536,1-9971,6,21,1-9971,15,1,0,4,3.0299267768859863,0.20199511845906576
240,240,240,MLG33,1,23,MLG33,20,2,0,4,4.029926776885986,0.20149633884429932
533,533,533,1-7530,2,5,1-7530,25,3,0,4,5.029926776885986,0.20119707107543947
225,225,225,1-9650,16,12,1-9650,25,3,0,4,5.029926776885986,0.20119707107543947
432,432,432,1-6914,16,12,1-6914,73,2,0,25,14.687042355537415,0.2011923610347591
352,352,352,MLG63,20,15,MLG63,380,56,0,40,76.29926776885986,0.20078754676015753
263,263,263,1-6927,16,12,1-6927,179,15,0,41,35.80674946308136,0.20003770649766123
446,446,446,1-3534,3,5,1-3534,279,35,0,41,55.80674946308136,0.20002419162394752
