Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
145,145,145,145,145,145,145,1-9491,20,1-9491,10,80,14,1,14,1015.799154996872,12.697489437460899
93,93,93,93,93,93,93,MLG52,20,MLG52,10,125,11,1,9,1012.1565996408463,8.09725279712677
332,332,332,332,332,332,332,P-16616,2,P-16616,16,28,11,0,1,11.12851107120514,0.39744682397161213
212,212,212,212,212,212,212,MLG32,23,MLG32,13,52,18,0,10,19.28511071205139,0.370867513693296
91,91,91,91,91,91,91,1-9270,23,1-9270,13,128,42,0,14,43.79915499687195,0.3421808984130621
239,239,239,239,239,239,239,1-5002,10,1-5002,11,45,12,0,22,14.827243566513062,0.329494301478068
195,195,195,195,195,195,195,1-9379,11,1-9379,9,58,18,0,1,18.12851107120514,0.3125605357104334
165,165,165,165,165,165,165,MLG59,11,MLG59,9,71,21,0,4,21.514044284820557,0.30301470823690924
85,85,85,85,85,85,85,1-1131,9,1-1131,12,138,40,0,10,41.28511071205139,0.29916746892790863
215,215,215,215,215,215,215,MLG40,2,MLG40,16,51,14,0,2,14.257022142410278,0.27954945377275053
168,168,168,168,168,168,168,MLG45,11,MLG45,9,70,19,0,4,19.514044284820557,0.2787720612117222
174,174,174,174,174,174,174,MLG41,11,MLG41,9,66,17,0,5,17.642555356025696,0.2673114447882681
435,435,435,435,435,435,435,1-4494,9,1-4494,12,16,4,0,2,4.257022142410278,0.2660638839006424
392,392,392,392,392,392,392,MLG33,21,MLG33,20,20,5,0,1,5.128511071205139,0.256425553560257
57,57,57,57,57,57,57,MLG75,5,MLG75,5,185,43,0,33,47.24086534976959,0.25535602891767345
151,151,151,151,151,151,151,MLG38,11,MLG38,9,77,19,0,4,19.514044284820557,0.25342914655611115
24,24,24,24,24,24,24,1-3535,2,1-3535,16,315,75,0,28,78.5983099937439,0.2495184444245838
51,51,51,51,51,51,51,MLG65,11,MLG65,9,201,48,0,3,48.38553321361542,0.24072404583888268
169,169,169,169,169,169,169,1-7268,6,1-7268,4,70,14,0,17,16.184688210487366,0.23120983157839095
228,228,228,228,228,228,228,MLG60,5,MLG60,5,47,10,0,6,10.771066427230835,0.22917162611129435
191,191,191,191,191,191,191,MLG44,23,MLG44,13,59,13,0,4,13.514044284820557,0.22905159804780603
