Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
215,215,215,215,215,215,215,MLG40,24,MLG40,3,51,0,1,5,1002.6276075839996,19.65936485458823
168,168,168,168,168,168,168,MLG45,14,MLG45,5,70,17,1,22,1028.5614733695984,14.693735333851405
32,32,32,32,32,32,32,1-7874,24,1-7874,19,258,0,1,58,1030.4802479743958,3.994109488272852
8,8,8,8,8,8,8,1-10468,14,1-10468,5,549,56,1,146,1132.7261414527893,2.063253445269197
49,49,49,49,49,49,49,1-6974,20,1-6974,20,207,0,0,232,121.92099189758301,0.5889902990221402
85,85,85,85,85,85,85,1-1131,11,1-1131,12,138,68,0,19,77.98490881919861,0.565108034921729
165,165,165,165,165,165,165,MLG59,14,MLG59,5,71,18,0,38,37.96981763839722,0.5347861639210876
66,66,66,66,66,66,66,MLG48,13,MLG48,6,159,12,0,135,82.94540476799011,0.5216692123772964
52,52,52,52,52,52,52,1-7122,22,1-7122,10,197,0,0,194,101.95117425918579,0.5175186510618568
267,267,267,267,267,267,267,1-5413,7,1-5413,16,39,10,0,14,17.357301235198975,0.44505900603074294
67,67,67,67,67,67,67,1-3516,3,1-3516,8,156,17,0,95,66.92454409599304,0.42900348779482717
256,256,256,256,256,256,256,1-0296,16,1-0296,3,41,5,0,23,17.086994886398315,0.4167559728389833
112,112,112,112,112,112,112,1-3447,15,1-3447,4,110,34,0,21,45.03595185279846,0.4094177441163497
34,34,34,34,34,34,34,MLG51,7,MLG51,16,248,71,0,44,94.12294673919678,0.3795280110451483
22,22,22,22,22,22,22,MLG50,8,MLG50,15,319,43,0,144,118.67509841918945,0.37202225209777257
71,71,71,71,71,71,71,1-4417,5,1-4417,18,151,22,0,63,55.107855558395386,0.364952685817188
242,242,242,242,242,242,242,1-3206,10,1-3206,13,45,9,0,13,15.831779718399048,0.35181732707553437
146,146,146,146,146,146,146,MLG78,8,MLG78,15,80,17,0,21,28.035951852798462,0.3504493981599808
166,166,166,166,166,166,166,MLG58,11,MLG58,12,71,14,0,20,24.510430335998535,0.3452173286760357
195,195,195,195,195,195,195,1-9379,2,1-9379,9,58,20,0,0,20.0,0.3448275862068966
228,228,228,228,228,228,228,MLG60,17,MLG60,2,47,14,0,4,16.102086067199707,0.3425975758978661
203,203,203,203,203,203,203,1-9938,13,1-9938,6,55,13,0,11,18.780736684799194,0.3414679397236217
104,104,104,104,104,104,104,1-9394,22,1-9394,10,117,0,0,76,39.939635276794434,0.3413644040751661
368,368,368,368,368,368,368,1-6858,14,1-6858,5,23,3,0,9,7.729693651199341,0.336073637008667
5,5,5,5,5,5,5,MLG57,7,MLG57,16,629,115,0,183,211.1704375743866,0.33572406609600414
123,123,123,123,123,123,123,1-11350,17,1-11350,2,100,28,0,10,33.25521516799927,0.3325521516799927
308,308,308,308,308,308,308,1-4700,6,1-4700,8,31,7,0,6,10.15312910079956,0.3275202935741794
386,386,386,386,386,386,386,1-4855,12,1-4855,11,22,5,0,4,7.102086067199707,0.32282209396362305
295,295,295,295,295,295,295,1-1942,18,1-1942,1,34,3,0,15,10.882822751998901,0.32008302211761475
62,62,62,62,62,62,62,1-6878,5,1-6878,18,167,8,0,86,53.1948504447937,0.318532038591579
88,88,88,88,88,88,88,1-8267,3,1-8267,8,133,4,0,73,42.36307072639465,0.3185193287698846
9,9,9,9,9,9,9,1-3523,16,1-3523,3,543,92,0,152,171.87927055358887,0.31653640985927967
23,23,23,23,23,23,23,1-7866,16,1-7866,3,318,28,0,134,98.41988325119019,0.3094964882112899
77,77,77,77,77,77,77,1-9674,13,1-9674,6,144,38,0,12,44.30625820159912,0.3076823486222161
296,296,296,296,296,296,296,1-0205,18,1-0205,1,34,2,0,16,10.408344268798828,0.30612777261173024
245,245,245,245,245,245,245,1-1183,14,1-1183,10,45,9,0,9,13.72969365119934,0.30510430335998534
124,124,124,124,124,124,124,1-0292,5,1-0292,18,99,7,0,44,30.122946739196777,0.3042721892848159
247,247,247,247,247,247,247,1-6734,9,1-6734,14,44,7,0,12,13.306258201599121,0.30241495912725275
26,26,26,26,26,26,26,1-18558,6,1-18558,17,307,78,0,27,92.18908095359802,0.300290165972632
13,13,13,13,13,13,13,1-1258,8,1-1258,15,435,91,0,75,130.4141137599945,0.29980256036780345
150,150,150,150,150,150,150,1-3083,16,1-3083,3,78,7,0,31,23.29116702079773,0.2986047053948427
45,45,45,45,45,45,45,1-3596,15,1-3596,4,223,44,0,42,66.07190370559692,0.29628656370222833
181,181,181,181,181,181,181,MLG84,13,MLG84,6,63,16,0,5,18.627607583999634,0.295676310857137
70,70,70,70,70,70,70,1-1224,7,1-1224,16,151,14,0,58,44.48024797439575,0.29457117863838245
424,424,424,424,424,424,424,1-1177,2,1-1177,10,17,5,0,0,5.0,0.29411764705882354
84,84,84,84,84,84,84,1-2382,15,1-2382,4,139,25,0,30,40.7656455039978,0.2932780252086173
