Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
215,215,215,215,215,215,215,215,215,215,MLG40,12,MLG40,3,51,11,1,11,1015.1797268688679,19.905484840566036
168,168,168,168,168,168,168,168,168,168,MLG45,10,MLG45,5,70,17,1,16,1023.0796027183533,14.615422895976476
9,9,9,9,9,9,9,9,9,9,1-3523,12,1-3523,3,543,91,1,109,1132.4172935187817,2.085483045154294
8,8,8,8,8,8,8,8,8,8,1-10468,10,1-10468,5,549,57,1,152,1114.756225824356,2.0305213585143096
112,112,112,112,112,112,112,112,112,112,1-3447,11,1-3447,4,110,40,0,19,47.21952822804451,0.42926843843676826
211,211,211,211,211,211,211,211,211,211,1-8042,7,1-8042,19,52,13,0,23,21.739428907632828,0.41806594053140056
203,203,203,203,203,203,203,203,203,203,1-9938,9,1-9938,6,55,18,0,11,22.179726868867874,0.40326776125214314
195,195,195,195,195,195,195,195,195,195,1-9379,19,1-9379,9,58,20,0,8,23.039801359176636,0.3972379544685627
165,165,165,165,165,165,165,165,165,165,MLG59,10,MLG59,5,71,19,0,22,27.35945373773575,0.38534441884134857
67,67,67,67,67,67,67,67,67,67,1-3516,20,1-3516,8,156,17,0,101,55.377492159605026,0.3549839241000322
189,189,189,189,189,189,189,189,189,189,MLG10,6,MLG10,20,60,12,0,23,20.739428907632828,0.3456571484605471
12,12,12,12,12,12,12,12,12,12,1-7024,19,1-7024,9,498,99,0,182,168.15548092126846,0.33766160827563946
239,239,239,239,239,239,239,239,239,239,1-5002,8,1-5002,7,45,7,0,20,14.59950339794159,0.3244334088431464
70,70,70,70,70,70,70,70,70,70,1-1224,16,1-1224,16,151,41,0,20,48.59950339794159,0.3218510158804079
123,123,123,123,123,123,123,123,123,123,1-11350,13,1-11350,2,100,23,0,22,31.35945373773575,0.3135945373773575
125,125,125,125,125,125,125,125,125,125,1-1390,16,1-1390,16,98,15,0,41,30.578981965780258,0.3120304282222475
308,308,308,308,308,308,308,308,308,308,1-4700,20,1-4700,8,31,5,0,12,9.559702038764954,0.30837748512145013
412,412,412,412,412,412,412,412,412,412,1-0055,16,1-0055,16,18,4,0,4,5.519900679588318,0.30666114886601764
66,66,66,66,66,66,66,66,66,66,MLG48,9,MLG48,6,159,13,0,93,48.33769080042839,0.3040106339649584
267,267,267,267,267,267,267,267,267,267,1-5413,19,1-5413,16,39,11,0,2,11.759950339794159,0.3015371881998502
22,22,22,22,22,22,22,22,22,22,MLG50,14,MLG50,15,319,82,0,37,96.05908128619194,0.3011256466651785
277,277,277,277,277,277,277,277,277,277,1-10060,6,1-10060,20,36,4,0,18,10.83955305814743,0.30109869605965084
385,385,385,385,385,385,385,385,385,385,1-18615,6,1-18615,20,22,2,0,12,6.559702038764954,0.2981682744893161
61,61,61,61,61,61,61,61,61,61,1-6927,7,1-6927,19,179,51,0,3,52.13992550969124,0.29128450005414097
145,145,145,145,145,145,145,145,145,145,1-9491,6,1-9491,20,80,9,0,36,22.67910611629486,0.2834888264536858
441,441,441,441,441,441,441,441,441,441,1-9997,8,1-9997,7,16,3,0,4,4.519900679588318,0.28249379247426987
245,245,245,245,245,245,245,245,245,245,1-1183,18,1-1183,10,45,2,0,28,12.639304757118225,0.2808734390470717
24,24,24,24,24,24,24,24,24,24,1-3535,18,1-3535,10,315,47,0,107,87.6573431789875,0.27827727993329365
80,80,80,80,80,80,80,80,80,80,1-0053,8,1-0053,7,142,30,0,25,39.49937924742699,0.278164642587514
71,71,71,71,71,71,71,71,71,71,1-4417,22,1-4417,18,151,21,0,55,41.89863434433937,0.27747439963138654
52,52,52,52,52,52,52,52,52,52,1-7122,18,1-7122,10,197,5,0,130,54.39677208662033,0.2761257466325905
32,32,32,32,32,32,32,32,32,32,1-7874,7,1-7874,19,258,60,0,29,71.0192799270153,0.2752685268488965
150,150,150,150,150,150,150,150,150,150,1-3083,12,1-3083,3,78,7,0,38,21.43905645608902,0.27485969815498745
57,57,57,57,57,57,57,57,57,57,MLG75,19,MLG75,9,185,46,0,12,50.559702038764954,0.2732956866960268
81,81,81,81,81,81,81,81,81,81,1-7682,2,1-7682,11,141,24,0,37,38.05908128619194,0.269922562313418
166,166,166,166,166,166,166,166,166,166,MLG58,17,MLG58,12,71,11,0,21,18.97947856783867,0.2673165995470235
45,45,45,45,45,45,45,45,45,45,1-3596,11,1-3596,4,223,42,0,44,58.7189074754715,0.2633134864370919
84,84,84,84,84,84,84,84,84,84,1-2382,11,1-2382,4,139,25,0,30,36.399255096912384,0.26186514458210347
64,64,64,64,64,64,64,64,64,64,MLG29,8,MLG29,7,164,23,0,51,42.37873366475105,0.25840691258994547
77,77,77,77,77,77,77,77,77,77,1-9674,9,1-9674,6,144,31,0,16,37.07960271835327,0.2574972410996755
213,213,213,213,213,213,213,213,213,213,1-6227,7,1-6227,19,52,13,0,1,13.37997516989708,0.25730721480571306
247,247,247,247,247,247,247,247,247,247,1-6734,9,1-6734,14,44,6,0,14,11.319652378559113,0.2572648267854344
20,20,20,20,20,20,20,20,20,20,1-8067,9,1-8067,6,322,50,0,85,82.29788944125175,0.2555835075815272
512,512,512,512,512,512,512,512,512,512,1-5799,15,1-5799,14,7,1,0,2,1.759950339794159,0.25142147711345125
356,356,356,356,356,356,356,356,356,356,1-18613,7,1-18613,19,25,4,0,6,6.279851019382477,0.25119404077529905
263,263,263,263,263,263,263,263,263,263,1-6061,17,1-6061,12,40,7,0,8,10.039801359176636,0.2509950339794159
278,278,278,278,278,278,278,278,278,278,1-7845,6,1-7845,20,36,1,0,21,8.979478567838669,0.2494299602177408
152,152,152,152,152,152,152,152,152,152,1-10038,16,1-10038,16,76,9,0,26,18.879354417324066,0.2484125581226851
349,349,349,349,349,349,349,349,349,349,1-8186,2,1-8186,11,26,3,0,9,6.419776529073715,0.24691448188745058
389,389,389,389,389,389,389,389,389,389,1-7842,6,1-7842,20,21,1,0,11,5.179726868867874,0.2466536604222797
93,93,93,93,93,93,93,93,93,93,MLG52,17,MLG52,12,125,19,0,31,30.779230266809464,0.24623384213447572
329,329,329,329,329,329,329,329,329,329,1-5980,11,1-5980,4,29,6,0,3,7.139925509691238,0.24620432792038754
43,43,43,43,43,43,43,43,43,43,MLG14,13,MLG14,2,232,37,0,52,56.75870883464813,0.2446496070458971
0,0,0,0,0,0,0,0,0,0,1-6098,8,1-6098,7,1327,194,0,338,322.43160742521286,0.24297785035811068
5,5,5,5,5,5,5,5,5,5,MLG57,16,MLG57,16,629,61,0,241,152.57401594519615,0.24256600309252171
357,357,357,357,357,357,357,357,357,357,1-9650,16,1-9650,16,25,3,0,8,6.039801359176636,0.24159205436706543
212,212,212,212,212,212,212,212,212,212,MLG32,7,MLG32,19,52,11,0,4,12.519900679588318,0.2407673207613138
184,184,184,184,184,184,184,184,184,184,1-2701,7,1-2701,19,61,13,0,4,14.519900679588318,0.2380311586817757
276,276,276,276,276,276,276,276,276,276,1-2573,4,1-2573,1,37,0,0,23,8.739428907632828,0.23620078128737373
299,299,299,299,299,299,299,299,299,299,MLG31,7,MLG31,19,33,7,0,2,7.759950339794159,0.2351500102967927
216,216,216,216,216,216,216,216,216,216,1-8397,11,1-8397,4,51,8,0,10,11.799751698970795,0.23136768037197636
122,122,122,122,122,122,122,122,122,122,1-9404,9,1-9404,6,100,17,0,16,23.07960271835327,0.2307960271835327
404,404,404,404,404,404,404,404,404,404,1-20578,10,1-20578,5,19,4,0,1,4.3799751698970795,0.23052500894195155
250,250,250,250,250,250,250,250,250,250,1-18234,6,1-18234,20,43,0,0,26,9.879354417324066,0.229752428309862
423,423,423,423,423,423,423,423,423,423,MLG46,15,MLG46,14,17,2,0,5,3.8998758494853973,0.22940446173443513
529,529,529,529,529,529,529,529,529,529,1-5424,4,1-5424,1,5,0,0,3,1.1399255096912384,0.22798510193824767
394,394,394,394,394,394,394,394,394,394,1-9697,14,1-9697,20,20,3,0,4,4.519900679588318,0.2259950339794159
85,85,85,85,85,85,85,85,85,85,1-1131,17,1-1131,12,138,22,0,24,31.119404077529907,0.22550292809804282
445,445,445,445,445,445,445,445,445,445,1-5654,7,1-5654,19,15,3,0,1,3.3799751698970795,0.22533167799313863
210,210,210,210,210,210,210,210,210,210,1-1191,20,1-1191,10,53,7,0,13,11.939677208662033,0.22527692846532138
454,454,454,454,454,454,454,454,454,454,1-5913,11,1-5913,4,14,2,0,3,3.1399255096912384,0.22428039354937418
331,331,331,331,331,331,331,331,331,331,1-5981,12,1-5981,2,28,4,0,6,6.279851019382477,0.22428039354937418
154,154,154,154,154,154,154,154,154,154,1-9417,9,1-9417,6,76,14,0,8,17.039801359176636,0.22420791262074521
350,350,350,350,350,350,350,350,350,350,1-9609,22,1-9609,12,25,4,0,4,5.519900679588318,0.22079602718353272
228,228,228,228,228,228,228,228,228,228,MLG60,13,MLG60,2,47,2,0,22,10.359453737735748,0.22041390931352656
221,221,221,221,221,221,221,221,221,221,1-4355,12,1-4355,3,49,7,0,10,10.799751698970795,0.22040309589736315
126,126,126,126,126,126,126,126,126,126,1-6693,8,1-6693,7,98,15,0,17,21.45957788825035,0.2189752845739832
26,26,26,26,26,26,26,26,26,26,1-18558,23,1-18558,17,307,67,0,0,67.0,0.2182410423452769
82,82,82,82,82,82,82,82,82,82,1-8188,6,1-8188,20,140,10,0,54,30.51865917444229,0.2179904226745878
