Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
141,141,141,141,141,141,141,141,141,MLG45,20,14,MLG45,70,14,1,21,1033.1937165856361,14.759910236937658
4,4,4,4,4,4,4,4,4,1-6240,20,14,1-6240,698,72,1,90,1154.258785367012,1.6536658816146304
474,474,474,474,474,474,474,474,474,1-8400,10,10,1-8400,33,29,0,3,31.741959512233734,0.9618775609767798
298,298,298,298,298,298,298,298,298,1-7019,20,14,1-7019,107,11,0,98,100.57067739963531,0.939912872893788
166,166,166,166,166,166,166,166,166,MLG40,14,11,MLG40,51,24,0,17,39.53777056932449,0.7752504033200881
346,346,346,346,346,346,346,346,346,MLG32,14,11,MLG32,52,15,0,24,36.93567609786987,0.7103014634205744
268,268,268,268,268,268,268,268,268,MLG44,14,11,MLG44,59,29,0,14,41.79581105709076,0.7084035772388264
322,322,322,322,322,322,322,322,322,1-0296,18,15,1-0296,41,14,0,16,28.623784065246582,0.6981410747621117
526,526,526,526,526,526,526,526,526,1-5002,11,8,1-5002,45,6,0,25,28.849662601947784,0.6411036133766175
454,454,454,454,454,454,454,454,454,1-0272,9,13,1-0272,111,40,0,32,69.24756813049316,0.6238519651395781
234,234,234,234,234,234,234,234,234,MLG29,11,8,MLG29,164,46,0,60,100.83919024467468,0.6148731112480164
353,353,353,353,353,353,353,353,353,MLG50,7,9,MLG50,319,113,0,88,193.4308123588562,0.6063661829431228
399,399,399,399,399,399,399,399,399,MLG60,15,7,MLG60,47,25,0,1,25.91398650407791,0.551361414980381
92,92,92,92,92,92,92,92,92,1-7807,9,13,1-7807,239,40,0,96,127.74270439147949,0.5344883028932196
364,364,364,364,364,364,364,364,364,1-7682,20,14,1-7682,141,34,0,45,75.12939268350601,0.5328325722234469
332,332,332,332,332,332,332,332,332,MLG78,20,14,MLG78,80,32,0,11,42.053851544857025,0.5256731443107128
446,446,446,446,446,446,446,446,446,1-3534,9,13,1-3534,279,67,0,86,145.60283935070038,0.5218739761673848
483,483,483,483,483,483,483,483,483,1-9491,20,14,1-9491,80,28,0,15,41.70979756116867,0.5213724695146084
367,367,367,367,367,367,367,367,367,1-8544,7,14,1-8544,54,27,0,1,27.91398650407791,0.5169256760014428
91,91,91,91,91,91,91,91,91,72-12171,14,14,72-12171,19,7,0,3,9.741959512233734,0.5127347111701965
