Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
145,145,145,145,145,145,145,145,145,145,1-9491,9,1-9491,10,80,31,1,18,1035.2388781011105,12.940485976263881
93,93,93,93,93,93,93,93,93,93,MLG52,9,MLG52,10,125,23,1,18,1027.2388781011105,8.217911024808883
165,165,165,165,165,165,165,165,165,165,MLG59,7,MLG59,9,71,28,0,7,29.64845259487629,0.41758383936445476
84,84,84,84,84,84,84,84,84,84,1-2382,9,1-2382,10,139,55,0,10,57.3549322783947,0.412625412074782
222,222,222,222,222,222,222,222,222,222,1-8705,13,1-8705,5,48,18,0,7,19.64845259487629,0.409342762393256
174,174,174,174,174,174,174,174,174,174,MLG41,7,MLG41,9,66,23,0,11,25.59042550623417,0.3877337197914268
51,51,51,51,51,51,51,51,51,51,MLG65,7,MLG65,9,201,68,0,34,76.00676974654198,0.378143133067373
143,143,143,143,143,143,143,143,143,143,1-9286,9,1-9286,10,81,27,0,7,28.64845259487629,0.35368459993674434
212,212,212,212,212,212,212,212,212,212,MLG32,19,MLG32,13,52,17,0,2,17.47098645567894,0.3359805087630565
267,267,267,267,267,267,267,267,267,267,1-5413,19,1-5413,10,39,12,0,3,12.70647968351841,0.3258071713722669
168,168,168,168,168,168,168,168,168,168,MLG45,7,MLG45,9,70,19,0,13,22.06141196191311,0.31516302802733015
228,228,228,228,228,228,228,228,228,228,MLG60,13,MLG60,5,47,12,0,11,14.590425506234169,0.3104345852390249
85,85,85,85,85,85,85,85,85,85,1-1131,11,1-1131,12,138,39,0,16,42.76789164543152,0.3099122583002284
195,195,195,195,195,195,195,195,195,195,1-9379,7,1-9379,9,58,16,0,8,17.88394582271576,0.3083438934950993
41,41,41,41,41,41,41,41,41,41,1-9283,9,1-9283,10,235,69,0,14,72.29690518975258,0.3076464050627769
57,57,57,57,57,57,57,57,57,57,MLG75,13,MLG75,5,185,45,0,44,55.361702024936676,0.2992524433780361
169,169,169,169,169,169,169,169,169,169,1-7268,6,1-7268,4,70,8,0,54,20.716634303331375,0.29595191861901965
91,91,91,91,91,91,91,91,91,91,1-9270,19,1-9270,13,128,31,0,25,36.88733069598675,0.28818227106239647
5,5,5,5,5,5,5,5,5,5,MLG57,6,MLG57,4,629,127,0,228,180.69245594739914,0.28726940532177925
368,368,368,368,368,368,368,368,368,368,1-6858,18,1-6858,21,23,4,0,11,6.590425506234169,0.2865402394014856
435,435,435,435,435,435,435,435,435,435,1-4494,11,1-4494,12,16,4,0,2,4.47098645567894,0.27943665347993374
182,182,182,182,182,182,182,182,182,182,1-6647,1,1-6647,15,62,17,0,0,17.0,0.27419354838709675
124,124,124,124,124,124,124,124,124,124,1-0292,2,1-0292,1,99,27,0,0,27.0,0.2727272727272727
81,81,81,81,81,81,81,81,81,81,1-7682,13,1-7682,5,141,33,0,21,37.94535778462887,0.26911601265694235
