Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
145,145,145,145,145,145,145,145,145,145,145,145,1-9491,5,1-9491,10,80,22,1,28,1030.8291832208633,12.885364790260791
93,93,93,93,93,93,93,93,93,93,93,93,MLG52,5,MLG52,10,125,17,1,25,1024.8831993043423,8.199065594434739
368,368,368,368,368,368,368,368,368,368,368,368,1-6858,15,1-6858,21,23,7,0,6,8.891967833042145,0.3866072970887889
215,215,215,215,215,215,215,215,215,215,215,215,MLG40,13,MLG40,16,51,16,0,11,19.4686076939106,0.3817374057629529
358,358,358,358,358,358,358,358,358,358,358,358,1-8627,9,1-8627,6,25,7,0,8,9.522623777389526,0.38090495109558103
212,212,212,212,212,212,212,212,212,212,212,212,MLG32,21,MLG32,13,52,17,0,8,19.522623777389526,0.3754350726421063
84,84,84,84,84,84,84,84,84,84,84,84,1-2382,5,1-2382,10,139,38,0,31,47.775167137384415,0.34370623839844905
66,66,66,66,66,66,66,66,66,66,66,66,MLG48,17,MLG48,6,159,41,0,35,52.03647902607918,0.3272734529942087
85,85,85,85,85,85,85,85,85,85,85,85,1-1131,7,1-1131,12,138,40,0,12,43.78393566608429,0.3172748961310456
57,57,57,57,57,57,57,57,57,57,57,57,MLG75,9,MLG75,5,185,45,0,43,58.559102803468704,0.31653569082956057
228,228,228,228,228,228,228,228,228,228,228,228,MLG60,9,MLG60,5,47,12,0,9,14.837951749563217,0.3157011010545365
91,91,91,91,91,91,91,91,91,91,91,91,1-9270,21,1-9270,13,128,35,0,17,40.36057552695274,0.3153169963043183
17,17,17,17,17,17,17,17,17,17,17,17,1-7004,10,1-7004,19,381,53,0,206,117.9575622677803,0.30959990096530265
168,168,168,168,168,168,168,168,168,168,168,168,MLG45,4,MLG45,9,70,20,0,5,21.576639860868454,0.30823771229812075
332,332,332,332,332,332,332,332,332,332,332,332,P-16616,13,P-16616,16,28,7,0,5,8.576639860868454,0.30630856645958765
81,81,81,81,81,81,81,81,81,81,81,81,1-7682,9,1-7682,5,141,36,0,21,42.62188741564751,0.30228288947267734
176,176,176,176,176,176,176,176,176,176,176,176,1-6561,15,1-6561,21,65,16,0,11,19.4686076939106,0.2995170414447784
376,376,376,376,376,376,376,376,376,376,376,376,1-18487,7,1-18487,13,23,4,0,9,6.837951749563217,0.29730224998100946
195,195,195,195,195,195,195,195,195,195,195,195,1-9379,4,1-9379,9,58,15,0,7,17.207295805215836,0.29667751388303165
165,165,165,165,165,165,165,165,165,165,165,165,MLG59,4,MLG59,9,71,18,0,9,20.837951749563217,0.2934922781628622
104,104,104,104,104,104,104,104,104,104,104,104,1-9394,12,1-9394,17,117,14,0,62,33.55033427476883,0.286754993801443
15,15,15,15,15,15,15,15,15,15,15,15,1-1580,11,1-1580,18,400,48,0,210,114.21887415647507,0.2855471853911877
174,174,174,174,174,174,174,174,174,174,174,174,MLG41,4,MLG41,9,66,16,0,8,18.522623777389526,0.2806458148089322
345,345,345,345,345,345,345,345,345,345,345,345,1-3584,15,1-3584,21,26,6,0,4,7.261311888694763,0.27928122648826015
46,46,46,46,46,46,46,46,46,46,46,46,1-2282,16,1-2282,20,219,44,0,54,61.0277104973793,0.2786653447368918
299,299,299,299,299,299,299,299,299,299,299,299,MLG31,17,MLG31,6,33,7,0,6,8.891967833042145,0.2694535706982468
132,132,132,132,132,132,132,132,132,132,132,132,MLG55,16,MLG55,20,92,13,0,37,24.66713497042656,0.2681210322872452
439,439,439,439,439,439,439,439,439,439,439,439,1-4682,19,1-4682,21,16,3,0,4,4.261311888694763,0.2663319930434227
