Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
191,191,191,191,191,191,191,191,191,191,191,191,191,MLG44,21,1,MLG44,59,5,1,3,1006.8443614840508,17.065158669221198
168,168,168,168,168,168,168,168,168,168,168,168,168,MLG45,7,2,MLG45,70,12,1,7,1016.3035101294518,14.518621573277882
80,80,80,80,80,80,80,80,80,80,80,80,80,1-0053,6,1,1-0053,142,5,1,14,1013.6070202589035,7.138077607457067
6,6,6,6,6,6,6,6,6,6,6,6,6,MLG54,7,2,MLG54,595,28,1,42,1053.8210607767105,1.771127833238169
67,67,67,67,67,67,67,67,67,67,67,67,67,1-3516,5,6,1-3516,156,16,0,108,82.39701342582703,0.5281859834988912
75,75,75,75,75,75,75,75,75,75,75,75,75,1-2545,4,12,1-2545,145,29,0,68,70.80552697181702,0.4883139791159794
358,358,358,358,358,358,358,358,358,358,358,358,358,1-8627,5,6,1-8627,25,6,0,10,12.147871613502502,0.4859148645401001
165,165,165,165,165,165,165,165,165,165,165,165,165,MLG59,10,5,MLG59,71,27,0,11,33.76265877485275,0.4755304052796162
368,368,368,368,368,368,368,368,368,368,368,368,368,1-6858,11,8,1-6858,23,0,0,17,10.451381742954254,0.4544079018675763
36,36,36,36,36,36,36,36,36,36,36,36,36,MLG64,13,14,MLG64,245,79,0,44,106.05063509941101,0.43285973509963677
228,228,228,228,228,228,228,228,228,228,228,228,228,MLG60,4,12,MLG60,47,6,0,23,20.140104711055756,0.42851286619267565
81,81,81,81,81,81,81,81,81,81,81,81,81,1-7682,18,19,1-7682,141,23,0,60,59.887229681015015,0.4247321253972696
121,121,121,121,121,121,121,121,121,121,121,121,121,1-9333,20,21,1-9333,102,24,0,29,41.82882767915726,0.41008654587409077
49,49,49,49,49,49,49,49,49,49,49,49,49,1-6974,7,2,1-6974,207,63,0,34,83.90276348590851,0.4053273598353068
156,156,156,156,156,156,156,156,156,156,156,156,156,1-2294,8,3,1-2294,75,21,0,15,30.221807420253754,0.40295743227005004
91,91,91,91,91,91,91,91,91,91,91,91,91,1-9270,19,20,1-9270,128,25,0,43,51.43584793806076,0.4018425620160997
332,332,332,332,332,332,332,332,332,332,332,332,332,P-16616,2,11,P-16616,28,10,0,2,11.2295743227005,0.40105622581073214
270,270,270,270,270,270,270,270,270,270,270,270,270,1-9651,10,16,1-9651,38,14,0,2,15.2295743227005,0.4007782716500132
78,78,78,78,78,78,78,78,78,78,78,78,78,1-1570,18,19,1-1570,142,16,0,66,56.575952649116516,0.3984222017543417
55,55,55,55,55,55,55,55,55,55,55,55,55,1-1462,14,15,1-1462,192,15,0,99,75.86392897367477,0.3951246300712228
57,57,57,57,57,57,57,57,57,57,57,57,57,MLG75,4,12,MLG75,185,40,0,53,72.58371955156326,0.3923444300084501
60,60,60,60,60,60,60,60,60,60,60,60,60,1-3068,5,6,1-3068,180,13,0,92,69.56041884422302,0.38644677135679456
145,145,145,145,145,145,145,145,145,145,145,145,145,1-9491,18,19,1-9491,80,24,0,11,30.762658774852753,0.3845332346856594
295,295,295,295,295,295,295,295,295,295,295,295,295,1-1942,14,2,1-1942,34,10,0,5,13.073935806751251,0.384527523727978
299,299,299,299,299,299,299,299,299,299,299,299,299,MLG31,13,14,MLG31,33,8,0,7,12.303510129451752,0.37283364028641675
462,462,462,462,462,462,462,462,462,462,462,462,462,1-4052,19,12,1-4052,13,3,0,3,4.844361484050751,0.372643191080827
102,102,102,102,102,102,102,102,102,102,102,102,102,1-17907,5,6,1-17907,119,11,0,53,43.58371955156326,0.3662497441307837
51,51,51,51,51,51,51,51,51,51,51,51,51,MLG65,3,13,MLG65,201,41,0,51,72.35414522886276,0.3599708717853869
296,296,296,296,296,296,296,296,296,296,296,296,296,1-0205,14,15,1-0205,34,6,0,10,12.147871613502502,0.357290341573603
208,208,208,208,208,208,208,208,208,208,208,208,208,1-5355,18,19,1-5355,53,14,0,8,18.918297290802002,0.35694900548683023
129,129,129,129,129,129,129,129,129,129,129,129,129,1-4531,14,15,1-4531,94,12,0,35,33.51755064725876,0.3565696877367953
34,34,34,34,34,34,34,34,34,34,34,34,34,MLG51,8,3,MLG51,248,47,0,67,88.19073981046677,0.3556078218163983
137,137,137,137,137,137,137,137,137,137,137,137,137,1-6611,5,6,1-6611,89,7,0,40,31.59148645401001,0.35496052195516864
371,371,371,371,371,371,371,371,371,371,371,371,371,1-6035,19,20,1-6035,23,2,0,10,8.147871613502502,0.35425528754358704
331,331,331,331,331,331,331,331,331,331,331,331,331,1-5981,3,13,1-5981,28,3,0,11,9.762658774852753,0.34866638481616974
304,304,304,304,304,304,304,304,304,304,304,304,304,1-1592,5,12,1-1592,32,8,0,5,11.073935806751251,0.3460604939609766
450,450,450,450,450,450,450,450,450,450,450,450,450,1-11206,4,12,1-11206,14,3,0,3,4.844361484050751,0.3460258202893393
488,488,488,488,488,488,488,488,488,488,488,488,488,1-9576,4,12,1-9576,10,1,0,4,3.459148645401001,0.3459148645401001
62,62,62,62,62,62,62,62,62,62,62,62,62,1-6878,10,5,1-6878,167,32,0,41,57.20627361536026,0.3425525366189237
441,441,441,441,441,441,441,441,441,441,441,441,441,1-9997,2,11,1-9997,16,3,0,4,5.459148645401001,0.34119679033756256
473,473,473,473,473,473,473,473,473,473,473,473,473,1-5161,3,13,1-5161,12,1,0,5,4.073935806751251,0.33949465056260425
281,281,281,281,281,281,281,281,281,281,281,281,281,1-3312,11,8,1-3312,36,3,0,15,12.221807420253754,0.33949465056260425
28,28,28,28,28,28,28,28,28,28,28,28,28,1-7005,14,15,1-7005,285,33,0,103,96.32307761907578,0.33797571094412554
114,114,114,114,114,114,114,114,114,114,114,114,114,1-7152,5,6,1-7152,109,11,0,42,36.82106077671051,0.3378078970340414
352,352,352,352,352,352,352,352,352,352,352,352,352,1-2297,11,8,1-2297,25,1,0,12,8.377445936203003,0.3350978374481201
155,155,155,155,155,155,155,155,155,155,155,155,155,1-8157,1,10,1-8157,75,17,0,13,24.992233097553253,0.33322977463404335
189,189,189,189,189,189,189,189,189,189,189,189,189,MLG10,8,5,MLG10,60,7,0,21,19.910530388355255,0.33184217313925424
40,40,40,40,40,40,40,40,40,40,40,40,40,1-7807,5,6,1-7807,239,30,0,80,79.18297290802002,0.33130951007539755
