Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
141,141,141,141,141,141,141,141,141,141,141,MLG45,20,2,MLG45,70,25,1,6,1029.8906029462814,14.712722899232592
4,4,4,4,4,4,4,4,4,4,4,1-6240,20,2,1-6240,698,76,1,21,1093.117110311985,1.566070358613159
322,322,322,322,322,322,322,322,322,322,322,1-0296,18,13,1-0296,41,24,0,8,30.520803928375244,0.7444098519115914
166,166,166,166,166,166,166,166,166,166,166,MLG40,14,9,MLG40,51,21,0,14,32.41140687465668,0.6355177818560133
454,454,454,454,454,454,454,454,454,454,454,1-0272,9,6,1-0272,111,53,0,18,67.6718088388443,0.6096559354850838
474,474,474,474,474,474,474,474,474,474,474,1-8400,10,2,1-8400,33,20,0,0,20.0,0.6060606060606061
123,123,123,123,123,123,123,123,123,123,123,MLG55,1,14,MLG55,92,23,0,40,55.60401964187622,0.6043915178464807
463,463,463,463,463,463,463,463,463,463,463,1-1989,19,2,1-1989,46,26,0,1,26.815100491046906,0.5829369671966719
302,302,302,302,302,302,302,302,302,302,302,MLG51,13,7,MLG51,248,95,0,54,139.0154265165329,0.5605460746634391
422,422,422,422,422,422,422,422,422,422,422,1-6878,17,14,1-6878,167,16,0,95,93.43454664945602,0.5594883032901559
268,268,268,268,268,268,268,268,268,268,268,MLG44,14,9,MLG44,59,22,0,12,31.781205892562866,0.5386645066536079
358,358,358,358,358,358,358,358,358,358,358,1-9831,10,8,1-9831,132,9,0,74,69.31743633747101,0.5251320934656895
353,353,353,353,353,353,353,353,353,353,353,MLG50,7,4,MLG50,319,120,0,57,166.46072798967361,0.5218204639174722
282,282,282,282,282,282,282,282,282,282,282,1-1608,4,5,1-1608,307,108,0,61,157.72112995386124,0.513749608970232
298,298,298,298,298,298,298,298,298,298,298,1-7019,20,2,1-7019,107,22,0,40,54.60401964187622,0.5103179405782824
209,209,209,209,209,209,209,209,209,209,209,1-9938,15,8,1-9938,55,6,0,27,28.00771325826645,0.5092311501502991
399,399,399,399,399,399,399,399,399,399,399,MLG60,15,15,MLG60,47,21,0,3,23.445301473140717,0.49883620155618547
457,457,457,457,457,457,457,457,457,457,457,1-8503,11,10,1-8503,16,7,0,1,7.8151004910469055,0.4884437806904316
