Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
145,145,145,145,145,145,145,145,145,145,145,145,1-9491,3,1-9491,10,80,22,1,27,1039.6047421693802,12.995059277117253
93,93,93,93,93,93,93,93,93,93,93,93,MLG52,3,MLG52,10,125,18,1,25,1034.3006871938705,8.274405497550964
132,132,132,132,132,132,132,132,132,132,132,132,MLG55,15,MLG55,20,92,28,0,46,57.9932644367218,0.6303615699643674
124,124,124,124,124,124,124,124,124,124,124,124,1-0292,11,1-0292,1,99,29,0,42,56.385154485702515,0.5695470150070961
22,22,22,22,22,22,22,22,22,22,22,22,MLG50,8,MLG50,6,319,92,0,127,174.80749094486237,0.5479858650309165
278,278,278,278,278,278,278,278,278,278,278,278,1-7845,8,1-7845,3,36,13,0,7,17.564192414283752,0.4878942337301042
62,62,62,62,62,62,62,62,62,62,62,62,1-6878,11,1-6878,1,167,22,0,87,78.7263914346695,0.4714155175728712
44,44,44,44,44,44,44,44,44,44,44,44,1-0008,11,1-0008,1,230,1,0,160,105.32439804077148,0.45793216539465864
125,125,125,125,125,125,125,125,125,125,125,125,1-1390,15,1-1390,20,98,21,0,35,43.82096207141876,0.44715267419815063
25,25,25,25,25,25,25,25,25,25,25,25,1-18028,9,1-18028,4,309,12,0,185,132.62508523464203,0.4292073955813658
233,233,233,233,233,233,233,233,233,233,233,233,1-3587,7,1-3587,5,46,15,0,7,19.564192414283752,0.42530853074529895
84,84,84,84,84,84,84,84,84,84,84,84,1-2382,3,1-2382,10,139,38,0,31,58.212852120399475,0.41879749726906096
228,228,228,228,228,228,228,228,228,228,228,228,MLG60,7,MLG60,5,47,13,0,10,19.520274877548218,0.41532499739464296
299,299,299,299,299,299,299,299,299,299,299,299,MLG31,8,MLG31,6,33,7,0,10,13.520274877548218,0.40970529931964295
169,169,169,169,169,169,169,169,169,169,169,169,1-7268,9,1-7268,4,70,9,0,30,28.560824632644653,0.40801178046635217
81,81,81,81,81,81,81,81,81,81,81,81,1-7682,7,1-7682,5,141,40,0,26,56.952714681625366,0.40391996228103094
376,376,376,376,376,376,376,376,376,376,376,376,1-18487,5,1-18487,13,23,4,0,8,9.216219902038574,0.40070521313211194
180,180,180,180,180,180,180,180,180,180,180,180,1-10539,20,1-10539,3,63,18,0,11,25.17230236530304,0.39956035500481013
109,109,109,109,109,109,109,109,109,109,109,109,1-7441,21,1-7441,13,111,20,0,37,44.125017046928406,0.3975226760984541
