Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
191,191,191,191,191,191,191,191,191,191,191,191,191,MLG44,21,18,MLG44,59,5,1,15,1008.5170289129019,17.093508964625457
168,168,168,168,168,168,168,168,168,168,168,168,168,MLG45,7,14,MLG45,70,11,1,27,1017.3306520432234,14.533295029188906
84,84,84,84,84,84,84,84,84,84,84,84,84,1-2382,21,18,1-2382,139,20,1,35,1028.206400796771,7.397168351055907
6,6,6,6,6,6,6,6,6,6,6,6,6,MLG54,7,14,MLG54,595,24,1,93,1045.8055792599916,1.7576564357310784
332,332,332,332,332,332,332,332,332,332,332,332,332,P-16616,2,5,P-16616,28,10,0,5,11.172342970967293,0.3990122489631176
217,217,217,217,217,217,217,217,217,217,217,217,217,1-9770,15,5,1-9770,50,19,0,1,19.23446859419346,0.38468937188386915
180,180,180,180,180,180,180,180,180,180,180,180,180,1-10539,15,7,1-10539,63,18,0,26,24.096183449029922,0.3824791023655543
40,40,40,40,40,40,40,40,40,40,40,40,40,1-7807,5,12,1-7807,239,64,0,104,88.38473379611969,0.36981060165740454
36,36,36,36,36,36,36,36,36,36,36,36,36,MLG64,13,9,MLG64,245,80,0,44,90.31661814451218,0.3686392577327028
215,215,215,215,215,215,215,215,215,215,215,215,215,MLG40,15,7,MLG40,51,17,0,7,18.64128015935421,0.3655152972422394
49,49,49,49,49,49,49,49,49,49,49,49,49,1-6974,7,14,1-6974,207,62,0,57,75.36470986902714,0.364080724004962
75,75,75,75,75,75,75,75,75,75,75,75,75,1-2545,4,11,1-2545,145,40,0,43,50.08214955031872,0.34539413482978426
145,145,145,145,145,145,145,145,145,145,145,145,145,1-9491,18,21,1-9491,80,25,0,4,25.937874376773834,0.32422342970967294
263,263,263,263,263,263,263,263,263,263,263,263,263,1-6061,6,9,1-6061,40,12,0,4,12.937874376773834,0.32344685941934587
156,156,156,156,156,156,156,156,156,156,156,156,156,1-2294,8,15,1-2294,75,21,0,13,24.04809172451496,0.3206412229935328
31,31,31,31,31,31,31,31,31,31,31,31,31,1-9156,15,7,1-9156,268,77,0,28,83.56512063741684,0.31181015163215237
155,155,155,155,155,155,155,155,155,155,155,155,155,1-8157,1,6,1-8157,75,17,0,26,23.096183449029922,0.3079491126537323
121,121,121,121,121,121,121,121,121,121,121,121,121,1-9333,20,19,1-9333,102,24,0,29,30.799589231610298,0.30195675717264997
239,239,239,239,239,239,239,239,239,239,239,239,239,1-5002,6,13,1-5002,45,12,0,6,13.406811565160751,0.29792914589246117
441,441,441,441,441,441,441,441,441,441,441,441,441,1-9997,2,5,1-9997,16,4,0,3,4.703405782580376,0.2939628614112735
299,299,299,299,299,299,299,299,299,299,299,299,299,MLG31,13,9,MLG31,33,8,0,7,9.64128015935421,0.29216000482891546
46,46,46,46,46,46,46,46,46,46,46,46,46,1-2282,13,9,1-2282,219,58,0,21,62.92384047806263,0.28732347250256907
64,64,64,64,64,64,64,64,64,64,64,64,64,MLG29,6,13,MLG29,164,34,0,54,46.66130408644676,0.2845201468685778
228,228,228,228,228,228,228,228,228,228,228,228,228,MLG60,4,11,MLG60,47,10,0,14,13.28256031870842,0.2826076663554983
57,57,57,57,57,57,57,57,57,57,57,57,57,MLG75,4,11,MLG75,185,41,0,45,51.551086738705635,0.27865452291192233
354,354,354,354,354,354,354,354,354,354,354,354,354,1-7530,2,2,1-7530,25,6,0,4,6.937874376773834,0.27751497507095335
51,51,51,51,51,51,51,51,51,51,51,51,51,MLG65,3,10,MLG65,201,41,0,59,54.833647057414055,0.2728042142159903
406,406,406,406,406,406,406,406,406,406,406,406,406,1-3265,17,4,1-3265,19,4,0,5,5.172342970967293,0.2722285774193312
92,92,92,92,92,92,92,92,92,92,92,92,92,1-6980,13,9,1-6980,128,34,0,2,34.46893718838692,0.2692885717842728
138,138,138,138,138,138,138,138,138,138,138,138,138,1-4640,7,12,1-4640,87,17,0,26,23.096183449029922,0.2654733729773554
