Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
191,191,191,191,191,191,191,191,191,191,191,191,191,MLG44,21,20,MLG44,59,7,1,15,1007.7364611700177,17.080279002881657
168,168,168,168,168,168,168,168,168,168,168,168,168,MLG45,7,16,MLG45,70,11,1,26,1012.2765326946974,14.461093324209962
84,84,84,84,84,84,84,84,84,84,84,84,84,1-2382,21,20,1-2382,139,22,1,36,1023.7675068080425,7.365233861928363
6,6,6,6,6,6,6,6,6,6,6,6,6,MLG54,7,16,MLG54,595,23,1,93,1027.5660592541099,1.727001780259008
40,40,40,40,40,40,40,40,40,40,40,40,40,1-7807,5,14,1-7807,239,68,0,104,73.10613077878952,0.30588339237987244
29,29,29,29,29,29,29,29,29,29,29,29,29,1-3534,10,19,1-3534,279,78,0,67,81.28952655941248,0.2913603102487902
75,75,75,75,75,75,75,75,75,75,75,75,75,1-2545,4,13,1-2545,145,40,0,43,42.11118868738413,0.2904219909474767
354,354,354,354,354,354,354,354,354,354,354,354,354,1-7530,2,6,1-7530,25,7,0,2,7.098194822669029,0.2839277929067612
49,49,49,49,49,49,49,49,49,49,49,49,49,1-6974,7,16,1-6974,207,56,0,56,58.74945503473282,0.2838137924383228
121,121,121,121,121,121,121,121,121,121,121,121,121,1-9333,20,21,1-9333,102,28,0,1,28.049097411334515,0.27499115109151484
239,239,239,239,239,239,239,239,239,239,239,239,239,1-5002,6,15,1-5002,45,12,0,6,12.294584468007088,0.27321298817793527
81,81,81,81,81,81,81,81,81,81,81,81,81,1-7682,18,4,1-7682,141,38,0,6,38.29458446800709,0.27159279764544036
92,92,92,92,92,92,92,92,92,92,92,92,92,1-6980,13,11,1-6980,128,32,0,41,34.0129938647151,0.2657265145680867
441,441,441,441,441,441,441,441,441,441,441,441,441,1-9997,2,6,1-9997,16,4,0,5,4.245487056672573,0.2653429410420358
165,165,165,165,165,165,165,165,165,165,165,165,165,MLG59,10,19,MLG59,71,18,0,10,18.490974113345146,0.26043625511753726
35,35,35,35,35,35,35,35,35,35,35,35,35,1-7496,5,14,1-7496,246,60,0,42,62.062091276049614,0.2522849238863805
31,31,31,31,31,31,31,31,31,31,31,31,31,1-9156,15,2,1-9156,268,65,0,42,67.06209127604961,0.25023168386585676
228,228,228,228,228,228,228,228,228,228,228,228,228,MLG60,4,13,MLG60,47,11,0,14,11.687363758683205,0.24866731401453626
103,103,103,103,103,103,103,103,103,103,103,103,103,1-3362,5,14,1-3362,117,28,0,19,28.932850815355778,0.24728932320816904
166,166,166,166,166,166,166,166,166,166,166,166,166,MLG58,12,10,MLG58,71,17,0,6,17.294584468007088,0.2435856967324942
43,43,43,43,43,43,43,43,43,43,43,43,43,MLG14,12,10,MLG14,232,55,0,23,56.129240460693836,0.24193638129609413
67,67,67,67,67,67,67,67,67,67,67,67,67,1-3516,5,14,1-3516,156,37,0,14,37.687363758683205,0.24158566511976412
24,24,24,24,24,24,24,24,24,24,24,24,24,1-3535,2,6,1-3535,315,74,0,16,74.78555858135223,0.2374144716868325
138,138,138,138,138,138,138,138,138,138,138,138,138,1-4640,7,14,1-4640,87,19,0,26,20.27653269469738,0.2330635941919239
347,347,347,347,347,347,347,347,347,347,347,347,347,1-7204,18,4,1-7204,26,6,0,0,6.0,0.23076923076923078
57,57,57,57,57,57,57,57,57,57,57,57,57,MLG75,4,13,MLG75,185,40,0,46,42.25848092138767,0.22842422119669012
236,236,236,236,236,236,236,236,236,236,236,236,236,1-9794,20,21,1-9794,46,10,0,7,10.343681879341602,0.2248626495509044
64,64,64,64,64,64,64,64,64,64,64,64,64,MLG29,6,15,MLG29,164,34,0,55,36.700357623398304,0.22378266843535552
406,406,406,406,406,406,406,406,406,406,406,406,406,1-3265,17,5,1-3265,19,4,0,5,4.245487056672573,0.22344668719329333
51,51,51,51,51,51,51,51,51,51,51,51,51,MLG65,3,12,MLG65,201,43,0,24,44.17833787202835,0.21979272573148434
132,132,132,132,132,132,132,132,132,132,132,132,132,MLG55,20,21,MLG55,92,20,0,4,20.19638964533806,0.21952597440584845
263,263,263,263,263,263,263,263,263,263,263,263,263,1-6061,6,11,1-6061,40,8,0,14,8.687363758683205,0.2171840939670801
124,124,124,124,124,124,124,124,124,124,124,124,124,1-0292,21,20,1-0292,99,21,0,10,21.490974113345146,0.21708054659944592
329,329,329,329,329,329,329,329,329,329,329,329,329,1-5980,6,15,1-5980,29,6,0,3,6.147292234003544,0.21197559427598428
80,80,80,80,80,80,80,80,80,80,80,80,80,1-0053,6,15,1-0053,142,29,0,19,29.932850815355778,0.21079472405180125
85,85,85,85,85,85,85,85,85,85,85,85,85,1-1131,10,19,1-1131,138,28,0,22,29.08014304935932,0.21072567427071973
46,46,46,46,46,46,46,46,46,46,46,46,46,1-2282,13,11,1-2282,219,43,0,57,45.79855244606733,0.20912581025601523
212,212,212,212,212,212,212,212,212,212,212,212,212,MLG32,21,20,MLG32,52,10,0,14,10.687363758683205,0.20552622612852317
155,155,155,155,155,155,155,155,155,155,155,155,155,1-8157,1,13,1-8157,75,15,0,7,15.343681879341602,0.20458242505788804
37,37,37,37,37,37,37,37,37,37,37,37,37,1-5775,12,10,1-5775,244,47,0,57,49.79855244606733,0.204092428057653
195,195,195,195,195,195,195,195,195,195,195,195,195,1-9379,21,20,1-9379,58,11,0,17,11.834655992686749,0.20404579297735773
275,275,275,275,275,275,275,275,275,275,275,275,275,1-4020,15,11,1-4020,37,7,0,9,7.441876702010632,0.2011318027570441
102,102,102,102,102,102,102,102,102,102,102,102,102,1-17907,5,14,1-17907,119,23,0,17,23.83465599268675,0.2002912268293004
137,137,137,137,137,137,137,137,137,137,137,137,137,1-6611,5,14,1-6611,89,17,0,13,17.63826634734869,0.1981827679477381
142,142,142,142,142,142,142,142,142,142,142,142,142,1-8084,6,15,1-8084,82,16,0,5,16.245487056672573,0.19811569581308017
22,22,22,22,22,22,22,22,22,22,22,22,22,MLG50,12,10,MLG50,319,59,0,77,62.780500672757626,0.1968040773440678
126,126,126,126,126,126,126,126,126,126,126,126,126,1-6693,6,15,1-6693,98,19,0,5,19.245487056672573,0.19638252098645484
145,145,145,145,145,145,145,145,145,145,145,145,145,1-9491,18,4,1-9491,80,15,0,12,15.589168936014175,0.1948646117001772
326,326,326,326,326,326,326,326,326,326,326,326,326,1-0027,21,20,1-0027,29,5,0,12,5.589168936014175,0.19272996331083364
270,270,270,270,270,270,270,270,270,270,270,270,270,1-9651,10,19,1-9651,38,7,0,6,7.294584468007088,0.19196274915808126
156,156,156,156,156,156,156,156,156,156,156,156,156,1-2294,8,13,1-2294,75,12,0,48,14.356675744056702,0.19142234325408936
97,97,97,97,97,97,97,97,97,97,97,97,97,1-1833,2,6,1-1833,124,23,0,13,23.63826634734869,0.19063118022055395
217,217,217,217,217,217,217,217,217,217,217,217,217,1-9770,15,2,1-9770,50,9,0,9,9.441876702010632,0.18883753404021264
183,183,183,183,183,183,183,183,183,183,183,183,183,1-19915,3,12,1-19915,62,11,0,14,11.687363758683205,0.18850586707553557
219,219,219,219,219,219,219,219,219,219,219,219,219,1-2400,7,16,1-2400,49,9,0,2,9.09819482266903,0.18567744536059244
60,60,60,60,60,60,60,60,60,60,60,60,60,1-3068,5,14,1-3068,180,32,0,15,32.73646117001772,0.18186922872232067
34,34,34,34,34,34,34,34,34,34,34,34,34,MLG51,8,17,MLG51,248,42,0,61,44.99494209140539,0.1814312181105056
215,215,215,215,215,215,215,215,215,215,215,215,215,MLG40,15,2,MLG40,51,9,0,5,9.245487056672573,0.18128405993475633
358,358,358,358,358,358,358,358,358,358,358,358,358,1-8627,5,14,1-8627,25,4,0,9,4.441876702010632,0.17767506808042527
125,125,125,125,125,125,125,125,125,125,125,125,125,1-1390,7,16,1-1390,98,16,0,22,17.08014304935932,0.1742871739730543
319,319,319,319,319,319,319,319,319,319,319,319,319,1-18935,17,5,1-18935,30,5,0,4,5.1963896453380585,0.1732129881779353
332,332,332,332,332,332,332,332,332,332,332,332,332,P-16616,2,22,P-16616,28,4,0,11,4.540071524679661,0.16214541159570217
111,111,111,111,111,111,111,111,111,111,111,111,111,1-0272,5,14,1-0272,111,17,0,19,17.932850815355778,0.16155721455275476
176,176,176,176,176,176,176,176,176,176,176,176,176,1-6561,18,4,1-6561,65,10,0,10,10.490974113345146,0.1613996017437715
45,45,45,45,45,45,45,45,45,45,45,45,45,1-3596,3,12,1-3596,223,34,0,40,35.963896453380585,0.16127307826628065
392,392,392,392,392,392,392,392,392,392,392,392,392,MLG33,20,21,MLG33,20,3,0,4,3.1963896453380585,0.15981948226690293
114,114,114,114,114,114,114,114,114,114,114,114,114,1-7152,5,14,1-7152,109,17,0,8,17.392779290676117,0.15956678248326714
272,272,272,272,272,272,272,272,272,272,272,272,272,1-19229,15,2,1-19229,38,6,0,1,6.049097411334515,0.15918677398248723
108,108,108,108,108,108,108,108,108,108,108,108,108,1-8328,17,5,1-8328,114,16,0,43,18.11118868738413,0.15887007620512394
48,48,48,48,48,48,48,48,48,48,48,48,48,MLG30,9,18,MLG30,208,31,0,41,33.0129938647151,0.15871631665728414
331,331,331,331,331,331,331,331,331,331,331,331,331,1-5981,3,12,1-5981,28,4,0,9,4.441876702010632,0.15863845364323684
78,78,78,78,78,78,78,78,78,78,78,78,78,1-1570,18,4,1-1570,142,21,0,28,22.37472751736641,0.15756850364342542
93,93,93,93,93,93,93,93,93,93,93,93,93,MLG52,8,17,MLG52,125,19,0,14,19.687363758683205,0.15749891006946565
512,512,512,512,512,512,512,512,512,512,512,512,512,1-5799,18,22,1-5799,7,1,0,2,1.0981948226690292,0.15688497466700418
262,262,262,262,262,262,262,262,262,262,262,262,262,1-8172,18,4,1-8172,40,6,0,3,6.147292234003544,0.1536823058500886
76,76,76,76,76,76,76,76,76,76,76,76,76,1-2335,20,21,1-2335,145,22,0,5,22.245487056672573,0.15341715211498327
297,297,297,297,297,297,297,297,297,297,297,297,297,1-9630,21,22,1-9630,33,5,0,0,5.0,0.15151515151515152
54,54,54,54,54,54,54,54,54,54,54,54,54,1-1350,18,4,1-1350,195,27,0,51,29.503967978060246,0.15130239988748845
0,0,0,0,0,0,0,0,0,0,0,0,0,1-6098,6,15,1-6098,1327,192,0,156,199.65919616818428,0.150459077745429
393,393,393,393,393,393,393,393,393,393,393,393,393,1-6718,2,6,1-6718,20,3,0,0,3.0,0.15
450,450,450,450,450,450,450,450,450,450,450,450,450,1-11206,4,22,1-11206,14,2,0,2,2.0981948226690292,0.14987105876207352
449,449,449,449,449,449,449,449,449,449,449,449,449,MLG43,21,10,MLG43,14,2,0,2,2.0981948226690292,0.14987105876207352
513,513,513,513,513,513,513,513,513,513,513,513,513,1-5530,21,20,1-5530,7,1,0,1,1.0490974113345146,0.14987105876207352
454,454,454,454,454,454,454,454,454,454,454,454,454,1-5913,9,18,1-5913,14,2,0,2,2.0981948226690292,0.14987105876207352
359,359,359,359,359,359,359,359,359,359,359,359,359,1-7839,17,3,1-7839,24,3,0,12,3.5891689360141754,0.1495487056672573
290,290,290,290,290,290,290,290,290,290,290,290,290,1-3509,9,18,1-3509,35,5,0,4,5.1963896453380585,0.14846827558108738
152,152,152,152,152,152,152,152,152,152,152,152,152,1-10038,2,6,1-10038,76,11,0,5,11.245487056672573,0.14796693495621807
146,146,146,146,146,146,146,146,146,146,146,146,146,MLG78,21,20,MLG78,80,11,0,17,11.834655992686749,0.14793319990858436
208,208,208,208,208,208,208,208,208,208,208,208,208,1-5355,18,4,1-5355,53,7,0,17,7.8346559926867485,0.14782369797522166
294,294,294,294,294,294,294,294,294,294,294,294,294,1-3106,8,17,1-3106,34,5,0,0,5.0,0.14705882352941177
442,442,442,442,442,442,442,442,442,442,442,442,442,1-5803,17,4,1-5803,15,2,0,4,2.1963896453380585,0.14642597635587057
334,334,334,334,334,334,334,334,334,334,334,334,334,1-18994,8,19,1-18994,28,4,0,2,4.098194822669029,0.14636410080960818
451,451,451,451,451,451,451,451,451,451,451,451,451,1-11329,8,17,1-11329,14,2,0,1,2.0490974113345146,0.14636410080960818
148,148,148,148,148,148,148,148,148,148,148,148,148,1-0278,18,4,1-0278,79,11,0,10,11.490974113345146,0.14545536852335628
256,256,256,256,256,256,256,256,256,256,256,256,256,1-0296,2,5,1-0296,41,5,0,19,5.932850815355778,0.14470367842331167
177,177,177,177,177,177,177,177,177,177,177,177,177,1-9498,19,22,1-9498,64,9,0,5,9.245487056672573,0.14446073526050895
244,244,244,244,244,244,244,244,244,244,244,244,244,1-19448,4,13,1-19448,45,6,0,10,6.490974113345146,0.14424386918544768
100,100,100,100,100,100,100,100,100,100,100,100,100,1-5172,2,6,1-5172,120,17,0,6,17.294584468007088,0.1441215372333924
190,190,190,190,190,190,190,190,190,190,190,190,190,1-7819,17,17,1-7819,59,8,0,8,8.392779290676117,0.14225049645213758
446,446,446,446,446,446,446,446,446,446,446,446,446,1-19447,21,20,1-19447,15,2,0,2,2.0981948226690292,0.13987965484460194
68,68,68,68,68,68,68,68,68,68,68,68,68,1-1015,8,17,1-1015,155,21,0,11,21.54007152467966,0.13896820338503008
