Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
145,145,145,145,145,145,145,145,145,145,145,145,145,1-9491,5,1-9491,10,80,22,1,28,1036.9746935367584,12.96218366920948
93,93,93,93,93,93,93,93,93,93,93,93,93,MLG52,5,MLG52,10,125,18,1,24,1030.8354516029358,8.246683612823487
368,368,368,368,368,368,368,368,368,368,368,368,368,1-6858,18,1-6858,21,23,10,0,13,16.952536284923553,0.7370667949966763
212,212,212,212,212,212,212,212,212,212,212,212,212,MLG32,21,MLG32,13,52,18,0,10,23.34810483455658,0.449002016049165
189,189,189,189,189,189,189,189,189,189,189,189,189,MLG10,10,MLG10,6,60,23,0,6,26.208862900733948,0.43681438167889913
17,17,17,17,17,17,17,17,17,17,17,17,17,1-7004,10,1-7004,19,381,53,0,201,160.49690717458725,0.4212517248676831
56,56,56,56,56,56,56,56,56,56,56,56,56,1-8427,15,1-8427,3,189,71,0,11,76.88291531801224,0.4067879117355145
165,165,165,165,165,165,165,165,165,165,165,165,165,MLG59,4,MLG59,9,71,24,0,9,28.81329435110092,0.4058210471986045
215,215,215,215,215,215,215,215,215,215,215,215,215,MLG40,13,MLG40,16,51,15,0,10,20.34810483455658,0.3989824477364035
15,15,15,15,15,15,15,15,15,15,15,15,15,1-1580,11,1-1580,18,400,47,0,210,159.31020152568817,0.39827550381422044
104,104,104,104,104,104,104,104,104,104,104,104,104,1-9394,12,1-9394,17,117,15,0,59,46.55381852388382,0.3978958848195198
109,109,109,109,109,109,109,109,109,109,109,109,109,1-7441,21,1-7441,13,111,19,0,46,43.601282238960266,0.3928043444951375
91,91,91,91,91,91,91,91,91,91,91,91,91,1-9270,21,1-9270,13,128,41,0,16,49.55696773529053,0.38716381043195724
228,228,228,228,228,228,228,228,228,228,228,228,228,MLG60,9,MLG60,5,47,12,0,11,17.882915318012238,0.38048755995770717
84,84,84,84,84,84,84,84,84,84,84,84,84,1-2382,5,1-2382,10,139,36,0,31,52.5791249871254,0.37826708623831223
299,299,299,299,299,299,299,299,299,299,299,299,299,MLG31,20,MLG31,6,33,6,0,12,12.417725801467896,0.3762947212566029
55,55,55,55,55,55,55,55,55,55,55,55,55,1-1462,8,1-1462,14,192,17,0,103,72.08547979593277,0.3754452072704832
28,28,28,28,28,28,28,28,28,28,28,28,28,1-7005,8,1-7005,14,285,21,0,158,105.50005638599396,0.37017563644208407
57,57,57,57,57,57,57,57,57,57,57,57,57,MLG75,9,MLG75,5,185,45,0,43,67.99685078859329,0.367550544803207
213,213,213,213,213,213,213,213,213,213,213,213,213,1-6227,18,1-6227,21,52,1,0,33,18.648745954036713,0.3586297298853214
358,358,358,358,358,358,358,358,358,358,358,358,358,1-8627,20,1-8627,6,25,5,0,7,8.743673384189606,0.3497469353675842
116,116,116,116,116,116,116,116,116,116,116,116,116,MLG08,16,MLG08,4,107,2,0,66,37.297491908073425,0.3485746907296582
348,348,348,348,348,348,348,348,348,348,348,348,348,1-3087,16,1-3087,4,26,3,0,11,8.882915318012238,0.34165058915431684
195,195,195,195,195,195,195,195,195,195,195,195,195,1-9379,4,1-9379,9,58,16,0,7,19.743673384189606,0.3404081617963725
423,423,423,423,423,423,423,423,423,423,423,423,423,MLG46,5,MLG46,10,17,2,0,7,5.743673384189606,0.33786314024644737
150,150,150,150,150,150,150,150,150,150,150,150,150,1-3083,5,1-3083,4,78,17,0,17,26.091778218746185,0.33450997716341263
85,85,85,85,85,85,85,85,85,85,85,85,85,1-1131,7,1-1131,12,138,39,0,13,45.95253628492355,0.33298939336901123
63,63,63,63,63,63,63,63,63,63,63,63,63,1-3052,8,1-3052,14,166,9,0,86,54.993701577186584,0.33128735889871436
81,81,81,81,81,81,81,81,81,81,81,81,81,1-7682,9,1-7682,5,141,36,0,20,46.69620966911316,0.33117879197952593
139,139,139,139,139,139,139,139,139,139,139,139,139,MLG11,11,MLG11,18,87,25,0,7,28.743673384189606,0.330387050392984
171,171,171,171,171,171,171,171,171,171,171,171,171,1-9645,20,1-9645,6,69,6,0,31,22.579124987125397,0.32723369546558545
239,239,239,239,239,239,239,239,239,239,239,239,239,1-5002,6,1-5002,11,45,4,0,20,14.69620966911316,0.32658243709140355
