Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
215,215,215,215,215,215,215,215,215,215,215,215,215,MLG40,17,MLG40,3,51,11,1,7,1011.3173809498549,19.829752567644213
168,168,168,168,168,168,168,168,168,168,168,168,168,MLG45,5,MLG45,5,70,17,1,16,1017.7254421710968,14.538934888158526
32,32,32,32,32,32,32,32,32,32,32,32,32,1-7874,17,1-7874,19,258,31,1,6,1031.2720408141613,3.997178452768067
8,8,8,8,8,8,8,8,8,8,8,8,8,1-10468,5,1-10468,5,549,56,1,160,1063.254421710968,1.936711150657501
228,228,228,228,228,228,228,228,228,228,228,228,228,MLG60,2,MLG60,2,47,16,0,4,16.1813605427742,0.34428426686753616
203,203,203,203,203,203,203,203,203,203,203,203,203,1-9938,6,1-9938,6,55,18,0,10,18.4534013569355,0.3355163883079182
112,112,112,112,112,112,112,112,112,112,112,112,112,1-3447,4,1-3447,4,110,34,0,21,34.95214284956455,0.31774675317785955
212,212,212,212,212,212,212,212,212,212,212,212,212,MLG32,17,MLG32,19,52,15,0,4,15.1813605427742,0.2919492412071962
34,34,34,34,34,34,34,34,34,34,34,34,34,MLG51,15,MLG51,16,248,70,0,30,71.3602040708065,0.2877427583500262
123,123,123,123,123,123,123,123,123,123,123,123,123,1-11350,2,1-11350,2,100,28,0,13,28.58942176401615,0.28589421764016154
267,267,267,267,267,267,267,267,267,267,267,267,267,1-5413,15,1-5413,16,39,10,0,11,10.498741492629051,0.2691984998110013
165,165,165,165,165,165,165,165,165,165,165,165,165,MLG59,5,MLG59,5,71,18,0,22,18.997482985258102,0.2675701828909592
441,441,441,441,441,441,441,441,441,441,441,441,441,1-9997,7,1-9997,7,16,4,0,5,4.2267006784677505,0.2641687924042344
242,242,242,242,242,242,242,242,242,242,242,242,242,1-3206,3,1-3206,13,45,11,0,16,11.725442171096802,0.2605653815799289
125,125,125,125,125,125,125,125,125,125,125,125,125,1-1390,4,1-1390,16,98,23,0,33,24.496224477887154,0.24996147426415463
93,93,93,93,93,93,93,93,93,93,93,93,93,MLG52,10,MLG52,12,125,30,0,19,30.861462578177452,0.24689170062541962
57,57,57,57,57,57,57,57,57,57,57,57,57,MLG75,8,MLG75,9,185,44,0,26,45.1788435280323,0.24420996501639083
233,233,233,233,233,233,233,233,233,233,233,233,233,1-3587,12,1-3587,13,46,11,0,5,11.22670067846775,0.24405871040147284
77,77,77,77,77,77,77,77,77,77,77,77,77,1-9674,6,1-9674,6,144,34,0,12,34.5440816283226,0.2398894557522403
