Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
215,215,215,215,215,215,215,215,215,215,215,215,215,MLG40,8,MLG40,3,51,11,1,8,1012.2614579200745,19.848263880785773
168,168,168,168,168,168,168,168,168,168,168,168,168,MLG45,5,MLG45,5,70,14,1,10,1015.5768224000931,14.50824032000133
9,9,9,9,9,9,9,9,9,9,9,9,9,1-3523,8,1-3523,3,543,95,1,138,1116.7601491212845,2.0566485250852384
8,8,8,8,8,8,8,8,8,8,8,8,8,1-10468,5,1-10468,5,549,26,1,137,1047.6024668812752,1.9082012147199912
228,228,228,228,228,228,228,228,228,228,228,228,228,MLG60,9,MLG60,2,47,16,0,4,16.63072896003723,0.35384529702206874
441,441,441,441,441,441,441,441,441,441,441,441,441,1-9997,3,1-9997,7,16,5,0,2,5.315364480018616,0.3322102800011635
203,203,203,203,203,203,203,203,203,203,203,203,203,1-9938,4,1-9938,6,55,18,0,1,18.157682240009308,0.33013967709107833
195,195,195,195,195,195,195,195,195,195,195,195,195,1-9379,2,1-9379,9,58,18,0,6,18.946093440055847,0.32665678344923876
123,123,123,123,123,123,123,123,123,123,123,123,123,1-11350,9,1-11350,2,100,31,0,10,32.57682240009308,0.3257682240009308
34,34,34,34,34,34,34,34,34,34,34,34,34,MLG51,14,MLG51,16,248,71,0,44,77.93801856040955,0.3142662038726191
267,267,267,267,267,267,267,267,267,267,267,267,267,1-5413,14,1-5413,16,39,10,0,14,12.20755136013031,0.3130141374392387
191,191,191,191,191,191,191,191,191,191,191,191,191,MLG44,6,MLG44,19,59,14,0,21,17.311327040195465,0.29341232271517736
239,239,239,239,239,239,239,239,239,239,239,239,239,1-5002,3,1-5002,7,45,10,0,19,12.99596256017685,0.28879916800392996
212,212,212,212,212,212,212,212,212,212,212,212,212,MLG32,6,MLG32,19,52,13,0,12,14.892186880111694,0.2863882092329172
242,242,242,242,242,242,242,242,242,242,242,242,242,1-3206,17,1-3206,13,45,11,0,10,12.576822400093079,0.27948494222429066
