Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
215,215,215,215,215,215,215,215,215,215,215,215,MLG40,7,MLG40,3,51,10,1,8,1011.1715049743652,19.82689225439932
168,168,168,168,168,168,168,168,168,168,168,168,MLG45,11,MLG45,5,70,17,1,7,1018.0250668525696,14.543215240750994
9,9,9,9,9,9,9,9,9,9,9,9,1-3523,7,1-3523,3,543,62,1,134,1081.6227083206177,1.9919386893565703
8,8,8,8,8,8,8,8,8,8,8,8,1-10468,11,1-10468,5,549,57,1,106,1072.5224409103394,1.9535927885434232
148,148,148,148,148,148,148,148,148,148,148,148,1-0278,14,1-0278,15,79,40,0,6,40.878628730773926,0.517450996592075
195,195,195,195,195,195,195,195,195,195,195,195,1-9379,19,1-9379,9,58,21,0,7,22.02506685256958,0.37974253194085483
142,142,142,142,142,142,142,142,142,142,142,142,1-8084,13,1-8084,7,82,29,0,10,30.464381217956543,0.3715168441214213
203,203,203,203,203,203,203,203,203,203,203,203,1-9938,12,1-9938,6,55,18,0,15,20.196571826934814,0.36721039685336027
228,228,228,228,228,228,228,228,228,228,228,228,MLG60,6,MLG60,2,47,16,0,7,17.02506685256958,0.36223546494828895
212,212,212,212,212,212,212,212,212,212,212,212,MLG32,9,MLG32,19,52,15,0,15,17.196571826934814,0.33070330436413103
22,22,22,22,22,22,22,22,22,22,22,22,MLG50,14,MLG50,15,319,98,0,36,103.27177238464355,0.3237359635882243
123,123,123,123,123,123,123,123,123,123,123,123,1-11350,6,1-11350,2,100,28,0,27,31.953829288482666,0.31953829288482666
326,326,326,326,326,326,326,326,326,326,326,326,1-0027,13,1-0027,7,29,8,0,8,9.171504974365234,0.3162587922194908
267,267,267,267,267,267,267,267,267,267,267,267,1-5413,16,1-5413,16,39,11,0,8,12.171504974365234,0.3120898711375701
23,23,23,23,23,23,23,23,23,23,23,23,1-7866,7,1-7866,3,318,79,0,120,96.57257461547852,0.30368734155810856
239,239,239,239,239,239,239,239,239,239,239,239,1-5002,13,1-5002,7,45,10,0,22,13.221638679504395,0.2938141928778754
80,80,80,80,80,80,80,80,80,80,80,80,1-0053,13,1-0053,7,142,37,0,32,41.68601989746094,0.2935635204046545
70,70,70,70,70,70,70,70,70,70,70,70,1-1224,16,1-1224,16,151,41,0,20,43.928762435913086,0.2909189565292257
37,37,37,37,37,37,37,37,37,37,37,37,1-5775,8,1-5775,20,244,67,0,24,70.5145149230957,0.2889939136192447
165,165,165,165,165,165,165,165,165,165,165,165,MLG59,11,MLG59,5,71,19,0,10,20.464381217956543,0.2882307213796696
441,441,441,441,441,441,441,441,441,441,441,441,1-9997,13,1-9997,7,16,4,0,4,4.585752487182617,0.2866095304489136
58,58,58,58,58,58,58,58,58,58,58,58,MLG49,8,MLG49,20,185,45,0,40,50.85752487182617,0.27490553984770905
277,277,277,277,277,277,277,277,277,277,277,277,1-10060,8,1-10060,20,36,5,0,33,9.832458019256592,0.2731238338682387
210,210,210,210,210,210,210,210,210,210,210,210,1-1191,20,1-1191,10,53,13,0,7,14.02506685256958,0.2646239028786713
57,57,57,57,57,57,57,57,57,57,57,57,MLG75,19,MLG75,9,185,46,0,12,47.75725746154785,0.25814733762998837
43,43,43,43,43,43,43,43,43,43,43,43,MLG14,6,MLG14,2,232,56,0,22,59.221638679504395,0.255265683963381
112,112,112,112,112,112,112,112,112,112,112,112,1-3447,10,1-3447,4,110,23,0,34,27.978896141052246,0.2543536012822932
256,256,256,256,256,256,256,256,256,256,256,256,1-0296,7,1-0296,3,41,8,0,16,10.343009948730469,0.25226853533488947
45,45,45,45,45,45,45,45,45,45,45,45,1-3596,10,1-3596,4,223,45,0,67,54.81135416030884,0.24579082583098133
132,132,132,132,132,132,132,132,132,132,132,132,MLG55,8,MLG55,20,92,21,0,10,22.464381217956543,0.24417805671691895
12,12,12,12,12,12,12,12,12,12,12,12,1-7024,19,1-7024,9,498,95,0,181,121.50530004501343,0.24398654627512736
61,61,61,61,61,61,61,61,61,61,61,61,1-6927,9,1-6927,19,179,41,0,18,43.63588619232178,0.24377590051576412
64,64,64,64,64,64,64,64,64,64,64,64,MLG29,13,MLG29,7,164,33,0,38,38.56464862823486,0.2351502965136272
154,154,154,154,154,154,154,154,154,154,154,154,1-9417,12,1-9417,6,76,14,0,22,17.221638679504395,0.2266005089408473
308,308,308,308,308,308,308,308,308,308,308,308,1-4700,23,1-4700,8,31,7,0,0,7.0,0.22580645161290322
77,77,77,77,77,77,77,77,77,77,77,77,1-9674,12,1-9674,6,144,30,0,16,32.34300994873047,0.2246042357550727
429,429,429,429,429,429,429,429,429,429,429,429,1-9452,9,1-9452,19,16,3,0,4,3.585752487182617,0.22410953044891357
133,133,133,133,133,133,133,133,133,133,133,133,MLG53,14,MLG53,15,91,19,0,9,20.31794309616089,0.22327409995781197
327,327,327,327,327,327,327,327,327,327,327,327,1-8988,17,1-8988,2,29,6,0,3,6.439314365386963,0.22204532294437804
125,125,125,125,125,125,125,125,125,125,125,125,1-1390,16,1-1390,16,98,16,0,37,21.41821050643921,0.21855316843305314
26,26,26,26,26,26,26,26,26,26,26,26,1-18558,23,1-18558,17,307,66,0,0,66.0,0.21498371335504887
235,235,235,235,235,235,235,235,235,235,235,235,1-1989,9,1-1989,19,46,9,0,6,9.878628730773926,0.21475279849508536
297,297,297,297,297,297,297,297,297,297,297,297,1-9630,15,1-9630,14,33,6,0,7,7.02506685256958,0.2128808137142297
283,283,283,283,283,283,283,283,283,283,283,283,1-6909,10,1-6909,4,36,6,0,11,7.610819339752197,0.21141164832644993
512,512,512,512,512,512,512,512,512,512,512,512,1-5799,15,1-5799,14,7,1,0,3,1.439314365386963,0.20561633791242326
