Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
141,141,141,141,141,141,141,141,141,141,141,MLG45,20,13,MLG45,70,25,1,9,1029.7834574580193,14.711192249400275
352,352,352,352,352,352,352,352,352,352,352,MLG63,6,13,MLG63,380,20,1,82,1063.5826123952866,2.7989016115665435
399,399,399,399,399,399,399,399,399,399,399,MLG60,15,6,MLG60,47,26,0,8,30.251962184906006,0.6436587698916172
251,251,251,251,251,251,251,251,251,251,251,1-7268,6,13,1-7268,70,23,0,27,37.35037237405777,0.5335767482008252
322,322,322,322,322,322,322,322,322,322,322,1-0296,18,12,1-0296,41,17,0,6,20.188971638679504,0.4924139424068172
166,166,166,166,166,166,166,166,166,166,166,MLG40,14,8,MLG40,51,18,0,12,24.37794327735901,0.47799888779135313
463,463,463,463,463,463,463,463,463,463,463,1-1989,19,17,1-1989,46,20,0,3,21.594485819339752,0.46944534389869025
94,94,94,94,94,94,94,94,94,94,94,1-3083,2,12,1-3083,78,9,0,48,34.511773109436035,0.4424586296081543
488,488,488,488,488,488,488,488,488,488,488,1-11350,2,12,1-11350,100,19,0,47,43.980277836322784,0.43980277836322784
394,394,394,394,394,394,394,394,394,394,394,1-2423,3,11,1-2423,79,12,0,41,33.79130619764328,0.42773805313472507
140,140,140,140,140,140,140,140,140,140,140,1-2294,4,6,1-2294,75,30,0,3,31.594485819339752,0.42125981092453
483,483,483,483,483,483,483,483,483,483,483,1-9491,20,17,1-9491,80,26,0,14,33.44093382358551,0.4180116727948189
510,510,510,510,510,510,510,510,510,510,510,1-3206,2,12,1-3206,45,6,0,24,18.755886554718018,0.4167974789937337
91,91,91,91,91,91,91,91,91,91,91,72-12171,14,8,72-12171,19,5,0,5,7.657476365566254,0.4030250718719081
353,353,353,353,353,353,353,353,353,353,353,MLG50,7,19,MLG50,319,110,0,33,127.53934401273727,0.3998098558393018
161,161,161,161,161,161,161,161,161,161,161,MLG41,14,8,MLG41,66,15,0,21,26.161400735378265,0.3963848596269434
434,434,434,434,434,434,434,434,434,434,434,MLG59,17,16,MLG59,71,20,0,15,27.97242909669876,0.393977874601391
526,526,526,526,526,526,526,526,526,526,526,1-5002,11,7,1-5002,45,6,0,22,17.692896008491516,0.39317546685536703
130,130,130,130,130,130,130,130,130,130,130,1-1833,19,22,1-1833,124,6,0,80,48.51962184906006,0.3912872729762908
57,57,57,57,57,57,57,57,57,57,57,1-1224,10,20,1-1224,151,6,0,97,57.55504149198532,0.3811592151787107
345,345,345,345,345,345,345,345,345,345,345,1-1131,3,11,1-1131,138,34,0,34,52.070839285850525,0.3773249223612357
499,499,499,499,499,499,499,499,499,499,499,1-8627,20,17,1-8627,25,3,0,12,9.377943277359009,0.37511773109436036
332,332,332,332,332,332,332,332,332,332,332,MLG78,20,17,MLG78,80,24,0,11,29.846448004245758,0.373080600053072
217,217,217,217,217,217,217,217,217,217,217,1-9630,7,19,1-9630,33,9,0,6,12.188971638679504,0.36936277692968195
457,457,457,457,457,457,457,457,457,457,457,1-8503,11,20,1-8503,16,0,0,11,5.846448004245758,0.3654030002653599
340,340,340,340,340,340,340,340,340,340,340,1-3362,9,10,1-3362,117,24,0,35,42.602334558963776,0.364122517597981
241,241,241,241,241,241,241,241,241,241,241,1-19448,16,14,1-19448,45,10,0,12,16.37794327735901,0.36395429505242244
154,154,154,154,154,154,154,154,154,154,154,1-18994,2,12,1-18994,28,8,0,4,10.125981092453003,0.36164218187332153
466,466,466,466,466,466,466,466,466,466,466,1-5981,3,11,1-5981,28,8,0,4,10.125981092453003,0.36164218187332153
346,346,346,346,346,346,346,346,346,346,346,MLG32,14,8,MLG32,52,7,0,22,18.692896008491516,0.35947876939406764
403,403,403,403,403,403,403,403,403,403,403,1-1770,7,19,1-1770,35,12,0,1,12.53149527311325,0.35804272208895
514,514,514,514,514,514,514,514,514,514,514,1-11206,4,1,1-11206,14,5,0,0,5.0,0.35714285714285715
153,153,153,153,153,153,153,153,153,153,153,1-1350,20,17,1-1350,195,43,0,50,69.57476365566254,0.3567936597726284
460,460,460,460,460,460,460,460,460,460,460,1-7993,13,9,1-7993,24,0,0,16,8.503924369812012,0.3543301820755005
221,221,221,221,221,221,221,221,221,221,221,1-8023,9,10,1-8023,16,3,0,5,5.657476365566254,0.35359227284789085
540,540,540,540,540,540,540,540,540,540,540,1-5413,3,11,1-5413,39,11,0,5,13.657476365566254,0.350191701681186
537,537,537,537,537,537,537,537,537,537,537,1-4494,20,17,1-4494,16,4,0,3,5.594485819339752,0.3496553637087345
234,234,234,234,234,234,234,234,234,234,234,MLG29,11,7,MLG29,164,35,0,42,57.32280147075653,0.34952927726071054
351,351,351,351,351,351,351,351,351,351,351,1-19229,16,14,1-19229,38,10,0,6,13.188971638679504,0.34707820101788167
451,451,451,451,451,451,451,451,451,451,451,1-4098,17,6,1-4098,16,5,0,1,5.531495273113251,0.34571845456957817
416,416,416,416,416,416,416,416,416,416,416,1-18203,4,1,1-18203,29,10,0,0,10.0,0.3448275862068966
558,558,558,558,558,558,558,558,558,558,558,1-0055,20,16,1-0055,18,3,0,6,6.188971638679504,0.34383175770441693
392,392,392,392,392,392,392,392,392,392,392,1-9609,11,19,1-9609,25,7,0,3,8.594485819339752,0.3437794327735901
263,263,263,263,263,263,263,263,263,263,263,1-6927,14,8,1-6927,179,46,0,29,61.41336292028427,0.34309141296248197
470,470,470,470,470,470,470,470,470,470,470,1-1204,2,18,1-1204,39,7,0,12,13.377943277359009,0.34302418659894895
331,331,331,331,331,331,331,331,331,331,331,MLG75,15,6,MLG75,185,56,0,13,62.90943855047226,0.34005101919174197
516,516,516,516,516,516,516,516,516,516,516,1-5036,11,7,1-5036,14,1,0,7,4.720466911792755,0.3371762079851968
446,446,446,446,446,446,446,446,446,446,446,1-3534,9,10,1-3534,279,53,0,77,93.9251360297203,0.3366492330814348
367,367,367,367,367,367,367,367,367,367,367,1-8544,7,10,1-8544,54,7,0,21,18.161400735378265,0.33632223584033827
375,375,375,375,375,375,375,375,375,375,375,MLG14,3,11,MLG14,232,64,0,26,77.81887710094452,0.33542619440062293
