Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
207,207,1-7058,17,7,1-7058,80,7,0,53,59.69626718759537,0.7462033398449421
346,346,MLG32,1,9,MLG32,52,16,0,18,33.89684545993805,0.6518624126911163
463,463,1-1989,12,15,1-1989,46,24,0,6,29.965615153312683,0.6514264163763627
342,342,MLG65,18,19,MLG65,201,39,0,87,125.5014197230339,0.6243851727514125
259,259,1-3596,10,16,1-3596,223,75,0,54,128.69053637981415,0.5770876070843683
381,381,1-2335,12,12,1-2335,145,21,0,58,78.66761314868927,0.5425352630944088
506,506,1-6227,7,15,1-6227,52,6,0,22,27.87392222881317,0.5360369659387149
209,209,1-9938,15,20,1-9938,55,1,0,28,28.839537382125854,0.524355225129561
361,361,1-0008,20,22,1-0008,230,11,0,105,115.39826518297195,0.501731587752052
285,285,1-18615,6,8,1-18615,22,4,0,7,10.959884345531464,0.49817656116052106
427,427,1-9379,1,9,1-9379,58,9,0,20,28.88538384437561,0.49802385938578636
141,141,MLG45,13,14,MLG45,70,18,0,16,33.90830707550049,0.48440438679286413
409,409,1-9645,6,6,1-9645,69,33,0,0,33.0,0.4782608695652174
429,429,1-6693,13,14,1-6693,98,23,0,24,46.86246061325073,0.4781883736045993
170,170,1-5043,17,7,1-5043,123,14,0,45,58.74211364984512,0.4775781597548384
363,363,1-10785,17,7,1-10785,279,42,0,91,132.47849649190903,0.47483332075953055
166,166,MLG40,7,6,MLG40,51,20,0,4,23.977076768875122,0.470138760174022
174,174,MLG38,1,9,MLG38,77,12,0,24,35.86246061325073,0.465746241730529
106,106,MLG69,10,16,MLG69,576,84,0,184,266.9455313682556,0.46344710306988823
154,154,1-18994,11,18,1-18994,28,5,0,8,12.954153537750244,0.4626483406339373
234,234,MLG29,9,15,MLG29,164,40,0,36,75.7936909198761,0.462156651950464
270,270,1-1390,18,19,1-1390,98,39,0,5,43.9713459610939,0.44868720368463166
488,488,1-11350,14,10,1-11350,100,19,0,26,44.85099899768829,0.44850998997688296
396,396,1-9963,17,7,1-9963,116,15,0,37,51.78796011209488,0.44644793200081795
503,503,1-9076,15,13,1-9076,9,4,0,0,4.0,0.4444444444444444
402,402,1-5744,9,15,1-5744,18,6,0,2,7.988538384437561,0.4438076880243089
246,246,MLG56,11,18,MLG56,511,68,0,158,225.09453237056732,0.44049810640032744
268,268,MLG44,7,9,MLG44,59,14,0,12,25.931230306625366,0.43951237807839605
390,390,MLG64,9,15,MLG64,245,28,0,80,107.54153537750244,0.4389450423571528
353,353,MLG50,11,18,MLG50,319,24,0,116,139.33522629737854,0.43678754325197033
384,384,1-9270,17,7,1-9270,128,21,0,35,55.79942172765732,0.4359329822473228
292,292,1-9997,13,7,1-9997,16,2,0,5,6.971345961093903,0.4357091225683689
434,434,MLG59,9,15,MLG59,71,19,0,12,30.931230306625366,0.43565113107923054
501,501,1-18487,2,7,1-18487,23,6,0,4,9.977076768875122,0.4337859464728314
471,471,1-9794,12,12,1-9794,46,3,0,17,19.90257626771927,0.432664701472158
364,364,1-7682,16,1,1-7682,141,61,0,0,61.0,0.4326241134751773
172,172,1-8573,8,20,1-8573,184,6,0,74,79.57592022418976,0.43247782730537915
109,109,1-9768,6,8,1-9768,241,83,0,21,103.87965303659439,0.4310359047161593
264,264,P-0009,2,11,P-0009,7,1,0,2,2.988538384437561,0.4269340549196516
539,539,1-9436,13,14,1-9436,21,3,0,6,8.965615153312683,0.4269340549196516
22,22,1-7995,2,11,1-7995,14,1,0,5,5.971345961093903,0.42652471150670734
510,510,1-3206,11,18,1-3206,45,3,0,16,18.90830707550049,0.42018460167778865
494,494,1-3265,9,15,1-3265,19,4,0,4,7.977076768875122,0.41984614573026957
281,281,1-9995,11,18,1-9995,24,1,0,9,9.948422729969025,0.4145176137487094
378,378,1-6561,9,15,1-6561,65,15,0,12,26.931230306625366,0.4143266201019287
485,485,1-5980,13,8,1-5980,29,9,0,3,11.982807576656342,0.41320026126401177
244,244,MLG57,19,17,MLG57,629,123,0,137,259.21487933397293,0.412106326445108
552,552,MLG46,1,9,MLG46,17,6,0,1,6.9942691922187805,0.4114275995422812
562,562,1-0003,12,12,1-0003,17,4,0,3,6.9828075766563416,0.41075338686213775
430,430,1-3141,17,7,1-3141,136,13,0,43,55.75357526540756,0.4099527593044674
87,87,MLG35,1,9,MLG35,49,8,0,12,19.931230306625366,0.40675980217602786
335,335,1-8910,4,5,1-8910,137,5,0,51,55.707728803157806,0.40662575768728326
263,263,1-6927,1,20,1-6927,179,12,0,61,72.65042072534561,0.4058682722086347
421,421,1-8398,17,7,1-8398,54,4,0,18,21.89684545993805,0.4054971381470009
393,393,1-7819,6,8,1-7819,59,8,0,16,23.90830707550049,0.40522554365255065
399,399,MLG60,2,11,MLG60,47,11,0,8,18.954153537750244,0.4032798625053243
139,139,1-7863,17,7,1-7863,351,61,0,81,141.53580456972122,0.4032359104550462
120,120,1-10232,6,8,1-10232,5,2,0,0,2.0,0.4
493,493,1-1836,14,10,1-1836,20,7,0,1,7.9942691922187805,0.399713459610939
528,528,1-6718,6,8,1-6718,20,7,0,1,7.9942691922187805,0.399713459610939
99,99,1-5775,12,12,1-5775,244,10,0,88,97.49568891525269,0.3995724955543143
197,197,1-8646,20,13,1-8646,20,4,0,4,7.977076768875122,0.3988538384437561
526,526,1-5002,13,14,1-5002,45,9,0,9,17.948422729969025,0.3988538384437561
225,225,1-9650,19,17,1-9650,25,5,0,5,9.971345961093903,0.3988538384437561
46,46,1-8566,14,10,1-8566,5,1,0,1,1.9942691922187805,0.3988538384437561
189,189,1-9156,12,12,1-9156,268,36,0,71,106.59311264753342,0.39773549495348287
287,287,1-9836,1,9,1-9836,5,0,0,2,1.988538384437561,0.3977076768875122
162,162,1-8067,8,20,1-8067,322,51,0,77,127.5587278008461,0.396145117393932
