Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
141,141,141,141,141,141,141,141,141,141,141,141,141,MLG45,20,11,MLG45,70,25,1,19,1029.1743083745241,14.702490119636058
4,4,4,4,4,4,4,4,4,4,4,4,4,1-6240,20,11,1-6240,698,68,1,172,1105.7884758114815,1.584224177380346
140,140,140,140,140,140,140,140,140,140,140,140,140,1-2294,4,1,1-2294,75,37,0,0,37.0,0.49333333333333335
399,399,399,399,399,399,399,399,399,399,399,399,399,MLG60,15,14,MLG60,47,21,0,7,22.53790308535099,0.4795298528798083
131,131,131,131,131,131,131,131,131,131,131,131,131,1-9283,18,12,1-9283,235,95,0,72,110.81843173503876,0.4715677946171862
166,166,166,166,166,166,166,166,166,166,166,166,166,MLG40,14,6,MLG40,51,21,0,7,22.53790308535099,0.4419196683402155
268,268,268,268,268,268,268,268,268,268,268,268,268,MLG44,14,6,MLG44,59,22,0,7,23.53790308535099,0.3989475099212032
483,483,483,483,483,483,483,483,483,483,483,483,483,1-9491,20,11,1-9491,80,25,0,30,31.591013222932816,0.3948876652866602
443,443,443,443,443,443,443,443,443,443,443,443,443,1-3447,8,19,1-3447,110,41,0,4,41.87880176305771,0.380716379664161
272,272,272,272,272,272,272,272,272,272,272,272,272,1-1570,12,13,1-1570,142,46,0,32,53.03041410446167,0.3734536204539554
414,414,414,414,414,414,414,414,414,414,414,414,414,1-8285,8,19,1-8285,72,26,0,4,26.87880176305771,0.3733166911535793
322,322,322,322,322,322,322,322,322,322,322,322,322,1-0296,18,12,1-0296,41,8,0,31,14.810713663697243,0.361236918626762
124,124,124,124,124,124,124,124,124,124,124,124,124,1-8427,20,11,1-8427,189,45,0,99,66.75034363567829,0.3531764213527952
562,562,562,562,562,562,562,562,562,562,562,562,562,1-0003,20,11,1-0003,17,4,0,9,5.977303966879845,0.3516061156988144
114,114,114,114,114,114,114,114,114,114,114,114,114,1-7496,3,9,1-7496,246,70,0,60,83.18202644586563,0.33813831888563267
332,332,332,332,332,332,332,332,332,332,332,332,332,MLG78,20,11,MLG78,80,25,0,9,26.977303966879845,0.3372162995859981
427,427,427,427,427,427,427,427,427,427,427,427,427,1-9379,8,19,1-9379,58,17,0,7,18.53790308535099,0.3196190187129481
327,327,327,327,327,327,327,327,327,327,327,327,327,P-16616,8,19,P-16616,28,8,0,4,8.878801763057709,0.31710006296634674
123,123,123,123,123,123,123,123,123,123,123,123,123,MLG55,1,15,MLG55,92,20,0,41,29.007718071341515,0.3153012833841469
217,217,217,217,217,217,217,217,217,217,217,217,217,1-9630,7,8,1-9630,33,9,0,6,10.318202644586563,0.31267280741171405
305,305,305,305,305,305,305,305,305,305,305,305,305,1-7866,2,10,1-7866,318,86,0,60,99.18202644586563,0.31189316492410574
331,331,331,331,331,331,331,331,331,331,331,331,331,MLG75,15,14,MLG75,185,47,0,42,56.22741851210594,0.3039319919573294
253,253,253,253,253,253,253,253,253,253,253,253,253,1-4649,18,12,1-4649,244,64,0,46,74.10622027516365,0.3037140175211625
153,153,153,153,153,153,153,153,153,153,153,153,153,1-1350,20,11,1-1350,195,51,0,32,58.03041410446167,0.2975918672023675
191,191,191,191,191,191,191,191,191,191,191,191,191,1-8328,2,10,1-8328,114,32,0,7,33.53790308535099,0.29419213232764024
387,387,387,387,387,387,387,387,387,387,387,387,387,1-10539,20,11,1-10539,63,9,0,42,18.22741851210594,0.28932410336676095
239,239,239,239,239,239,239,239,239,239,239,239,239,1-7042,3,9,1-7042,117,20,0,63,33.84112776815891,0.2892404082748625
421,421,421,421,421,421,421,421,421,421,421,421,421,1-8398,15,14,1-8398,54,0,0,71,15.59873129427433,0.2888653943384135
384,384,384,384,384,384,384,384,384,384,384,384,384,1-9270,12,13,1-9270,128,29,0,36,36.90921586751938,0.28835324896499515
300,300,300,300,300,300,300,300,300,300,300,300,300,1-4020,17,16,1-4020,37,10,0,3,10.659101322293282,0.28808381952144
346,346,346,346,346,346,346,346,346,346,346,346,346,MLG32,14,6,MLG32,52,13,0,9,14.977303966879845,0.28802507628615087
544,544,544,544,544,544,544,544,544,544,544,544,544,1-5799,8,1,1-5799,7,2,0,0,2.0,0.2857142857142857
199,199,199,199,199,199,199,199,199,199,199,199,199,MLG39,8,19,MLG39,23,6,0,2,6.439400881528854,0.27997395137081976
473,473,473,473,473,473,473,473,473,473,473,473,473,1-9452,3,9,1-9452,16,4,0,2,4.439400881528854,0.2774625550955534
143,143,143,143,143,143,143,143,143,143,143,143,143,1-8928,16,18,1-8928,39,9,0,8,10.757603526115417,0.2758359878491133
319,319,319,319,319,319,319,319,319,319,319,319,319,1-3584,11,5,1-3584,26,6,0,5,7.098502203822136,0.2730193155316206
470,470,470,470,470,470,470,470,470,470,470,470,470,1-1204,2,10,1-1204,39,4,0,30,10.591013222932816,0.27156444161366194
558,558,558,558,558,558,558,558,558,558,558,558,558,1-0055,20,14,1-0055,18,4,0,4,4.878801763057709,0.2710445423920949
499,499,499,499,499,499,499,499,499,499,499,499,499,1-8627,20,11,1-8627,25,5,0,8,6.7576035261154175,0.2703041410446167
367,367,367,367,367,367,367,367,367,367,367,367,367,1-8544,7,8,1-8544,54,10,0,20,14.394008815288544,0.2665557188016397
294,294,294,294,294,294,294,294,294,294,294,294,294,1-3509,16,18,1-3509,35,6,0,15,9.295506611466408,0.2655859031847545
404,404,404,404,404,404,404,404,404,404,404,404,404,1-4682,16,14,1-4682,16,4,0,1,4.219700440764427,0.2637312775477767
259,259,259,259,259,259,259,259,259,259,259,259,259,1-3596,18,12,1-3596,223,45,0,59,57.962326005101204,0.2599207444174942
501,501,501,501,501,501,501,501,501,501,501,501,501,1-18487,17,13,1-18487,23,4,0,9,5.977303966879845,0.2598827811686889
91,91,91,91,91,91,91,91,91,91,91,91,91,72-12171,14,11,72-12171,19,4,0,4,4.878801763057709,0.25677904016093206
485,485,485,485,485,485,485,485,485,485,485,485,485,1-5980,8,19,1-5980,29,7,0,2,7.439400881528854,0.2565310648803053
500,500,500,500,500,500,500,500,500,500,500,500,500,1-0292,17,16,1-0292,99,24,0,5,25.098502203822136,0.25352022428103166
190,190,190,190,190,190,190,190,190,190,190,190,190,1-2382,8,19,1-2382,139,31,0,19,35.17430837452412,0.25305257823398647
286,286,286,286,286,286,286,286,286,286,286,286,286,1-3587,3,9,1-3587,46,9,0,12,11.636405289173126,0.25296533237332886
398,398,398,398,398,398,398,398,398,398,398,398,398,1-0303,16,18,1-0303,212,28,0,116,53.48525112867355,0.2522889204182715
251,251,251,251,251,251,251,251,251,251,251,251,251,1-7268,6,17,1-7268,70,15,0,12,17.636405289173126,0.25194864698818753
363,363,363,363,363,363,363,363,363,363,363,363,363,1-10785,12,13,1-10785,279,55,0,68,69.93962997198105,0.2506796773189285
161,161,161,161,161,161,161,161,161,161,161,161,161,MLG41,14,6,MLG41,66,15,0,7,16.53790308535099,0.2505742891719847
80,80,80,80,80,80,80,80,80,80,80,80,80,1-9115,4,1,1-9115,16,4,0,0,4.0,0.25
127,127,127,127,127,127,127,127,127,127,127,127,127,1-9643,2,10,1-9643,8,2,0,0,2.0,0.25
157,157,157,157,157,157,157,157,157,157,157,157,157,1-6061,4,1,1-6061,40,10,0,0,10.0,0.25
540,540,540,540,540,540,540,540,540,540,540,540,540,1-5413,3,9,1-5413,39,6,0,17,9.734907492995262,0.24961301264090416
444,444,444,444,444,444,444,444,444,444,444,444,444,1-3217,3,9,1-3217,5,1,0,1,1.2197004407644272,0.24394008815288543
139,139,139,139,139,139,139,139,139,139,139,139,139,1-7863,12,13,1-7863,351,52,0,151,85.1747665554285,0.2426631525795684
405,405,405,405,405,405,405,405,405,405,405,405,405,1-3104,18,12,1-3104,16,3,0,4,3.8788017630577087,0.2424251101911068
357,357,357,357,357,357,357,357,357,357,357,357,357,1-4760,2,10,1-4760,40,9,0,3,9.659101322293282,0.24147753305733205
467,467,467,467,467,467,467,467,467,467,467,467,467,1-13247,13,23,1-13247,29,7,0,0,7.0,0.2413793103448276
426,426,426,426,426,426,426,426,426,426,426,426,426,1-4355,18,10,1-4355,49,10,0,8,11.757603526115417,0.23995109236970238
33,33,33,33,33,33,33,33,33,33,33,33,33,1-7991,4,1,1-7991,46,11,0,0,11.0,0.2391304347826087
154,154,154,154,154,154,154,154,154,154,154,154,154,1-18994,2,10,1-18994,28,6,0,3,6.6591013222932816,0.23782504722476006
350,350,350,350,350,350,350,350,350,350,350,350,350,1-2282,8,19,1-2282,219,48,0,17,51.73490749299526,0.23623245430591444
394,394,394,394,394,394,394,394,394,394,394,394,394,1-2423,3,9,1-2423,79,16,0,12,18.636405289173126,0.23590386441991298
353,353,353,353,353,353,353,353,353,353,353,353,353,MLG50,7,8,MLG50,319,60,0,68,74.93962997198105,0.23492047013160203
241,241,241,241,241,241,241,241,241,241,241,241,241,1-19448,16,18,1-19448,45,9,0,7,10.53790308535099,0.2341756241189109
88,88,88,88,88,88,88,88,88,88,88,88,88,1-5626,12,13,1-5626,125,19,0,46,29.10622027516365,0.2328497622013092
418,418,418,418,418,418,418,418,418,418,418,418,418,1-6216,2,10,1-6216,45,2,0,38,10.348616749048233,0.22996926108996074
72,72,72,72,72,72,72,72,72,72,72,72,72,1-9614,18,12,1-9614,30,6,0,4,6.878801763057709,0.22929339210192362
396,396,396,396,396,396,396,396,396,396,396,396,396,1-9963,12,13,1-9963,116,22,0,20,26.394008815288544,0.22753455875248746
205,205,205,205,205,205,205,205,205,205,205,205,205,1-8018,16,18,1-8018,58,11,0,10,13.197004407644272,0.22753455875248746
375,375,375,375,375,375,375,375,375,375,375,375,375,MLG14,3,9,MLG14,232,40,0,56,52.30322468280792,0.22544493397762036
403,403,403,403,403,403,403,403,403,403,403,403,403,1-1770,7,8,1-1770,35,7,0,4,7.878801763057709,0.2251086218016488
68,68,68,68,68,68,68,68,68,68,68,68,68,1-7845,13,23,1-7845,36,8,0,0,8.0,0.2222222222222222
503,503,503,503,503,503,503,503,503,503,503,503,503,1-9076,4,1,1-9076,9,2,0,0,2.0,0.2222222222222222
95,95,95,95,95,95,95,95,95,95,95,95,95,1-3312,4,1,1-3312,36,8,0,0,8.0,0.2222222222222222
463,463,463,463,463,463,463,463,463,463,463,463,463,1-1989,19,6,1-1989,46,10,0,1,10.219700440764427,0.2221674008861832
468,468,468,468,468,468,468,468,468,468,468,468,468,1-6228,3,9,1-6228,48,10,0,3,10.659101322293282,0.22206461088111004
206,206,206,206,206,206,206,206,206,206,206,206,206,1-9752,1,15,1-9752,22,4,0,4,4.878801763057709,0.22176371650262314
337,337,337,337,337,337,337,337,337,337,337,337,337,1-18613,3,9,1-18613,25,4,0,7,5.53790308535099,0.22151612341403962
364,364,364,364,364,364,364,364,364,364,364,364,364,1-7682,20,11,1-7682,141,16,0,69,31.159330412745476,0.22098815895564167
377,377,377,377,377,377,377,377,377,377,377,377,377,1-7213,14,6,1-7213,23,5,0,0,5.0,0.21739130434782608
324,324,324,324,324,324,324,324,324,324,324,324,324,1-6734,12,13,1-6734,44,8,0,7,9.53790308535099,0.21677052466706795
245,245,245,245,245,245,245,245,245,245,245,245,245,1-6647,7,8,1-6647,62,11,0,11,13.416704848408699,0.2163984652969145
97,97,97,97,97,97,97,97,97,97,97,97,97,1-9237,7,8,1-9237,38,8,0,1,8.219700440764427,0.216307906335906
298,298,298,298,298,298,298,298,298,298,298,298,298,1-7019,20,11,1-7019,107,22,0,5,23.098502203822136,0.2158738523721695
453,453,453,453,453,453,453,453,453,453,453,453,453,1-8397,4,1,1-8397,51,11,0,0,11.0,0.21568627450980393
440,440,440,440,440,440,440,440,440,440,440,440,440,MLG52,7,8,MLG52,125,19,0,36,26.90921586751938,0.21527372694015504
248,248,248,248,248,248,248,248,248,248,248,248,248,1-2400,1,15,1-2400,49,5,0,25,10.49251101911068,0.21413287794103428
378,378,378,378,378,378,378,378,378,378,378,378,378,1-6561,12,13,1-6561,65,11,0,13,13.856105729937553,0.21317085738365465
152,152,152,152,152,152,152,152,152,152,152,152,152,1-9500,8,19,1-9500,33,7,0,0,7.0,0.21212121212121213
459,459,459,459,459,459,459,459,459,459,459,459,459,1-2545,15,14,1-2545,145,25,0,26,30.712211459875107,0.2118083548956904
458,458,458,458,458,458,458,458,458,458,458,458,458,1-7182,20,11,1-7182,22,4,0,3,4.6591013222932816,0.2117773328315128
160,160,160,160,160,160,160,160,160,160,160,160,160,1-19813,15,14,1-19813,20,4,0,1,4.219700440764427,0.21098502203822136
170,170,170,170,170,170,170,170,170,170,170,170,170,1-5043,12,13,1-5043,123,21,0,22,25.833409696817398,0.21002772111233656
202,202,202,202,202,202,202,202,202,202,202,202,202,1-8988,4,1,1-8988,29,6,0,0,6.0,0.20689655172413793
209,209,209,209,209,209,209,209,209,209,209,209,209,1-9938,15,7,1-9938,55,6,0,24,11.272810578346252,0.20496019233356821
511,511,511,511,511,511,511,511,511,511,511,511,511,1-9697,8,19,1-9697,20,3,0,5,4.098502203822136,0.2049251101911068
39,39,39,39,39,39,39,39,39,39,39,39,39,1-7467,14,6,1-7467,64,12,0,5,13.098502203822136,0.20466409693472087
382,382,382,382,382,382,382,382,382,382,382,382,382,1-18558,2,10,1-18558,307,56,0,30,62.591013222932816,0.20387952189880396
549,549,549,549,549,549,549,549,549,549,549,549,549,1-4842,1,15,1-4842,6,1,0,1,1.2197004407644272,0.2032834067940712
464,464,464,464,464,464,464,464,464,464,464,464,464,1-10060,20,22,1-10060,36,7,0,1,7.219700440764427,0.20054723446567854
318,318,318,318,318,318,318,318,318,318,318,318,318,1-2324,15,15,1-2324,25,3,0,9,4.977303966879845,0.19909215867519378
103,103,103,103,103,103,103,103,103,103,103,103,103,1-8820,6,17,1-8820,83,13,0,16,16.515207052230835,0.1989783982196486
90,90,90,90,90,90,90,90,90,90,90,90,90,1-19222,7,8,1-19222,15,1,0,9,2.9773039668798447,0.19848693112532298
407,407,407,407,407,407,407,407,407,407,407,407,407,1-8421,12,13,1-8421,109,17,0,21,21.61370925605297,0.19829091060599055
479,479,479,479,479,479,479,479,479,479,479,479,479,1-9286,4,1,1-9286,81,16,0,0,16.0,0.19753086419753085
547,547,547,547,547,547,547,547,547,547,547,547,547,MLG67,16,18,MLG67,27,4,0,6,5.318202644586563,0.19697046831802087
312,312,312,312,312,312,312,312,312,312,312,312,312,1-3108,20,11,1-3108,18,2,0,7,3.5379030853509903,0.19655017140838835
113,113,113,113,113,113,113,113,113,113,113,113,113,1-4499,10,7,1-4499,12,1,0,6,2.318202644586563,0.19318355371554694
510,510,510,510,510,510,510,510,510,510,510,510,510,1-3206,2,10,1-3206,45,8,0,3,8.659101322293282,0.1924244738287396
365,365,365,365,365,365,365,365,365,365,365,365,365,MLG48,8,19,MLG48,159,22,0,39,30.56831718981266,0.19225356723152617
