Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
236,236,236,1-7024,6,2,1-7024,498,67,1,0,1067.0,2.142570281124498
4,4,4,1-6240,6,2,1-6240,698,51,1,0,1051.0,1.505730659025788
268,268,268,MLG44,2,8,MLG44,59,28,0,15,30.558905631303787,0.5179475530729456
389,389,389,1-0278,1,12,1-0278,79,36,0,9,37.53534337878227,0.47513092884534525
375,375,375,MLG14,20,6,MLG14,232,107,0,6,108.02356225252151,0.4656188028125927
166,166,166,MLG40,20,8,MLG40,51,22,0,6,23.023562252521515,0.451442397108265
462,462,462,1-1183,2,8,1-1183,45,19,0,6,20.023562252521515,0.4449680500560337
558,558,558,1-0055,12,22,1-0055,18,7,0,2,7.341187417507172,0.4078437454170651
342,342,342,MLG65,18,17,MLG65,201,73,0,43,80.33552947640419,0.399679251126389
85,85,85,1-8084,17,11,1-8084,82,28,0,22,31.753061592578888,0.387232458446084
483,483,483,1-9491,2,8,1-9491,80,28,0,17,30.90009304881096,0.38625116311013696
434,434,434,MLG59,8,10,MLG59,71,23,0,15,25.558905631303787,0.35998458635639136
412,412,412,1-6858,15,9,1-6858,23,8,0,1,8.170593708753586,0.35524320472841675
105,105,105,1-1258,10,18,1-1258,435,134,0,114,153.44768279790878,0.35275329378829606
478,478,478,1-9394,9,6,1-9394,117,40,0,7,41.1941559612751,0.35208680308782137
346,346,346,MLG32,13,19,MLG32,52,17,0,6,18.023562252521515,0.3466069663946445
388,388,388,MLG49,1,12,MLG49,185,57,0,32,62.458998680114746,0.3376162090817013
260,260,260,1-0129,10,18,1-0129,142,42,0,28,46.7766238451004,0.3294128439795803
421,421,421,1-8398,12,16,1-8398,54,17,0,3,17.511781126260757,0.3242922430789029
378,378,378,1-6561,10,18,1-6561,65,19,0,12,21.04712450504303,0.32380191546220044
202,202,202,1-8988,8,10,1-8988,29,8,0,8,9.364749670028687,0.3229224024147823
333,333,333,1-11329,2,8,1-11329,14,4,0,3,4.5117811262607574,0.32227008044719696
199,199,199,MLG39,12,19,MLG39,23,7,0,2,7.341187417507172,0.3191820616307466
5,5,5,1-5549,20,6,1-5549,35,11,0,1,11.170593708753586,0.3191598202501025
303,303,303,1-8157,19,14,1-8157,75,22,0,11,23.876530796289444,0.3183537439505259
183,183,183,1-9496,17,11,1-9496,39,9,0,19,12.24128046631813,0.3138789863158495
484,484,484,MLG31,13,19,MLG31,33,10,0,2,10.341187417507172,0.3133693156820355
510,510,510,1-3206,8,10,1-3206,45,13,0,6,14.023562252521515,0.3116347167227003
176,176,176,1-8042,1,12,1-8042,52,16,0,1,16.170593708753586,0.31097295593756896
306,306,306,1-18377,2,8,1-18377,14,4,0,2,4.341187417507172,0.3100848155362265
497,497,497,1-8493,10,9,1-8493,38,11,0,4,11.682374835014343,0.3074309167109038
435,435,435,1-9610,18,17,1-9610,49,13,0,12,15.04712450504303,0.3070841735723067
488,488,488,1-11350,8,10,1-11350,100,27,0,19,30.24128046631813,0.3024128046631813
440,440,440,MLG52,12,16,MLG52,125,23,0,85,37.500465244054794,0.30000372195243835
149,149,149,MLG58,19,14,MLG58,71,19,0,12,21.04712450504303,0.2964383733104652
234,234,234,MLG29,17,11,MLG29,164,41,0,42,48.164935767650604,0.29368863272957685
534,534,534,1-9457,7,15,1-9457,11,3,0,1,3.170593708753586,0.28823579170487146
237,237,237,1-9667,6,2,1-9667,14,4,0,0,4.0,0.2857142857142857
261,261,261,1-1942,7,15,1-1942,34,9,0,4,9.682374835014343,0.2847757304415983
509,509,509,1-18935,12,16,1-18935,30,8,0,3,8.511781126260757,0.28372603754202524
409,409,409,1-9645,18,17,1-9645,69,5,0,85,19.500465244054794,0.2826154383196347
437,437,437,1-6980,12,16,1-6980,128,36,0,1,36.170593708753586,0.2825827633496374
506,506,506,1-6227,4,14,1-6227,52,14,0,4,14.682374835014343,0.2823533622118143
499,499,499,1-8627,2,8,1-8627,25,6,0,6,7.023562252521515,0.2809424901008606
282,282,282,1-1608,20,6,1-1608,307,83,0,16,85.72949934005737,0.2792491835181022
312,312,312,1-3108,6,2,1-3108,18,5,0,0,5.0,0.2777777777777778
