Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
141,141,141,141,141,141,141,141,141,141,141,141,141,MLG45,20,11,MLG45,70,25,1,15,1035.0063052773476,14.785804361104965
4,4,4,4,4,4,4,4,4,4,4,4,4,1-6240,20,11,1-6240,698,74,1,143,1169.3934436440468,1.6753487731290069
322,322,322,322,322,322,322,322,322,322,322,322,322,1-0296,18,16,1-0296,41,24,0,8,29.3366961479187,0.7155291743394805
68,68,68,68,68,68,68,68,68,68,68,68,68,1-7845,13,8,1-7845,36,23,0,4,25.66834807395935,0.7130096687210931
166,166,166,166,166,166,166,166,166,166,166,166,166,MLG40,14,9,MLG40,51,19,0,20,32.34174036979675,0.6341517719567991
370,370,370,370,370,370,370,370,370,370,370,370,370,MLG62,13,8,MLG62,525,28,0,443,323.5195491909981,0.6162277127447583
131,131,131,131,131,131,131,131,131,131,131,131,131,1-9283,18,12,1-9283,235,95,0,72,143.0302653312683,0.6086394269415673
399,399,399,399,399,399,399,399,399,399,399,399,399,MLG60,15,14,MLG60,47,21,0,8,26.3366961479187,0.5603552371897595
124,124,124,124,124,124,124,124,124,124,124,124,124,1-8427,20,11,1-8427,189,45,0,89,104.37074464559555,0.5522261621460082
268,268,268,268,268,268,268,268,268,268,268,268,268,MLG44,14,9,MLG44,59,17,0,23,32.343001425266266,0.5481864648350214
387,387,387,387,387,387,387,387,387,387,387,387,387,1-10539,20,11,1-10539,63,9,0,37,33.68221968412399,0.5346384076845079
483,483,483,483,483,483,483,483,483,483,483,483,483,1-9491,20,11,1-9491,80,24,0,28,42.678436517715454,0.5334804564714432
299,299,299,299,299,299,299,299,299,299,299,299,299,MLG54,7,6,MLG54,595,62,0,376,312.82471895217896,0.5257558301717293
463,463,463,463,463,463,463,463,463,463,463,463,463,1-1989,19,22,1-1989,46,21,0,4,23.66834807395935,0.5145293059556381
123,123,123,123,123,123,123,123,123,123,123,123,123,MLG55,1,15,MLG55,92,20,0,40,46.683480739593506,0.5074291384738424
140,140,140,140,140,140,140,140,140,140,140,140,140,1-2294,4,1,1-2294,75,37,0,0,37.0,0.49333333333333335
272,272,272,272,272,272,272,272,272,272,272,272,272,1-1570,12,13,1-1570,142,50,0,30,70.01261055469513,0.49304655320207835
302,302,302,302,302,302,302,302,302,302,302,302,302,MLG51,13,8,MLG51,248,63,0,84,119.03530955314636,0.47998108690784824
251,251,251,251,251,251,251,251,251,251,251,251,251,1-7268,6,17,1-7268,70,15,0,27,33.01134949922562,0.4715907071317945
305,305,305,305,305,305,305,305,305,305,305,305,305,1-7866,2,10,1-7866,318,71,0,118,149.71626818180084,0.47080587478553726
346,346,346,346,346,346,346,346,346,346,346,346,346,MLG32,14,9,MLG32,52,13,0,17,24.34047931432724,0.4680861406601392
422,422,422,422,422,422,422,422,422,422,422,422,422,1-6878,17,15,1-6878,167,12,0,98,77.37452781200409,0.46332052582038374
499,499,499,499,499,499,499,499,499,499,499,499,499,1-8627,20,11,1-8627,25,8,0,5,11.335435092449188,0.4534174036979675
413,413,413,413,413,413,413,413,413,413,413,413,413,1-8314,16,18,1-8314,36,2,0,21,16.00882738828659,0.44468964967462754
409,409,409,409,409,409,409,409,409,409,409,409,409,1-9645,18,12,1-9645,69,30,0,1,30.667087018489838,0.4444505364998527
248,248,248,248,248,248,248,248,248,248,248,248,248,1-2400,1,15,1-2400,49,5,0,25,21.67717546224594,0.4423913359642029
149,149,149,149,149,149,149,149,149,149,149,149,149,MLG58,13,8,MLG58,71,20,0,17,31.34047931432724,0.44141520161024284
139,139,139,139,139,139,139,139,139,139,139,139,139,1-7863,12,13,1-7863,351,52,0,144,148.06053066253662,0.42182487368244054
364,364,364,364,364,364,364,364,364,364,364,364,364,1-7682,20,6,1-7682,141,46,0,20,59.34174036979675,0.4208634068779912
331,331,331,331,331,331,331,331,331,331,331,331,331,MLG75,15,14,MLG75,185,47,0,44,76.35182881355286,0.4127125881813668
394,394,394,394,394,394,394,394,394,394,394,394,394,1-2423,3,19,1-2423,79,9,0,35,32.34804564714432,0.40946893224233316
153,153,153,153,153,153,153,153,153,153,153,153,153,1-1350,20,11,1-1350,195,52,0,41,79.35056775808334,0.4069259885029915
209,209,209,209,209,209,209,209,209,209,209,209,209,1-9938,15,7,1-9938,55,9,0,20,22.341740369796753,0.40621346126903185
442,442,442,442,442,442,442,442,442,442,442,442,442,MLG11,6,13,MLG11,87,28,0,10,34.67087018489838,0.39851574925170546
332,332,332,332,332,332,332,332,332,332,332,332,332,MLG78,20,11,MLG78,80,27,0,7,31.669609129428864,0.39587011411786077
161,161,161,161,161,161,161,161,161,161,161,161,161,MLG41,14,9,MLG41,66,16,0,15,26.006305277347565,0.3940349284446601
88,88,88,88,88,88,88,88,88,88,88,88,88,1-5626,12,13,1-5626,125,19,0,45,49.018915832042694,0.39215132665634156
