Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
236,236,236,1-7024,6,2,1-7024,498,68,1,0,1068.0,2.144578313253012
4,4,4,1-6240,6,2,1-6240,698,50,1,0,1050.0,1.504297994269341
440,440,440,MLG52,12,15,MLG52,125,23,0,85,104.09551191329956,0.8327640953063965
423,423,423,1-7122,9,12,1-7122,197,7,0,152,152.0178565979004,0.7716642466898497
471,471,471,1-9794,19,10,1-9794,46,24,0,6,29.72438907623291,0.6461823712224546
346,346,346,MLG32,13,18,MLG32,52,21,0,13,33.40284299850464,0.6423623653558584
268,268,268,MLG44,2,6,MLG44,59,28,0,8,35.63251876831055,0.6039409960730601
85,85,85,1-8084,17,9,1-8084,82,18,0,32,48.53007507324219,0.5918301838200267
434,434,434,MLG59,8,8,MLG59,71,23,0,19,41.12723207473755,0.5792567897850359
283,283,283,1-3535,9,12,1-3535,315,23,0,165,180.42069959640503,0.5727641257028732
342,342,342,MLG65,18,16,MLG65,201,73,0,43,114.02478837966919,0.5672875043764636
353,353,353,MLG50,12,15,MLG50,319,56,0,129,179.07436513900757,0.5613616462037855
106,106,106,MLG69,4,7,MLG69,576,68,0,263,318.91905450820923,0.5536789140767522
463,463,463,1-1989,9,23,1-1989,46,25,0,0,25.0,0.5434782608695652
531,531,531,1-5891,14,10,1-5891,96,13,0,41,52.11665868759155,0.5428818613290787
166,166,166,MLG40,20,19,MLG40,51,20,0,8,27.632518768310547,0.5418140934962853
331,331,331,MLG75,19,13,MLG75,185,67,0,34,99.43820476531982,0.5375038095422693
389,389,389,1-0278,1,11,1-0278,79,9,0,35,42.39226961135864,0.536611007738717
105,105,105,1-1258,10,17,1-1258,435,134,0,95,224.63616037368774,0.5164049663762936
232,232,232,1-18371,9,12,1-18371,120,12,0,52,61.611371994018555,0.5134280999501546
429,429,429,1-6693,17,9,1-6693,98,35,0,16,50.265037536621094,0.512908546292052
244,244,244,MLG57,14,10,MLG57,629,112,0,220,321.89426612854004,0.5117555900294755
462,462,462,1-1183,2,6,1-1183,45,19,0,4,22.816259384155273,0.5070279863145616
398,398,398,1-0303,13,18,1-0303,212,37,0,73,106.64673376083374,0.5030506309473289
545,545,545,1-19567,10,17,1-19567,2,1,0,0,1.0,0.5
492,492,492,1-6028,12,15,1-6028,2,1,0,0,1.0,0.5
451,451,451,1-4098,8,8,1-4098,16,6,0,2,7.908129692077637,0.4942581057548523
13,13,13,1-9805,8,8,1-9805,26,9,0,4,12.816259384155273,0.4929330532367413
327,327,327,P-16616,20,22,P-16616,28,8,0,6,13.72438907623291,0.49015675272260395
514,514,514,1-11206,20,19,1-11206,14,4,0,3,6.862194538116455,0.49015675272260395
508,508,508,1-8532,8,8,1-8532,4,1,0,1,1.9540648460388184,0.4885162115097046
525,525,525,1-3175,19,13,1-3175,6,1,0,2,2.9081296920776367,0.48468828201293945
149,149,149,MLG58,19,13,MLG58,71,19,0,16,34.265037536621094,0.48260616248762106
483,483,483,1-9491,2,6,1-9491,80,28,0,11,38.494713306427,0.4811839163303375
459,459,459,1-2545,8,8,1-2545,145,20,0,52,69.61137199401855,0.48007842754495555
382,382,382,1-18558,4,7,1-18558,307,30,0,123,147.34997606277466,0.4799673487386797
435,435,435,1-9610,18,16,1-9610,49,13,0,11,23.494713306427002,0.4794839450291225
60,60,60,1-18202,1,11,1-18202,23,11,0,0,11.0,0.4782608695652174
234,234,234,MLG29,17,9,MLG29,164,44,0,36,78.34633445739746,0.4777215515694967
526,526,526,1-5002,17,9,1-5002,45,11,0,11,21.494713306427002,0.4776602956983778
246,246,246,MLG56,12,15,MLG56,511,114,0,136,243.7528190612793,0.4770113875954585
191,191,191,1-8328,4,7,1-8328,114,14,0,42,54.07072353363037,0.4743045924002664
250,250,250,1-9333,9,11,1-9333,102,23,0,26,47.80568599700928,0.4686831960491106
199,199,199,MLG39,12,18,MLG39,23,6,0,5,10.770324230194092,0.4682749665301779
433,433,433,1-5654,6,2,1-5654,15,7,0,0,7.0,0.4666666666666667
157,157,157,1-6061,17,13,1-6061,40,9,0,10,18.540648460388184,0.46351621150970457
390,390,390,MLG64,13,18,MLG64,245,57,0,59,113.28982591629028,0.4624074527195522
357,357,357,1-4760,18,16,1-4760,40,8,0,11,18.494713306427002,0.46236783266067505
311,311,311,1-20578,20,19,1-20578,19,4,0,5,8.770324230194092,0.4615960121154785
321,321,321,1-5172,14,10,1-5172,120,19,0,38,55.2544641494751,0.4604538679122925
375,375,375,MLG14,20,19,MLG14,232,79,0,29,106.66788053512573,0.4597753471341626
510,510,510,1-3206,8,8,1-3206,45,13,0,8,20.632518768310547,0.4585004170735677
421,421,421,1-8398,12,15,1-8398,54,17,0,8,24.632518768310547,0.45615775496871386
320,320,320,MLG13,7,14,MLG13,140,16,0,50,63.70324230194092,0.455023159299578
5,5,5,1-5549,20,19,1-5549,35,13,0,3,15.862194538116455,0.45320555823189873
154,154,154,1-18994,4,7,1-18994,28,6,0,7,12.678453922271729,0.4528019257954189
534,534,534,1-9457,7,14,1-9457,11,4,0,1,4.954064846038818,0.4503695314580744
260,260,260,1-0129,10,17,1-0129,142,40,0,25,63.85162115097046,0.44965930388007364
206,206,206,1-9752,2,6,1-9752,22,7,0,3,9.862194538116455,0.44828156991438434
484,484,484,MLG31,13,18,MLG31,33,9,0,6,14.72438907623291,0.4461936083706943
383,383,383,1-8551,2,6,1-8551,38,15,0,2,16.908129692077637,0.4449507813704641
302,302,302,MLG51,12,15,MLG51,248,49,0,64,110.06015014648438,0.4437909280100176
388,388,388,MLG49,1,11,MLG49,185,42,0,42,82.07072353363037,0.4436255326142182
400,400,400,1-18709,20,19,1-18709,33,7,0,8,14.632518768310547,0.44340965964577417
345,345,345,1-1131,18,16,1-1131,138,28,0,34,60.438204765319824,0.43795800554579584
14,14,14,1-6098,17,9,1-6098,1327,266,0,328,578.9332695007324,0.43627224529068004
533,533,533,1-7530,2,6,1-7530,25,8,0,3,10.862194538116455,0.4344877815246582
381,381,381,1-2335,9,12,1-2335,145,18,0,47,62.84104776382446,0.43338653630223767
450,450,450,1-2297,1,11,1-2297,25,5,0,6,10.72438907623291,0.4289755630493164
537,537,537,1-4494,19,6,1-4494,16,4,0,3,6.862194538116455,0.42888715863227844
339,339,339,1-3523,8,8,1-3523,543,130,0,107,232.08493852615356,0.4274124098087543
161,161,161,MLG41,13,18,MLG41,66,11,0,18,28.17316722869873,0.42686617013179895
