Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
236,236,236,236,1-7024,6,1,1-7024,498,72,1,0,1072.0,2.1526104417670684
4,4,4,4,1-6240,6,1,1-6240,698,51,1,0,1051.0,1.505730659025788
463,463,463,463,1-1989,9,18,1-1989,46,8,0,53,30.80628052353859,0.6697017505117084
394,394,394,394,1-2423,20,6,1-2423,79,40,0,17,47.315222054719925,0.5989268614521509
268,268,268,268,MLG44,2,13,MLG44,59,28,0,12,33.16368615627289,0.562096375530049
385,385,385,385,1-6974,16,16,1-6974,207,18,0,212,109.22512209415436,0.5276575946577505
558,558,558,558,1-0055,12,15,1-0055,18,9,0,1,9.430307179689407,0.5239059544271893
423,423,423,423,1-7122,9,18,1-7122,197,6,0,223,101.95850107073784,0.5175558429986692
342,342,342,342,MLG65,18,9,MLG65,201,59,0,100,102.03071796894073,0.5076155122832873
140,140,140,140,1-2294,8,11,1-2294,75,32,0,8,35.44245743751526,0.4725660991668701
462,462,462,462,1-1183,2,13,1-1183,45,19,0,4,20.72122871875763,0.4604717493057251
166,166,166,166,MLG40,20,6,MLG40,51,21,0,5,23.151535898447037,0.4539516842832752
483,483,483,483,1-9491,2,13,1-9491,80,29,0,17,36.315222054719925,0.4539402756839991
434,434,434,434,MLG59,8,11,MLG59,71,23,0,18,30.745529234409332,0.43303562301984977
375,375,375,375,MLG14,20,6,MLG14,232,88,0,16,94.88491487503052,0.40898670204754534
331,331,331,331,MLG75,19,19,MLG75,185,71,0,10,75.30307179689407,0.40704363133456256
153,153,153,153,1-1350,3,15,1-1350,195,66,0,28,78.0486010313034,0.4002492360579662
327,327,327,327,P-16616,20,6,P-16616,28,7,0,9,10.872764617204666,0.3883130220430238
412,412,412,412,1-6858,15,14,1-6858,23,8,0,2,8.860614359378815,0.3852441025816876
427,427,427,427,1-9379,3,15,1-9379,58,18,0,10,22.303071796894073,0.3845357206361047
270,270,270,270,1-1390,16,16,1-1390,98,11,0,62,37.679045140743256,0.38448005245656386
411,411,411,411,MLG15,8,11,MLG15,105,17,0,52,39.37597334384918,0.3750092699414208
205,205,205,205,1-8018,2,13,1-8018,58,19,0,6,21.581843078136444,0.3721007427264904
389,389,389,389,1-0278,1,8,1-0278,79,7,0,52,29.375973343849182,0.37184776384619217
141,141,141,141,MLG45,3,15,MLG45,70,21,0,10,25.303071796894073,0.3614724542413439
345,345,345,345,1-1131,18,9,1-1131,138,35,0,30,47.90921539068222,0.34716822746871173
