Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
141,141,141,141,141,141,141,141,141,141,141,141,141,MLG45,20,13,MLG45,70,25,1,15,1029.605700224638,14.708652860351972
4,4,4,4,4,4,4,4,4,4,4,4,4,1-6240,20,13,1-6240,698,74,1,141,1117.293582111597,1.6007071376956978
131,131,131,131,131,131,131,131,131,131,131,131,131,1-9283,18,12,1-9283,235,95,0,72,117.10736107826233,0.49832919607771203
463,463,463,463,463,463,463,463,463,463,463,463,463,1-1989,19,22,1-1989,46,21,0,6,22.842280089855194,0.4965713063011999
140,140,140,140,140,140,140,140,140,140,140,140,140,1-2294,4,1,1-2294,75,37,0,0,37.0,0.49333333333333335
399,399,399,399,399,399,399,399,399,399,399,399,399,MLG60,15,10,MLG60,47,20,0,7,22.149326771497726,0.47126227173399415
166,166,166,166,166,166,166,166,166,166,166,166,166,MLG40,14,15,MLG40,51,18,0,18,23.526840269565582,0.46131059352089376
483,483,483,483,483,483,483,483,483,483,483,483,483,1-9491,20,13,1-9491,80,26,0,29,34.90435376763344,0.436304422095418
322,322,322,322,322,322,322,322,322,322,322,322,322,1-0296,18,12,1-0296,41,8,0,31,17.518447130918503,0.42727919831508543
346,346,346,346,346,346,346,346,346,346,346,346,346,MLG32,14,15,MLG32,52,15,0,23,22.062073677778244,0.4242706476495816
272,272,272,272,272,272,272,272,272,272,272,272,272,1-1570,12,11,1-1570,142,50,0,30,59.21140044927597,0.41698169330476037
124,124,124,124,124,124,124,124,124,124,124,124,124,1-8427,20,13,1-8427,189,45,0,89,72.32715466618538,0.38268335802214487
470,470,470,470,470,470,470,470,470,470,470,470,470,1-1204,2,14,1-1204,39,6,0,28,14.597307085990906,0.3742899252818181
305,305,305,305,305,305,305,305,305,305,305,305,305,1-7866,2,14,1-7866,318,83,0,114,118.00332170724869,0.371079628010216
332,332,332,332,332,332,332,332,332,332,332,332,332,MLG78,20,13,MLG78,80,27,0,8,29.45637345314026,0.36820466816425323
123,123,123,123,123,123,123,123,123,123,123,123,123,MLG55,1,9,MLG55,92,20,0,40,32.281867265701294,0.3508898615837097
161,161,161,161,161,161,161,161,161,161,161,161,161,MLG41,14,15,MLG41,66,16,0,23,23.062073677778244,0.3494253587542158
562,562,562,562,562,562,562,562,562,562,562,562,562,1-0003,20,19,1-0003,17,5,0,3,5.921140044927597,0.3483023555839763
506,506,506,506,506,506,506,506,506,506,506,506,506,1-6227,14,10,1-6227,52,8,0,32,17.825493812561035,0.3427979579338661
345,345,345,345,345,345,345,345,345,345,345,345,345,1-1131,3,18,1-1131,138,36,0,34,46.4395871758461,0.3365187476510587
268,268,268,268,268,268,268,268,268,268,268,268,268,MLG44,14,15,MLG44,59,17,0,9,19.76342013478279,0.33497322262343715
153,153,153,153,153,153,153,153,153,153,153,153,153,1-1350,20,13,1-1350,195,52,0,43,65.20300731062889,0.3343743964647635
302,302,302,302,302,302,302,302,302,302,302,302,302,MLG51,13,16,MLG51,248,53,0,90,80.63420134782791,0.32513790866059644
331,331,331,331,331,331,331,331,331,331,331,331,331,MLG75,15,10,MLG75,185,47,0,42,59.89596062898636,0.3237619493458722
387,387,387,387,387,387,387,387,387,387,387,387,387,1-10539,20,13,1-10539,63,9,0,37,20.360727220773697,0.32318614636148724
444,444,444,444,444,444,444,444,444,444,444,444,444,1-3217,3,18,1-3217,5,1,0,2,1.6140933632850647,0.3228186726570129
7,7,7,7,7,7,7,7,7,7,7,7,7,1-8767,6,7,1-8767,48,4,0,37,15.360727220773697,0.32001515043278533
143,143,143,143,143,143,143,143,143,143,143,143,143,1-8928,16,6,1-8928,39,12,0,1,12.307046681642532,0.3155652995292957
253,253,253,253,253,253,253,253,253,253,253,253,253,1-4649,18,12,1-4649,244,65,0,39,76.97482058405876,0.31547057616417523
318,318,318,318,318,318,318,318,318,318,318,318,318,1-2324,15,10,1-2324,25,6,0,6,7.842280089855194,0.31369120359420777
418,418,418,418,418,418,418,418,418,418,418,418,418,1-6216,2,14,1-6216,45,2,0,39,13.974820584058762,0.31055156853463917
384,384,384,384,384,384,384,384,384,384,384,384,384,1-9270,12,11,1-9270,128,29,0,34,39.4395871758461,0.30812177481129766
179,179,179,179,179,179,179,179,179,179,179,179,179,1-4052,7,1,1-4052,13,4,0,0,4.0,0.3076923076923077
536,536,536,536,536,536,536,536,536,536,536,536,536,1-9971,18,12,1-9971,15,4,0,2,4.614093363285065,0.3076062242190043
366,366,366,366,366,366,366,366,366,366,366,366,366,1-5163,18,12,1-5163,16,4,0,3,4.921140044927597,0.3075712528079748
426,426,426,426,426,426,426,426,426,426,426,426,426,1-4355,18,12,1-4355,49,15,0,0,15.0,0.30612244897959184
245,245,245,245,245,245,245,245,245,245,245,245,245,1-6647,7,19,1-6647,62,18,0,3,18.921140044927597,0.3051796781439935
210,210,210,210,210,210,210,210,210,210,210,210,210,1-7842,13,8,1-7842,21,5,0,4,6.228186726570129,0.2965803203128633
128,128,128,128,128,128,128,128,128,128,128,128,128,1-19286,13,16,1-19286,40,10,0,6,11.842280089855194,0.2960570022463799
300,300,300,300,300,300,300,300,300,300,300,300,300,1-4020,17,8,1-4020,37,10,0,3,10.921140044927597,0.29516594716020533
263,263,263,263,263,263,263,263,263,263,263,263,263,1-6927,14,15,1-6927,179,43,0,32,52.825493812561035,0.2951144905729667
251,251,251,251,251,251,251,251,251,251,251,251,251,1-7268,6,7,1-7268,70,15,0,18,20.526840269565582,0.2932405752795083
217,217,217,217,217,217,217,217,217,217,217,217,217,1-9630,7,19,1-9630,33,9,0,2,9.614093363285065,0.29133616252378985
403,403,403,403,403,403,403,403,403,403,403,403,403,1-1770,7,19,1-1770,35,8,0,7,10.149326771497726,0.289980764899935
540,540,540,540,540,540,540,540,540,540,540,540,540,1-5413,3,18,1-5413,39,7,0,14,11.298653542995453,0.2897090652050116
191,191,191,191,191,191,191,191,191,191,191,191,191,1-8328,2,14,1-8328,114,29,0,12,32.68456017971039,0.28670666824307356
22,22,22,22,22,22,22,22,22,22,22,22,22,1-7995,7,19,1-7995,14,4,0,0,4.0,0.2857142857142857
544,544,544,544,544,544,544,544,544,544,544,544,544,1-5799,8,23,1-5799,7,2,0,0,2.0,0.2857142857142857
122,122,122,122,122,122,122,122,122,122,122,122,122,MLG42,20,22,MLG42,14,3,0,3,3.921140044927597,0.2800814317805426
466,466,466,466,466,466,466,466,466,466,466,466,466,1-5981,3,18,1-5981,28,6,0,6,7.842280089855194,0.2800814317805426
139,139,139,139,139,139,139,139,139,139,139,139,139,1-7863,12,11,1-7863,351,52,0,150,98.05700224637985,0.27936467876461496
363,363,363,363,363,363,363,363,363,363,363,363,363,1-10785,12,11,1-10785,279,57,0,67,77.57212767004967,0.27803629989265116
83,83,83,83,83,83,83,83,83,83,83,83,83,1-18423,2,14,1-18423,47,6,0,23,13.062073677778244,0.27791646122932434
398,398,398,398,398,398,398,398,398,398,398,398,398,1-0303,16,6,1-0303,212,46,0,42,58.89596062898636,0.27781113504238847
248,248,248,248,248,248,248,248,248,248,248,248,248,1-2400,1,9,1-2400,49,5,0,28,13.597307085990906,0.27749606297940627
394,394,394,394,394,394,394,394,394,394,394,394,394,1-2423,3,18,1-2423,79,16,0,19,21.833886951208115,0.2763783158380774
498,498,498,498,498,498,498,498,498,498,498,498,498,1-19915,14,15,1-19915,62,13,0,13,16.99160686135292,0.2740581751831116
57,57,57,57,57,57,57,57,57,57,57,57,57,1-1224,10,20,1-1224,151,5,0,118,41.23150843381882,0.2730563472438332
81,81,81,81,81,81,81,81,81,81,81,81,81,1-7770,20,13,1-7770,11,3,0,0,3.0,0.2727272727272727
259,259,259,259,259,259,259,259,259,259,259,259,259,1-3596,18,12,1-3596,223,42,0,61,60.72984758019447,0.27233115506813665
67,67,67,67,67,67,67,67,67,67,67,67,67,1-7481,18,12,1-7481,33,7,0,6,8.842280089855194,0.26794788151076343
378,378,378,378,378,378,378,378,378,378,378,378,378,1-6561,12,11,1-6561,65,14,0,11,17.377513498067856,0.26734636150873625
396,396,396,396,396,396,396,396,396,396,396,396,396,1-9963,12,11,1-9963,116,25,0,19,30.833886951208115,0.26580937026903545
473,473,473,473,473,473,473,473,473,473,473,473,473,1-9452,3,18,1-9452,16,3,0,4,4.228186726570129,0.2642616704106331
221,221,221,221,221,221,221,221,221,221,221,221,221,1-8023,9,17,1-8023,16,3,0,4,4.228186726570129,0.2642616704106331
443,443,443,443,443,443,443,443,443,443,443,443,443,1-3447,8,23,1-3447,110,29,0,0,29.0,0.2636363636363636
149,149,149,149,149,149,149,149,149,149,149,149,149,MLG58,13,16,MLG58,71,11,0,25,18.67616704106331,0.2630446062121593
481,481,481,481,481,481,481,481,481,481,481,481,481,1-10038,6,7,1-10038,76,4,0,52,19.966427445411682,0.2627161505975221
88,88,88,88,88,88,88,88,88,88,88,88,88,1-5626,12,11,1-5626,125,19,0,45,32.817100673913956,0.26253680539131163
499,499,499,499,499,499,499,499,499,499,499,499,499,1-8627,20,13,1-8627,25,5,0,5,6.535233408212662,0.2614093363285065
500,500,500,500,500,500,500,500,500,500,500,500,500,1-0292,17,8,1-0292,99,24,0,6,25.842280089855194,0.2610331322207595
547,547,547,547,547,547,547,547,547,547,547,547,547,MLG67,16,6,MLG67,27,7,0,0,7.0,0.25925925925925924
311,311,311,311,311,311,311,311,311,311,311,311,311,1-20578,2,14,1-20578,19,4,0,3,4.921140044927597,0.259007370785663
390,390,390,390,390,390,390,390,390,390,390,390,390,MLG64,14,15,MLG64,245,40,0,75,63.028501123189926,0.25725918825791805
298,298,298,298,298,298,298,298,298,298,298,298,298,1-7019,20,13,1-7019,107,22,0,17,27.21979358792305,0.25439059427965466
13,13,13,13,13,13,13,13,13,13,13,13,13,1-9805,16,6,1-9805,26,6,0,2,6.614093363285065,0.2543882062801948
324,324,324,324,324,324,324,324,324,324,324,324,324,1-6734,12,11,1-6734,44,9,0,7,11.149326771497726,0.253393790261312
103,103,103,103,103,103,103,103,103,103,103,103,103,1-8820,6,7,1-8820,83,13,0,26,20.98321372270584,0.25280980388802216
327,327,327,327,327,327,327,327,327,327,327,327,327,P-16616,8,23,P-16616,28,7,0,0,7.0,0.25
80,80,80,80,80,80,80,80,80,80,80,80,80,1-9115,4,1,1-9115,16,4,0,0,4.0,0.25
404,404,404,404,404,404,404,404,404,404,404,404,404,1-4682,16,6,1-4682,16,4,0,0,4.0,0.25
280,280,280,280,280,280,280,280,280,280,280,280,280,1-7608,14,15,1-7608,4,1,0,0,1.0,0.25
504,504,504,504,504,504,504,504,504,504,504,504,504,1-5425,14,15,1-5425,17,3,0,4,4.228186726570129,0.24871686626883113
412,412,412,412,412,412,412,412,412,412,412,412,412,1-6858,14,15,1-6858,23,2,0,12,5.684560179710388,0.2471547904221908
422,422,422,422,422,422,422,422,422,422,422,422,422,1-6878,17,9,1-6878,167,11,0,98,41.09057480096817,0.24605134611358187
510,510,510,510,510,510,510,510,510,510,510,510,510,1-3206,2,14,1-3206,45,8,0,10,11.070466816425323,0.24601037369834053
292,292,292,292,292,292,292,292,292,292,292,292,292,1-9997,3,18,1-9997,16,3,0,3,3.921140044927597,0.24507125280797482
405,405,405,405,405,405,405,405,405,405,405,405,405,1-3104,18,12,1-3104,16,3,0,3,3.921140044927597,0.24507125280797482
270,270,270,270,270,270,270,270,270,270,270,270,270,1-1390,8,23,1-1390,98,24,0,0,24.0,0.24489795918367346
440,440,440,440,440,440,440,440,440,440,440,440,440,MLG52,7,19,MLG52,125,20,0,34,30.4395871758461,0.2435166974067688
216,216,216,216,216,216,216,216,216,216,216,216,216,1-9887,2,14,1-9887,36,6,0,9,8.763420134782791,0.24342833707729974
427,427,427,427,427,427,427,427,427,427,427,427,427,1-9379,8,23,1-9379,58,14,0,0,14.0,0.2413793103448276
72,72,72,72,72,72,72,72,72,72,72,72,72,1-9614,18,12,1-9614,30,6,0,4,7.228186726570129,0.24093955755233765
558,558,558,558,558,558,558,558,558,558,558,558,558,1-0055,20,8,1-0055,18,4,0,1,4.307046681642532,0.2392803712023629
33,33,33,33,33,33,33,33,33,33,33,33,33,1-7991,4,1,1-7991,46,11,0,0,11.0,0.2391304347826087
375,375,375,375,375,375,375,375,375,375,375,375,375,MLG14,3,18,MLG14,232,40,0,50,55.35233408212662,0.23858764690571818
39,39,39,39,39,39,39,39,39,39,39,39,39,1-7467,14,15,1-7467,64,10,0,17,15.21979358792305,0.23780927481129766
