Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
215,215,215,215,215,215,215,215,215,215,215,215,215,215,MLG40,1,MLG40,3,51,8,1,0,1008.0,19.764705882352942
168,168,168,168,168,168,168,168,168,168,168,168,168,168,MLG45,9,MLG45,5,70,17,1,16,1024.0740656852722,14.629629509789604
32,32,32,32,32,32,32,32,32,32,32,32,32,32,1-7874,1,1-7874,19,258,15,1,0,1015.0,3.934108527131783
8,8,8,8,8,8,8,8,8,8,8,8,8,8,1-10468,9,1-10468,5,549,56,1,153,1123.6457531154156,2.0467135758022144
148,148,148,148,148,148,148,148,148,148,148,148,148,148,1-0278,12,1-0278,15,79,40,0,4,41.768516421318054,0.5287153977382032
70,70,70,70,70,70,70,70,70,70,70,70,70,70,1-1224,14,1-1224,16,151,38,0,69,68.50690826773643,0.4536881342234201
239,239,239,239,239,239,239,239,239,239,239,239,239,239,1-5002,11,1-5002,7,45,11,0,21,20.284711211919785,0.4507713602648841
203,203,203,203,203,203,203,203,203,203,203,203,203,203,1-9938,10,1-9938,6,55,18,0,15,24.631936579942703,0.4478533923625946
267,267,267,267,267,267,267,267,267,267,267,267,267,267,1-5413,14,1-5413,16,39,11,0,12,16.305549263954163,0.41809100676805544
112,112,112,112,112,112,112,112,112,112,112,112,112,112,1-3447,8,1-3447,4,110,35,0,23,45.16896942257881,0.41062699475071646
195,195,195,195,195,195,195,195,195,195,195,195,195,195,1-9379,19,1-9379,9,58,21,0,6,23.65277463197708,0.40780645917201863
85,85,85,85,85,85,85,85,85,85,85,85,85,85,1-1131,17,1-1131,12,138,27,0,65,55.73839184641838,0.40390139019143756
142,142,142,142,142,142,142,142,142,142,142,142,142,142,1-8084,11,1-8084,7,82,28,0,11,32.86342015862465,0.4007734165685933
326,326,326,326,326,326,326,326,326,326,326,326,326,326,1-0027,11,1-0027,7,29,8,0,8,11.537032842636108,0.3978287187115899
67,67,67,67,67,67,67,67,67,67,67,67,67,67,1-3516,20,1-3516,8,156,17,0,100,61.212910532951355,0.39239045213430357
171,171,171,171,171,171,171,171,171,171,171,171,171,171,1-9645,19,1-9645,9,69,2,0,56,26.75922989845276,0.3878149260645327
165,165,165,165,165,165,165,165,165,165,165,165,165,165,MLG59,9,MLG59,5,71,18,0,21,27.284711211919785,0.38429170721013783
228,228,228,228,228,228,228,228,228,228,228,228,228,228,MLG60,6,MLG60,2,47,16,0,4,17.768516421318054,0.37805354087910753
66,66,66,66,66,66,66,66,66,66,66,66,66,66,MLG48,10,MLG48,6,159,12,0,108,59.74994337558746,0.3757858073936318
256,256,256,256,256,256,256,256,256,256,256,256,256,256,1-0296,7,1-0296,3,41,5,0,23,15.168969422578812,0.36997486396533685
125,125,125,125,125,125,125,125,125,125,125,125,125,125,1-1390,14,1-1390,16,98,26,0,23,36.16896942257881,0.36907111655692665
441,441,441,441,441,441,441,441,441,441,441,441,441,441,1-9997,11,1-9997,7,16,4,0,4,5.768516421318054,0.3605322763323784
22,22,22,22,22,22,22,22,22,22,22,22,22,22,MLG50,12,MLG50,15,319,99,0,36,114.91664779186249,0.3602402752096003
300,300,300,300,300,300,300,300,300,300,300,300,300,300,1-18709,7,1-18709,3,33,7,0,11,11.863420158624649,0.3594975805643833
80,80,80,80,80,80,80,80,80,80,80,80,80,80,1-0053,11,1-0053,7,142,38,0,29,50.82174405455589,0.35789960601799925
12,12,12,12,12,12,12,12,12,12,12,12,12,12,1-7024,19,1-7024,9,498,98,0,181,178.02536806464195,0.35748065876434126
73,73,73,73,73,73,73,73,73,73,73,73,73,73,MLG12,17,MLG12,12,146,12,0,82,48.25458663702011,0.3305108673768501
123,123,123,123,123,123,123,123,123,123,123,123,123,123,1-11350,6,1-11350,2,100,28,0,10,32.421291053295135,0.32421291053295137
154,154,154,154,154,154,154,154,154,154,154,154,154,154,1-9417,10,1-9417,6,76,15,0,21,24.284711211919785,0.3195356738410498
93,93,93,93,93,93,93,93,93,93,93,93,93,93,MLG52,17,MLG52,12,125,30,0,22,39.7268403172493,0.31781472253799437
