Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,MLG59,5,7,MLG59,71,8,0,55,54.73130542039871,0.770863456625334
270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,1-1390,7,3,1-1390,98,20,0,59,70.12994581460953,0.7156116919858115
499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,1-8627,17,5,1-8627,25,12,0,5,16.24830049276352,0.6499320197105408
387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,1-10539,19,10,1-10539,63,37,0,3,39.54898029565811,0.6277615919945732
319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,1-3584,4,17,1-3584,26,1,0,18,16.29388177394867,0.6266877605364873
342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,MLG65,1,15,MLG65,201,32,0,107,122.91363054513931,0.6115105997270612
345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,1-1131,22,20,1-1131,138,39,0,53,84.0319852232933,0.6089274291542993
123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,MLG55,19,8,MLG55,92,48,0,4,51.398640394210815,0.5586808738501176
321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,1-5172,6,9,1-5172,120,21,0,54,66.88164532184601,0.5573470443487167
378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,1-6561,6,9,1-6561,65,20,0,17,34.444221675395966,0.5299111026983995
526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,1-5002,15,14,1-5002,45,16,0,9,23.646940886974335,0.5254875752660964
479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,1-9286,21,11,1-9286,81,5,0,43,41.535384237766266,0.5127825214539046
419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,1-6692,21,11,1-6692,71,13,0,27,35.940822660923004,0.506208769872155
404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,1-4682,19,3,1-4682,16,3,0,6,8.097960591316223,0.506122536957264
353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,MLG50,15,14,MLG50,319,60,0,119,161.10955172777176,0.5050456167014788
483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,1-9491,19,8,1-9491,80,31,0,11,40.34626108407974,0.5043282635509968
399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,MLG60,19,4,MLG60,47,15,0,10,23.49660098552704,0.49992768054312847
488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,1-11350,13,16,1-11350,100,36,0,16,49.59456157684326,0.4959456157684326
359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,1-4417,5,7,1-4417,151,8,0,77,73.4238275885582,0.48625051383151124
161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,MLG41,1,15,MLG41,66,14,0,21,31.84286206960678,0.48246760711525427
218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,1-9416,7,13,1-9416,13,2,0,5,6.248300492763519,0.48063849944334763
562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,1-0003,1,5,1-0003,17,3,0,6,8.097960591316223,0.47635062301860137
413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,1-8314,18,4,1-8314,36,1,0,19,17.143541872501373,0.47620949645837146
398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,1-0303,19,8,1-0303,212,80,0,22,98.69252216815948,0.4655307649441485
537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,1-4494,1,15,1-4494,16,4,0,4,7.398640394210815,0.46241502463817596
190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,1-2382,1,15,1-2382,139,23,0,48,63.783684730529785,0.4588754297160416
170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,1-5043,6,9,1-5043,123,13,0,50,55.48300492763519,0.4510813408750829
153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,1-1350,20,12,1-1350,195,41,0,54,86.88164532184601,0.4455468990863898
438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,MLG10,16,4,MLG10,60,5,0,25,26.241502463817596,0.43735837439695996
234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,MLG29,4,17,MLG29,164,35,0,43,71.53538423776627,0.4361913673034528
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,1-8267,8,19,1-8267,133,12,0,54,57.88164532184601,0.4352003407657595
174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,MLG38,1,15,MLG38,77,19,0,17,33.444221675395966,0.43434054123890864
463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,1-1989,17,5,1-1989,46,2,0,21,19.84286206960678,0.4313665667305822
474,474,474,474,474,474,474,474,474,474,474,474,474,474,474,474,1-8400,1,15,1-8400,33,4,0,12,14.195921182632446,0.4301794297767408
91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,72-12171,7,3,72-12171,19,3,0,6,8.097960591316223,0.42620845217453807
109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,1-9768,7,8,1-9768,241,93,0,10,101.49660098552704,0.42114772193164746
506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,1-6227,1,12,1-6227,52,13,0,10,21.49660098552704,0.4133961727985969
307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,1-5530,1,15,1-5530,7,2,0,1,2.849660098552704,0.4070942997932434
