Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,1-1989,16,10,1-1989,46,9,0,32,38.85153007507324,0.8445984798928966
282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,1-1608,19,4,1-1608,307,26,0,198,210.7063423395157,0.6863398773274126
190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,1-2382,13,3,1-2382,139,33,0,61,89.90447920560837,0.6467948144288371
434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,MLG59,7,14,MLG59,71,14,0,32,43.85153007507324,0.6176271841559612
346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,MLG32,4,10,MLG32,52,19,0,14,32.06004440784454,0.616539315535472
123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,MLG55,6,17,MLG55,92,9,0,51,56.57587605714798,0.6149551745342172
390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,MLG64,4,10,MLG64,245,55,0,99,147.35317116975784,0.6014415149786034
419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,1-6692,16,21,1-6692,71,17,0,27,42.18722850084305,0.5941863169132824
500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,1-0292,21,15,1-0292,99,19,0,42,58.18013322353363,0.5876781133690265
261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,1-1942,13,17,1-1942,34,11,0,9,19.39574283361435,0.5704630245180691
429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,1-6693,7,14,1-6693,98,32,0,24,54.38864755630493,0.554986199554132
73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,1-5355,4,10,1-5355,53,18,0,12,29.194323778152466,0.55083629770099
526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,1-5002,1,16,1-5002,45,14,0,11,24.261463463306427,0.5391436325179206
560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,1-0027,5,6,1-0027,29,9,0,7,15.530022203922272,0.5355180070318025
427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,1-9379,12,8,1-9379,58,20,0,11,30.261463463306427,0.5217493700570074
382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,1-18558,14,20,1-18558,307,115,0,47,158.84443479776382,0.5174085824031395
422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,1-6878,21,15,1-6878,167,8,0,84,86.36026644706726,0.5171273439944147
350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,1-2282,6,17,1-2282,219,25,0,94,112.68886959552765,0.5145610483814048
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,1-6098,5,13,1-6098,1327,311,0,385,670.151221215725,0.5050122239756781
466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,1-5981,1,18,1-5981,28,14,0,0,14.0,0.5
161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,MLG41,4,10,MLG41,66,16,0,18,32.7914856672287,0.4968406919277076
109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,1-9768,22,6,1-9768,241,11,0,115,118.27893620729446,0.4907839676651223
141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,MLG45,7,14,MLG45,70,9,0,27,34.18722850084305,0.48838897858347213
398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,1-0303,1,16,1-0303,212,67,0,39,103.38155227899551,0.48764883150469585
459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,1-2545,20,11,1-2545,145,44,0,27,69.18722850084305,0.47715330000581413
192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,1-9770,16,21,1-9770,50,5,0,20,23.657206296920776,0.47314412593841554
386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,MLG68,22,6,MLG68,642,70,0,247,300.4164977669716,0.46793847004201183
268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,MLG44,14,20,MLG44,59,19,0,9,27.39574283361435,0.46433462429854827
339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,1-3523,20,11,1-3523,543,123,0,134,248.0032821893692,0.45672795983309245
357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,1-4760,7,14,1-4760,40,8,0,11,18.261463463306427,0.45653658658266066
