Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
128,128,128,128,128,128,128,128,128,128,128,1-19286,14,2,1-19286,40,20,0,1,20.34098392724991,0.5085245981812477
352,352,352,352,352,352,352,352,352,352,352,MLG63,6,12,MLG63,380,161,0,63,182.48198741674423,0.48021575635985325
444,444,444,444,444,444,444,444,444,444,444,1-3217,2,6,1-3217,5,2,0,1,2.3409839272499084,0.46819678544998167
537,537,537,537,537,537,537,537,537,537,537,1-4494,5,9,1-4494,16,5,0,5,6.704919636249542,0.4190574772655964
327,327,327,327,327,327,327,327,327,327,327,P-16616,7,2,P-16616,28,9,0,8,11.727871417999268,0.418852550642831
365,365,365,365,365,365,365,365,365,365,365,MLG48,14,2,MLG48,159,61,0,2,61.68196785449982,0.38793690474528186
311,311,311,311,311,311,311,311,311,311,311,1-20578,19,8,1-20578,19,6,0,4,7.363935708999634,0.38757556363155965
400,400,400,400,400,400,400,400,400,400,400,1-18709,4,11,1-18709,33,10,0,8,12.727871417999268,0.3856930732727051
517,517,517,517,517,517,517,517,517,517,517,1-18028,8,16,1-18028,309,54,0,190,118.7869461774826,0.38442377403716055
329,329,329,329,329,329,329,329,329,329,329,1-1317,14,2,1-1317,414,146,0,35,157.9344374537468,0.3814841484390019
292,292,292,292,292,292,292,292,292,292,292,1-9997,4,12,1-9997,16,4,0,6,6.045903563499451,0.37786897271871567
398,398,398,398,398,398,398,398,398,398,398,1-0303,18,3,1-0303,212,50,0,87,79.66560167074203,0.37578113995633033
305,305,305,305,305,305,305,305,305,305,305,1-7866,19,8,1-7866,318,112,0,20,118.81967854499817,0.3736467878773527
342,342,342,342,342,342,342,342,342,342,342,MLG65,16,17,MLG65,201,71,0,8,73.72787141799927,0.3668053304378073
162,162,162,162,162,162,162,162,162,162,162,1-8067,15,13,1-8067,322,88,0,86,117.32461774349213,0.364362166905255
149,149,149,149,149,149,149,149,149,149,149,MLG58,10,4,MLG58,71,23,0,8,25.727871417999268,0.3623643861690038
130,130,130,130,130,130,130,130,130,130,130,1-1833,5,5,1-1833,124,22,0,65,44.16395527124405,0.35616092960680684
106,106,106,106,106,106,106,106,106,106,106,MLG69,7,10,MLG69,576,177,0,80,204.27871417999268,0.3546505454513762
434,434,434,434,434,434,434,434,434,434,434,MLG59,8,16,MLG59,71,20,0,15,25.114758908748627,0.35372899871476937
157,157,157,157,157,157,157,157,157,157,157,1-6061,4,11,1-6061,40,8,0,18,14.137710690498352,0.3534427672624588
375,375,375,375,375,375,375,375,375,375,375,MLG14,16,17,MLG14,232,73,0,26,81.86558210849762,0.3528688883986966
388,388,388,388,388,388,388,388,388,388,388,MLG49,2,9,MLG49,185,54,0,33,65.25246959924698,0.3527160518878215
234,234,234,234,234,234,234,234,234,234,234,MLG29,4,11,MLG29,164,45,0,36,57.275421380996704,0.34924037427437016
483,483,483,483,483,483,483,483,483,483,483,1-9491,20,7,1-9491,80,22,0,17,27.796726763248444,0.34745908454060553
392,392,392,392,392,392,392,392,392,392,392,1-9609,4,2,1-9609,25,8,0,2,8.681967854499817,0.3472787141799927
485,485,485,485,485,485,485,485,485,485,485,1-5980,4,12,1-5980,29,7,0,9,10.068855345249176,0.34720190845686816
261,261,261,261,261,261,261,261,261,261,261,1-1942,5,14,1-1942,34,8,0,11,11.750823199748993,0.34561244705144095
361,361,361,361,361,361,361,361,361,361,361,1-0008,9,18,1-0008,230,11,0,200,79.19678544998169,0.34433384978252907
259,259,259,259,259,259,259,259,259,259,259,1-3596,7,10,1-3596,223,57,0,52,74.73116421699524,0.33511732832733293
344,344,344,344,344,344,344,344,344,344,344,1-6035,4,4,1-6035,23,6,0,5,7.704919636249542,0.33499650592389313
552,552,552,552,552,552,552,552,552,552,552,MLG46,2,9,MLG46,17,5,0,2,5.681967854499817,0.3342334032058716
504,504,504,504,504,504,504,504,504,504,504,1-5425,15,13,1-5425,17,5,0,2,5.681967854499817,0.3342334032058716
220,220,220,220,220,220,220,220,220,220,220,MLG73,12,14,MLG73,10,3,0,1,3.3409839272499084,0.33409839272499087
183,183,183,183,183,183,183,183,183,183,183,1-9496,15,13,1-9496,39,13,0,0,13.0,0.3333333333333333
245,245,245,245,245,245,245,245,245,245,245,1-6647,6,4,1-6647,62,12,0,25,20.52459818124771,0.33104190614915663
524,524,524,524,524,524,524,524,524,524,524,1-9338,15,13,1-9338,29,6,0,10,9.409839272499084,0.32447721629307186
289,289,289,289,289,289,289,289,289,289,289,1-1592,19,8,1-1592,32,9,0,4,10.363935708999634,0.32387299090623856
301,301,301,301,301,301,301,301,301,301,301,1-1177,18,3,1-1177,17,0,0,16,5.455742835998535,0.3209260491763844
459,459,459,459,459,459,459,459,459,459,459,1-2545,19,8,1-2545,145,19,0,80,46.278714179992676,0.319163546068915
331,331,331,331,331,331,331,331,331,331,331,MLG75,10,4,MLG75,185,50,0,25,58.52459818124771,0.31634917935809576
217,217,217,217,217,217,217,217,217,217,217,1-9630,10,4,1-9630,33,8,0,7,10.38688749074936,0.31475416638634424
473,473,473,473,473,473,473,473,473,473,473,1-9452,2,9,1-9452,16,4,0,3,5.022951781749725,0.31393448635935783
237,237,237,237,237,237,237,237,237,237,237,1-9667,16,17,1-9667,14,3,0,4,4.363935708999634,0.31170969349997385
389,389,389,389,389,389,389,389,389,389,389,1-0278,2,9,1-0278,79,10,0,42,24.321324944496155,0.3078648727151412
131,131,131,131,131,131,131,131,131,131,131,1-9283,20,7,1-9283,235,65,0,21,72.16066247224808,0.30706664881807694
206,206,206,206,206,206,206,206,206,206,206,1-9752,12,5,1-9752,22,4,0,8,6.727871417999268,0.3058123371817849
358,358,358,358,358,358,358,358,358,358,358,1-9831,15,13,1-9831,132,16,0,71,40.2098588347435,0.30462014268745075
251,251,251,251,251,251,251,251,251,251,251,1-7268,20,7,1-7268,70,11,0,30,21.229517817497253,0.3032788259642465
197,197,197,197,197,197,197,197,197,197,197,1-8646,6,12,1-8646,20,5,0,3,6.022951781749725,0.3011475890874863
154,154,154,154,154,154,154,154,154,154,154,1-18994,6,12,1-18994,28,7,0,4,8.363935708999634,0.2987119896071298
225,225,225,225,225,225,225,225,225,225,225,1-9650,19,13,1-9650,25,4,0,10,7.4098392724990845,0.2963935708999634
446,446,446,446,446,446,446,446,446,446,446,1-3534,13,15,1-3534,279,62,0,60,82.4590356349945,0.2955520990501595
142,142,142,142,142,142,142,142,142,142,142,P-16454,16,17,P-16454,8,1,0,4,2.363935708999634,0.2954919636249542
562,562,562,562,562,562,562,562,562,562,562,1-0003,12,7,1-0003,17,4,0,3,5.022951781749725,0.2954677518676309
404,404,404,404,404,404,404,404,404,404,404,1-4682,2,9,1-4682,16,3,0,5,4.704919636249542,0.2940574772655964
123,123,123,123,123,123,123,123,123,123,123,MLG55,5,5,MLG55,92,15,0,35,26.934437453746796,0.2927656244972478
191,191,191,191,191,191,191,191,191,191,191,1-8328,19,8,1-8328,114,32,0,4,33.363935708999634,0.2926661027105231
554,554,554,554,554,554,554,554,554,554,554,1-10444,2,9,1-10444,8,2,0,1,2.3409839272499084,0.29262299090623856
147,147,147,147,147,147,147,147,147,147,147,1-17657,1,22,1-17657,8,2,0,1,2.3409839272499084,0.29262299090623856
451,451,451,451,451,451,451,451,451,451,451,1-4098,2,6,1-4098,16,4,0,2,4.681967854499817,0.29262299090623856
332,332,332,332,332,332,332,332,332,332,332,MLG78,6,12,MLG78,80,22,0,4,23.363935708999634,0.29204919636249543
497,497,497,497,497,497,497,497,497,497,497,1-8493,7,10,1-8493,38,7,0,12,11.091807126998901,0.2918896612368132
199,199,199,199,199,199,199,199,199,199,199,MLG39,14,2,MLG39,23,6,0,2,6.681967854499817,0.29052034149999206
427,427,427,427,427,427,427,427,427,427,427,1-9379,2,9,1-9379,58,11,0,17,16.796726763248444,0.28959873729738694
268,268,268,268,268,268,268,268,268,268,268,MLG44,6,12,MLG44,59,14,0,9,17.068855345249176,0.289302632970325
