Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
MLG45,20,6,MLG45,70,18,1,11,1028.0986148118973,14.68712306874139
1-6240,20,6,1-6240,698,68,1,95,1155.2153097391129,1.6550362603712219
MLG54,7,11,MLG54,595,176,0,376,521.1890153884888,0.8759479250226702
MLG62,13,9,MLG62,525,48,0,427,440.0098658800125,0.8381140302476429
1-8188,16,3,1-8188,140,8,0,93,93.37919795513153,0.6669942711080824
1-17733,10,10,1-17733,74,8,0,45,49.31251513957977,0.666385339724051
1-10451,16,3,1-10451,46,8,0,23,29.115285515785217,0.6329409894735917
1-0129,12,12,1-0129,142,34,0,58,87.24724173545837,0.6144171953201294
1-1015,9,8,1-1015,155,47,0,48,91.06668281555176,0.5875269859067855
1-0278,8,20,1-0278,79,27,0,21,46.279173731803894,0.5858123257190366
MLG52,7,11,MLG52,125,69,0,2,70.83611178398132,0.5666888942718505
1-1258,12,12,1-1258,435,114,0,144,246.20004844665527,0.5659771228658742
1-9404,10,10,1-9404,100,16,0,44,56.39445924758911,0.5639445924758911
MLG51,13,9,MLG51,248,93,0,51,139.82085049152374,0.5637937519819506
1-7467,14,18,1-7467,64,13,0,25,35.95139729976654,0.5617405828088522
1-10468,10,10,1-10468,549,120,0,204,307.28340196609497,0.5597147576795901
1-7122,13,9,1-7122,197,38,0,78,109.6083595752716,0.5563876120572163
1-5197,10,10,1-5197,72,8,0,34,39.213900327682495,0.5446375045511458
1-0296,18,5,1-0296,41,14,0,9,22.262503027915955,0.5429878787296575
MLG49,13,9,MLG49,185,77,0,25,99.95139729976654,0.5402778232419813
1-5355,12,12,1-5355,53,3,0,27,27.787509083747864,0.5242926242216578
1-9270,12,12,1-9270,128,15,0,56,66.41112995147705,0.5188369527459145
1-7845,13,9,1-7845,36,14,0,5,18.590279459953308,0.5163966516653696
1-1570,12,12,1-1570,142,14,0,63,71.83752119541168,0.5058980365874062
1-4319,10,10,1-4319,163,25,0,62,81.91946530342102,0.5025734067694542
1-9491,20,6,1-9491,80,13,0,29,39.62362086772919,0.49529526084661485
P-16616,8,5,P-16616,28,12,0,2,13.836111783981323,0.4941468494279044
1-6561,12,12,1-6561,65,9,0,25,31.95139729976654,0.49155995845794676
1-3534,9,8,1-3534,279,59,0,84,136.11669492721558,0.4878734585204859
1-7140,16,3,1-7140,397,40,0,166,192.39727807044983,0.4846279044595714
1-9674,10,10,1-9674,144,22,0,52,69.7389063835144,0.4842979609966278
1-3362,9,8,1-3362,117,29,0,30,56.54167675971985,0.48326219452752006
1-9516,5,14,1-9516,76,6,0,33,36.29584443569183,0.47757690046962936
1-8067,10,10,1-8067,322,56,0,106,153.31392455101013,0.4761302004689756
MLG10,17,4,MLG10,60,22,0,7,28.42639124393463,0.4737731873989105
MLG78,20,6,MLG78,80,25,0,14,37.85278248786926,0.47315978109836576
1-3596,18,5,1-3596,223,63,0,46,105.23057103157043,0.4718859687514369
MLG65,7,11,MLG65,201,25,0,76,94.77224779129028,0.471503720354678
1-7682,20,6,1-7682,141,12,0,59,66.16529762744904,0.46925742998190806
1-0272,9,8,1-0272,111,18,0,37,51.96806800365448,0.46818079282571606
1-4417,17,21,1-4417,151,20,0,54,69.57501816749573,0.46076170971851477
1-9417,10,10,1-9417,76,7,0,30,34.54167675971985,0.45449574683841903
1-7530,9,8,1-7530,25,4,0,8,11.344447135925293,0.4537778854370117
1-4640,9,8,1-4640,87,10,0,32,39.37778854370117,0.45261825912300196
1-0003,20,6,1-0003,17,4,0,4,7.6722235679626465,0.4513072687036851
1-9227,5,14,1-9227,801,52,0,337,361.38483560085297,0.4511670856440112
1-1350,20,6,1-1350,195,50,0,41,87.64029157161713,0.44943739267495963
1-9963,12,12,1-9963,116,8,0,48,52.06668281555176,0.44885071392717035
1-9277,5,14,1-9277,48,5,0,18,21.52500605583191,0.4484376261631648
1-9938,15,7,1-9938,55,16,0,9,24.262503027915955,0.44113641868938097
1-3139,5,14,1-3139,93,4,0,40,40.722235679626465,0.43787350193146735
