Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
1-0008,8,21,1-0008,230,156,0,17,157.52027106285095,0.6848707437515259
1-7845,1,3,1-7845,36,17,0,10,17.894277095794678,0.4970632526609633
1-18028,21,20,1-18028,309,150,0,34,153.0405421257019,0.4952768353582586
MLG32,1,3,MLG32,52,24,0,19,25.699126482009888,0.49421397080788243
1-5413,4,15,1-5413,39,18,0,14,19.25198793411255,0.4936407162592961
MLG59,3,9,MLG59,71,34,0,11,34.983704805374146,0.4927282366954105
MLG67,18,7,MLG67,27,11,0,4,11.357710838317871,0.42065595697473596
1-11329,14,10,1-11329,14,5,0,4,5.357710838317871,0.3826936313084194
1-9379,19,4,1-9379,58,20,0,20,21.788554191589355,0.3756647274411958
1-8188,1,3,1-8188,140,51,0,16,52.430843353271484,0.37450602395193916
MLG60,17,17,MLG60,47,17,0,3,17.268283128738403,0.36741027933485965
MLG64,18,7,MLG64,245,84,0,51,88.56081318855286,0.36147270689205246
1-2324,14,14,1-2324,25,8,0,5,8.447138547897339,0.33788554191589354
1-0272,12,2,1-0272,111,37,0,4,37.35771083831787,0.3365559534983592
1-5002,22,7,1-5002,45,13,0,22,14.967409610748291,0.3326091024610731
MLG75,17,17,MLG75,185,60,0,17,61.52027106285095,0.33254200574514026
1-7004,12,2,1-7004,381,123,0,33,125.95111441612244,0.3305803527982216
1-3587,12,2,1-3587,46,15,0,2,15.178855419158936,0.3299751178078029
1-9630,1,11,1-9630,33,10,0,8,10.715421676635742,0.3247097477768407
MLG31,1,7,MLG31,33,9,0,11,9.983704805374146,0.30253650925376196
1-9491,4,14,1-9491,80,22,0,21,23.877981901168823,0.2984747737646103
1-9417,1,3,1-9417,76,20,0,29,22.593403577804565,0.2972816260237443
1-4926,18,14,1-4926,4,1,0,2,1.1788554191589355,0.2947138547897339
MLG14,19,4,MLG14,232,59,0,79,66.06478905677795,0.2847620217964567
1-9286,13,9,1-9286,81,22,0,7,22.625993967056274,0.2793332588525466
1-1015,12,2,1-1015,155,43,0,2,43.178855419158936,0.2785732607687673
